date,Open,High,Low,Close,Volume
2019-08-20,213.92,214.75,211.78,212.59,907900.0
2019-08-21,213.49,215.2,212.0,214.18,1254900.0
2019-08-22,214.72,215.36,210.84,213.31,934000.0
2019-08-23,213.17,214.51,208.06,208.89,1295600.0
2019-08-26,209.54,212.33,207.26,211.62,1199700.0
2019-08-27,212.25,213.05,210.17,210.48,1253700.0
2019-08-28,209.98,212.9,207.3,212.12,926100.0
2019-08-29,214.3,214.39,211.95,213.3,1038500.0
2019-08-30,214.36,214.66,211.13,211.41,1216500.0
2019-09-03,209.51,211.12,207.94,210.53,1437700.0
2019-09-04,210.39,214.11,210.39,213.65,1821200.0
2019-09-05,215.0,215.0,211.83,212.13,1449300.0
2019-09-06,213.62,216.65,213.16,214.7,1370300.0
2019-09-09,214.64,215.06,208.28,208.82,1300500.0
2019-09-10,207.03,208.64,197.51,208.62,2041400.0
2019-09-11,208.92,209.66,206.24,207.82,1334000.0
2019-09-12,210.0,210.34,207.27,209.43,1347600.0
2019-09-13,209.71,210.08,207.2,207.45,1238100.0
2019-09-16,212.41,215.06,209.51,214.0,2051200.0
2019-09-17,214.23,215.3,211.52,214.26,1319000.0
2019-09-18,213.47,215.92,211.1,214.7,1809600.0
2019-09-19,214.11,215.87,213.32,214.06,1750800.0
2019-09-20,214.12,215.13,210.49,211.98,3335000.0
2019-09-23,212.44,213.92,210.93,213.3,1834900.0
2019-09-24,213.82,217.31,211.58,211.91,2433400.0
2019-09-25,211.47,213.06,210.63,212.6,1157600.0
2019-09-26,213.57,214.62,212.7,213.22,1113100.0
2019-09-27,213.45,213.55,207.86,208.92,1232900.0
2019-09-30,209.74,211.62,208.31,208.64,894200.0
2019-10-01,209.63,210.65,203.28,203.69,1066800.0
2019-10-02,203.0,203.75,200.67,203.27,1373200.0
2019-10-03,203.61,206.37,202.97,206.21,1293700.0
2019-10-04,205.93,208.04,204.36,207.77,859000.0
2019-10-07,207.61,208.07,205.27,205.77,678300.0
2019-10-08,205.18,209.48,204.18,209.25,1733500.0
2019-10-09,210.12,210.3,206.44,208.94,1188700.0
2019-10-10,208.02,211.55,208.02,209.93,1354900.0
2019-10-11,212.43,212.43,207.62,208.94,1288300.0
2019-10-14,208.64,209.61,206.38,206.64,691500.0
2019-10-15,207.29,208.4,205.38,205.52,866600.0
2019-10-16,205.73,208.2,204.51,206.78,1197800.0
2019-10-17,208.22,208.57,200.76,200.94,1196200.0
2019-10-18,201.01,201.67,195.13,198.08,2050500.0
2019-10-21,199.25,202.19,198.73,199.66,1124000.0
2019-10-22,198.5,202.51,197.08,200.67,1430100.0
2019-10-23,201.24,201.88,198.74,200.38,1081500.0
2019-10-24,199.87,206.27,199.39,204.1,1292800.0
2019-10-25,204.49,204.49,199.18,200.96,1032100.0
2019-10-28,200.97,202.65,199.93,200.59,1032100.0
2019-10-29,201.24,204.01,200.27,202.99,1795200.0
2019-10-30,206.86,209.12,203.01,207.82,1672800.0
2019-10-31,207.38,209.35,204.59,206.31,1961500.0
2019-11-01,206.35,208.0,200.15,201.41,2306500.0
2019-11-04,201.0,201.62,193.77,194.93,2317800.0
2019-11-05,194.37,194.87,190.55,193.04,2632700.0
2019-11-06,192.06,196.3,192.06,195.95,1645900.0
2019-11-07,197.0,197.39,194.56,194.88,1472300.0
2019-11-08,194.38,197.75,194.31,196.02,1374000.0
2019-11-11,194.65,195.74,191.95,195.16,1449600.0
2019-11-12,194.73,198.65,194.03,198.19,1951400.0
2019-11-13,197.93,200.29,196.34,199.23,1190300.0
2019-11-14,199.28,201.49,198.63,199.76,858500.0
2019-11-15,201.63,202.98,200.95,202.52,1093000.0
2019-11-18,202.38,204.22,202.01,202.74,1172100.0
2019-11-19,203.94,204.99,202.28,203.15,1189100.0
2019-11-20,203.42,206.2,203.33,204.81,1112400.0
2019-11-21,204.0,205.09,198.63,199.06,1745500.0
2019-11-22,200.68,201.21,197.65,198.64,900500.0
2019-11-25,198.67,200.55,195.9,196.49,1709900.0
2019-11-26,197.58,200.28,196.54,199.71,1812000.0
2019-11-27,199.51,200.91,198.53,200.5,802000.0
2019-11-29,201.11,201.66,199.36,201.09,485900.0
2019-12-02,200.22,200.67,193.86,194.27,1364200.0
2019-12-03,194.0,195.56,193.32,194.94,1309300.0
2019-12-04,195.78,196.45,193.59,193.68,1062500.0
2019-12-05,193.68,194.68,193.15,193.39,909900.0
2019-12-06,193.55,195.39,192.24,192.49,1310800.0
2019-12-09,192.5,193.76,191.93,193.62,1239600.0
2019-12-10,198.07,199.48,196.55,196.96,1626500.0
2019-12-11,196.16,198.64,196.16,198.48,1085400.0
2019-12-12,198.39,199.99,195.23,196.28,1102100.0
2019-12-13,195.78,200.35,195.78,200.18,1515900.0
2019-12-16,200.59,202.45,199.1,201.34,1322700.0
2019-12-17,200.97,201.98,196.28,199.08,1240100.0
2019-12-18,199.21,199.94,196.55,197.72,1306700.0
2019-12-19,198.22,198.97,196.15,197.41,1288700.0
2019-12-20,199.6,200.77,197.11,199.99,2304900.0
2019-12-23,200.77,203.19,199.06,201.73,1129400.0
2019-12-24,202.89,203.02,200.6,201.22,330600.0
2019-12-26,201.23,202.0,200.62,201.61,637700.0
2019-12-27,202.08,203.23,201.25,201.71,881500.0
2019-12-30,201.77,201.78,199.0,200.08,838100.0
2019-12-31,199.92,200.56,197.04,197.87,1010900.0
2020-01-02,198.43,203.37,198.06,203.31,1214700.0
2020-01-03,206.17,210.83,206.17,210.47,2182200.0
2020-01-06,212.22,214.0,209.14,211.72,1968100.0
2020-01-07,212.02,214.24,211.0,212.73,1538100.0
2020-01-08,212.75,214.89,210.41,211.29,1683300.0
2020-01-09,210.39,212.94,210.26,212.29,980000.0
2020-01-10,212.07,212.34,209.71,210.37,1186500.0
2020-01-13,211.44,212.75,208.72,212.6,1306900.0
2020-01-14,212.57,213.09,211.62,212.78,1265400.0
2020-01-15,212.4,215.67,211.85,213.16,882700.0
2020-01-16,214.02,214.99,213.2,214.35,876600.0
2020-01-17,215.3,219.47,214.01,219.38,1934500.0
2020-01-21,219.4,221.34,217.81,220.46,1527200.0
2020-01-22,221.0,223.0,219.32,219.91,1411400.0
2020-01-23,220.13,223.82,219.61,222.81,1211600.0
2020-01-24,223.23,224.5,222.04,222.98,1154200.0
2020-01-27,220.99,223.57,219.76,222.32,1231700.0
2020-01-28,223.12,224.25,220.63,223.14,1334800.0
2020-01-29,224.0,225.85,222.79,223.57,925000.0
2020-01-30,222.01,225.055,221.81,224.74,1038000.0
2020-01-31,223.74,224.69,219.41,221.33,1390100.0
2020-02-03,221.75,223.27,220.34,220.89,1244700.0
2020-02-04,225.36,228.5,222.29,223.74,1802600.0
2020-02-05,224.61,225.89,221.91,223.47,1316430.0
2020-02-06,223.65,227.58,222.98,225.98,1458500.0
2020-02-07,227.22,230.58,226.0,229.86,1229800.0
2020-02-10,229.87,230.99,227.23,229.6,1053400.0
2020-02-11,229.27,229.44,226.83,228.0,1283700.0
2020-02-12,228.49,230.23,224.76,230.04,1433500.0
2020-02-13,229.19,230.98,226.96,227.01,1187900.0
2020-02-14,227.16,229.47,226.48,228.55,1177100.0
2020-02-18,228.0,229.86,226.56,228.73,912300.0
2020-02-19,228.61,229.71,225.51,225.98,1450300.0
2020-02-20,226.43,227.22,221.49,223.8,957700.0
2020-02-21,222.99,224.23,221.56,222.8,1198700.0
2020-02-24,218.18,220.75,216.83,219.06,1185500.0
2020-02-25,219.33,220.78,208.9,209.76,1907300.0
2020-02-26,209.82,215.74,209.78,210.32,2240700.0
2020-02-27,208.52,210.02,201.41,201.94,2314500.0
2020-02-28,195.52,198.11,190.61,197.73,2997800.0
2020-03-02,197.9,202.99,194.71,202.05,2246600.0
2020-03-03,203.87,209.5,197.88,198.68,1772600.0
2020-03-04,202.35,212.0,200.29,211.64,1677300.0
2020-03-05,208.65,208.87,199.0,200.57,1761000.0
2020-03-06,195.0,201.59,192.4,199.93,1615100.0
2020-03-09,186.77,192.99,182.0,186.58,1918500.0
2020-03-10,193.5,196.3,186.31,196.12,1826200.0
2020-03-11,190.8,193.56,184.36,188.36,2323600.0
2020-03-12,174.62,181.55,164.12,166.02,3092700.0
2020-03-13,174.63,178.64,164.48,177.63,2287300.0
2020-03-16,155.0,166.47,149.21,152.23,1992100.0
2020-03-17,155.32,170.68,151.4,168.95,2130400.0
2020-03-18,154.94,175.1,152.17,167.99,2801800.0
2020-03-19,166.34,167.37,153.45,160.14,2507600.0
2020-03-20,160.48,160.48,150.8,154.04,2684600.0
2020-03-23,153.03,154.54,142.01,150.22,2303300.0
2020-03-24,153.48,162.56,152.95,162.07,1814200.0
2020-03-25,160.74,179.77,160.0,173.46,1775700.0
2020-03-26,175.67,191.19,174.83,190.5,2310900.0
2020-03-27,183.64,190.54,178.46,185.0,2163100.0
2020-03-30,186.91,187.49,179.24,181.96,1925000.0
2020-03-31,180.83,183.56,177.01,180.12,2767400.0
2020-04-01,171.99,177.91,170.23,177.17,1498700.0
2020-04-02,176.13,183.96,175.22,183.52,1898500.0
2020-04-03,183.43,184.76,177.35,178.5,1396000.0
2020-04-06,186.96,187.21,181.6,184.0,1918700.0
2020-04-07,190.63,190.64,178.67,179.9,2523200.0
2020-04-08,181.0,188.68,179.55,185.2,1285800.0
2020-04-09,186.37,194.25,186.03,190.79,1873500.0
2020-04-13,190.44,190.76,185.03,188.32,815600.0
2020-04-14,192.67,197.86,191.48,197.0,1230000.0
2020-04-15,198.46,198.46,190.76,195.0,1312500.0
