date,Open,High,Low,Close,Volume
2019-08-20,26.14,26.32,25.92,26.07,1917326.0
2019-08-21,26.36,26.45,25.96,26.0,3366697.0
2019-08-22,26.04,26.34,25.7713,25.93,2489345.0
2019-08-23,25.82,25.82,25.32,25.46,3482987.0
2019-08-26,25.82,26.01,25.19,25.4,3049413.0
2019-08-27,25.53,25.64,24.88,25.03,3686607.0
2019-08-28,24.95,25.71,24.79,25.65,2047268.0
2019-08-29,25.86,26.34,25.86,26.19,1654834.0
2019-08-30,26.42,26.69,26.22,26.27,1786939.0
2019-09-03,26.04,26.09,25.45,26.0,2482608.0
2019-09-04,26.3,26.455,26.15,26.41,1792412.0
2019-09-05,26.76,27.1,26.6,26.91,1932373.0
2019-09-06,27.0,27.23,26.82,26.9,2184790.0
2019-09-09,27.04,27.44,26.93,27.4,1905018.0
2019-09-10,27.49,29.5,27.395,28.66,4393045.0
2019-09-11,29.13,29.16,28.1,29.08,2836702.0
2019-09-12,30.68,32.83,30.61,32.55,6981700.0
2019-09-13,32.98,33.17,32.59,32.74,3560532.0
2019-09-16,32.36,32.79,31.99,32.06,2919053.0
2019-09-17,32.09,32.315,31.68,32.23,2389703.0
2019-09-18,32.28,32.3,31.75,31.94,2350459.0
2019-09-19,31.96,32.25,31.83,31.89,3677721.0
2019-09-20,32.07,32.07,31.49,31.79,4206557.0
2019-09-23,31.68,31.975,31.38,31.89,2299359.0
2019-09-24,31.95,32.08,31.375,31.615,2002200.0
2019-09-25,31.61,31.91,31.205,31.61,1906450.0
2019-09-26,31.48,31.71,31.285,31.43,1701738.0
2019-09-27,31.59,31.687,31.11,31.33,1739153.0
2019-09-30,31.35,31.545,31.22,31.45,2479696.0
2019-10-01,31.63,31.86,30.8,30.82,2015402.0
2019-10-02,30.28,30.68,29.97,30.13,2372684.0
2019-10-03,30.17,30.35,29.37,30.34,2050948.0
2019-10-04,30.2,30.55,30.06,30.51,1223602.0
2019-10-07,30.41,30.51,30.12,30.29,1446777.0
2019-10-08,29.95,30.23,29.84,29.89,1952767.0
2019-10-09,30.03,30.05,29.585,29.61,1807215.0
2019-10-10,29.73,30.34,29.73,30.21,1681109.0
2019-10-11,30.54,31.295,30.54,30.815,2368224.0
2019-10-14,30.79,30.84,30.6,30.745,1230228.0
2019-10-15,31.3,31.36,30.75,31.03,1009936.0
2019-10-16,30.91,31.205,30.91,31.18,1096183.0
2019-10-17,31.39,31.46,30.965,31.23,1511725.0
2019-10-18,31.19,31.4,31.11,31.245,1270389.0
2019-10-21,31.5,31.67,31.4,31.65,1199217.0
2019-10-22,31.66,32.14,31.5717,31.89,1821633.0
2019-10-23,31.8,31.95,31.635,31.92,1164851.0
2019-10-24,32.11,32.12,31.68,31.79,1322426.0
2019-10-25,31.64,31.76,31.58,31.63,1662653.0
2019-10-28,31.79,31.835,31.56,31.67,1292165.0
2019-10-29,31.63,31.77,31.45,31.61,1055376.0
2019-10-30,31.44,31.62,31.25,31.48,1642055.0
2019-10-31,32.66,34.74,32.21,33.99,4762805.0
2019-11-01,34.59,35.15,33.77,35.14,3736787.0
2019-11-04,35.16,36.03,35.03,35.84,2626529.0
2019-11-05,35.83,36.11,35.29,35.69,1834612.0
2019-11-06,35.79,35.79,35.34,35.41,1568588.0
2019-11-07,35.59,35.84,34.98,35.1,2118579.0
2019-11-08,35.25,35.33,34.97,35.2,1899210.0
2019-11-11,34.94,35.26,34.76,35.25,3450157.0
2019-11-12,35.29,36.21,35.24,36.18,2787233.0
2019-11-13,35.98,35.98,35.07,35.21,2468930.0
2019-11-14,35.21,35.415,34.99,35.17,1696439.0
2019-11-15,35.34,35.685,35.01,35.55,2667452.0
2019-11-18,35.41,35.975,35.115,35.865,4040704.0
2019-11-19,35.89,36.01,35.0107,35.21,2743247.0
2019-11-20,35.21,35.26,34.78,35.15,3720236.0
2019-11-21,35.26,35.4,34.845,34.89,1770516.0
2019-11-22,35.03,35.31,34.74,35.0,2909302.0
2019-11-25,35.25,35.51,34.97,35.39,3639981.0
2019-11-26,35.54,35.96,35.4,35.6,3086448.0
2019-11-27,35.22,35.7,35.2,35.66,1504542.0
2019-11-29,35.5,35.73,35.09,35.28,683893.0
2019-12-02,35.49,35.65,34.99,35.32,2813670.0
2019-12-03,34.97,35.155,34.15,34.42,3557701.0
2019-12-04,34.44,35.315,34.44,35.01,2039232.0
2019-12-05,35.33,35.67,34.96,35.54,2662744.0
2019-12-06,35.74,35.85,35.63,35.75,1601564.0
2019-12-09,35.86,35.95,35.39,35.62,2297624.0
2019-12-10,35.67,35.865,35.415,35.48,1588043.0
2019-12-11,35.41,35.93,35.41,35.77,1750494.0
2019-12-12,35.78,36.24,35.58,36.005,2534033.0
2019-12-13,36.01,36.375,35.72,36.11,2463589.0
2019-12-16,36.27,36.38,35.66,35.94,2482966.0
2019-12-17,35.96,36.365,35.9,36.06,2383410.0
2019-12-18,36.07,36.63,35.84,36.33,2604228.0
2019-12-19,36.45,36.45,35.65,35.75,3118335.0
2019-12-20,36.06,36.22,35.36,35.93,4278689.0
2019-12-23,36.04,36.165,35.67,35.79,1111014.0
2019-12-24,35.78,35.93,35.704,35.89,339073.0
2019-12-26,35.86,35.91,35.67,35.89,528377.0
2019-12-27,36.01,36.01,35.59,35.87,900603.0
2019-12-30,35.98,36.08,35.57,35.7,1103446.0
2019-12-31,35.57,35.755,35.45,35.7,1210672.0
2020-01-02,35.92,36.02,35.23,35.8,1673809.0
2020-01-03,35.52,35.59,35.16,35.39,1377476.0
2020-01-06,35.19,35.38,34.785,34.86,1972658.0
2020-01-07,34.8,34.8575,34.48,34.67,2196839.0
2020-01-08,34.84,34.89,34.355,34.59,2122968.0
2020-01-09,34.81,34.85,34.475,34.65,2525877.0
2020-01-10,34.7,34.84,34.02,34.09,1232749.0
2020-01-13,34.18,34.455,33.88,34.13,1757630.0
2020-01-14,34.1,34.5562,33.87,34.34,1891472.0
2020-01-15,34.2,34.39,33.85,33.92,1216332.0
2020-01-16,34.1,34.77,33.97,34.745,1478707.0
2020-01-17,34.98,34.99,34.16,34.61,2232197.0
2020-01-21,34.58,34.59,33.955,34.23,1550122.0
2020-01-22,34.3,34.4,33.92,33.92,1358066.0
2020-01-23,33.73,34.43,33.52,34.355,1582427.0
2020-01-24,34.27,34.31,33.54,33.61,1179799.0
2020-01-27,33.02,33.569,32.91,33.06,1615603.0
2020-01-28,33.19,33.52,33.02,33.44,1127387.0
2020-01-29,33.47,33.76,33.37,33.485,808333.0
2020-01-30,33.23,33.65,33.0,33.61,933500.0
2020-01-31,33.53,33.59,32.56,32.685,1602574.0
2020-02-03,33.1,33.44,32.47,32.575,1962469.0
2020-02-04,33.07,33.57,32.98,33.26,1591981.0
2020-02-05,33.56,34.135,33.48,34.07,1718295.0
2020-02-06,34.25,34.25,33.18,33.22,1578406.0
2020-02-07,33.05,33.1101,32.77,32.93,1236555.0
2020-02-10,32.89,33.24,32.7,33.19,1607176.0
2020-02-11,33.26,33.845,33.15,33.58,923187.0
2020-02-12,33.63,33.91,33.46,33.745,953648.0
2020-02-13,33.54,33.94,33.49,33.85,1138587.0
2020-02-14,33.87,33.91,33.12,33.2,1354564.0
2020-02-18,33.2,33.51,32.99,33.25,2249794.0
2020-02-19,33.34,34.22,33.34,34.0,2734362.0
2020-02-20,33.01,34.19,32.2,34.02,4369963.0
2020-02-21,34.04,34.04,32.68,33.04,3734442.0
2020-02-24,32.285,32.66,32.04,32.33,2492767.0
2020-02-25,32.25,32.625,31.25,31.32,2953064.0
2020-02-26,31.54,32.04,30.54,30.54,2783931.0
2020-02-27,30.3,31.0,29.66,29.72,2863378.0
2020-02-28,28.88,29.64,28.61,29.58,3765109.0
2020-03-02,29.57,29.91,28.905,29.9,3087411.0
2020-03-03,29.75,30.15,28.43,28.73,4181355.0
2020-03-04,29.25,29.78,28.64,29.645,2710133.0
2020-03-05,28.72,28.88,27.67,28.23,4350590.0
2020-03-06,27.25,28.16,27.16,27.52,4390181.0
2020-03-09,26.08,26.93,25.61,25.9,3993468.0
2020-03-10,26.61,27.6,25.865,27.58,4047135.0
2020-03-11,26.85,27.19,26.28,26.81,3289745.0
2020-03-12,25.44,26.15,23.79,23.825,3918897.0
2020-03-13,24.97,25.56,23.31,24.9,3463224.0
2020-03-16,23.0,23.66,20.23,20.36,3374052.0
2020-03-17,20.83,21.57,19.33,19.69,5400359.0
2020-03-18,18.52,18.62,14.0,15.9,6219469.0
2020-03-19,15.63,17.85,14.62,17.38,5542636.0
2020-03-20,17.53,18.2,15.74,16.3,4992173.0
2020-03-23,16.17,16.17,13.31,13.9,3761842.0
2020-03-24,14.84,17.34,14.83,16.96,4243291.0
2020-03-25,17.24,20.19,17.09,20.0,4950119.0
2020-03-26,20.04,22.51,20.02,22.25,5118757.0
2020-03-27,20.93,21.78,20.3,21.36,4038088.0
2020-03-30,21.57,21.74,20.2,21.0,2951031.0
2020-03-31,20.92,21.45,20.295,20.51,4170363.0
2020-04-01,19.34,19.79,18.62,19.13,3058691.0
2020-04-02,18.93,19.64,17.905,18.51,3097342.0
2020-04-03,18.62,18.8,17.09,17.35,2896818.0
2020-04-06,18.44,20.1,18.44,20.06,3350705.0
2020-04-07,21.62,22.36,20.78,20.94,2796892.0
2020-04-08,21.33,22.21,20.99,22.0,1802377.0
2020-04-09,22.66,23.5,22.17,22.53,2491765.0
2020-04-13,22.41,22.44,20.88,21.34,2694373.0
2020-04-14,21.35,22.04,21.01,21.44,3894632.0
2020-04-15,20.41,20.66,19.75,20.39,2146759.0
2020-04-16,20.35,20.77,19.72,19.84,1960627.0
2020-04-17,20.5,21.57,20.28,20.935,2522814.0
2020-04-20,20.43,20.77,19.88,20.34,2550236.0
2020-04-21,19.58,20.13,19.425,19.93,1897405.0
2020-04-22,20.47,20.48,19.85,20.15,2190945.0
2020-04-23,20.35,21.13,20.35,20.465,1431159.0
2020-04-24,20.68,21.75,20.6157,21.33,2630885.0
2020-04-27,21.44,22.98,21.44,22.77,2576522.0
2020-04-28,23.55,24.56,23.42,23.99,3046173.0
2020-04-29,24.69,25.56,24.5,25.3,2965582.0
2020-04-30,27.11,27.5,25.41,26.15,6553803.0
2020-05-01,25.4,25.61,24.46,24.81,3810792.0
2020-05-04,24.42,24.89,24.07,24.615,3130304.0
2020-05-05,25.14,25.6,24.71,24.98,2597310.0
2020-05-06,24.94,25.32,23.955,24.0,4136036.0
