date,Open,High,Low,Close,Volume
2019-08-20,112.33,112.88,110.91,111.01,2074810.0
2019-08-21,112.0,112.44,110.0,111.46,2207306.0
2019-08-22,111.44,112.27,110.79,111.61,1840186.0
2019-08-23,111.46,112.56,108.88,109.51,3870286.0
2019-08-26,110.61,111.82,110.25,111.78,2565480.0
2019-08-27,112.31,112.88,110.73,110.73,2945278.0
2019-08-28,110.33,111.54,109.79,110.97,1743648.0
2019-08-29,111.81,112.38,110.6,112.25,2708553.0
2019-08-30,112.82,114.17,111.92,112.97,2870678.0
2019-09-03,112.54,114.02,112.19,113.96,3710342.0
2019-09-04,114.38,114.5,112.45,113.25,3756439.0
2019-09-05,113.96,115.44,113.26,114.6,4045864.0
2019-09-06,114.78,114.99,113.84,114.05,2904151.0
2019-09-09,114.52,114.52,110.35,111.07,4932138.0
2019-09-10,108.37,111.13,106.4,111.1,6589495.0
2019-09-11,111.78,112.0,110.29,111.69,3402823.0
2019-09-12,111.92,112.42,111.12,111.47,3577969.0
2019-09-13,111.74,112.15,110.24,110.89,2842551.0
2019-09-16,110.42,110.53,109.21,110.13,1728877.0
2019-09-17,110.33,111.19,109.63,111.12,2489398.0
2019-09-18,111.44,112.91,111.17,112.72,3164905.0
2019-09-19,112.86,115.11,112.39,114.35,3947158.0
2019-09-20,115.93,117.23,114.47,116.16,7543635.0
2019-09-23,116.0,116.54,113.97,114.18,2933808.0
2019-09-24,114.36,114.55,111.94,113.25,3578773.0
2019-09-25,112.88,113.85,111.31,111.39,3114037.0
2019-09-26,112.04,112.66,110.69,111.82,2684254.0
2019-09-27,112.35,113.37,111.38,112.37,1906299.0
2019-09-30,112.4,113.45,111.69,111.83,2580818.0
2019-10-01,111.94,112.45,110.41,110.96,2493452.0
2019-10-02,110.33,110.64,106.66,107.0,4556003.0
2019-10-03,107.09,108.1,106.21,107.29,2855061.0
2019-10-04,107.49,108.26,107.0,108.2,2889307.0
2019-10-07,108.31,108.65,107.57,107.83,1505720.0
2019-10-08,106.89,108.33,105.95,107.19,2841093.0
2019-10-09,107.56,108.15,106.88,107.3,1636682.0
2019-10-10,107.03,107.49,106.58,106.92,2797589.0
2019-10-11,107.75,109.14,107.59,108.36,2557462.0
2019-10-14,108.52,109.13,107.88,107.9,1371611.0
2019-10-15,108.35,110.1,108.22,109.7,1761041.0
2019-10-16,109.18,109.48,107.79,107.95,2316857.0
2019-10-17,109.22,109.46,108.26,108.46,2268095.0
2019-10-18,108.31,108.94,107.9,108.64,2207095.0
2019-10-21,108.87,109.0,107.77,107.91,4079997.0
2019-10-22,109.98,111.46,108.89,109.84,5750073.0
2019-10-23,106.0,107.75,101.36,107.4,9114687.0
2019-10-24,107.5,108.21,106.25,107.84,3314908.0
2019-10-25,108.08,110.59,107.54,110.2,4234636.0
2019-10-28,110.62,113.19,110.62,112.99,4168518.0
2019-10-29,112.5,112.81,111.5,111.67,2987668.0
2019-10-30,111.37,113.21,111.26,112.72,2424626.0
2019-10-31,112.36,114.67,112.0,113.95,4124283.0
2019-11-01,114.07,114.51,112.31,112.51,2629123.0
