date,Open,High,Low,Close,Volume
2019-08-20,53.73,54.09,53.07,53.17,1663745.0
2019-08-21,53.88,54.3,53.49,53.98,925461.0
2019-08-22,54.47,54.71,53.96,54.26,1279131.0
2019-08-23,53.6,54.52,52.0,52.26,1874487.0
2019-08-26,52.64,53.01,52.16,52.44,1450819.0
2019-08-27,52.85,53.14,50.82,51.42,1685072.0
2019-08-28,50.9,52.0,50.9,51.68,1198951.0
2019-08-29,52.44,53.09,52.38,52.75,891050.0
2019-08-30,53.33,53.65,52.71,52.88,859053.0
2019-09-03,52.15,52.34,51.46,52.06,1866110.0
2019-09-04,52.91,52.91,52.4,52.71,1105729.0
2019-09-05,53.77,55.33,53.76,54.81,1446599.0
2019-09-06,54.79,55.67,54.31,55.2,993288.0
2019-09-09,55.94,57.84,55.33,57.5,1692111.0
2019-09-10,57.88,59.58,57.86,59.58,1936829.0
2019-09-11,59.39,60.13,58.62,60.08,1716426.0
2019-09-12,59.42,60.71,58.59,60.32,1223766.0
2019-09-13,61.21,62.46,61.03,61.67,1223779.0
2019-09-16,60.53,61.83,60.31,61.25,1073016.0
2019-09-17,60.82,61.01,60.13,60.83,1050696.0
2019-09-18,60.47,61.2,59.9,61.12,1286913.0
2019-09-19,60.93,61.85,60.78,60.89,1106920.0
2019-09-20,61.14,61.89,60.73,60.73,1686189.0
2019-09-23,59.96,61.21,59.62,60.9,1249821.0
2019-09-24,61.0,61.17,59.46,59.82,1574312.0
2019-09-25,59.83,60.51,59.37,60.27,1393568.0
2019-09-26,60.13,60.48,59.85,60.16,958229.0
2019-09-27,60.83,61.46,60.5,60.91,1487198.0
2019-09-30,61.34,61.48,60.17,60.32,1090459.0
2019-10-01,61.01,61.02,57.73,57.73,1466532.0
2019-10-02,56.97,57.35,55.62,55.87,1337811.0
2019-10-03,55.52,55.71,54.05,55.56,1187819.0
2019-10-04,55.45,56.58,55.26,56.53,856977.0
2019-10-07,56.51,56.68,55.91,55.94,658780.0
2019-10-08,54.63,54.7,53.88,53.92,1212911.0
2019-10-09,54.2,54.61,53.74,54.35,1165787.0
2019-10-10,54.9,56.16,54.76,56.08,1251721.0
2019-10-11,57.68,59.25,57.28,58.38,1847350.0
2019-10-14,57.72,58.75,57.46,58.62,897768.0
2019-10-15,58.91,59.97,58.54,59.03,870670.0
2019-10-16,59.03,59.62,58.42,58.51,1085071.0
2019-10-17,59.11,59.55,58.6,59.0,912014.0
2019-10-18,59.07,59.75,58.69,59.53,1446701.0
2019-10-21,60.43,61.18,60.35,60.88,1133076.0
