date,Open,High,Low,Close,Volume
2019-08-20,95.82,99.12,95.38,97.87,9301559.0
2019-08-21,110.02,110.24,107.11,108.0,19756401.0
2019-08-22,108.38,108.61,106.93,108.16,7264735.0
2019-08-23,107.09,107.84,105.76,106.39,5520765.0
2019-08-26,107.6,107.6,105.55,106.4,4720441.0
2019-08-27,107.08,107.53,105.98,106.04,3722670.0
2019-08-28,105.6,108.58,105.32,108.18,4184667.0
2019-08-29,109.37,112.86,109.06,112.59,5997472.0
2019-08-30,113.24,113.24,111.84,112.2,4608660.0
2019-09-03,111.37,112.52,110.65,111.18,3893504.0
2019-09-04,111.57,112.04,109.5,111.92,4114007.0
2019-09-05,113.19,115.25,113.02,114.21,3662507.0
2019-09-06,114.73,115.4,114.09,114.71,3462612.0
2019-09-09,114.89,115.4,114.04,114.79,3778098.0
2019-09-10,114.47,115.96,112.95,115.28,4771566.0
2019-09-11,115.45,115.67,113.15,113.49,4069563.0
2019-09-12,114.08,115.14,113.86,113.88,3471315.0
2019-09-13,114.47,115.15,113.15,113.36,3476547.0
2019-09-16,112.65,113.89,112.14,112.63,2426270.0
2019-09-17,111.72,112.88,110.88,112.73,2833120.0
2019-09-18,112.48,113.14,111.56,112.6,2358026.0
2019-09-19,112.64,112.88,111.68,111.87,2424978.0
2019-09-20,112.93,113.19,110.95,110.96,6261447.0
2019-09-23,110.19,112.02,109.59,110.44,5643872.0
2019-09-24,111.26,112.22,109.75,110.02,3947555.0
2019-09-25,110.21,111.25,109.96,110.75,2915147.0
2019-09-26,111.08,111.42,109.39,110.72,3993037.0
2019-09-27,111.48,111.84,108.81,109.54,3939578.0
2019-09-30,109.83,110.3,108.96,109.96,4025865.0
2019-10-01,110.09,111.93,108.85,109.52,3968548.0
2019-10-02,109.31,109.31,105.92,106.35,5054882.0
2019-10-03,106.28,106.7,104.59,106.37,5009225.0
2019-10-04,106.92,107.79,106.29,107.42,4323319.0
2019-10-07,107.63,108.96,107.2,108.23,3690282.0
2019-10-08,106.89,108.23,106.48,106.5,3384942.0
2019-10-09,107.19,107.66,105.64,106.3,3227751.0
2019-10-10,106.46,108.5,106.45,108.19,3300510.0
2019-10-11,109.89,111.65,109.4,110.81,4511747.0
2019-10-14,110.45,111.24,110.26,110.67,2142367.0
2019-10-15,111.61,113.0,111.2,112.42,3346052.0
2019-10-16,112.21,112.78,111.72,112.33,2915472.0
2019-10-17,112.86,113.42,111.96,112.6,2711491.0
2019-10-18,112.16,113.12,112.05,112.84,3712311.0
2019-10-21,113.32,113.81,111.4,111.95,2907836.0
