date,Open,High,Low,Close,Volume
2019-08-20,208.21,208.73,205.33,206.76,854912.0
2019-08-21,209.11,209.58,206.92,207.99,928281.0
2019-08-22,208.18,211.52,206.06,210.46,990650.0
2019-08-23,207.65,209.5,199.75,200.39,2031503.0
2019-08-26,204.32,205.53,200.04,201.34,1250233.0
2019-08-27,203.43,203.43,198.14,199.77,1291741.0
2019-08-28,199.66,203.81,197.16,203.28,1192471.0
2019-08-29,207.0,210.0,206.28,207.66,1817877.0
2019-08-30,211.38,213.05,209.34,210.51,1194334.0
2019-09-03,211.0,214.01,209.02,212.94,1852933.0
2019-09-04,215.28,222.22,215.23,221.6,2403659.0
2019-09-05,227.17,232.26,225.54,226.74,2837340.0
2019-09-06,227.11,229.94,225.1,227.92,1680713.0
2019-09-09,229.72,232.64,228.17,230.34,2194798.0
2019-09-10,229.65,232.0,226.49,231.94,1727696.0
2019-09-11,232.18,234.75,230.56,234.01,1828766.0
2019-09-12,235.0,236.34,231.69,234.87,1230823.0
2019-09-13,236.63,237.9,233.94,235.56,1598186.0
2019-09-16,232.79,237.08,230.62,234.94,1159619.0
2019-09-17,234.19,236.8,232.4,236.78,1437665.0
2019-09-18,235.01,238.69,234.32,237.64,1497360.0
2019-09-19,238.8,238.9,235.36,236.86,1273169.0
2019-09-20,237.21,239.4,233.31,235.31,3483699.0
2019-09-23,235.0,240.09,234.38,238.24,1261297.0
2019-09-24,239.2,240.0,234.32,235.86,1822257.0
2019-09-25,232.99,241.96,232.77,241.6,1744094.0
2019-09-26,241.85,244.98,241.1,242.83,1696481.0
2019-09-27,238.81,238.81,227.46,230.08,2941387.0
2019-09-30,229.73,233.31,227.29,231.11,1563702.0
2019-10-01,233.0,235.53,228.21,230.39,1507812.0
2019-10-02,227.18,229.58,225.95,228.0,1481907.0
2019-10-03,229.32,230.12,225.17,229.05,1414502.0
2019-10-04,230.17,233.41,229.43,233.27,1078066.0
2019-10-07,233.17,234.5,231.92,232.14,1186042.0
2019-10-08,229.87,231.25,225.0,227.7,1509846.0
2019-10-09,232.0,234.74,231.07,233.13,1597303.0
2019-10-10,232.59,237.41,232.17,234.62,1306482.0
2019-10-11,239.81,240.28,236.61,237.09,1208298.0
2019-10-14,236.42,238.3,235.64,236.28,782290.0
2019-10-15,237.76,243.58,236.8,242.05,1799280.0
2019-10-16,238.0,239.89,233.76,234.76,1999578.0
2019-10-17,238.89,240.29,235.28,236.1,1283522.0
2019-10-18,235.7,235.7,230.23,233.7,1479409.0
2019-10-21,236.98,239.87,235.25,238.46,1215245.0
2019-10-22,239.59,240.05,234.84,234.91,1053733.0
2019-10-23,232.57,235.48,231.15,233.18,2060282.0
2019-10-24,252.45,265.85,251.95,265.6,5736034.0
2019-10-25,265.0,270.63,263.01,270.05,2511291.0
2019-10-28,272.54,282.0,272.1,281.25,2520044.0
2019-10-29,280.47,282.88,275.57,276.49,2079740.0
2019-10-30,276.41,278.36,274.0,277.56,1172719.0
2019-10-31,276.79,277.54,267.23,271.04,2699293.0
2019-11-01,273.82,278.51,272.3,278.26,1545603.0
2019-11-04,280.0,281.72,274.41,278.1,1293182.0
2019-11-05,279.55,280.82,274.39,277.95,1483957.0
2019-11-06,276.46,276.72,270.25,275.51,1690745.0
2019-11-07,278.25,278.3,272.3,274.11,1106721.0
2019-11-08,271.3,273.25,269.1,272.68,1373088.0
2019-11-11,269.66,273.11,268.63,271.26,1179389.0
