date,Open,High,Low,Close,Volume
2019-08-20,74.49,74.52,72.45,72.7,2228400.0
2019-08-21,73.82,74.34,72.37,73.13,1627200.0
2019-08-22,73.93,74.19,72.0,72.14,2826100.0
2019-08-23,71.59,71.68,68.61,69.03,3608500.0
2019-08-26,70.32,70.32,69.06,69.55,2075900.0
2019-08-27,70.55,70.55,69.39,69.75,2059000.0
2019-08-28,69.69,72.31,69.35,72.02,2841100.0
2019-08-29,73.25,75.38,73.11,75.33,4303100.0
2019-08-30,76.12,77.99,76.06,77.38,5716200.0
2019-09-03,75.0,75.25,73.88,74.82,3975700.0
2019-09-04,76.02,76.34,75.03,75.82,1498800.0
2019-09-05,76.71,78.39,76.56,77.6,2863900.0
2019-09-06,77.75,78.72,76.29,78.05,2441500.0
2019-09-09,78.83,81.52,78.46,81.46,3406300.0
2019-09-10,81.59,85.1,81.15,85.08,4549000.0
2019-09-11,85.12,86.0,82.81,85.71,2686300.0
2019-09-12,83.55,84.74,82.55,83.78,2653700.0
2019-09-13,85.12,86.78,83.8,86.27,3686700.0
2019-09-16,89.41,90.53,87.12,89.67,4971100.0
2019-09-17,89.0,89.6,87.31,89.0,4635200.0
2019-09-18,88.4,88.42,87.08,88.37,2792600.0
2019-09-19,88.5,89.48,88.12,88.59,2165200.0
2019-09-20,89.0,89.27,88.11,88.29,6299700.0
2019-09-23,87.13,88.58,86.57,88.22,2433900.0
2019-09-24,88.08,88.24,85.33,86.29,2814700.0
2019-09-25,85.98,87.4,85.42,86.85,2498100.0
2019-09-26,86.76,87.77,86.13,87.5,1948900.0
2019-09-27,87.69,89.25,87.5,88.7,2824100.0
2019-09-30,88.67,89.98,88.25,89.47,2764700.0
2019-10-01,89.95,90.38,86.34,86.38,2424000.0
2019-10-02,84.89,85.29,83.34,84.41,2661400.0
2019-10-03,83.76,85.29,83.02,85.25,1420400.0
2019-10-04,85.47,86.15,84.54,85.18,1398200.0
2019-10-07,85.03,85.69,84.02,84.16,1402800.0
2019-10-08,83.07,83.17,81.45,81.63,2468000.0
2019-10-09,82.45,82.75,81.8,82.25,1741600.0
2019-10-10,82.94,84.44,82.84,83.92,1600400.0
2019-10-11,85.72,88.93,85.61,88.07,2331400.0
2019-10-14,86.77,88.33,86.03,87.37,1185300.0
2019-10-15,87.66,88.46,87.07,87.2,1814800.0
2019-10-16,87.45,88.44,86.37,86.45,2279200.0
2019-10-17,87.11,88.0,86.08,86.41,1873200.0
2019-10-18,86.06,87.01,85.83,86.11,2289900.0
2019-10-21,87.29,88.3,87.2,87.99,1561400.0
2019-10-22,87.95,88.24,85.86,87.97,2881500.0
2019-10-23,87.84,88.93,87.37,88.21,1782400.0
2019-10-24,89.01,90.07,87.36,88.36,1093900.0
2019-10-25,87.92,90.97,87.15,90.83,2160800.0
2019-10-28,91.56,92.03,90.07,91.34,1840700.0
2019-10-29,90.63,92.19,90.0,91.64,1812200.0
2019-10-30,91.19,91.95,90.08,91.68,1745000.0
2019-10-31,91.05,91.68,89.56,89.7,2744500.0
2019-11-01,92.28,94.57,89.56,93.6,2752800.0
2019-11-04,94.32,97.04,94.28,96.72,3041900.0
2019-11-05,97.3,98.91,96.82,97.37,2974600.0
2019-11-06,97.34,97.51,96.38,97.06,1536400.0
2019-11-07,97.64,98.0,96.5,97.49,2218800.0
2019-11-08,97.45,97.59,96.51,97.39,1251000.0
2019-11-11,95.93,97.55,95.23,97.19,996000.0
2019-11-12,97.18,97.72,96.12,96.58,1315100.0
2019-11-13,95.43,96.04,94.8,95.26,1257600.0
2019-11-14,94.88,96.76,94.71,95.88,1292300.0
2019-11-15,96.68,96.78,95.57,96.0,1019700.0
2019-11-18,95.48,95.89,94.07,94.92,1466600.0
2019-11-19,95.05,95.16,92.75,93.06,1830400.0
2019-11-20,92.79,93.24,91.5,92.23,1382600.0
2019-11-21,92.36,93.39,91.46,93.34,1694200.0
2019-11-22,93.54,94.85,93.24,93.34,1270200.0
2019-11-25,94.04,94.78,93.11,94.75,1634300.0
2019-11-26,94.8,94.95,93.59,93.66,2223500.0
2019-11-27,93.64,94.61,92.88,94.55,1360800.0
2019-11-29,93.2,93.46,92.4,92.54,698600.0
2019-12-02,92.93,94.18,92.42,92.65,1496700.0
2019-12-03,90.31,92.1,89.59,91.76,2703400.0
2019-12-04,92.65,93.74,91.46,91.48,1699300.0
2019-12-05,92.07,92.19,90.98,91.78,1793700.0
2019-12-06,92.65,93.54,92.48,92.9,2266400.0
2019-12-09,93.13,93.22,91.88,92.02,1209500.0
2019-12-10,91.47,91.85,90.19,90.58,2434100.0
2019-12-11,90.89,91.64,90.62,91.18,1285400.0
2019-12-12,90.74,94.15,90.57,93.97,2239400.0
2019-12-13,94.24,94.81,92.6,92.62,1395800.0
2019-12-16,93.75,94.53,93.52,93.65,2008800.0
2019-12-17,93.71,94.99,93.66,94.87,2256300.0
2019-12-18,94.52,95.3,93.58,95.17,2697500.0
2019-12-19,95.51,95.73,94.7,95.33,1517900.0
2019-12-20,95.82,95.82,93.54,93.94,3439200.0
2019-12-23,93.64,94.66,93.52,94.51,1338200.0
2019-12-24,94.75,95.0,94.22,94.59,492800.0
2019-12-26,94.13,94.57,93.96,94.57,597200.0
2019-12-27,94.93,95.14,93.67,93.84,1234700.0
2019-12-30,94.03,94.46,93.87,94.09,899800.0
2019-12-31,93.54,94.59,93.54,94.48,1204200.0
2020-01-02,95.28,95.47,93.45,93.86,2321400.0
2020-01-03,92.88,93.35,91.54,91.55,2713200.0
2020-01-06,91.34,92.58,91.09,91.31,2710700.0
2020-01-07,90.65,92.23,90.09,90.92,3039300.0
2020-01-08,90.48,91.15,89.29,90.54,1829900.0
2020-01-09,90.66,91.24,89.81,90.57,1724200.0
2020-01-10,90.57,90.96,89.2,89.43,1755400.0
2020-01-13,89.4,91.2,89.1,91.2,1680900.0
2020-01-14,90.86,92.78,90.86,91.93,2297300.0
2020-01-15,91.37,92.15,90.75,91.19,1639400.0
2020-01-16,91.69,91.98,91.2,91.51,1451500.0
2020-01-17,91.5,92.04,90.71,92.0,2534700.0
2020-01-21,91.4,91.4,88.41,89.39,2005400.0
2020-01-22,89.16,89.16,86.28,86.64,3321400.0
2020-01-23,85.9,86.51,83.97,86.24,3276800.0
2020-01-24,85.96,86.13,84.39,84.95,2668800.0
2020-01-27,82.89,82.89,81.52,82.11,3487900.0
2020-01-28,82.62,83.83,82.52,82.93,2884900.0
2020-01-29,83.8,85.09,83.76,83.85,2126900.0
2020-01-30,82.8,83.63,81.56,83.45,2807405.0
2020-01-31,80.22,80.6,77.29,77.86,7267800.0
2020-02-03,78.36,79.74,77.5,78.82,2464200.0
2020-02-04,80.64,83.31,80.01,81.72,2968400.0
2020-02-05,83.0,84.18,82.6,84.08,2792981.0
2020-02-06,84.38,84.43,82.1,83.38,1740200.0
2020-02-07,82.55,82.61,81.23,82.1,1324100.0
2020-02-10,81.69,82.79,81.16,81.93,2455500.0
2020-02-11,82.77,84.8,82.63,83.97,1577200.0
2020-02-12,85.17,86.67,84.55,85.61,2084500.0
2020-02-13,84.8,85.36,83.38,83.49,1517700.0
2020-02-14,83.65,83.79,81.88,82.6,1895700.0
2020-02-18,82.04,82.7,80.39,81.32,1158500.0
2020-02-19,81.58,82.23,81.48,81.95,1290300.0
2020-02-20,81.78,83.83,81.56,83.35,1635100.0
2020-02-21,82.72,83.42,82.32,82.91,1580300.0
2020-02-24,79.67,80.3,78.9,79.65,2689800.0
2020-02-25,80.06,80.41,74.81,75.41,2406300.0
2020-02-26,76.39,76.94,74.04,74.39,2996800.0
2020-02-27,72.55,74.54,70.85,70.9,3367700.0
2020-02-28,69.17,71.9,68.5,71.46,4156300.0
