date,Open,High,Low,Close,Volume
2019-08-20,71.17,71.84,70.62,71.45,509996.0
2019-08-21,72.15,72.15,71.49,71.84,604458.0
2019-08-22,71.9,72.25,71.01,71.45,631473.0
2019-08-23,71.1,72.12,70.48,70.72,653860.0
2019-08-26,71.53,71.93,70.79,71.7,480529.0
2019-08-27,72.15,72.295,70.24,70.31,801247.0
2019-08-28,69.93,70.06,68.27,69.2,927944.0
2019-08-29,69.5,70.18,68.73,68.86,861463.0
2019-08-30,69.22,69.67,68.42,69.51,826051.0
2019-09-03,69.16,69.47,68.28,68.46,793695.0
2019-09-04,69.09,70.5,68.01,70.5,1187885.0
2019-09-05,71.0,71.38,70.26,70.98,991380.0
2019-09-06,71.24,71.66,70.8,71.37,660903.0
2019-09-09,71.76,71.85,69.24,69.33,855755.0
2019-09-10,68.65,68.69,66.56,68.65,1935851.0
2019-09-11,68.6,70.41,68.03,70.27,1624303.0
2019-09-12,70.68,72.34,70.6,70.63,1041744.0
2019-09-13,70.54,71.46,70.13,70.29,566934.0
2019-09-16,69.79,70.26,68.51,69.23,912089.0
2019-09-17,68.89,70.66,68.38,69.91,1631242.0
2019-09-18,69.74,69.74,66.67,68.06,2162034.0
2019-09-19,68.06,68.89,67.24,67.69,2054789.0
2019-09-20,68.0,68.07,67.09,67.39,2453468.0
2019-09-23,67.39,68.51,67.37,68.2,1403652.0
2019-09-24,68.5,68.86,66.42,66.7,1273567.0
2019-09-25,66.79,67.65,66.53,67.48,1940575.0
2019-09-26,67.62,67.96,66.24,67.31,1024831.0
2019-09-27,67.38,67.56,65.32,66.34,2202213.0
2019-09-30,66.6,66.93,65.58,66.34,1066480.0
2019-10-01,66.79,67.0999,65.9,66.24,946510.0
2019-10-02,66.47,67.01,64.94,66.94,1217991.0
2019-10-03,67.02,68.47,66.24,68.4,1088547.0
2019-10-04,68.99,69.62,68.5,69.49,908859.0
2019-10-07,69.33,70.04,69.3,69.47,925545.0
2019-10-08,68.95,68.98,67.52,67.57,766298.0
2019-10-09,68.05,68.44,67.4,68.2,471290.0
2019-10-10,68.04,68.53,67.525,67.61,730928.0
2019-10-11,68.48,68.86,68.07,68.14,590910.0
2019-10-14,68.12,68.15,67.095,67.75,665523.0
2019-10-15,67.97,68.2,67.72,67.93,579369.0
2019-10-16,67.58,67.95,66.92,67.73,973802.0
2019-10-17,68.0,68.71,67.475,68.5,690465.0
2019-10-18,68.31,68.31,65.56,67.01,1169587.0
2019-10-21,67.43,67.92,67.19,67.71,742019.0
2019-10-22,67.86,68.0,67.12,67.28,717881.0
2019-10-23,67.35,67.75,66.69,67.18,589831.0
2019-10-24,67.25,67.9,66.52,67.85,930297.0
2019-10-25,67.99,69.4,67.99,69.06,765872.0
2019-10-28,69.34,70.5,69.34,70.0,1186070.0
2019-10-29,69.92,70.56,69.61,70.0,683279.0
2019-10-30,70.01,71.3,69.75,71.23,988227.0
2019-10-31,71.07,71.16,69.27,70.5,1567919.0
2019-11-01,68.0,68.11,64.78,66.02,5324133.0
2019-11-04,66.16,66.34,62.02,62.17,3026800.0
2019-11-05,62.29,62.9,61.79,61.95,2012990.0
2019-11-06,61.75,61.94,61.01,61.37,2190617.0
2019-11-07,61.79,63.17,61.35,62.67,1328096.0
2019-11-08,63.1,63.62,62.42,63.16,1656066.0
2019-11-11,63.33,64.975,63.16,64.47,1300771.0
2019-11-12,64.79,65.2199,64.41,64.74,1652615.0
2019-11-13,64.63,65.2,64.07,64.61,1030746.0
2019-11-14,64.45,65.23,63.82,64.97,1025612.0
2019-11-15,65.4,65.45,64.61,65.4,882654.0
2019-11-18,65.4,67.23,65.39,66.88,1145149.0
2019-11-19,67.12,68.62,66.845,68.22,1555454.0
2019-11-20,67.72,68.86,67.19,67.71,1013366.0
2019-11-21,67.67,67.94,66.16,66.16,1322473.0
2019-11-22,65.29,67.97,65.29,67.59,1586332.0
2019-11-25,67.98,69.4,67.965,69.03,1750221.0
2019-11-26,69.08,70.35,68.8,69.65,1307366.0
2019-11-27,69.8,70.65,69.68,70.47,869969.0
2019-11-29,70.25,71.0,69.74,69.81,512669.0
2019-12-02,69.75,69.75,68.23,69.01,849684.0
2019-12-03,68.23,69.39,67.82,69.16,1457090.0
2019-12-04,68.92,69.95,68.92,69.48,1090406.0
2019-12-05,69.82,70.31,69.56,70.13,715332.0
2019-12-06,70.64,70.82,70.3,70.48,729683.0
2019-12-09,70.34,70.535,68.83,69.05,650023.0
2019-12-10,68.92,69.8,68.81,69.6,717811.0
2019-12-11,69.58,69.58,68.84,69.44,710388.0
2019-12-12,69.25,70.05,68.64,69.43,570951.0
2019-12-13,69.23,74.02,63.74,64.34,4324088.0
2019-12-16,64.68,65.47,63.23,63.56,5895432.0
2019-12-17,64.06,65.0,62.91,62.91,4795635.0
2019-12-18,63.03,64.53,63.03,63.95,2972998.0
2019-12-19,64.0,70.65,63.42,69.83,6889269.0
2019-12-20,70.54,71.84,69.98,71.55,27079756.0
2019-12-23,71.91,72.39,70.24,70.44,3092322.0
2019-12-24,70.23,70.76,70.12,70.61,783765.0
2019-12-26,70.94,71.56,70.148,71.54,1147746.0
2019-12-27,71.78,71.92,71.23,71.65,1229853.0
2019-12-30,71.51,71.915,70.78,71.21,1540264.0
2019-12-31,70.95,71.8,70.85,71.47,1056122.0
2020-01-02,72.0,72.46,71.13,71.89,1334830.0
2020-01-03,70.72,72.1,70.72,71.64,687076.0
2020-01-06,71.22,71.79,71.054,71.74,914780.0
2020-01-07,71.64,71.9,70.87,70.91,897987.0
2020-01-08,71.17,72.25,70.93,71.69,1391723.0
2020-01-09,72.21,72.45,71.73,71.98,1408400.0
2020-01-10,72.09,72.09,70.98,71.28,657620.0
2020-01-13,71.28,72.625,70.97,72.36,1798938.0
2020-01-14,72.17,72.885,71.6,72.54,1389762.0
2020-01-15,72.33,74.48,72.33,74.2,1931436.0
2020-01-16,74.21,74.69,73.64,74.66,1301510.0
2020-01-17,74.77,76.06,74.47,75.54,1231333.0
2020-01-21,75.2,75.38,74.0551,74.91,1367995.0
2020-01-22,74.97,75.84,74.53,74.65,1278174.0
2020-01-23,74.47,74.74,73.87,74.35,891948.0
2020-01-24,74.65,74.65,71.699,72.02,1319015.0
2020-01-27,70.6,71.555,70.07,70.9,1264292.0
2020-01-28,71.25,72.31,70.79,72.01,942333.0
2020-01-29,71.51,71.93,70.23,70.57,2025323.0
2020-01-30,70.71,70.75,69.18,70.65,1876240.0
2020-01-31,70.41,70.53,68.01,68.16,1814699.0
2020-02-03,68.6,69.58,68.29,68.6,1654914.0
