date,Open,High,Low,Close,Volume
2019-08-20,126.81,127.03,125.19,125.33,345789.0
2019-08-21,125.58,126.09,124.64,125.79,266957.0
2019-08-22,125.97,127.04,125.75,126.94,406514.0
2019-08-23,126.96,127.38,124.45,124.82,496925.0
2019-08-26,125.57,126.15,124.72,126.06,361112.0
2019-08-27,126.54,126.81,125.12,125.15,536121.0
2019-08-28,125.42,126.58,125.08,126.44,470065.0
2019-08-29,127.26,127.58,125.86,126.9,369263.0
2019-08-30,127.25,127.33,126.27,126.68,425740.0
2019-09-03,126.3,128.4,126.3,127.88,477082.0
2019-09-04,128.65,128.97,127.8,128.55,421368.0
2019-09-05,128.02,128.48,127.01,128.35,352811.0
2019-09-06,128.66,129.28,128.35,128.82,378757.0
2019-09-09,128.81,129.53,128.11,128.48,535038.0
2019-09-10,127.89,127.94,125.14,127.94,456474.0
2019-09-11,127.46,128.55,126.35,128.55,511579.0
2019-09-12,129.58,130.28,127.87,128.66,412824.0
2019-09-13,128.28,129.14,126.55,126.96,437120.0
2019-09-16,127.2,128.37,127.02,128.06,923003.0
2019-09-17,128.66,129.69,128.57,129.67,726900.0
2019-09-18,130.33,130.33,128.54,129.67,404169.0
2019-09-19,130.02,130.28,129.24,129.82,338291.0
2019-09-20,129.93,129.93,128.52,129.05,857958.0
2019-09-23,128.64,130.15,128.39,129.14,325913.0
2019-09-24,129.22,130.55,128.62,129.24,549719.0
2019-09-25,129.24,130.22,129.08,129.89,351511.0
2019-09-26,130.39,130.82,130.16,130.46,557885.0
2019-09-27,130.85,130.85,129.48,130.33,401444.0
2019-09-30,130.05,131.06,129.96,130.01,666124.0
2019-10-01,129.83,130.42,128.19,129.98,491014.0
2019-10-02,129.9,130.62,129.56,130.53,462931.0
2019-10-03,130.39,132.54,130.23,131.04,666887.0
2019-10-04,131.12,132.46,131.12,132.44,597746.0
2019-10-07,131.74,133.29,131.47,132.68,355601.0
2019-10-08,132.77,133.76,131.71,132.65,409666.0
2019-10-09,133.25,134.17,132.83,132.97,313515.0
2019-10-10,132.64,134.0,132.17,133.47,332902.0
2019-10-11,132.58,132.63,131.02,131.79,489478.0
2019-10-14,132.0,132.69,131.79,132.62,299957.0
2019-10-15,132.69,133.22,131.8,133.19,481014.0
2019-10-16,132.95,133.46,132.01,133.42,484793.0
2019-10-17,133.3,134.67,132.99,134.08,491994.0
2019-10-18,134.11,135.52,133.71,135.15,427242.0
2019-10-21,135.08,136.94,134.9,136.86,547177.0
2019-10-22,136.94,137.49,136.28,136.38,635420.0
2019-10-23,136.4,136.69,134.53,135.95,530054.0
2019-10-24,135.82,136.99,134.98,136.16,528587.0
2019-10-25,135.91,135.91,134.88,135.48,321260.0
2019-10-28,135.12,135.49,134.41,134.95,298192.0
2019-10-29,135.11,135.92,134.92,135.42,315374.0
2019-10-30,135.51,136.76,135.2,136.76,425776.0
2019-10-31,136.89,140.11,136.75,138.99,756007.0
2019-11-01,139.42,140.15,138.25,139.15,579121.0
2019-11-04,138.75,139.19,138.17,139.15,595923.0
2019-11-05,138.65,138.72,134.21,135.66,940055.0
2019-11-06,135.93,137.33,135.93,136.41,742157.0
2019-11-07,135.53,135.97,133.63,135.26,620399.0
2019-11-08,135.16,135.74,133.91,133.99,485729.0
2019-11-11,133.36,134.37,132.71,132.9,626499.0
2019-11-12,133.04,133.87,131.2,131.59,873590.0
2019-11-13,132.31,134.93,132.13,134.65,710191.0
2019-11-14,135.3,136.74,134.99,136.72,656108.0
2019-11-15,137.13,138.34,136.54,138.33,682746.0
2019-11-18,138.59,139.25,137.52,137.67,577711.0
2019-11-19,138.08,138.08,136.72,137.39,510892.0
2019-11-20,137.72,138.28,137.1,137.44,481409.0
2019-11-21,137.11,137.13,135.29,135.38,506974.0
2019-11-22,135.67,136.08,133.66,134.4,395872.0
2019-11-25,134.78,135.67,133.74,134.16,475497.0
2019-11-26,135.21,137.1,134.71,137.07,1302811.0
2019-11-27,137.07,137.24,136.16,137.11,506892.0
2019-11-29,137.16,137.76,135.97,136.11,239136.0
2019-12-02,135.97,136.2,133.61,133.66,445455.0
2019-12-03,133.7,134.9,133.65,134.12,492278.0
2019-12-04,133.86,135.82,133.51,134.75,638279.0
2019-12-05,134.32,135.0,133.87,135.0,486284.0
2019-12-06,135.06,135.9,134.74,134.79,488469.0
2019-12-09,135.0,135.28,133.34,135.0,461313.0
2019-12-10,134.83,135.22,132.59,133.43,727065.0
2019-12-11,134.4,134.81,130.92,131.64,640192.0
2019-12-12,131.36,132.05,129.49,130.78,825561.0
2019-12-13,131.02,131.99,128.86,130.5,896640.0
2019-12-16,130.5,130.79,128.81,130.54,627392.0
2019-12-17,130.47,130.95,127.76,128.08,915049.0
2019-12-18,128.51,129.38,127.86,128.87,910546.0
2019-12-19,128.93,129.71,128.58,129.32,819756.0
2019-12-20,129.66,130.57,129.23,130.06,1228834.0
2019-12-23,130.44,130.57,128.74,129.04,402987.0
2019-12-24,129.27,129.6,128.72,129.36,99780.0
2019-12-26,129.55,129.97,128.98,129.43,253240.0
2019-12-27,130.05,130.4,129.31,130.0,268139.0
2019-12-30,129.55,130.6,129.54,130.55,311103.0
2019-12-31,130.56,131.9,130.14,131.86,560976.0
2020-01-02,132.35,132.5,128.72,129.61,488115.0
2020-01-03,129.09,131.21,129.02,131.07,481288.0
2020-01-06,130.74,131.47,128.71,131.26,492748.0
2020-01-07,130.51,130.74,128.82,129.3,380758.0
2020-01-08,129.29,130.46,129.0,130.22,500559.0
2020-01-09,130.03,130.75,129.6,130.3,353098.0
2020-01-10,130.57,132.49,130.09,132.35,552879.0
2020-01-13,132.16,133.61,132.16,133.53,572086.0
2020-01-14,132.63,132.74,130.82,131.79,475539.0
2020-01-15,131.12,132.32,131.12,132.06,800913.0
2020-01-16,132.31,133.86,131.98,133.69,387028.0
2020-01-17,133.85,134.28,133.34,133.99,537001.0
2020-01-21,134.32,135.71,134.16,135.55,760507.0
2020-01-22,136.38,136.62,134.55,134.93,528841.0
2020-01-23,135.01,136.55,134.5,136.41,400740.0
2020-01-24,136.63,136.99,135.86,136.96,402189.0
2020-01-27,136.56,137.46,136.06,136.64,417589.0
2020-01-28,136.71,138.15,136.34,137.44,487371.0
2020-01-29,137.58,137.79,136.45,136.58,458149.0
2020-01-30,136.91,137.67,135.69,137.49,746146.0
2020-01-31,137.23,138.14,136.39,137.21,749798.0
2020-02-03,137.71,138.54,136.9,137.15,451692.0
2020-02-04,137.49,139.79,137.49,139.35,370395.0
2020-02-05,139.16,140.22,138.68,139.14,578121.0
2020-02-06,139.53,141.07,138.67,140.35,348049.0
2020-02-07,140.58,141.47,140.37,141.19,433377.0
2020-02-10,142.11,142.54,141.24,142.34,754436.0
2020-02-11,142.38,143.19,141.04,141.94,589903.0
2020-02-12,141.65,143.14,141.33,142.53,402697.0
2020-02-13,142.49,144.37,142.49,144.14,541861.0
2020-02-14,144.64,145.53,143.94,145.51,569981.0
2020-02-18,146.04,146.49,144.99,146.11,539435.0
2020-02-19,146.12,146.19,144.96,145.03,484177.0
2020-02-20,145.18,147.75,144.79,147.7,558550.0
2020-02-21,147.82,148.88,147.43,147.77,703105.0
2020-02-24,146.49,148.48,145.73,145.91,728161.0
2020-02-25,146.22,146.73,142.77,143.07,825004.0
2020-02-26,143.29,145.16,142.3,142.32,841757.0
2020-02-27,140.97,142.06,134.12,134.2,1072831.0
2020-02-28,131.51,132.08,125.7,129.26,1818268.0
2020-03-02,130.21,135.62,129.86,135.4,993365.0
2020-03-03,135.67,139.8,134.64,137.27,1181040.0
2020-03-04,139.67,145.13,139.49,145.0,1180101.0
2020-03-05,143.15,145.04,141.53,144.77,917888.0
2020-03-06,141.49,143.56,137.84,143.3,865273.0
2020-03-09,136.98,138.9,134.03,134.3,1198655.0
2020-03-10,137.21,140.13,133.42,140.07,1365701.0
2020-03-11,137.05,137.63,131.72,133.88,1012389.0
2020-03-12,126.48,130.0,117.45,117.61,1357232.0
2020-03-13,124.03,126.97,117.04,126.0,1146884.0
2020-03-16,113.54,116.27,104.89,104.95,1137859.0
2020-03-17,107.67,115.76,102.85,113.17,1349294.0
2020-03-18,105.82,110.64,96.69,100.1,1118423.0
2020-03-19,99.27,102.35,96.17,99.47,854951.0
2020-03-20,99.82,100.35,85.45,87.5,1731907.0
2020-03-23,87.25,87.41,82.0,84.67,1247324.0
2020-03-24,88.32,93.62,86.36,89.18,1483759.0
2020-03-25,88.6,105.2,88.6,97.84,1311892.0
2020-03-26,98.15,103.37,96.2,102.79,1149076.0
2020-03-27,101.76,111.96,100.49,107.6,1287339.0
2020-03-30,108.58,109.25,100.82,107.13,1139710.0
2020-03-31,105.82,107.82,99.37,103.03,2255821.0
2020-04-01,98.2,99.23,93.24,98.74,1274807.0
2020-04-02,96.75,99.77,92.12,94.25,1515094.0
2020-04-03,92.99,96.24,92.44,94.31,1079980.0
2020-04-06,99.4,106.08,99.15,105.28,1144059.0
2020-04-07,110.1,112.16,103.39,103.79,781560.0
2020-04-08,104.64,111.78,102.96,110.93,1048309.0
2020-04-09,112.35,119.49,112.35,116.65,1328665.0
2020-04-13,115.47,117.0,110.04,111.37,817790.0
2020-04-14,112.66,115.85,111.1,114.02,1283953.0
2020-04-15,109.4,111.19,108.0,109.98,871536.0
2020-04-16,110.41,110.75,107.55,108.31,594081.0
2020-04-17,111.06,114.43,110.34,113.5,642531.0
2020-04-20,111.68,112.75,108.46,108.49,593717.0
2020-04-21,105.87,108.91,105.14,107.54,888752.0
2020-04-22,109.16,110.74,107.4,108.31,665901.0
