date,Open,High,Low,Close,Volume
2019-08-20,89.62,89.9,88.49,88.89,2081100.0
2019-08-21,89.76,90.07,88.4,89.02,2058700.0
2019-08-22,88.6,89.96,88.02,89.58,1431000.0
2019-08-23,88.69,88.91,84.46,84.58,2643500.0
2019-08-26,86.25,86.41,84.06,84.73,3693100.0
2019-08-27,85.4,86.36,84.09,84.35,1846800.0
2019-08-28,83.97,85.18,83.16,84.88,1615100.0
2019-08-29,86.51,87.37,86.14,86.57,1347300.0
2019-08-30,87.34,87.55,86.17,86.33,1207900.0
2019-09-03,85.25,86.15,84.09,84.89,2112700.0
2019-09-04,86.39,86.93,82.59,86.52,7519600.0
2019-09-05,87.83,90.06,87.83,88.83,3807800.0
2019-09-06,89.16,90.93,88.68,90.52,3013800.0
2019-09-09,91.09,93.5,90.92,91.87,2806300.0
2019-09-10,91.22,92.62,90.8,92.57,1906800.0
2019-09-11,92.91,95.44,91.81,95.42,2751000.0
2019-09-12,96.43,96.74,94.45,95.47,2781700.0
2019-09-13,95.92,95.97,94.94,95.0,1535600.0
2019-09-16,93.81,95.0,93.22,94.45,1156600.0
2019-09-17,93.69,94.12,92.65,93.76,1279500.0
2019-09-18,93.73,93.98,92.2,93.57,1838800.0
2019-09-19,93.68,94.0,92.35,92.49,1300600.0
2019-09-20,92.44,93.25,90.32,90.45,2681300.0
2019-09-23,90.29,92.69,90.07,91.92,1528100.0
2019-09-24,92.28,92.59,89.94,90.64,1427300.0
2019-09-25,90.19,93.33,89.22,93.01,1737500.0
2019-09-26,93.13,93.13,91.36,92.37,2517700.0
2019-09-27,92.25,93.13,90.66,91.29,1506600.0
2019-09-30,91.52,93.35,91.3,92.91,1437600.0
2019-10-01,94.87,96.08,92.36,92.92,2681800.0
2019-10-02,91.9,92.16,90.22,90.54,1619600.0
2019-10-03,90.65,92.21,89.38,91.7,2302600.0
2019-10-04,92.52,93.79,92.0,93.74,1626400.0
2019-10-07,93.5,94.0,92.24,92.34,2232200.0
2019-10-08,91.19,91.39,89.09,89.29,2043400.0
2019-10-09,90.62,91.66,90.22,91.19,1473300.0
2019-10-10,91.54,93.17,91.17,92.41,1769200.0
2019-10-11,94.15,96.86,93.68,95.52,2883000.0
2019-10-14,94.98,95.79,94.32,95.68,1078000.0
2019-10-15,96.21,97.33,95.15,96.81,1613300.0
2019-10-16,96.6,97.36,95.93,96.08,1295200.0
2019-10-17,97.13,97.56,95.25,95.69,1064700.0
2019-10-18,95.57,95.67,93.28,95.01,1398400.0
2019-10-21,96.41,97.86,95.72,97.78,1465700.0
2019-10-22,97.33,97.83,96.26,96.37,1610000.0
2019-10-23,93.9,94.34,91.71,92.99,3296900.0
2019-10-24,92.62,94.78,92.62,94.17,1348900.0
2019-10-25,94.03,94.56,93.14,93.9,1644700.0
2019-10-28,95.65,96.29,95.2,95.59,1792800.0
2019-10-29,96.17,96.91,94.44,94.81,1544000.0
2019-10-30,97.31,97.47,94.99,95.4,1551100.0
2019-10-31,95.09,95.4,93.81,94.29,1306300.0
2019-11-01,95.58,97.41,95.44,96.99,1739300.0
2019-11-04,98.76,99.81,98.61,99.78,2790100.0
