date,Open,High,Low,Close,Volume
2019-08-20,146.0,147.95,144.48,144.78,2009500.0
2019-08-21,144.99,148.66,144.86,146.49,2168300.0
2019-08-22,147.77,150.2,147.38,147.76,1859900.0
2019-08-23,146.85,150.82,143.97,144.85,2141500.0
2019-08-26,146.14,147.7,145.62,147.08,1200600.0
2019-08-27,147.26,147.99,138.31,138.75,2663900.0
2019-08-28,138.1,139.0,136.94,138.1,1378600.0
2019-08-29,139.29,139.7,137.24,137.96,1561500.0
2019-08-30,138.67,138.99,136.63,138.27,1358500.0
2019-09-03,137.59,139.59,135.78,139.15,2228500.0
2019-09-04,140.61,141.66,139.03,140.54,799900.0
2019-09-05,142.22,143.22,141.22,141.37,1056900.0
2019-09-06,142.04,144.04,141.51,143.6,1213100.0
2019-09-09,143.79,145.21,142.26,143.79,1463700.0
2019-09-10,143.15,143.25,139.59,142.84,2081600.0
2019-09-11,143.86,149.2,141.76,148.53,2000600.0
2019-09-12,148.58,149.15,145.92,146.1,1100100.0
2019-09-13,146.21,147.59,142.75,143.53,1913500.0
2019-09-16,142.0,144.32,140.9,144.16,1101000.0
2019-09-17,144.66,145.68,143.68,143.75,825600.0
2019-09-18,143.57,144.04,142.4,143.72,992200.0
2019-09-19,144.63,147.28,144.29,145.7,896900.0
2019-09-20,147.07,148.64,146.23,146.82,2924700.0
2019-09-23,146.53,146.53,139.93,142.93,1502600.0
2019-09-24,143.6,144.97,140.19,140.31,1498700.0
2019-09-25,140.03,144.78,139.68,142.3,1696700.0
2019-09-26,142.88,143.13,137.72,139.17,1361900.0
2019-09-27,139.71,139.71,131.39,135.53,3544600.0
2019-09-30,135.0,137.99,134.97,136.66,1905900.0
2019-10-01,137.44,138.4,135.37,135.8,1342300.0
2019-10-02,134.63,135.61,130.54,131.09,2246200.0
2019-10-03,131.07,132.27,128.55,131.1,1522400.0
2019-10-04,130.36,131.4,128.26,130.68,1740800.0
2019-10-07,130.58,130.94,129.28,130.23,1957000.0
2019-10-08,129.57,131.47,128.97,130.27,1347700.0
2019-10-09,130.87,132.74,130.02,132.23,999200.0
2019-10-10,132.05,134.43,131.22,132.81,883600.0
2019-10-11,133.78,136.18,133.41,134.74,904600.0
2019-10-14,134.73,135.19,133.7,134.1,1164900.0
2019-10-15,135.91,138.63,135.15,138.17,1288400.0
2019-10-16,145.58,148.56,142.0,144.84,3978200.0
2019-10-17,145.18,151.06,145.07,150.51,2492100.0
