date,Open,High,Low,Close,Volume
2019-08-20,54.27,54.5,53.94,53.99,4034578.0
2019-08-21,54.43,54.43,54.01,54.3,3181093.0
2019-08-22,54.43,54.62,54.08,54.51,3945603.0
2019-08-23,54.44,54.82,53.33,53.63,5542632.0
2019-08-26,53.85,54.48,53.75,54.46,4575282.0
2019-08-27,54.5,54.77,54.33,54.42,4612238.0
2019-08-28,54.48,54.91,54.31,54.88,4970903.0
2019-08-29,55.0,55.39,54.51,55.28,4074484.0
2019-08-30,55.6,55.63,55.06,55.22,4465905.0
2019-09-03,54.91,55.71,54.8,55.64,3483197.0
2019-09-04,55.83,56.23,55.43,56.2,5318054.0
2019-09-05,56.4,56.59,56.06,56.14,5001354.0
2019-09-06,56.36,56.72,56.08,56.63,4940148.0
2019-09-09,56.71,56.71,56.21,56.48,5781665.0
2019-09-10,56.02,56.28,53.92,54.33,8968595.0
2019-09-11,54.31,54.77,54.04,54.51,5544944.0
2019-09-12,54.82,55.58,54.68,54.81,5549743.0
2019-09-13,54.46,54.76,53.79,54.08,6183357.0
2019-09-16,53.89,54.29,53.65,54.05,3531200.0
2019-09-17,53.64,55.16,53.57,54.7,6714835.0
2019-09-18,54.7,54.76,53.96,54.72,7981098.0
2019-09-19,54.87,55.55,54.6,55.04,5063976.0
2019-09-20,55.02,55.18,54.6,54.65,11536696.0
2019-09-23,54.56,55.09,54.36,54.61,4871507.0
2019-09-24,55.0,55.6,54.73,55.05,6349784.0
2019-09-25,55.1,55.41,54.92,55.19,4348118.0
2019-09-26,55.5,55.8,55.26,55.69,4302897.0
2019-09-27,55.45,55.62,55.03,55.39,6598448.0
2019-09-30,55.38,55.82,55.25,55.32,4473133.0
2019-10-01,55.33,55.58,54.61,54.64,5424849.0
2019-10-02,54.52,54.62,53.78,53.98,6710859.0
2019-10-03,54.23,54.81,53.68,54.52,5241892.0
2019-10-04,54.78,56.06,54.72,55.98,5955561.0
2019-10-07,55.68,55.81,54.98,55.07,6134487.0
2019-10-08,54.92,55.2,54.53,54.56,5224160.0
2019-10-09,55.04,55.13,54.42,54.95,3475051.0
2019-10-10,54.83,55.74,54.77,55.41,4424364.0
2019-10-11,55.67,55.69,54.8,54.82,4812569.0
2019-10-14,54.71,55.16,54.19,54.22,4584121.0
2019-10-15,54.42,54.59,54.01,54.04,3848066.0
2019-10-16,54.01,54.4,53.77,54.27,4980525.0
2019-10-17,54.78,54.86,54.44,54.63,4722215.0
2019-10-18,54.77,54.87,54.46,54.48,4721137.0
2019-10-21,54.79,54.82,53.52,53.57,5798550.0
2019-10-22,53.51,53.85,52.39,52.71,7944364.0
2019-10-23,52.57,52.95,52.5,52.65,6607171.0
2019-10-24,52.77,53.06,52.09,53.04,5617829.0
2019-10-25,53.09,53.12,52.35,52.77,5964295.0
2019-10-28,52.65,53.04,52.24,52.41,7755674.0
2019-10-29,52.56,53.13,52.28,52.83,8126687.0
2019-10-30,51.77,52.92,51.26,52.03,17324084.0
2019-10-31,52.24,52.86,51.99,52.45,5774650.0
2019-11-01,52.67,52.83,51.95,52.03,4841887.0
2019-11-04,52.09,52.22,51.5,51.74,6019171.0
2019-11-05,51.87,51.94,51.42,51.7,5747604.0
2019-11-06,51.89,52.55,51.77,52.22,5478372.0
2019-11-07,52.17,52.28,51.6,51.74,6795642.0
2019-11-08,51.82,51.96,51.51,51.73,3521328.0
2019-11-11,51.63,51.99,51.63,51.8,3506460.0
2019-11-12,52.05,52.16,51.84,52.07,3543996.0
