date,Open,High,Low,Close,Volume
2019-08-20,45.44,45.96,45.27,45.37,5538230.0
2019-08-21,45.84,45.95,45.58,45.76,4838163.0
2019-08-22,46.05,46.52,45.82,46.21,4840085.0
2019-08-23,45.75,46.21,44.3,44.59,8939274.0
2019-08-26,45.06,45.19,44.54,44.84,7061629.0
2019-08-27,45.12,45.24,43.78,43.86,7059433.0
2019-08-28,43.47,43.74,43.34,43.71,7344864.0
2019-08-29,44.31,44.41,44.09,44.13,4830303.0
2019-08-30,44.54,44.69,44.16,44.3,4224612.0
2019-09-03,43.86,44.0,43.37,43.93,5092917.0
2019-09-04,44.44,44.68,44.24,44.49,4998225.0
2019-09-05,45.29,46.3,45.25,45.95,6215457.0
2019-09-06,46.01,46.54,45.81,46.23,4137507.0
2019-09-09,46.64,46.64,45.69,46.4,9886556.0
2019-09-10,46.69,47.42,46.39,47.42,8077197.0
2019-09-11,47.5,47.99,46.71,47.97,6423165.0
2019-09-12,47.46,48.13,46.77,47.87,6014300.0
2019-09-13,48.4,48.87,48.06,48.37,7463897.0
2019-09-16,47.92,47.98,47.22,47.55,7593764.0
2019-09-17,47.07,47.49,46.92,47.43,6990130.0
2019-09-18,47.19,47.97,46.99,47.85,6546357.0
2019-09-19,47.77,48.42,47.62,47.86,4418734.0
2019-09-20,48.02,48.02,47.23,47.44,32039202.0
2019-09-23,46.92,47.92,46.91,47.73,7020056.0
2019-09-24,47.87,47.95,47.06,47.33,8474393.0
2019-09-25,47.33,47.71,47.21,47.37,4171118.0
2019-09-26,47.37,47.42,46.8,47.08,5320747.0
2019-09-27,47.58,47.67,47.12,47.36,4254981.0
2019-09-30,47.54,47.62,46.96,47.16,4618868.0
2019-10-01,47.57,47.66,46.02,46.03,4093490.0
2019-10-02,45.53,45.7,44.31,44.39,8144321.0
2019-10-03,44.23,44.6,43.67,44.56,6712654.0
2019-10-04,44.58,45.49,44.41,45.41,4321811.0
2019-10-07,45.41,45.41,44.94,44.95,3432666.0
2019-10-08,44.34,44.38,43.82,43.83,5651542.0
2019-10-09,44.19,44.61,44.07,44.37,4312014.0
2019-10-10,44.77,45.37,44.54,44.96,3936123.0
2019-10-11,45.92,46.61,45.73,45.84,5303740.0
2019-10-14,45.43,45.85,45.37,45.75,2142173.0
2019-10-15,45.97,46.59,45.83,46.19,3208891.0
2019-10-16,46.11,46.63,45.89,45.96,4348594.0
2019-10-17,46.32,46.46,45.73,45.9,4234678.0
2019-10-18,45.98,46.25,45.9,46.1,5058081.0
2019-10-21,46.55,46.76,46.4,46.54,4383626.0
2019-10-22,46.45,46.66,46.11,46.51,3450639.0
2019-10-23,46.44,46.61,46.23,46.55,3069625.0
2019-10-24,46.61,46.93,45.93,46.28,3248389.0
2019-10-25,46.02,46.51,46.02,46.32,2163230.0
2019-10-28,46.54,47.14,46.54,46.81,4108609.0
2019-10-29,46.62,47.05,46.44,46.68,3741970.0
2019-10-30,46.63,46.71,45.83,46.29,5267713.0
2019-10-31,45.99,46.95,45.33,46.79,7023124.0
2019-11-01,47.01,47.44,46.77,47.26,5733632.0
2019-11-04,47.21,47.71,47.18,47.59,6564314.0
2019-11-05,47.75,48.57,47.59,48.38,6156332.0
2019-11-06,48.36,48.72,48.04,48.6,5150310.0
2019-11-07,49.07,49.61,48.93,49.04,5999884.0
2019-11-08,49.1,49.34,48.49,49.32,6446189.0
2019-11-11,48.82,49.48,48.81,49.22,4313653.0
2019-11-12,49.31,49.87,49.18,49.58,4672456.0
2019-11-13,49.12,49.41,48.93,49.26,4065224.0
2019-11-14,49.15,49.47,48.96,49.3,3034809.0
2019-11-15,49.61,49.73,49.17,49.27,3298071.0
2019-11-18,49.07,49.19,48.77,49.12,3678961.0
2019-11-19,49.27,49.54,49.11,49.15,3944589.0
2019-11-20,48.94,49.01,48.34,48.94,4234677.0
2019-11-21,49.13,49.13,48.6,48.97,3585625.0
2019-11-22,49.06,49.67,48.93,49.6,5399578.0
2019-11-25,49.75,50.05,49.61,49.95,5059471.0
2019-11-26,49.81,49.93,49.44,49.77,4101741.0
2019-11-27,50.05,50.14,49.66,49.91,3919438.0
2019-11-29,49.74,49.99,49.62,49.91,1681176.0
2019-12-02,50.17,50.24,49.32,49.35,3524556.0
2019-12-03,48.8,48.86,47.99,48.35,6304115.0
2019-12-04,48.59,49.24,48.48,48.66,6124186.0
2019-12-05,48.93,49.09,48.61,48.93,3626587.0
2019-12-06,49.55,49.78,49.25,49.5,4009499.0
2019-12-09,49.23,49.68,49.21,49.57,3546431.0
2019-12-10,49.32,49.49,49.15,49.29,3942828.0
2019-12-11,49.38,49.55,48.9,49.09,5568053.0
2019-12-12,49.14,50.74,49.06,50.54,12137320.0
2019-12-13,50.68,50.96,49.98,50.38,5355481.0
2019-12-16,50.93,51.08,50.41,50.48,8987628.0
2019-12-17,50.48,51.21,50.34,51.17,6982643.0
2019-12-18,51.28,51.37,51.09,51.13,4309733.0
2019-12-19,51.14,51.15,50.63,50.8,6058448.0
2019-12-20,51.33,51.48,50.96,51.36,10589315.0
2019-12-23,51.49,51.6,50.68,50.99,4229292.0
2019-12-24,51.09,51.24,50.87,50.99,1913333.0
2019-12-26,51.06,51.4,51.01,51.24,2281338.0
2019-12-27,51.34,51.34,50.8,50.83,2578238.0
2019-12-30,51.14,51.14,50.65,50.7,3149960.0
2019-12-31,50.73,51.0,50.51,50.97,4721794.0
2020-01-02,51.28,51.69,51.06,51.62,4416788.0
2020-01-03,50.99,51.16,50.6,51.09,5162268.0
2020-01-06,50.63,51.03,50.32,50.95,3266007.0
2020-01-07,51.01,51.62,50.74,51.29,6578045.0
2020-01-08,51.47,52.57,51.44,51.83,9880467.0
2020-01-09,52.18,52.73,52.13,52.37,5793876.0
2020-01-10,52.4,52.6,52.15,52.47,5526944.0
2020-01-13,52.62,52.76,52.33,52.58,6924902.0
2020-01-14,52.4,52.57,52.02,52.19,6611162.0
2020-01-15,52.02,52.31,51.75,51.85,4542351.0
2020-01-16,52.23,52.41,51.91,52.2,5388954.0
2020-01-17,52.34,52.66,52.19,52.61,6083980.0
2020-01-21,52.19,52.34,51.69,51.76,4656468.0
2020-01-22,52.0,52.13,51.67,51.9,3530651.0
2020-01-23,51.67,51.96,51.01,51.8,4264479.0
2020-01-24,51.9,51.9,50.7,51.27,3943555.0
2020-01-27,50.09,50.41,49.92,50.09,6493993.0
2020-01-28,50.35,50.96,50.2,50.55,4090959.0
2020-01-29,50.78,51.02,50.46,50.49,3857454.0
2020-01-30,50.0,51.29,49.92,51.28,4584034.0
2020-01-31,50.63,50.66,49.49,49.71,9442975.0
2020-02-03,49.75,50.3,49.68,49.69,5276107.0
2020-02-04,50.53,50.77,50.18,50.2,4774491.0
2020-02-05,51.16,51.74,50.97,51.53,7645090.0
2020-02-06,51.83,52.09,51.25,51.87,6536169.0
2020-02-07,51.52,51.7,51.08,51.58,6698342.0
2020-02-10,51.4,51.92,51.4,51.88,4513786.0
2020-02-11,52.19,53.05,52.04,52.39,5972719.0
2020-02-12,52.71,53.28,52.45,52.47,4999155.0
2020-02-13,52.32,52.52,51.94,52.38,3762321.0
2020-02-14,52.44,52.47,51.87,52.28,3469702.0
2020-02-18,52.03,52.49,51.4,51.83,4554785.0
2020-02-19,52.01,52.16,51.71,51.79,5528685.0
2020-02-20,51.84,52.35,51.67,52.28,3686860.0
2020-02-21,51.98,52.06,50.96,51.23,5307986.0
2020-02-24,49.29,49.66,48.8,49.38,8697008.0
2020-02-25,49.45,49.51,47.28,47.58,10896681.0
2020-02-26,47.96,48.3,46.73,46.92,9898446.0
2020-02-27,45.78,45.95,43.8,43.89,13487078.0
2020-02-28,42.11,42.97,41.47,42.72,13640163.0
2020-03-02,42.93,44.58,42.71,44.56,13068165.0
2020-03-03,44.39,44.98,42.22,42.57,11119265.0
2020-03-04,43.4,43.98,42.42,43.83,7750335.0
2020-03-05,42.1,42.25,40.01,40.62,11269080.0
2020-03-06,38.78,40.28,38.33,39.18,10764530.0
2020-03-09,35.42,36.64,31.9,32.66,14628827.0
2020-03-10,34.51,35.03,32.52,35.02,12698417.0
2020-03-11,33.63,34.21,32.64,33.3,11010035.0
2020-03-12,30.12,30.99,28.12,28.3,13653769.0
2020-03-13,30.98,32.03,29.05,31.93,13500785.0
2020-03-16,26.87,28.81,26.0,26.8,8949921.0
2020-03-17,27.71,28.44,25.64,28.43,9725818.0
2020-03-18,25.96,28.27,25.58,28.18,12073692.0
2020-03-19,27.5,28.57,25.99,26.8,9082095.0
2020-03-20,27.45,27.45,24.16,24.38,16241306.0
2020-03-23,24.02,24.52,22.85,23.53,11712958.0
2020-03-24,24.99,27.93,24.53,27.61,12972028.0
2020-03-25,28.34,32.46,27.83,29.74,13538963.0
2020-03-26,30.14,32.74,29.58,32.53,11542840.0
2020-03-27,30.73,32.17,30.63,30.87,7336516.0
2020-03-30,30.72,32.3,30.25,32.03,6287261.0
2020-03-31,31.33,31.95,30.43,30.57,8939414.0
2020-04-01,28.46,29.02,27.64,27.9,5379333.0
2020-04-02,27.48,28.98,27.44,28.05,7139767.0
2020-04-03,27.79,28.28,26.82,27.72,4855267.0
2020-04-06,29.95,30.92,29.3,30.63,7687589.0
2020-04-07,32.85,33.64,31.47,31.58,7997917.0
2020-04-08,31.97,33.72,31.55,33.47,6563357.0
2020-04-09,34.41,36.36,34.41,35.46,10681776.0
2020-04-13,34.86,35.44,33.65,34.32,4460867.0
2020-04-14,35.14,35.35,33.68,34.43,6984190.0
2020-04-15,32.58,33.03,31.82,32.47,9861784.0
2020-04-16,32.22,32.47,30.76,30.95,7147151.0
2020-04-17,32.56,33.58,32.27,33.06,7119141.0
2020-04-20,31.81,33.03,31.57,32.55,5212403.0
2020-04-21,31.33,32.1,31.09,31.46,5456702.0
2020-04-22,32.37,32.66,31.52,31.76,6105938.0
2020-04-23,32.08,32.44,31.59,31.9,12189779.0
2020-04-24,32.25,33.56,32.15,33.3,8255932.0
2020-04-27,33.59,34.66,33.48,34.42,6213858.0
2020-04-28,35.99,36.4,35.01,35.18,7509377.0
2020-04-29,36.95,37.73,36.58,37.48,9826906.0
2020-04-30,36.4,37.2,35.94,36.08,6057355.0
2020-05-01,35.0,35.27,34.39,34.68,4534877.0
2020-05-04,34.0,34.31,33.29,34.18,5795111.0
2020-05-05,34.67,35.2,34.22,34.27,4012584.0
2020-05-06,34.77,34.99,32.78,32.97,6394761.0
2020-05-07,33.43,35.48,33.43,34.44,7470752.0
2020-05-08,35.24,35.33,33.83,35.22,8669272.0
2020-05-11,34.55,34.74,33.65,33.97,6864402.0
2020-05-12,34.33,34.7,32.31,32.37,7748653.0
2020-05-13,32.0,32.14,30.59,30.77,7858511.0
2020-05-14,30.06,31.86,29.18,31.83,5742087.0
2020-05-15,31.41,32.12,31.18,31.72,5460597.0
2020-05-18,33.3,33.7,32.75,33.42,7288341.0
2020-05-19,33.21,33.37,32.34,32.39,5149655.0
2020-05-20,33.0,33.71,32.91,33.16,5131230.0
2020-05-21,33.0,33.69,32.95,33.49,4054676.0
2020-05-22,33.54,33.6,32.72,33.34,3395262.0
2020-05-26,35.0,36.77,34.86,36.1,10388809.0
2020-05-27,38.0,38.45,36.63,36.93,7665468.0
2020-05-28,37.51,37.58,36.33,36.46,7253397.0
2020-05-29,35.82,36.37,35.35,36.01,9444946.0
2020-06-01,35.82,36.55,35.54,36.37,5134499.0
2020-06-02,36.79,36.94,36.07,36.39,6710118.0
2020-06-03,37.39,38.41,37.25,37.88,6419719.0
2020-06-04,37.53,39.36,37.15,39.34,5821191.0
2020-06-05,42.42,42.68,40.52,40.74,7917620.0
2020-06-08,41.67,43.02,41.61,43.0,7587001.0
2020-06-09,41.56,41.99,40.95,41.55,7861781.0
2020-06-10,41.25,41.31,39.48,39.5,7285964.0
2020-06-11,36.84,37.92,35.74,35.93,9547770.0
2020-06-12,37.55,37.8,36.34,37.45,7142064.0
2020-06-15,35.8,38.49,35.65,38.07,7492933.0
2020-06-16,40.24,40.24,37.96,38.69,7392024.0
2020-06-17,38.73,39.02,37.77,37.82,4980212.0
2020-06-18,37.44,38.54,37.11,38.11,4138344.0
2020-06-19,39.06,39.07,37.16,37.32,16568744.0
2020-06-22,36.96,37.19,36.45,36.93,6181686.0
2020-06-23,37.82,38.03,37.0,37.04,4041729.0
2020-06-24,36.45,36.53,35.18,35.53,5830840.0
2020-06-25,35.33,36.44,35.13,36.34,5867741.0
2020-06-26,35.79,35.87,34.82,35.07,6508506.0
2020-06-29,35.52,35.89,35.08,35.57,4404537.0
2020-06-30,35.35,36.75,35.24,36.52,4752131.0
2020-07-01,36.51,36.71,35.37,35.51,4774642.0
2020-07-02,36.5,37.2,35.59,35.65,5015286.0
2020-07-06,36.69,37.23,36.38,37.09,6119436.0
2020-07-07,36.59,36.88,35.92,36.02,5137028.0
2020-07-08,36.19,37.01,36.07,36.77,6549002.0
2020-07-09,36.74,36.75,35.15,35.39,6104892.0
2020-07-10,35.48,37.06,35.42,36.94,4602962.0
2020-07-13,37.5,37.95,37.1,37.41,6441173.0
2020-07-14,37.34,37.96,36.99,37.89,6833856.0
2020-07-15,38.72,38.84,38.09,38.64,6050342.0
2020-07-16,38.24,39.52,37.96,38.73,4496043.0
2020-07-17,38.73,38.86,38.15,38.47,3867646.0
2020-07-20,38.23,38.45,37.65,37.78,4298824.0
2020-07-21,38.02,38.99,38.01,38.32,4519017.0
2020-07-22,38.04,38.49,37.88,38.42,3703676.0
2020-07-23,38.21,38.845,38.145,38.56,4074455.0
2020-07-24,38.73,38.82,38.17,38.22,3324487.0
2020-07-27,38.02,38.08,37.42,37.8,4463741.0
2020-07-28,37.62,38.02,37.5,37.59,4732549.0
2020-07-29,37.61,38.73,37.42,38.68,6805709.0
2020-07-30,37.61,37.73,36.93,37.55,4636243.0
2020-07-31,37.53,37.89,37.175,37.85,5862086.0
2020-08-03,37.47,37.975,37.05,37.3,3982827.0
2020-08-04,37.2,37.31,36.82,36.9,4227351.0
2020-08-05,37.44,38.46,37.32,38.28,6111439.0
2020-08-06,37.49,38.46,36.93,36.98,7612084.0
2020-08-07,36.92,38.92,36.57,38.72,8486435.0
2020-08-10,38.89,39.97,38.89,39.78,7439828.0
2020-08-11,40.94,41.47,40.54,40.57,9162938.0
2020-08-12,41.48,41.48,39.53,40.04,5930572.0
2020-08-13,39.5,39.98,39.13,39.44,4630314.0
2020-08-14,39.11,39.79,38.98,39.61,6627657.0
2020-08-17,39.68,39.7,38.775,38.88,3669700.0
2020-08-18,38.89,39.19,38.18,38.31,4592730.0
2020-08-19,38.32,39.005,38.12,38.2,4789330.0
2020-08-20,37.81,38.1,37.51,37.62,3550927.0
