date,Open,High,Low,Close,Volume
2019-08-20,28.62,28.93,28.44,28.81,2320100.0
2019-08-21,29.2,29.25,28.48,28.51,2702500.0
2019-08-22,28.8,29.02,28.29,28.51,3774100.0
2019-08-23,28.5,28.64,27.62,27.78,4913400.0
2019-08-26,28.09,28.18,27.77,28.04,3111300.0
2019-08-27,28.45,28.51,27.83,27.89,3112000.0
2019-08-28,27.73,28.27,27.62,28.14,3048600.0
2019-08-29,28.43,28.64,28.12,28.15,3841300.0
2019-08-30,28.34,28.48,28.0,28.06,4770900.0
2019-09-03,27.7,27.75,26.79,27.09,7849800.0
2019-09-04,27.48,27.79,27.1,27.48,10889100.0
2019-09-05,27.77,28.36,27.64,27.98,9052900.0
2019-09-06,28.03,28.56,28.02,28.3,5756100.0
2019-09-09,28.46,28.82,28.37,28.4,6097800.0
2019-09-10,28.29,28.82,28.03,28.8,9692500.0
2019-09-11,29.12,29.21,28.57,28.75,5380700.0
2019-09-12,28.93,29.26,28.75,29.17,8420700.0
2019-09-13,29.32,29.53,29.03,29.07,4672800.0
2019-09-16,28.85,30.5,28.63,29.69,13569500.0
2019-09-17,29.54,29.74,29.25,29.6,5830500.0
2019-09-18,29.55,29.7,29.25,29.51,5854600.0
2019-09-19,29.55,29.73,28.99,29.06,3744800.0
2019-09-20,29.13,29.3,28.72,28.85,6673000.0
2019-09-23,28.63,28.95,28.51,28.62,3100700.0
2019-09-24,28.84,28.9,28.15,28.4,5109100.0
2019-09-25,28.35,28.44,28.03,28.27,2873200.0
2019-09-26,28.09,28.13,27.32,27.68,5208000.0
2019-09-27,27.87,28.11,27.17,27.27,4152400.0
2019-09-30,27.4,27.97,27.32,27.72,4607300.0
2019-10-01,27.89,28.29,27.42,27.68,4006900.0
2019-10-02,27.48,27.66,27.08,27.11,7143600.0
2019-10-03,27.1,27.34,26.5,27.25,5063200.0
2019-10-04,27.28,27.41,27.0,27.29,2740100.0
2019-10-07,27.15,27.48,26.87,27.25,4405300.0
2019-10-08,26.98,27.17,26.3,26.35,4946000.0
