date,Open,High,Low,Close,Volume
2019-08-20,368.51,376.54,365.12,375.33,239631.0
2019-08-21,376.83,389.51,374.77,389.23,350041.0
2019-08-22,388.2,394.92,386.38,392.61,246625.0
2019-08-23,392.56,397.5,386.44,388.62,301937.0
2019-08-26,389.03,397.09,389.0,395.11,225943.0
2019-08-27,397.61,406.45,397.51,405.68,352140.0
2019-08-28,406.18,408.37,401.0,404.46,284608.0
2019-08-29,408.17,408.17,384.59,392.25,495474.0
2019-08-30,395.8,399.16,392.14,397.62,272529.0
2019-09-03,398.89,407.93,398.21,402.11,288960.0
2019-09-04,404.47,408.98,401.15,408.61,214880.0
2019-09-05,411.47,415.0,408.0,411.96,256063.0
2019-09-06,413.82,421.45,409.95,419.4,278943.0
2019-09-09,419.29,419.69,368.48,369.69,783972.0
2019-09-10,367.9,367.9,337.6,342.06,1125434.0
2019-09-11,342.23,353.92,336.85,341.43,550146.0
2019-09-12,344.71,351.82,336.47,345.14,313701.0
2019-09-13,344.58,348.47,329.25,330.29,432028.0
2019-09-16,328.01,337.69,325.86,334.35,323309.0
2019-09-17,336.5,348.15,336.5,342.48,469715.0
2019-09-18,343.82,348.31,339.48,344.0,459989.0
2019-09-19,344.0,347.57,340.87,342.75,438264.0
2019-09-20,343.53,347.69,336.06,338.18,1141127.0
2019-09-23,340.56,341.23,333.71,335.55,726031.0
2019-09-24,336.94,339.41,332.66,336.1,701801.0
2019-09-25,336.19,338.17,327.52,333.51,320558.0
2019-09-26,333.89,336.81,330.33,332.0,271704.0
2019-09-27,334.25,337.01,321.37,324.71,303899.0
2019-09-30,326.42,329.66,323.87,327.5,440822.0
2019-10-01,325.57,327.77,319.23,325.01,447901.0
2019-10-02,319.73,325.86,317.94,318.73,282356.0
2019-10-03,321.28,337.76,319.76,336.86,438462.0
2019-10-04,336.1,347.88,336.1,346.95,305243.0
2019-10-07,346.85,349.66,341.62,347.79,233351.0
2019-10-08,346.48,349.06,340.72,346.67,202529.0
2019-10-09,347.36,356.06,347.36,355.27,236282.0
2019-10-10,354.06,360.43,353.04,359.09,264387.0
2019-10-11,361.41,363.37,347.94,348.19,386802.0
2019-10-14,349.82,352.91,347.91,349.43,216594.0
2019-10-15,352.48,354.22,346.0,349.32,289625.0
2019-10-16,344.68,346.75,337.39,340.42,443246.0
2019-10-17,344.08,350.44,341.26,349.7,440630.0
2019-10-18,350.77,355.56,349.2,352.88,366738.0
2019-10-21,352.84,353.95,345.74,353.4,199930.0
2019-10-22,354.37,364.53,340.09,340.65,275368.0
2019-10-23,344.06,356.19,337.52,342.18,312386.0
2019-10-24,342.55,350.94,340.21,349.46,246710.0
2019-10-25,350.88,351.44,340.08,344.07,216868.0
