date,Open,High,Low,Close,Volume
2019-08-20,255.42,256.31,252.23,252.71,819600.0
2019-08-21,255.0,256.48,251.45,253.25,715900.0
2019-08-22,253.01,255.86,251.61,255.11,302200.0
2019-08-23,254.59,258.37,251.32,252.33,544100.0
2019-08-26,253.0,253.61,248.66,250.76,366200.0
2019-08-27,252.85,254.24,249.91,250.21,439900.0
2019-08-28,250.63,254.45,248.58,252.17,506700.0
2019-08-29,254.08,256.39,252.51,253.26,605600.0
2019-08-30,254.41,254.53,251.82,253.77,444300.0
2019-09-03,252.87,261.51,249.79,261.04,887600.0
2019-09-04,263.04,264.39,260.48,260.7,554600.0
2019-09-05,262.47,263.06,254.61,255.72,617900.0
2019-09-06,255.14,259.48,254.89,258.03,263400.0
2019-09-09,257.42,257.55,252.46,253.1,533000.0
2019-09-10,252.13,257.24,247.28,256.82,489300.0
2019-09-11,256.59,258.46,254.28,258.46,423300.0
2019-09-12,259.56,264.66,259.21,261.27,480400.0
2019-09-13,262.09,264.35,260.64,264.04,327400.0
2019-09-16,263.14,263.32,260.23,263.19,368400.0
2019-09-17,263.17,269.26,261.61,267.27,512600.0
2019-09-18,266.47,268.34,263.71,268.24,541000.0
2019-09-19,268.74,271.5,266.9,268.69,401100.0
2019-09-20,269.32,269.69,263.64,266.41,800100.0
2019-09-23,266.32,269.98,265.91,266.85,341300.0
2019-09-24,267.25,270.37,267.25,268.18,353900.0
2019-09-25,267.43,270.86,266.01,270.61,403100.0
2019-09-26,270.42,274.78,268.98,273.59,404800.0
2019-09-27,274.1,274.69,268.37,270.72,345300.0
2019-09-30,271.26,275.99,271.26,274.1,399000.0
2019-10-01,274.41,275.91,267.79,268.04,622500.0
2019-10-02,266.17,266.32,259.09,261.02,890200.0
2019-10-03,260.51,261.53,256.52,259.79,612600.0
2019-10-04,261.09,264.0,259.32,261.93,636100.0
2019-10-07,261.6,264.1,259.24,262.11,732700.0
2019-10-08,260.43,267.25,258.96,262.95,608200.0
2019-10-09,265.31,267.69,264.04,266.1,448800.0
2019-10-10,266.12,269.87,265.04,267.87,376700.0
2019-10-11,269.23,270.31,264.93,265.43,491200.0
2019-10-14,265.5,267.23,265.16,265.72,399200.0
2019-10-15,268.98,270.11,264.81,265.83,475900.0
2019-10-16,266.32,267.81,265.06,266.65,452400.0
2019-10-17,268.0,270.83,266.98,267.02,316100.0
2019-10-18,265.95,266.58,263.18,265.78,480600.0
2019-10-21,267.09,271.31,266.89,268.61,424800.0
2019-10-22,268.2,272.39,267.27,267.71,425100.0
2019-10-23,268.61,269.84,262.17,264.06,559800.0
2019-10-24,265.56,266.22,264.23,264.9,572100.0
2019-10-25,264.45,272.09,263.51,268.33,605400.0
2019-10-28,269.62,271.0,267.69,269.05,698400.0
2019-10-29,274.01,275.44,263.58,268.16,1088200.0
2019-10-30,266.81,268.65,259.5,266.85,743500.0
2019-10-31,267.9,269.95,260.6,261.91,735600.0
2019-11-01,263.63,267.35,261.38,263.35,1010200.0
2019-11-04,264.58,266.59,259.66,260.86,1344900.0
2019-11-05,261.0,263.63,251.47,253.3,1541300.0
2019-11-06,250.76,257.18,247.25,256.6,720700.0
2019-11-07,256.71,258.09,254.23,257.55,614300.0
2019-11-08,258.33,258.98,255.44,256.9,605900.0
2019-11-11,255.56,257.26,254.62,256.02,503900.0
2019-11-12,256.35,258.32,254.66,255.24,458500.0
2019-11-13,254.72,257.94,252.55,257.39,594400.0
2019-11-14,257.59,262.38,256.75,261.44,464600.0
2019-11-15,262.57,263.7,260.05,260.43,420200.0
2019-11-18,259.85,263.42,259.85,260.7,459700.0
2019-11-19,261.43,262.01,257.46,261.66,428100.0
2019-11-20,260.97,266.24,260.97,263.08,496500.0
2019-11-21,263.1,264.25,259.74,260.48,525500.0
2019-11-22,259.81,262.4,258.79,259.33,423700.0
2019-11-25,259.71,262.43,258.64,261.75,740600.0
2019-11-26,262.89,269.15,261.62,269.06,1025700.0
2019-11-27,268.97,273.93,268.21,271.89,724200.0
2019-11-29,270.83,271.15,266.09,268.4,242600.0
2019-12-02,268.07,268.71,264.11,268.01,433100.0
2019-12-03,266.52,271.52,265.96,270.65,609400.0
2019-12-04,270.37,273.9,269.47,269.53,608000.0
2019-12-05,268.96,274.11,268.96,272.69,592500.0
2019-12-06,272.3,274.48,271.68,273.32,469600.0
2019-12-09,272.9,273.5,269.35,270.84,452800.0
2019-12-10,270.83,271.0,267.32,268.84,439400.0
2019-12-11,269.58,272.96,268.58,272.23,382900.0
2019-12-12,272.74,275.22,272.19,275.03,401000.0
2019-12-13,274.96,278.67,273.94,276.3,449400.0
2019-12-16,276.83,279.38,274.06,274.59,419000.0
2019-12-17,277.25,278.0,274.1,274.22,558200.0
2019-12-18,274.52,275.95,273.63,274.54,589500.0
2019-12-19,274.2,276.29,271.03,272.96,532700.0
2019-12-20,273.04,275.74,272.88,273.24,954100.0
2019-12-23,273.49,273.49,269.62,271.1,625200.0
2019-12-24,272.13,276.27,271.24,274.54,314000.0
2019-12-26,274.98,278.89,274.37,278.69,254100.0
2019-12-27,278.89,279.71,277.5,278.71,233000.0
2019-12-30,278.54,281.17,277.33,277.95,297800.0
2019-12-31,277.31,280.33,277.31,279.64,230500.0
2020-01-02,281.72,281.82,275.54,276.61,553500.0
2020-01-03,274.65,279.45,274.65,275.79,442400.0
2020-01-06,276.88,278.09,275.74,276.64,571500.0
2020-01-07,275.86,279.55,274.76,276.02,533700.0
2020-01-08,276.28,279.16,273.93,276.96,506500.0
2020-01-09,277.77,279.76,276.76,277.61,481600.0
2020-01-10,277.35,277.35,272.3,276.87,335600.0
2020-01-13,276.16,276.48,271.8,272.15,647900.0
2020-01-14,269.38,270.0,260.1,260.75,1076900.0
2020-01-15,260.73,262.78,258.77,262.19,703100.0
2020-01-16,262.46,264.05,261.29,263.01,728900.0
2020-01-17,263.17,266.95,262.7,266.74,541700.0
2020-01-21,265.74,269.03,265.35,267.76,590800.0
2020-01-22,268.04,268.48,264.91,265.23,400900.0
2020-01-23,263.88,267.96,262.42,267.87,385700.0
2020-01-24,267.48,267.61,262.27,263.89,305800.0
2020-01-27,261.5,265.07,259.3,259.54,545100.0
2020-01-28,260.75,266.02,258.69,265.55,434500.0
2020-01-29,265.93,268.2,260.55,260.65,504900.0
2020-01-30,259.23,266.88,259.23,266.7,737824.0
2020-01-31,265.47,265.69,259.94,263.8,387900.0
2020-02-03,265.72,274.61,264.5,272.37,607100.0
2020-02-04,274.41,274.5,266.42,272.43,482600.0
2020-02-05,274.55,278.3925,273.29,277.2,559640.0
2020-02-06,276.61,277.79,271.59,274.18,534000.0
2020-02-07,273.72,275.71,271.97,274.1,310900.0
2020-02-10,273.88,276.85,272.69,276.79,744000.0
2020-02-11,272.25,272.35,261.56,262.76,901400.0
2020-02-12,261.64,261.98,255.3,260.0,636500.0
2020-02-13,260.0,265.05,259.53,262.68,616100.0
2020-02-14,262.67,263.8,261.48,263.48,545000.0
2020-02-18,262.0,263.54,256.26,257.2,700400.0
2020-02-19,256.87,260.83,255.7,258.67,753600.0
2020-02-20,259.12,261.1,255.43,258.08,506300.0
2020-02-21,257.22,257.24,250.84,251.42,725200.0
2020-02-24,245.11,250.49,240.98,249.48,853400.0
2020-02-25,248.64,249.55,238.88,239.13,802200.0
2020-02-26,240.38,242.3,232.73,234.69,1021100.0
2020-02-27,231.9,238.43,229.96,230.98,819000.0
2020-02-28,225.76,229.47,223.31,227.53,1117700.0
2020-03-02,228.05,237.15,227.67,236.9,891300.0
2020-03-03,243.3,245.69,237.01,238.94,879900.0
2020-03-04,242.06,253.16,239.37,252.75,816100.0
2020-03-05,246.35,249.28,238.03,243.62,720600.0
