date,Open,High,Low,Close,Volume
2019-08-20,86.01,86.73,85.58,85.65,5893708.0
2019-08-21,86.29,87.25,86.13,86.91,6188981.0
2019-08-22,86.75,87.2,86.25,86.72,6287209.0
2019-08-23,86.22,86.94,84.48,84.94,10122859.0
2019-08-26,85.38,85.9,85.08,85.88,5765198.0
2019-08-27,86.42,86.92,85.45,85.52,6228176.0
2019-08-28,85.26,86.57,85.04,86.48,5876158.0
2019-08-29,87.07,87.35,86.18,86.72,6031551.0
2019-08-30,87.12,87.22,86.17,86.47,6483916.0
2019-09-03,86.24,87.01,86.04,86.65,6389092.0
2019-09-04,87.14,87.17,85.42,86.05,7507653.0
2019-09-05,86.64,86.66,85.5,86.1,7180258.0
2019-09-06,86.54,86.93,86.31,86.57,6723661.0
2019-09-09,86.5,86.52,82.92,83.47,11282045.0
2019-09-10,82.39,82.39,78.85,81.69,17252760.0
2019-09-11,81.86,83.11,81.62,82.92,10112715.0
2019-09-12,83.48,84.08,82.79,83.31,8031040.0
2019-09-13,82.97,83.57,82.12,82.61,7176955.0
2019-09-16,82.45,82.45,81.69,82.03,5907430.0
2019-09-17,82.13,83.5,82.13,82.51,7066522.0
2019-09-18,82.67,83.28,82.38,83.02,6656589.0
2019-09-19,83.02,84.3,82.88,83.97,6663697.0
2019-09-20,84.74,85.87,84.32,85.16,22709333.0
2019-09-23,84.91,85.22,84.34,84.36,9165778.0
2019-09-24,84.55,84.88,83.39,83.6,8987749.0
2019-09-25,83.47,84.03,82.95,83.1,7031062.0
2019-09-26,83.62,84.09,83.04,83.88,7761971.0
2019-09-27,83.88,83.99,82.58,82.91,7468615.0
2019-09-30,83.21,85.1,83.21,84.18,9546413.0
2019-10-01,84.18,84.6,83.54,83.61,6750477.0
2019-10-02,83.07,83.21,80.54,81.62,8552833.0
2019-10-03,81.93,82.88,81.63,82.74,5627836.0
2019-10-04,83.42,85.12,83.16,85.0,7241786.0
2019-10-07,85.03,85.11,83.95,84.39,4913529.0
2019-10-08,83.79,84.41,83.08,83.29,6163157.0
2019-10-09,84.17,84.49,83.53,84.18,4516026.0
2019-10-10,84.14,84.85,83.59,83.76,8426523.0
2019-10-11,84.3,85.44,84.26,84.34,5967461.0
2019-10-14,84.37,85.11,84.29,84.69,5545251.0
2019-10-15,84.9,85.1,84.59,85.04,4979184.0
2019-10-16,85.06,85.09,84.42,84.45,5461312.0
2019-10-17,84.42,84.65,83.74,83.8,6883286.0
2019-10-18,83.71,84.91,83.66,84.68,7522011.0
2019-10-21,84.97,85.06,84.08,84.52,5126836.0
2019-10-22,82.0,82.68,80.25,81.3,18220180.0
2019-10-23,81.29,82.87,81.16,82.87,8180852.0
2019-10-24,83.11,83.64,82.04,82.58,5008397.0
2019-10-25,82.27,82.85,82.03,82.26,7505630.0
2019-10-28,82.73,83.47,80.34,82.2,14838349.0
2019-10-29,84.05,85.77,82.7,85.1,16574721.0
2019-10-30,85.0,86.49,84.32,86.22,9566059.0
2019-10-31,86.1,86.99,85.51,86.66,11850574.0
2019-11-01,87.07,87.24,84.79,84.94,8855288.0
2019-11-04,85.59,85.7,83.88,83.9,8535374.0
2019-11-05,83.67,83.75,82.73,82.92,9480624.0
2019-11-06,83.56,83.96,83.13,83.25,9289021.0
