date,Open,High,Low,Close,Volume
2019-08-20,12.72,12.77,12.58,12.62,8523875.0
2019-08-21,12.81,12.88,12.39,12.42,11897622.0
2019-08-22,12.44,12.49,12.25,12.26,7948208.0
2019-08-23,12.04,12.25,11.71,11.75,14135819.0
2019-08-26,11.91,11.96,11.59,11.63,8680270.0
2019-08-27,11.73,11.76,11.39,11.53,8011910.0
2019-08-28,11.66,12.06,11.57,11.94,9073260.0
2019-08-29,12.06,12.36,12.05,12.2,10028733.0
2019-08-30,12.24,12.28,11.77,11.84,9587299.0
2019-09-03,11.5,11.79,11.39,11.77,10039612.0
2019-09-04,11.91,12.14,11.87,12.11,7212731.0
2019-09-05,12.24,12.69,12.22,12.54,11374808.0
2019-09-06,12.44,12.55,12.22,12.45,12409867.0
2019-09-09,12.64,12.94,12.56,12.9,12631665.0
2019-09-10,12.97,13.25,12.74,12.83,10453852.0
2019-09-11,12.96,13.32,12.8,13.01,11707548.0
2019-09-12,12.72,12.85,12.44,12.58,14044434.0
2019-09-13,12.76,12.93,12.51,12.7,7715677.0
2019-09-16,14.08,14.39,13.68,14.17,29410383.0
2019-09-17,14.1,14.1,13.01,13.07,20200569.0
2019-09-18,12.9,13.21,12.78,13.03,17022221.0
2019-09-19,13.17,13.3,12.95,13.04,12415888.0
2019-09-20,13.12,13.32,12.97,13.18,15787000.0
2019-09-23,13.0,13.18,12.93,13.1,9833613.0
2019-09-24,12.95,12.99,12.14,12.22,16155497.0
2019-09-25,11.96,12.37,11.94,12.32,13338707.0
2019-09-26,12.14,12.23,11.83,11.94,12845996.0
2019-09-27,11.76,12.31,11.75,12.2,14130590.0
2019-09-30,12.08,12.31,12.07,12.27,9184331.0
2019-10-01,12.37,12.5,11.79,11.79,12559599.0
2019-10-02,11.74,11.82,11.28,11.3,15462139.0
2019-10-03,11.16,11.71,11.07,11.66,12347337.0
2019-10-04,11.58,11.69,11.32,11.56,10752032.0
2019-10-07,11.56,11.65,11.33,11.41,13260486.0
2019-10-08,11.25,11.38,11.09,11.09,10460229.0
2019-10-09,11.27,11.37,11.06,11.19,10527996.0
2019-10-10,11.23,11.49,11.19,11.4,10753445.0
2019-10-11,11.54,11.85,11.53,11.74,10327237.0
2019-10-14,11.53,11.89,11.37,11.78,12673075.0
2019-10-15,11.68,12.01,11.61,11.84,11029102.0
2019-10-16,11.82,11.95,11.62,11.62,8062330.0
2019-10-17,11.67,11.69,11.36,11.55,9805243.0
2019-10-18,11.54,11.7,11.26,11.3,12563473.0
2019-10-21,11.27,11.55,11.23,11.53,7367315.0
2019-10-22,11.54,11.97,11.39,11.73,9288172.0
2019-10-23,11.71,12.2,11.54,12.01,9614541.0
2019-10-24,12.11,12.16,11.68,11.94,8256166.0
2019-10-25,11.91,12.03,11.72,11.98,10132235.0
2019-10-28,12.05,12.19,11.84,11.94,7464591.0
2019-10-29,11.79,12.17,11.59,12.01,8982747.0
2019-10-30,12.07,12.09,11.52,11.56,11170919.0
2019-10-31,11.52,11.61,11.23,11.53,11472001.0
2019-11-01,11.65,12.09,11.62,12.05,12586434.0
2019-11-04,12.32,12.59,12.29,12.52,13324056.0
2019-11-05,12.65,12.97,12.61,12.64,14018199.0
2019-11-06,12.56,12.7,12.12,12.18,18585681.0
2019-11-07,12.61,12.66,12.12,12.56,16014824.0
2019-11-08,12.33,12.55,11.99,12.53,15567260.0
2019-11-11,12.27,12.35,12.08,12.16,11866103.0
2019-11-12,12.2,12.37,11.91,12.01,12288731.0
2019-11-13,11.88,12.1,11.81,11.87,11761385.0
2019-11-14,11.92,12.15,11.83,11.89,9465225.0
2019-11-15,11.96,12.26,11.96,12.1,9164272.0
2019-11-18,11.95,11.98,11.62,11.78,9683094.0
2019-11-19,11.68,11.74,11.39,11.46,9683155.0
2019-11-20,11.48,11.95,11.39,11.69,13862476.0
2019-11-21,11.76,11.9,11.62,11.89,10943475.0
2019-11-22,11.93,12.22,11.88,12.2,15752068.0
2019-11-25,12.12,12.22,11.96,12.11,18262807.0
2019-11-26,12.12,12.12,11.8,11.83,18954145.0
2019-11-27,11.84,11.93,11.63,11.88,9950653.0
2019-11-29,11.68,11.76,11.51,11.65,7395405.0
2019-12-02,11.79,12.03,11.72,11.96,12633679.0
2019-12-03,11.74,11.87,11.58,11.76,10620869.0
2019-12-04,11.95,12.29,11.9,12.17,12498051.0
2019-12-05,12.25,12.33,11.96,12.04,10411742.0
2019-12-06,12.09,12.5,12.06,12.45,11114870.0
2019-12-09,12.34,12.69,12.29,12.59,9062781.0
2019-12-10,12.59,12.76,12.5,12.59,8362555.0
2019-12-11,12.55,12.7,12.55,12.61,7588939.0
2019-12-12,12.66,13.08,12.61,13.03,10807430.0
2019-12-13,13.14,13.23,12.71,12.72,9678586.0
2019-12-16,12.86,13.23,12.86,13.13,10286387.0
2019-12-17,13.08,13.43,13.05,13.37,11856434.0
2019-12-18,13.33,13.55,13.3,13.42,12425028.0
2019-12-19,13.37,13.47,13.15,13.18,11183059.0
2019-12-20,13.28,13.29,13.08,13.21,20634687.0
2019-12-23,13.19,13.6,13.18,13.56,10029093.0
2019-12-24,13.6,13.73,13.56,13.62,4065022.0
2019-12-26,13.78,13.89,13.66,13.69,7329094.0
2019-12-27,13.75,13.75,13.45,13.48,7386907.0
2019-12-30,13.52,13.61,13.39,13.42,6503845.0
2019-12-31,13.29,13.61,13.19,13.58,7024857.0
2020-01-02,13.69,13.75,13.55,13.68,10437734.0
2020-01-03,14.05,14.07,13.6,13.75,14858432.0
2020-01-06,13.84,14.01,13.74,13.96,12015890.0
2020-01-07,13.76,13.84,13.61,13.79,9555172.0
