date,Open,High,Low,Close,Volume
2019-08-20,40.04,40.29,39.83,39.9,11352657.0
2019-08-21,40.48,40.53,39.83,39.94,9878357.0
2019-08-22,40.36,40.42,39.92,40.27,8126381.0
2019-08-23,40.05,40.4,39.11,39.33,12310842.0
2019-08-26,39.84,40.27,39.7,40.16,10409414.0
2019-08-27,40.25,40.34,39.45,39.79,8745299.0
2019-08-28,39.4,40.7,39.35,40.38,9873226.0
2019-08-29,40.89,41.5,40.87,41.29,12191901.0
2019-08-30,41.68,41.87,41.3,41.49,7426465.0
2019-09-03,41.04,41.09,40.35,40.99,8674208.0
2019-09-04,41.44,41.69,41.3,41.53,6829910.0
2019-09-05,42.3,43.11,42.3,42.47,8101620.0
2019-09-06,42.47,42.55,42.01,42.18,7012727.0
2019-09-09,42.54,43.49,42.54,43.11,11860162.0
2019-09-10,43.28,43.81,43.06,43.58,12292735.0
2019-09-11,43.74,43.94,43.21,43.94,9874148.0
2019-09-12,43.51,44.44,43.38,44.32,13254284.0
2019-09-13,44.95,45.45,44.73,45.16,11364491.0
2019-09-16,44.49,45.05,44.35,44.75,6094128.0
2019-09-17,44.5,44.5,43.55,44.21,9843332.0
2019-09-18,43.91,44.49,43.65,44.36,8325476.0
2019-09-19,44.21,44.47,43.91,44.02,6479735.0
2019-09-20,44.22,44.6,43.63,43.67,22497323.0
2019-09-23,43.27,43.78,42.94,43.56,7357132.0
2019-09-24,43.77,43.77,42.37,42.54,11365878.0
2019-09-25,42.35,43.16,42.35,43.04,6941260.0
2019-09-26,42.96,43.01,42.58,42.62,5381131.0
2019-09-27,42.96,43.18,42.5,42.84,8005192.0
2019-09-30,43.07,43.2,42.58,42.67,6245121.0
2019-10-01,42.51,42.65,41.25,41.38,13583304.0
2019-10-02,41.04,41.09,40.09,40.23,12145026.0
2019-10-03,40.05,40.3,39.3,40.25,12221504.0
2019-10-04,40.34,40.82,40.18,40.78,6080780.0
2019-10-07,40.6,41.11,40.55,40.68,6388099.0
2019-10-08,40.05,40.2,39.69,39.82,8446318.0
2019-10-09,40.19,40.65,40.03,40.44,8973536.0
2019-10-10,40.86,41.41,40.75,41.05,8250800.0
2019-10-11,42.0,42.59,41.9,41.93,14989589.0
2019-10-14,41.77,42.31,41.68,42.25,6715631.0
2019-10-15,42.39,42.92,41.91,42.53,10292085.0
2019-10-16,42.59,43.15,42.45,42.79,10148014.0
2019-10-17,44.37,44.5,43.44,43.44,18018263.0
2019-10-18,43.53,43.86,43.23,43.66,10493932.0
2019-10-21,44.08,45.09,44.08,44.98,14384447.0
2019-10-22,44.85,45.62,44.57,45.38,12488101.0
2019-10-23,45.13,45.93,45.1,45.91,8440623.0
2019-10-24,46.0,46.13,45.51,45.76,7493630.0
2019-10-25,45.7,46.46,45.61,46.37,9575330.0
2019-10-28,46.49,47.16,46.47,46.84,10276039.0
2019-10-29,46.53,46.93,46.53,46.83,7772857.0
2019-10-30,46.26,46.29,45.83,46.26,7101420.0
2019-10-31,45.95,46.26,45.33,46.05,9414106.0
2019-11-01,46.52,47.4,46.46,47.33,9765859.0
2019-11-04,47.99,49.0,47.88,48.83,15960697.0
2019-11-05,48.97,49.89,48.68,48.75,13891332.0
2019-11-06,48.74,48.8,48.24,48.56,7872319.0
2019-11-07,49.12,49.58,48.57,48.66,14499850.0
2019-11-08,48.64,49.15,48.29,49.15,7966502.0
2019-11-11,48.86,49.39,48.71,49.09,7107518.0
2019-11-12,49.07,49.21,48.77,49.01,6400683.0
2019-11-13,48.52,48.58,48.19,48.39,7092379.0
2019-11-14,48.32,48.72,48.21,48.61,5836612.0
2019-11-15,48.87,49.16,48.72,48.99,6439007.0
2019-11-18,48.84,49.09,48.56,49.03,6446878.0
2019-11-19,49.22,49.6,49.21,49.33,6980097.0
2019-11-20,48.96,49.11,48.39,49.1,9138683.0
2019-11-21,49.25,49.34,48.73,48.84,8353283.0
2019-11-22,48.94,49.26,48.82,49.25,6607621.0
2019-11-25,49.35,49.98,49.32,49.96,8460952.0
2019-11-26,49.92,49.93,49.07,49.41,10366737.0
2019-11-27,49.63,49.87,49.5,49.78,8612269.0
2019-11-29,49.7,49.72,49.37,49.48,4138428.0
2019-12-02,49.58,49.96,49.06,49.08,8117065.0
2019-12-03,48.41,48.44,47.44,48.11,12608583.0
2019-12-04,48.36,49.09,48.17,48.84,8608358.0
2019-12-05,49.14,49.26,48.95,49.07,6680670.0
2019-12-06,49.84,50.24,49.73,49.8,9487295.0
2019-12-09,49.53,49.9,49.43,49.6,6381916.0
2019-12-10,49.53,49.93,49.27,49.67,10009581.0
2019-12-11,49.66,49.79,49.42,49.45,5586974.0
2019-12-12,49.65,50.87,49.47,50.69,11552585.0
2019-12-13,50.74,51.15,50.14,50.24,10191236.0
2019-12-16,50.77,51.12,50.6,50.72,11007502.0
2019-12-17,50.82,51.22,50.77,50.9,10445995.0
2019-12-18,51.0,51.12,50.64,50.66,9513030.0
2019-12-19,50.65,51.0,50.55,50.86,9222000.0
2019-12-20,51.44,51.44,50.66,50.69,18742929.0
2019-12-23,50.91,51.1,50.71,50.72,6547641.0
2019-12-24,50.83,50.93,50.57,50.69,2087767.0
2019-12-26,50.97,51.29,50.86,51.11,5517449.0
2019-12-27,51.33,51.33,50.93,51.09,4116909.0
2019-12-30,51.36,51.38,50.92,50.96,4532760.0
2019-12-31,50.96,51.13,50.74,51.12,5131585.0
2020-01-02,51.2,52.06,51.17,52.04,7808038.0
2020-01-03,51.22,51.45,50.83,51.2,6705977.0
2020-01-06,50.67,51.04,50.46,51.02,7476730.0
2020-01-07,51.04,51.19,50.71,50.92,4566963.0
2020-01-08,50.96,51.79,50.9,51.57,6184738.0
2020-01-09,52.17,52.25,51.82,52.06,7307975.0
2020-01-10,52.15,52.47,51.92,52.21,7686831.0
2020-01-13,52.21,52.78,52.07,52.78,8330237.0
2020-01-14,53.06,53.25,52.68,52.86,9601587.0
2020-01-15,52.48,52.94,52.11,52.94,11328518.0
2020-01-16,56.05,57.36,55.65,56.44,34582366.0
2020-01-17,56.26,57.57,56.18,57.51,15401447.0
2020-01-21,55.88,56.48,55.18,55.92,20831994.0
2020-01-22,56.18,56.51,55.85,55.86,10275930.0
2020-01-23,55.22,55.65,54.8,55.53,10064540.0
2020-01-24,55.53,55.61,54.1,54.55,9751973.0
2020-01-27,53.0,53.69,52.86,53.11,10648869.0
2020-01-28,53.8,54.44,53.38,54.02,9231724.0
2020-01-29,54.48,54.55,53.68,53.68,9025641.0
2020-01-30,52.61,53.86,52.4,53.82,8682279.0
2020-01-31,53.2,53.28,51.89,52.26,11285287.0
2020-02-03,52.64,53.59,52.58,52.6,8375131.0
2020-02-04,53.75,54.6,53.73,54.02,9373374.0
2020-02-05,54.86,55.15,54.38,54.99,8231751.0
2020-02-06,55.43,55.49,54.61,55.01,6974962.0
2020-02-07,54.61,55.11,54.42,55.03,7586746.0
2020-02-10,54.68,55.36,54.62,55.35,5115050.0
2020-02-11,55.74,56.25,55.69,55.78,7120808.0
2020-02-12,56.22,56.66,56.11,56.18,7129071.0
2020-02-13,55.8,55.99,55.5,55.93,5717414.0
2020-02-14,55.9,56.12,55.54,55.84,4578647.0
2020-02-18,55.8,55.96,54.94,55.52,6897794.0
2020-02-19,55.86,56.43,55.49,56.31,6072995.0
2020-02-20,54.0,55.51,53.59,53.75,58513536.0
2020-02-21,53.5,53.59,52.09,52.42,29536195.0
2020-02-24,50.31,50.49,49.21,49.68,28659699.0
2020-02-25,49.98,50.15,47.56,48.03,25560933.0
2020-02-26,48.22,48.55,46.89,47.24,22284955.0
2020-02-27,45.74,47.21,45.16,45.41,26813282.0
2020-02-28,43.87,45.55,43.69,45.03,36978769.0
2020-03-02,45.11,46.48,44.4,46.48,23227775.0
2020-03-03,46.37,46.92,43.86,44.4,30204309.0
2020-03-04,45.16,45.32,44.21,45.24,21933924.0
2020-03-05,43.51,43.94,42.14,42.59,23946760.0
2020-03-06,40.51,42.24,40.34,41.84,30889788.0
2020-03-09,36.85,39.02,36.85,37.5,28173289.0
2020-03-10,39.81,39.99,37.05,39.5,27106077.0
2020-03-11,38.23,38.86,36.44,36.87,27123146.0
2020-03-12,33.91,34.91,31.21,31.31,27958864.0
2020-03-13,34.27,37.52,33.07,37.5,33282658.0
2020-03-16,31.07,35.27,30.36,31.65,26782809.0
2020-03-17,32.37,35.12,30.11,33.79,27041806.0
2020-03-18,31.34,32.84,27.2,30.75,27590923.0
2020-03-19,30.35,32.9,28.74,30.92,23927475.0
2020-03-20,31.25,31.45,29.19,29.67,27466797.0
2020-03-23,29.15,29.79,27.76,27.81,26390280.0
2020-03-24,30.09,33.38,29.4,33.22,25897986.0
2020-03-25,33.9,35.48,32.25,33.99,27195549.0
2020-03-26,33.8,36.85,33.33,35.71,26422065.0
2020-03-27,33.64,34.73,33.12,34.01,33369873.0
2020-03-30,33.53,35.34,32.97,34.84,18046392.0
2020-03-31,34.53,35.29,33.72,34.0,17109949.0
2020-04-01,31.68,32.41,31.16,31.62,23748772.0
2020-04-02,31.34,34.0,31.25,33.9,21646444.0
2020-04-03,33.56,34.3,32.86,33.85,16923674.0
2020-04-06,35.93,37.5,35.75,37.01,18778808.0
2020-04-07,39.66,39.66,36.86,36.94,19532764.0
2020-04-08,37.71,39.78,37.45,39.37,15370043.0
2020-04-09,40.26,41.85,40.18,41.08,21902200.0
