date,Open,High,Low,Close,Volume
2019-08-20,229.08,232.97,227.52,231.5,511021.0
2019-08-21,232.71,236.22,231.91,235.03,410492.0
2019-08-22,235.64,237.36,233.84,236.0,582904.0
2019-08-23,235.22,237.7,231.95,233.0,910727.0
2019-08-26,235.09,236.39,229.18,231.64,432321.0
2019-08-27,232.15,232.81,228.85,231.23,494244.0
2019-08-28,230.5,232.2,228.08,231.73,285625.0
2019-08-29,234.64,236.23,232.33,235.61,347147.0
2019-08-30,237.32,237.77,232.24,234.63,331815.0
2019-09-03,233.0,235.05,230.88,233.49,408632.0
2019-09-04,233.36,235.52,227.36,230.2,608650.0
2019-09-05,232.76,236.08,230.69,235.43,385123.0
2019-09-06,236.33,242.14,236.33,241.27,561460.0
2019-09-09,243.4,244.71,235.1,237.51,760341.0
2019-09-10,236.31,236.31,225.84,228.43,983936.0
2019-09-11,226.82,227.88,221.73,226.71,907415.0
2019-09-12,229.31,235.45,229.31,232.39,848426.0
2019-09-13,232.99,233.44,225.72,229.64,550822.0
2019-09-16,227.47,230.27,227.23,230.0,574364.0
2019-09-17,230.46,240.67,230.34,240.15,825714.0
2019-09-18,240.0,240.0,230.73,233.75,603316.0
2019-09-19,233.77,236.97,232.37,235.39,393662.0
2019-09-20,236.07,237.08,225.66,225.73,884930.0
2019-09-23,225.67,226.93,224.06,225.96,467811.0
2019-09-24,227.77,230.22,224.6,225.61,483119.0
2019-09-25,225.67,227.83,222.57,227.06,341986.0
2019-09-26,226.12,226.99,222.81,223.55,386908.0
2019-09-27,226.72,228.12,213.07,215.89,784262.0
2019-09-30,215.9,219.98,214.22,217.75,617559.0
2019-10-01,217.82,220.63,216.15,216.23,474249.0
2019-10-02,214.33,214.81,211.25,212.7,608706.0
2019-10-03,212.56,218.68,210.34,217.84,684235.0
2019-10-04,218.95,221.5,217.54,221.01,355053.0
2019-10-07,219.68,222.46,219.53,220.79,307588.0
2019-10-08,218.54,219.05,213.01,214.51,400863.0
2019-10-09,217.97,221.23,217.28,219.47,269974.0
2019-10-10,218.74,223.95,217.58,222.65,415154.0
2019-10-11,228.66,228.66,225.0,225.33,368311.0
2019-10-14,225.29,227.71,224.57,225.11,262406.0
2019-10-15,226.5,229.16,225.72,227.08,286291.0
2019-10-16,226.94,227.69,221.39,225.98,334548.0
2019-10-17,226.69,229.29,226.07,229.03,251241.0
2019-10-18,228.07,228.11,222.77,224.4,279637.0
2019-10-21,225.8,226.38,222.5,226.15,304332.0
2019-10-22,226.15,226.89,215.49,216.38,507643.0
2019-10-23,216.16,218.73,214.12,218.33,895491.0
2019-10-24,219.18,224.11,218.86,222.58,330382.0
2019-10-25,221.86,224.25,221.28,222.2,232286.0
2019-10-28,224.4,226.46,222.72,225.03,346790.0
2019-10-29,224.47,230.56,224.47,228.07,481490.0
2019-10-30,227.0,229.14,223.82,229.14,492337.0
2019-10-31,233.92,237.35,231.33,234.56,764476.0
2019-11-01,236.83,246.0,236.83,245.91,533261.0
2019-11-04,247.88,249.25,243.58,245.79,455771.0
2019-11-05,245.8,246.73,236.39,238.47,588257.0
2019-11-06,239.31,241.37,238.52,241.28,356453.0
2019-11-07,242.58,247.69,242.12,246.68,505304.0
2019-11-08,246.53,247.15,243.85,245.0,369908.0
2019-11-11,242.68,246.93,240.06,245.0,212516.0
2019-11-12,245.0,247.85,244.29,246.18,429792.0
2019-11-13,245.31,250.45,245.13,249.21,290152.0
2019-11-14,247.47,250.07,244.84,250.0,527658.0
2019-11-15,250.01,251.01,247.35,250.0,562161.0
2019-11-18,249.4,253.0,248.98,252.59,482659.0
2019-11-19,254.07,258.37,253.96,257.5,615630.0
2019-11-20,257.07,261.36,253.79,256.37,1003536.0
2019-11-21,257.66,259.32,253.8,255.62,397980.0
2019-11-22,256.47,258.71,255.29,257.97,389243.0
2019-11-25,258.69,264.57,258.69,264.01,659345.0
2019-11-26,264.21,265.61,259.04,259.77,879092.0
2019-11-27,261.04,261.05,252.27,258.18,645616.0
2019-11-29,257.76,260.75,256.8,259.19,285814.0
2019-12-02,260.34,262.76,255.51,256.57,710835.0
2019-12-03,252.45,255.53,251.54,254.35,458597.0
2019-12-04,255.53,259.81,254.92,259.03,396208.0
2019-12-05,259.53,261.09,258.01,260.42,259948.0
2019-12-06,263.03,267.51,261.9,266.32,503121.0
2019-12-09,266.23,267.01,263.36,263.53,386328.0
2019-12-10,264.14,264.14,260.51,261.5,388480.0
2019-12-11,262.54,262.54,260.14,260.79,262796.0
2019-12-12,260.92,262.01,258.07,259.86,327268.0
2019-12-13,258.95,261.03,256.57,260.09,358724.0
2019-12-16,262.41,264.41,260.88,261.19,388745.0
2019-12-17,262.93,262.93,258.45,258.49,728405.0
2019-12-18,259.84,260.97,257.05,257.5,518250.0
2019-12-19,256.98,260.29,256.98,259.78,687083.0
