date,Open,High,Low,Close,Volume
2019-08-20,176.53,177.21,175.02,175.39,440252.0
2019-08-21,177.25,179.24,176.6,179.2,769344.0
2019-08-22,179.2,179.54,177.93,178.73,856315.0
2019-08-23,178.0,178.97,174.76,175.27,886610.0
2019-08-26,176.38,178.4,176.38,178.35,723477.0
2019-08-27,178.59,179.7,177.2,178.51,1096055.0
2019-08-28,177.75,178.31,176.28,178.24,654205.0
2019-08-29,179.79,181.83,179.52,181.16,560229.0
2019-08-30,182.23,182.28,180.03,180.91,692244.0
2019-09-03,180.01,180.66,178.15,178.6,848575.0
2019-09-04,179.73,180.06,178.09,178.92,722561.0
2019-09-05,176.49,176.73,172.15,173.57,3141480.0
2019-09-06,174.28,175.73,173.48,174.8,2589897.0
2019-09-09,175.15,175.31,171.32,171.67,1044661.0
2019-09-10,170.62,170.62,163.1,164.43,2085698.0
2019-09-11,164.42,166.32,164.26,165.31,1486288.0
2019-09-12,165.96,167.29,164.47,166.14,1948942.0
2019-09-13,165.94,168.35,165.55,167.04,1092938.0
2019-09-16,166.22,167.09,165.65,166.03,1167663.0
2019-09-17,166.56,169.19,166.47,168.84,1305096.0
2019-09-18,168.95,169.42,166.7,168.47,960514.0
2019-09-19,168.62,169.56,167.05,167.42,761015.0
2019-09-20,167.84,169.18,166.2,166.21,1401999.0
2019-09-23,166.26,169.43,166.26,168.47,1213241.0
2019-09-24,169.86,172.67,168.85,169.23,1223333.0
2019-09-25,169.03,172.02,168.01,171.62,730317.0
2019-09-26,171.5,172.75,170.96,172.37,767013.0
2019-09-27,172.72,172.72,169.53,170.19,619240.0
2019-09-30,170.14,171.29,169.72,170.41,937019.0
2019-10-01,170.43,170.83,165.23,165.44,1350576.0
2019-10-02,164.75,164.75,162.44,164.43,1665103.0
2019-10-03,163.76,165.02,162.27,164.68,1110821.0
2019-10-04,165.37,168.28,164.47,168.21,954457.0
2019-10-07,168.0,168.43,166.72,167.79,807033.0
2019-10-08,168.84,173.24,167.52,170.75,1890367.0
2019-10-09,171.48,172.45,170.21,171.1,963981.0
2019-10-10,170.39,170.75,168.73,170.01,709442.0
2019-10-11,172.05,172.39,167.53,167.53,1292076.0
2019-10-14,167.52,169.12,167.33,167.34,1064249.0
2019-10-15,167.64,170.61,167.54,169.71,679857.0
2019-10-16,170.49,172.8,169.05,172.76,1159153.0
2019-10-17,173.55,176.95,172.6,175.72,1150678.0
2019-10-18,176.37,176.53,173.39,175.05,818038.0
2019-10-21,175.64,176.27,174.24,176.01,816505.0
2019-10-22,176.01,176.43,168.94,169.08,899211.0
2019-10-23,169.24,169.53,168.02,169.09,1095268.0
2019-10-24,166.21,167.2,157.72,163.25,2846841.0
2019-10-25,163.39,164.73,162.0,163.41,937819.0
2019-10-28,164.77,164.77,161.97,162.82,1056189.0
2019-10-29,162.0,164.79,162.0,164.75,852728.0
2019-10-30,164.85,165.83,164.01,165.36,1090277.0
2019-10-31,166.0,167.81,158.31,166.32,2670657.0
2019-11-01,167.04,168.49,166.36,167.56,962138.0
2019-11-04,168.26,168.45,160.29,160.59,1455860.0
2019-11-05,159.75,160.43,154.02,157.09,3020709.0
2019-11-06,157.09,159.17,156.3,158.6,1289656.0
2019-11-07,159.66,163.9,159.2,162.2,1574159.0
2019-11-08,161.98,165.07,161.64,164.96,1190736.0
2019-11-11,162.34,163.41,160.15,161.15,1190182.0
2019-11-12,160.99,161.34,159.51,161.12,1248380.0
2019-11-13,160.6,164.08,160.6,161.6,1135713.0
2019-11-14,160.7,163.1,160.18,161.74,658747.0
2019-11-15,162.18,162.37,160.44,162.08,913745.0
2019-11-18,162.0,163.44,161.47,162.96,923799.0
2019-11-19,163.99,166.55,163.26,166.0,928053.0
2019-11-20,166.07,168.24,164.65,166.36,1043557.0
2019-11-21,165.73,166.69,164.33,165.06,970648.0
2019-11-22,165.29,166.37,164.48,165.85,706529.0
2019-11-25,166.56,166.99,164.45,165.72,783320.0
2019-11-26,165.93,167.98,164.8,166.36,2956230.0
2019-11-27,166.86,167.87,166.0,167.4,778335.0
2019-11-29,166.62,167.94,166.26,167.3,434594.0
2019-12-02,166.79,167.1,162.33,165.04,877236.0
2019-12-03,164.27,165.9,162.94,164.86,1006505.0
2019-12-04,165.55,166.51,164.84,165.14,1002656.0
2019-12-05,164.67,164.98,160.36,160.44,1697131.0
2019-12-06,160.55,161.75,159.77,160.71,1497349.0
2019-12-09,161.28,162.68,160.27,161.5,1126981.0
2019-12-10,161.45,162.04,160.41,160.92,1688712.0
2019-12-11,161.5,162.35,161.23,161.78,1819651.0
2019-12-12,161.51,162.97,160.91,161.97,1885003.0
2019-12-13,161.1,162.6,159.83,160.5,1542296.0
2019-12-16,161.88,162.96,160.82,161.4,1413395.0
2019-12-17,162.04,164.4,160.85,160.98,1530855.0
2019-12-18,161.74,162.37,158.96,159.39,1664972.0
2019-12-19,159.35,161.93,158.77,161.11,2527982.0
2019-12-20,162.19,162.71,160.32,161.01,3442981.0
2019-12-23,162.44,162.8,161.5,162.2,1389202.0
2019-12-24,162.05,162.37,161.5,161.68,264206.0
2019-12-26,161.87,162.6,160.95,161.38,578026.0
2019-12-27,161.59,161.84,160.79,161.45,570779.0
2019-12-30,161.19,161.31,160.01,160.96,817475.0
2019-12-31,160.89,161.34,160.01,161.14,897210.0
2020-01-02,162.17,162.31,160.77,161.63,1356911.0
2020-01-03,160.03,164.58,159.37,164.38,962425.0
2020-01-06,163.93,167.03,163.11,166.92,1544364.0
2020-01-07,165.88,166.45,165.0,165.72,1131130.0
2020-01-08,165.9,166.9,165.04,165.89,1386757.0
2020-01-09,166.68,169.75,166.68,168.69,1281723.0
2020-01-10,168.83,168.83,166.73,167.3,675427.0
2020-01-13,167.93,171.33,167.13,170.87,1308993.0
2020-01-14,170.4,170.89,167.83,168.34,1020300.0
2020-01-15,168.42,171.87,168.29,170.55,909474.0
2020-01-16,171.61,173.12,170.36,172.86,918112.0
2020-01-17,173.93,176.53,172.01,176.12,1231479.0
2020-01-21,175.24,177.56,174.61,176.94,1383964.0
2020-01-22,178.11,178.45,177.1,177.74,717945.0
2020-01-23,178.2,178.4,176.3,177.04,685538.0
2020-01-24,177.91,179.76,177.54,179.66,669091.0
2020-01-27,176.93,178.34,176.01,178.0,695139.0
2020-01-28,178.69,180.3,178.06,179.07,809754.0
2020-01-29,179.46,180.21,178.77,179.42,447418.0
2020-01-30,177.44,180.23,177.44,180.07,592127.0
2020-01-31,179.23,179.5,176.58,177.0,828808.0
2020-02-03,177.66,178.2,175.95,176.03,718004.0
2020-02-04,177.14,179.54,176.73,178.32,810472.0
2020-02-05,178.85,179.49,176.5,176.69,1216766.0
2020-02-06,176.84,180.13,176.07,178.93,1087065.0
2020-02-07,180.15,185.9,178.86,179.46,1473183.0
2020-02-10,179.01,184.43,179.01,184.07,1107265.0
2020-02-11,185.84,186.97,184.37,184.46,1111419.0
2020-02-12,183.95,185.09,181.45,184.67,1176396.0
2020-02-13,184.0,185.34,183.29,184.12,666656.0
2020-02-14,183.62,184.47,182.61,184.41,882266.0
2020-02-18,184.3,185.57,183.66,184.87,746497.0
2020-02-19,185.32,186.98,184.85,186.12,786944.0
2020-02-20,186.02,187.49,183.03,185.6,902764.0
