date,Open,High,Low,Close,Volume
2019-08-20,54.5,54.77,54.14,54.4,1181100.0
2019-08-21,54.92,55.1,54.57,54.94,1113600.0
2019-08-22,55.03,55.24,54.14,54.61,1430000.0
2019-08-23,54.26,54.37,51.91,52.15,3197600.0
2019-08-26,53.07,53.07,52.27,52.55,1718700.0
2019-08-27,53.11,53.31,52.35,52.76,1780900.0
2019-08-28,52.05,52.91,51.68,52.76,1245300.0
2019-08-29,53.57,54.16,53.44,53.94,2230900.0
2019-08-30,54.61,54.85,54.27,54.54,1976700.0
2019-09-03,53.85,54.01,53.03,53.75,1746700.0
2019-09-04,54.62,55.53,54.55,55.43,1838300.0
2019-09-05,56.32,57.34,56.32,56.65,1928000.0
2019-09-06,56.87,57.3,56.6,56.92,1537700.0
2019-09-09,57.42,57.87,57.16,57.58,1087500.0
2019-09-10,57.28,58.34,56.74,58.34,2141600.0
2019-09-11,58.52,59.8,58.14,59.77,2466300.0
2019-09-12,60.0,60.21,59.45,59.78,1741700.0
2019-09-13,60.23,60.35,59.55,59.59,1482700.0
2019-09-16,58.98,59.23,58.32,59.0,1482500.0
2019-09-17,58.95,58.95,58.29,58.7,1416700.0
2019-09-18,58.67,58.92,58.08,58.79,1437100.0
2019-09-19,59.0,59.25,58.44,58.48,1134300.0
2019-09-20,58.0,58.32,56.76,56.95,3105100.0
2019-09-23,57.05,58.36,56.62,57.94,1304900.0
2019-09-24,58.21,58.53,56.83,57.15,1671900.0
2019-09-25,56.72,58.95,56.71,58.74,1341700.0
2019-09-26,58.7,58.99,58.15,58.36,925400.0
2019-09-27,56.9,58.27,56.83,57.22,1578100.0
2019-09-30,57.63,57.96,57.14,57.91,1124200.0
2019-10-01,58.04,59.06,56.63,56.83,1442300.0
2019-10-02,56.49,56.77,55.38,55.8,1314900.0
2019-10-03,55.96,56.78,55.02,56.54,1243300.0
2019-10-04,56.71,57.59,56.71,57.54,972800.0
2019-10-07,57.41,57.53,56.9,56.92,895900.0
2019-10-08,56.33,56.38,55.0,55.47,1202200.0
