date,Open,High,Low,Close,Volume
2019-08-20,19.18,19.805,18.99,19.09,5730174.0
2019-08-21,19.19,19.345,18.87,19.09,3855831.0
2019-08-22,19.09,19.37,18.92,19.04,3578162.0
2019-08-23,18.89,19.1,18.26,18.34,5126225.0
2019-08-26,18.54,18.9,18.44,18.79,4199222.0
2019-08-27,19.01,19.01,18.37,18.67,5534526.0
2019-08-28,18.51,19.26,18.485,19.15,4100592.0
2019-08-29,19.35,19.99,19.3,19.9,5856582.0
2019-08-30,20.07,20.08,19.31,19.47,3444635.0
2019-09-03,19.27,19.58,18.71,19.27,6235018.0
2019-09-04,19.59,20.9,19.29,19.74,5517958.0
2019-09-05,19.94,20.31,19.715,20.22,5043147.0
2019-09-06,20.28,20.53,19.85,20.52,4312197.0
2019-09-09,20.57,21.22,20.45,21.19,5957796.0
2019-09-10,21.0,21.89,20.91,21.88,6377656.0
2019-09-11,21.86,22.56,21.59,22.53,6653948.0
2019-09-12,22.56,22.57,21.68,22.24,5394055.0
2019-09-13,22.47,22.9,21.655,21.69,5401410.0
2019-09-16,21.43,22.045,21.43,21.8,2968546.0
2019-09-17,21.55,21.79,21.06,21.43,3629554.0
2019-09-18,21.37,21.54,21.05,21.29,3633702.0
2019-09-19,21.32,21.45,20.91,21.0,4230168.0
2019-09-20,20.61,21.39,20.6,21.0,9182651.0
2019-09-23,20.96,21.17,20.63,20.86,5821024.0
2019-09-24,20.72,20.75,19.42,19.93,9982418.0
2019-09-25,19.87,20.315,19.8,20.12,3110384.0
2019-09-26,20.18,20.18,19.51,19.76,4056541.0
2019-09-27,19.74,20.02,19.113,19.29,8576852.0
2019-09-30,19.27,19.87,19.03,19.78,5768930.0
2019-10-01,19.77,20.215,18.81,18.83,5312465.0
2019-10-02,18.8,18.8,18.1,18.53,6673034.0
2019-10-03,18.56,18.87,18.28,18.83,4229866.0
2019-10-04,18.82,19.16,18.57,18.91,3336587.0
2019-10-07,19.13,19.185,18.6,18.84,3461261.0
2019-10-08,18.64,18.74,18.29,18.38,3865840.0
2019-10-09,18.58,18.66,18.36,18.43,4825556.0
2019-10-10,18.44,18.84,18.32,18.47,4324378.0
2019-10-11,18.79,19.16,18.66,18.9,4411255.0
2019-10-14,18.74,18.9,18.44,18.52,4047995.0
2019-10-15,18.52,19.03,18.48,18.83,5431793.0
2019-10-16,18.98,19.18,18.62,18.735,3775835.0
2019-10-17,18.8,19.06,18.72,18.88,3143565.0
2019-10-18,18.88,18.92,18.275,18.33,6110763.0
2019-10-21,18.49,18.51,18.11,18.15,8331024.0
2019-10-22,18.31,18.47,18.03,18.31,6741717.0
2019-10-23,18.33,18.69,18.01,18.525,4955274.0
2019-10-24,18.61,18.61,18.03,18.25,5215184.0
2019-10-25,18.25,18.8,18.151,18.7,5436922.0
2019-10-28,18.75,19.265,18.72,18.97,5874042.0
2019-10-29,19.16,19.7,18.77,19.59,6863050.0
2019-10-30,19.49,19.58,19.22,19.41,3248085.0
2019-10-31,19.43,19.43,18.885,19.15,6156273.0
2019-11-01,19.33,19.97,19.23,19.68,5490857.0
2019-11-04,19.99,20.07,19.675,19.74,6695593.0
2019-11-05,19.9,20.39,17.75,17.79,21074600.0
