date,Open,High,Low,Close,Volume
2019-08-20,22.34,22.41,21.97,22.25,2748200.0
2019-08-21,22.65,22.87,22.08,22.22,2884500.0
2019-08-22,22.77,22.96,22.28,22.31,5408200.0
2019-08-23,22.2,22.28,21.5,21.6,6221200.0
2019-08-26,21.83,22.11,21.56,21.7,4107800.0
2019-08-27,21.89,21.97,21.33,21.51,4951200.0
2019-08-28,21.69,22.37,21.45,22.21,3545100.0
2019-08-29,22.42,22.96,22.28,22.78,4397300.0
2019-08-30,22.83,22.97,22.32,22.58,4253200.0
2019-09-03,22.11,22.35,21.55,22.31,4865700.0
2019-09-04,22.65,22.75,22.33,22.52,3982600.0
2019-09-05,22.69,22.87,22.35,22.68,6980500.0
2019-09-06,22.19,22.74,21.77,22.71,3971700.0
2019-09-09,23.0,24.05,23.0,23.76,7614400.0
2019-09-10,23.85,24.67,23.85,24.21,4938500.0
2019-09-11,24.42,25.1,24.05,24.68,5973400.0
2019-09-12,24.19,24.85,23.43,24.64,4628900.0
2019-09-13,24.94,25.29,24.45,25.04,3575700.0
2019-09-16,27.01,27.31,23.95,25.23,21368900.0
2019-09-17,25.12,25.64,24.42,25.09,8203300.0
2019-09-18,24.7,24.9,24.02,24.24,4644000.0
2019-09-19,24.53,24.66,23.14,23.3,7673600.0
2019-09-20,23.42,23.63,23.04,23.15,7699400.0
2019-09-23,22.95,23.57,22.73,23.44,4265200.0
2019-09-24,23.33,23.43,22.58,22.67,4873300.0
2019-09-25,22.33,23.13,22.33,22.99,5745700.0
2019-09-26,22.73,22.91,22.3,22.69,3854200.0
2019-09-27,22.33,22.97,22.17,22.46,4483000.0
2019-09-30,22.31,22.63,22.14,22.46,4179700.0
2019-10-01,22.65,22.81,21.35,21.4,6335900.0
2019-10-02,21.43,21.59,20.61,20.62,8898500.0
2019-10-03,20.23,20.95,20.14,20.92,5157000.0
2019-10-04,20.79,20.95,20.29,20.59,4414800.0
2019-10-07,20.6,20.65,19.69,19.72,8418300.0
2019-10-08,19.59,20.04,19.46,19.46,11748300.0
2019-10-09,19.65,19.75,19.12,19.45,5687100.0
2019-10-10,19.54,20.15,19.42,20.12,7486800.0
2019-10-11,20.44,20.83,20.14,20.58,5443500.0
2019-10-14,20.19,20.57,19.84,20.44,4581400.0
2019-10-15,20.45,21.22,20.34,20.92,6241000.0
2019-10-16,20.87,20.99,20.3,20.3,4318000.0
2019-10-17,20.36,20.36,19.49,19.61,7637400.0
2019-10-18,19.56,20.08,19.06,19.06,7447400.0
2019-10-21,19.06,19.75,19.03,19.6,3746100.0
2019-10-22,19.57,20.45,19.51,20.22,3900500.0
2019-10-23,20.22,20.68,19.84,20.51,3471300.0
2019-10-24,20.66,20.77,20.22,20.36,3215700.0
2019-10-25,20.36,20.74,20.04,20.62,3654700.0
2019-10-28,20.69,20.96,20.1,20.21,3404200.0
2019-10-29,19.99,20.59,19.79,20.38,3941700.0
2019-10-30,20.39,20.51,19.34,19.41,5867000.0
2019-10-31,19.31,19.56,19.01,19.26,5849200.0
2019-11-01,19.35,20.09,19.29,20.02,4867400.0
2019-11-04,20.38,21.34,20.34,21.32,6876600.0
2019-11-05,21.5,21.89,21.43,21.67,6612600.0
2019-11-06,21.51,21.75,20.63,20.9,7614900.0
2019-11-07,21.22,21.73,20.22,20.56,10911200.0
2019-11-08,20.33,21.5,20.1,21.43,8196500.0
2019-11-11,21.07,21.42,20.78,21.32,4117500.0
2019-11-12,21.36,21.67,21.07,21.25,5408600.0
2019-11-13,21.1,21.27,20.77,21.07,4344100.0
2019-11-14,21.22,21.89,21.11,21.51,7156400.0
2019-11-15,21.61,21.68,20.75,20.88,10653500.0
2019-11-18,20.6,20.7,19.85,19.92,5816300.0
2019-11-19,19.76,19.77,19.16,19.49,5399300.0
2019-11-20,19.47,20.45,19.45,20.08,5973200.0
2019-11-21,20.29,20.83,20.08,20.79,4618100.0
2019-11-22,20.86,21.28,20.71,21.14,4521600.0
2019-11-25,21.06,21.43,20.9,21.14,5048300.0
2019-11-26,21.18,21.21,20.73,20.79,5263200.0
2019-11-27,20.84,21.24,20.69,21.23,2953600.0
2019-11-29,20.94,21.07,20.62,20.76,1690000.0
2019-12-02,21.04,21.07,20.51,20.58,4021700.0
2019-12-03,20.2,20.44,19.9,20.14,4610200.0
2019-12-04,20.6,21.34,20.4,20.91,6842700.0
2019-12-05,21.27,21.34,20.88,20.98,5419400.0
2019-12-06,21.1,21.93,20.96,21.86,4737700.0
2019-12-09,21.66,22.05,21.57,21.81,3129900.0
2019-12-10,21.86,21.91,21.51,21.79,3316900.0
2019-12-11,21.79,22.13,21.79,22.03,2426900.0
2019-12-12,22.06,23.04,22.01,22.94,3916700.0
2019-12-13,23.01,23.08,22.38,22.38,3858000.0
2019-12-16,22.56,23.02,22.56,22.76,3558300.0
2019-12-17,23.25,23.56,22.07,22.7,10651900.0
2019-12-18,22.49,23.32,22.44,23.05,4769600.0
2019-12-19,23.0,23.47,22.96,23.35,3359900.0
2019-12-20,23.57,23.66,23.26,23.65,6245500.0
2019-12-23,23.48,24.4,23.48,24.3,3815600.0
2019-12-24,24.4,24.73,24.28,24.61,2021500.0
2019-12-26,24.84,25.08,24.69,24.77,2981700.0
2019-12-27,24.88,25.0,24.6,24.62,2576800.0
2019-12-30,24.69,24.96,24.26,24.38,3499500.0
2019-12-31,24.28,24.91,24.18,24.84,2826900.0
2020-01-02,24.79,24.99,24.09,24.13,4836100.0
2020-01-03,23.93,24.41,23.62,23.71,9144300.0
2020-01-06,23.91,24.14,23.46,23.94,8108200.0
2020-01-07,23.66,23.76,23.22,23.26,6262600.0
2020-01-08,23.38,23.68,22.7,22.72,6566100.0
2020-01-09,22.62,22.79,22.11,22.44,6506300.0
2020-01-10,22.25,22.36,21.77,22.26,5657500.0
2020-01-13,22.25,22.61,22.03,22.26,3847100.0
2020-01-14,22.39,22.72,22.19,22.65,4204900.0
2020-01-15,22.51,23.0,22.39,22.76,3824100.0
2020-01-16,22.83,23.78,22.79,23.54,5657400.0
2020-01-17,23.61,23.66,23.26,23.43,3722300.0
2020-01-21,23.35,23.46,22.86,22.88,4906600.0
2020-01-22,22.65,22.72,22.06,22.31,4768900.0
2020-01-23,22.06,22.4,21.71,22.35,4285900.0
2020-01-24,22.09,22.09,21.32,21.67,3668100.0
2020-01-27,21.14,21.32,20.85,20.95,4273700.0
2020-01-28,21.19,21.19,20.86,20.96,4940700.0
2020-01-29,21.02,21.22,20.52,20.6,4569300.0
2020-01-30,20.32,20.55,19.9,20.3,6612541.0
2020-01-31,20.0,20.11,19.66,19.77,7392800.0
2020-02-03,19.82,19.96,19.51,19.73,4623000.0
2020-02-04,20.11,20.35,19.82,19.89,4739300.0
2020-02-05,20.42,21.39,20.34,21.31,5624300.0
2020-02-06,21.34,21.4,20.73,20.73,5537300.0
2020-02-07,20.35,20.52,20.0,20.05,5882800.0
2020-02-10,19.8,19.97,19.43,19.7,4501300.0
2020-02-11,20.07,20.32,19.87,19.9,7113600.0
2020-02-12,19.75,20.37,18.9,19.49,13653300.0
2020-02-13,19.58,20.18,19.31,19.6,10848000.0
2020-02-14,19.69,19.71,19.08,19.16,5937000.0
2020-02-18,18.95,19.11,18.52,18.97,6335300.0
2020-02-19,19.17,19.17,18.73,18.92,6102600.0
2020-02-20,19.09,19.13,18.52,18.55,6516600.0
2020-02-21,18.24,18.31,17.86,17.95,5281000.0
2020-02-24,17.21,17.3,16.47,16.47,7103400.0
2020-02-25,16.52,16.77,15.16,15.6,10772700.0
2020-02-26,15.68,15.79,15.14,15.3,16225600.0
2020-02-27,14.69,15.7,14.32,15.12,11417800.0
2020-02-28,14.37,15.96,14.29,15.83,12729800.0
2020-03-02,16.1,16.1,15.25,15.8,7943800.0
2020-03-03,15.77,16.09,14.86,15.19,10095700.0
2020-03-04,15.61,15.84,14.93,15.32,6594700.0
2020-03-05,14.86,15.15,14.57,14.79,5213800.0
2020-03-06,14.2,14.48,12.93,13.32,8036000.0
2020-03-09,8.18,10.21,7.78,9.34,21197500.0
2020-03-10,10.1,10.26,8.4,9.26,17103800.0
2020-03-11,8.8,8.8,7.2,7.4,19918400.0
2020-03-12,6.72,7.34,5.87,6.27,18172900.0
2020-03-13,6.93,7.38,6.16,7.19,17080300.0
2020-03-16,5.99,6.6,5.18,5.23,15174900.0
2020-03-17,5.26,5.31,3.71,4.19,27126400.0
2020-03-18,3.89,4.11,2.73,3.02,27816900.0
2020-03-19,3.29,4.23,3.0,3.94,32346200.0
2020-03-20,4.17,4.3,3.89,4.03,37583500.0
2020-03-23,4.1,4.63,3.86,4.47,20421600.0
2020-03-24,5.01,5.84,4.85,5.83,19857000.0
2020-03-25,6.22,6.74,5.51,6.12,15956300.0
2020-03-26,6.0,6.73,5.85,6.21,12864000.0
2020-03-27,5.98,5.99,5.25,5.36,10556100.0
2020-03-30,5.13,5.42,4.84,5.31,10485900.0
