date,Open,High,Low,Close,Volume
2019-08-20,219.8,219.8,217.39,219.13,2079032.0
2019-08-21,219.86,221.34,219.15,221.26,1870850.0
2019-08-22,221.17,221.77,219.53,221.62,2290061.0
2019-08-23,222.53,224.2,220.63,221.9,2621488.0
2019-08-26,222.5,223.69,221.59,223.62,1863868.0
2019-08-27,224.23,225.57,223.9,224.01,2385336.0
2019-08-28,223.14,223.98,220.17,221.19,2839062.0
2019-08-29,222.52,222.52,219.21,221.12,2127956.0
2019-08-30,221.81,221.96,218.85,219.08,2946717.0
2019-09-03,218.81,225.59,218.81,225.56,2429599.0
2019-09-04,225.59,225.96,222.83,224.12,2227380.0
2019-09-05,219.18,221.34,218.6,219.81,4415253.0
2019-09-06,220.11,221.03,218.76,220.14,2282557.0
2019-09-09,219.2,220.89,218.89,219.89,1976593.0
2019-09-10,219.28,219.66,216.37,218.12,2773724.0
2019-09-11,218.02,220.59,217.45,220.06,2204421.0
2019-09-12,221.87,222.25,219.72,220.74,2167761.0
2019-09-13,220.06,220.12,217.79,218.49,2053299.0
2019-09-16,218.57,219.08,217.26,218.31,1258390.0
2019-09-17,218.44,222.33,218.44,222.22,1926543.0
2019-09-18,222.86,224.19,221.37,223.9,1922115.0
2019-09-19,224.74,225.4,223.56,224.9,1486536.0
2019-09-20,225.2,226.0,223.64,225.72,4794828.0
2019-09-23,225.44,226.46,224.84,225.28,1686574.0
2019-09-24,225.88,228.67,225.36,228.51,2211530.0
2019-09-25,228.9,229.49,227.51,229.37,2118403.0
2019-09-26,229.99,232.79,229.58,231.72,2181941.0
2019-09-27,232.25,232.57,230.15,231.26,1875293.0
2019-09-30,232.02,233.45,231.75,232.99,2240422.0
2019-10-01,232.16,233.17,230.65,232.03,1682940.0
2019-10-02,231.69,232.48,228.53,229.11,2222822.0
2019-10-03,228.86,230.29,228.56,230.17,2496418.0
2019-10-04,230.11,233.86,230.0,233.59,1658357.0
2019-10-07,233.45,233.82,231.17,232.55,1593972.0
2019-10-08,232.14,232.18,229.96,229.97,1898771.0
2019-10-09,232.23,234.27,231.0,233.36,1502897.0
2019-10-10,232.02,232.86,230.24,232.0,1875874.0
2019-10-11,231.79,232.38,228.55,229.54,2075960.0
2019-10-14,230.01,230.38,227.55,228.9,1179730.0
2019-10-15,229.34,229.82,226.83,227.54,1484813.0
2019-10-16,227.67,230.34,226.58,229.91,1924506.0
2019-10-17,229.27,231.59,229.27,231.09,1391754.0
2019-10-18,231.19,232.78,230.31,232.48,2196073.0
2019-10-21,232.41,233.04,230.65,232.8,1738762.0
2019-10-22,233.79,239.89,233.01,236.24,3242579.0
