date,Open,High,Low,Close,Volume
2019-08-20,38.26,38.82,38.19,38.57,8847000.0
2019-08-21,38.33,38.65,38.2,38.53,4826200.0
2019-08-22,38.43,38.76,38.3,38.49,4176600.0
2019-08-23,38.83,39.7,38.52,39.3,10360100.0
2019-08-26,39.55,39.9,39.21,39.45,5598000.0
2019-08-27,39.61,40.99,39.56,40.75,9059900.0
2019-08-28,40.96,41.23,40.47,40.87,7510800.0
2019-08-29,40.96,40.97,39.78,40.11,6952000.0
2019-08-30,39.96,40.28,39.63,39.89,7082600.0
2019-09-03,40.01,40.93,40.0,40.39,7728300.0
2019-09-04,40.52,41.06,40.26,41.02,4671000.0
2019-09-05,40.76,40.8,38.96,39.34,10148300.0
2019-09-06,39.44,39.58,38.62,38.66,7188000.0
2019-09-09,39.24,39.75,37.75,38.06,8940800.0
2019-09-10,37.76,38.58,37.55,38.16,6777700.0
2019-09-11,38.43,39.48,38.31,38.72,7710000.0
2019-09-12,39.72,40.17,38.62,38.66,8816600.0
2019-09-13,38.76,39.02,38.19,38.62,9773600.0
2019-09-16,39.05,39.2,38.08,38.48,9420200.0
2019-09-17,38.61,40.17,38.52,39.6,10407300.0
2019-09-18,39.53,39.79,38.29,39.05,7375600.0
2019-09-19,39.38,39.58,39.11,39.39,4005200.0
2019-09-20,39.5,39.9,39.3,39.84,8300400.0
2019-09-23,39.8,40.16,39.54,39.85,6390400.0
2019-09-24,39.45,40.65,39.36,40.29,7122400.0
2019-09-25,40.1,40.2,39.11,39.57,5889800.0
2019-09-26,39.59,39.86,39.14,39.37,6263800.0
2019-09-27,38.7,38.79,38.31,38.4,9737400.0
2019-09-30,37.63,38.36,37.45,37.92,8069500.0
2019-10-01,37.55,38.22,37.47,37.56,7493200.0
2019-10-02,38.12,38.3,37.48,37.87,7175800.0
2019-10-03,38.16,38.77,37.95,38.12,5497600.0
2019-10-04,37.88,38.56,37.61,38.31,5038200.0
2019-10-07,37.96,38.45,37.78,38.26,4426800.0
2019-10-08,38.73,38.97,38.35,38.92,5972600.0
2019-10-09,38.82,39.11,38.56,38.78,4984800.0
2019-10-10,38.89,39.03,38.22,38.94,5189800.0
2019-10-11,38.4,38.66,37.55,37.62,9358600.0
2019-10-14,37.57,38.1,37.45,38.0,4264300.0
2019-10-15,37.7,38.0899,37.64,37.69,4985292.0
2019-10-16,37.85,37.87,37.26,37.83,5139700.0
2019-10-17,37.81,38.79,37.66,38.31,4821800.0
2019-10-18,38.29,38.6,38.08,38.44,4616100.0
2019-10-21,38.65,38.65,37.72,37.96,4362000.0
2019-10-22,37.97,38.44,37.71,37.8,5796800.0
