date,Open,High,Low,Close,Volume
2019-08-20,20.68,20.81,20.42,20.73,4069258.0
2019-08-21,20.55,20.9,20.55,20.69,2588631.0
2019-08-22,20.74,20.91,20.57,20.68,1691757.0
2019-08-23,20.59,20.62,19.96,20.02,2695814.0
2019-08-26,20.18,20.31,20.07,20.28,2024921.0
2019-08-27,20.42,20.53,20.2,20.32,2770433.0
2019-08-28,20.21,20.55,20.11,20.52,2739649.0
2019-08-29,20.69,20.9,20.69,20.9,2233420.0
2019-08-30,21.07,21.15,20.63,20.76,1984509.0
2019-09-03,20.58,20.75,20.35,20.51,1968894.0
2019-09-04,20.63,20.74,20.56,20.58,1547467.0
2019-09-05,20.78,21.1,20.69,21.02,4549684.0
2019-09-06,21.07,21.48,21.07,21.21,3103011.0
2019-09-09,21.25,21.68,21.25,21.67,2005309.0
2019-09-10,21.7,22.39,21.64,22.39,2530904.0
2019-09-11,22.27,22.91,22.1,22.84,3008600.0
2019-09-12,22.94,22.95,22.49,22.51,2272516.0
2019-09-13,22.51,22.85,22.43,22.46,2401015.0
2019-09-16,22.46,22.79,22.42,22.65,2116021.0
2019-09-17,22.61,22.67,22.33,22.57,2242626.0
2019-09-18,22.52,22.83,22.39,22.74,2040926.0
2019-09-19,22.81,23.31,22.6,22.63,2898446.0
2019-09-20,22.7,22.93,22.38,22.38,4218978.0
2019-09-23,22.34,22.52,22.33,22.4,2141323.0
2019-09-24,22.43,22.53,22.0,22.07,3353334.0
2019-09-25,22.03,22.27,21.98,22.19,3168586.0
2019-09-26,22.12,22.24,21.34,21.35,2288274.0
2019-09-27,21.41,21.49,20.96,21.05,3331328.0
2019-09-30,21.08,21.39,20.98,21.25,5305784.0
2019-10-01,21.33,21.5,20.89,20.97,2673338.0
2019-10-02,20.82,20.92,20.22,20.3,2704711.0
2019-10-03,20.23,20.7,19.86,20.7,4479875.0
2019-10-04,20.74,21.38,20.74,21.35,3342816.0
2019-10-07,21.29,21.37,20.93,20.94,1841500.0
2019-10-08,20.8,20.8,20.13,20.27,3043462.0
2019-10-09,20.44,20.44,20.08,20.2,1697643.0
2019-10-10,20.13,20.49,20.12,20.26,1576396.0
2019-10-11,20.51,20.87,20.51,20.69,2082022.0
2019-10-14,20.61,20.66,20.43,20.56,1033152.0
2019-10-15,20.55,20.77,20.47,20.62,1555951.0
2019-10-16,20.62,20.78,20.57,20.66,1840662.0
2019-10-17,20.72,20.79,20.55,20.61,2607555.0
2019-10-18,20.5,20.94,20.5,20.88,2889181.0
2019-10-21,21.06,21.22,20.89,20.97,1959675.0
2019-10-22,20.96,21.37,20.79,21.28,2706238.0
2019-10-23,21.25,21.43,21.04,21.41,1944535.0
2019-10-24,21.51,21.59,21.0,21.31,2782754.0
2019-10-25,21.26,21.3,20.53,20.6,2800032.0
2019-10-28,20.71,21.01,20.68,20.95,1525793.0
2019-10-29,20.82,20.97,20.68,20.89,2855865.0
2019-10-30,20.78,20.95,20.02,20.2,2879290.0
2019-10-31,20.09,20.24,19.88,20.16,3340097.0
2019-11-01,20.27,20.44,20.14,20.44,2251507.0
2019-11-04,20.54,20.98,20.47,20.79,2279601.0
2019-11-05,20.84,21.07,20.67,20.89,2234733.0
2019-11-06,20.81,20.81,19.99,20.09,4618720.0
2019-11-07,19.31,20.04,17.94,19.91,25568684.0
2019-11-08,19.9,20.4,19.53,20.35,6317322.0
2019-11-11,20.28,20.66,20.17,20.6,4084310.0
2019-11-12,20.58,20.88,20.37,20.45,3802238.0
2019-11-13,20.29,20.97,20.22,20.56,3645873.0
2019-11-14,20.45,20.64,20.37,20.54,2559996.0
2019-11-15,20.62,20.71,20.48,20.7,2262943.0
2019-11-18,20.61,20.8,20.38,20.46,2753144.0
2019-11-19,20.41,20.44,20.19,20.33,2127731.0
2019-11-20,20.15,20.37,19.88,20.05,3785107.0
2019-11-21,20.05,20.07,19.62,19.63,4194115.0
2019-11-22,19.7,19.79,19.55,19.7,2948435.0
2019-11-25,19.75,20.36,19.68,20.12,2940711.0
2019-11-26,20.06,20.25,19.64,19.74,5110715.0
2019-11-27,19.77,20.0,19.71,19.83,2220113.0
2019-11-29,19.8,19.85,19.52,19.55,1943845.0
2019-12-02,19.52,19.69,19.28,19.47,3310997.0
2019-12-03,19.29,19.51,19.2,19.5,3176972.0
2019-12-04,19.49,19.69,19.45,19.47,2148197.0
2019-12-05,19.52,19.76,19.48,19.72,3021961.0
2019-12-06,19.89,20.27,19.79,20.16,3888215.0
2019-12-09,20.14,20.16,19.91,19.99,3908591.0
2019-12-10,19.96,20.05,19.69,19.74,3591187.0
2019-12-11,19.71,19.76,19.54,19.63,2411352.0
2019-12-12,19.66,20.05,19.59,20.0,3443746.0
2019-12-13,20.02,20.23,19.86,19.95,3512772.0
2019-12-16,20.09,20.18,19.85,19.98,3579978.0
2019-12-17,19.83,19.85,19.44,19.74,3691446.0
2019-12-18,19.81,20.08,19.72,19.88,2791352.0
2019-12-19,19.87,20.2,19.86,20.09,4239860.0
2019-12-20,20.15,20.84,19.95,20.79,10106432.0
2019-12-23,20.79,20.79,20.11,20.17,6869202.0
2019-12-24,20.09,20.17,19.9,20.11,1555526.0
2019-12-26,20.19,20.28,20.1,20.28,2547539.0
2019-12-27,20.28,20.38,19.98,20.19,3289528.0
2019-12-30,20.18,20.33,20.03,20.1,3167411.0
2019-12-31,19.97,20.36,19.95,20.3,4178675.0
2020-01-02,20.38,20.45,19.91,20.12,4202327.0
2020-01-03,19.85,20.15,19.84,20.08,3490182.0
2020-01-06,20.0,20.49,19.78,20.49,2934380.0
2020-01-07,20.28,20.41,19.92,20.36,3699070.0
2020-01-08,20.37,20.48,19.93,20.34,3383206.0
2020-01-09,20.42,20.49,20.08,20.09,4561135.0
2020-01-10,20.11,20.17,19.9,19.98,2501493.0
2020-01-13,19.97,20.14,19.81,19.86,2861637.0
2020-01-14,19.8,20.45,19.8,20.42,2409241.0
2020-01-15,20.56,21.53,20.5,21.51,5062813.0
2020-01-16,21.68,22.31,21.6,21.77,7527027.0
2020-01-17,21.82,21.99,21.43,21.51,4582914.0
2020-01-21,21.48,21.48,21.07,21.22,3460038.0
2020-01-22,21.22,21.3,21.12,21.22,1382269.0
2020-01-23,21.16,21.46,20.95,21.37,2173002.0
2020-01-24,21.47,21.47,21.0,21.16,3303631.0
2020-01-27,20.88,20.96,20.53,20.65,6485415.0
2020-01-28,20.75,20.96,20.54,20.84,1854463.0
2020-01-29,20.88,20.95,20.52,20.54,2369090.0
2020-01-30,20.31,20.88,20.24,20.81,4103087.0
2020-01-31,20.73,20.73,20.25,20.4,4395637.0
2020-02-03,20.57,21.06,20.48,20.61,2578647.0
2020-02-04,20.9,20.99,20.7,20.8,2487689.0
2020-02-05,21.06,21.285,20.985,21.17,1928852.0
2020-02-06,21.29,21.47,21.12,21.2,1710500.0
2020-02-07,21.06,21.3,20.98,21.29,1324437.0
2020-02-10,21.25,21.68,21.12,21.2,1890196.0
2020-02-11,21.28,21.58,21.24,21.43,1298375.0
2020-02-12,21.6,22.2,21.52,21.8,2223642.0
2020-02-13,21.75,21.75,21.45,21.6,2648252.0
2020-02-14,21.6,21.8,21.3,21.39,3526693.0
2020-02-18,21.36,21.91,21.24,21.72,2154594.0
2020-02-19,21.79,21.88,21.37,21.83,1731629.0
2020-02-20,21.72,22.3,21.68,22.25,2743066.0
2020-02-21,22.1,22.33,21.68,21.85,5210818.0
2020-02-24,21.35,21.54,21.19,21.38,2836810.0
2020-02-25,21.46,21.47,20.2,20.42,3791804.0
