date,Open,High,Low,Close,Volume
2019-08-20,370.13,372.88,368.29,369.01,517200.0
2019-08-21,372.13,373.19,366.5,369.14,655000.0
2019-08-22,369.5,373.48,366.58,372.02,640300.0
2019-08-23,369.49,373.14,359.78,361.5,667800.0
2019-08-26,364.12,366.82,361.5,366.65,446000.0
2019-08-27,367.53,367.53,361.6,364.18,407200.0
2019-08-28,363.34,368.4,361.16,363.9,571300.0
2019-08-29,368.01,368.81,364.25,367.93,625800.0
2019-08-30,370.59,371.33,367.22,367.87,576300.0
2019-09-03,364.65,367.19,362.5,366.23,660200.0
2019-09-04,368.64,372.13,366.86,372.06,625600.0
2019-09-05,375.0,375.0,366.96,368.43,698400.0
2019-09-06,369.59,371.58,366.94,367.77,536400.0
2019-09-09,367.57,368.05,354.99,355.83,1272600.0
2019-09-10,352.6,355.18,341.24,355.09,1534900.0
2019-09-11,355.17,359.66,353.92,358.85,1150000.0
2019-09-12,361.72,365.76,357.76,365.22,776500.0
2019-09-13,366.7,367.5,363.21,363.68,704400.0
2019-09-16,368.5,372.8,365.01,371.43,988600.0
2019-09-17,371.44,376.99,367.83,374.47,1151800.0
2019-09-18,376.4,378.69,371.04,377.42,1205200.0
2019-09-19,376.88,380.46,374.53,375.58,1029400.0
2019-09-20,376.57,377.68,368.11,368.18,3489400.0
2019-09-23,368.17,372.28,365.8,369.13,979000.0
2019-09-24,371.47,374.52,366.55,369.51,1120700.0
2019-09-25,371.03,375.37,369.13,375.01,1349500.0
2019-09-26,376.21,383.89,373.68,382.15,1255000.0
2019-09-27,381.17,382.9,368.81,371.18,1117300.0
2019-09-30,372.38,378.58,372.38,374.79,877100.0
2019-10-01,375.97,377.09,367.66,367.79,1045700.0
2019-10-02,366.35,368.55,359.23,362.5,1451000.0
2019-10-03,362.34,364.99,359.25,364.33,835600.0
2019-10-04,365.29,370.13,363.58,368.98,953800.0
2019-10-07,368.02,371.1,366.96,367.92,592000.0
2019-10-08,366.0,372.17,363.62,368.44,736100.0
2019-10-09,370.17,371.33,366.02,367.63,1268900.0
2019-10-10,367.53,371.03,366.54,368.75,967900.0
2019-10-11,372.45,372.45,358.73,362.22,1535100.0
2019-10-14,363.05,369.3,362.68,366.42,658000.0
2019-10-15,366.31,368.48,361.13,361.94,744800.0
2019-10-16,361.94,365.16,361.31,364.69,553600.0
2019-10-17,364.53,366.01,355.89,356.27,1081400.0
2019-10-18,357.35,357.51,347.74,349.62,2198400.0
2019-10-21,352.61,354.14,349.82,350.39,1102700.0
2019-10-22,347.5,355.16,347.0,352.38,1154800.0
2019-10-23,352.0,353.77,348.34,353.2,1117000.0
2019-10-24,348.0,360.23,340.2,356.91,1312100.0
2019-10-25,357.58,358.21,344.89,345.0,1563500.0
2019-10-28,345.74,348.44,344.28,346.53,1348400.0
2019-10-29,346.45,350.16,345.85,347.17,737000.0
2019-10-30,348.05,354.73,347.25,354.08,840200.0
2019-10-31,353.38,355.81,350.35,352.48,829200.0
2019-11-01,353.35,355.96,351.13,352.13,1167500.0
2019-11-04,353.65,353.65,338.46,340.67,1984800.0
2019-11-05,340.0,343.17,335.94,337.85,2410700.0
2019-11-06,339.18,344.37,338.1,344.02,1168000.0
2019-11-07,344.01,345.32,341.16,343.43,1154900.0
2019-11-08,342.93,350.69,342.93,350.11,807800.0
2019-11-11,348.6,351.73,347.42,350.0,547100.0
2019-11-12,349.43,352.68,349.39,351.69,514800.0
2019-11-13,352.46,355.75,350.52,353.72,517200.0
2019-11-14,353.16,357.62,353.16,355.69,610000.0
2019-11-15,358.46,359.83,356.21,356.66,871300.0
2019-11-18,355.88,358.18,355.46,356.7,891400.0
2019-11-19,357.73,358.56,352.61,353.54,790900.0
2019-11-20,353.53,356.98,352.43,353.0,777600.0
2019-11-21,352.77,354.03,348.1,348.22,785100.0
2019-11-22,349.18,350.04,346.79,349.16,583300.0
2019-11-25,350.33,350.97,348.86,349.75,988300.0
2019-11-26,350.28,356.62,349.17,353.85,1294500.0
2019-11-27,352.33,355.15,350.64,352.88,619700.0
2019-11-29,351.0,351.92,348.91,351.77,311200.0
2019-12-02,351.97,352.99,341.61,341.73,886600.0
2019-12-03,340.18,344.12,338.73,343.15,1320500.0
2019-12-04,344.75,347.87,343.15,343.21,708900.0
2019-12-05,344.67,345.11,341.91,344.41,803900.0
2019-12-06,346.1,348.15,344.32,344.76,931400.0
2019-12-09,344.76,345.61,338.63,343.05,1137200.0
2019-12-10,343.06,347.01,343.06,344.48,1041100.0
2019-12-11,345.73,348.87,344.61,348.71,574500.0
2019-12-12,348.77,349.84,344.01,345.9,737600.0
2019-12-13,344.56,347.5,342.79,344.65,865800.0
2019-12-16,344.33,345.69,342.84,344.69,972900.0
2019-12-17,345.4,347.27,343.53,345.84,753700.0
2019-12-18,345.56,346.56,338.4,338.7,1145400.0
2019-12-19,338.79,343.49,338.01,342.21,1418600.0
2019-12-20,343.94,346.22,340.43,345.91,1534600.0
2019-12-23,348.54,350.9,346.5,348.12,652300.0
2019-12-24,348.82,349.08,345.82,347.08,229400.0
2019-12-26,347.63,348.98,346.02,347.96,432700.0
2019-12-27,348.5,349.0,345.42,346.44,356900.0
2019-12-30,347.7,350.75,346.89,349.07,575500.0
