date,Open,High,Low,Close,Volume
2019-08-20,19.13,19.17,18.66,18.88,3099872.0
2019-08-21,19.04,19.38,19.01,19.08,2500857.0
2019-08-22,19.25,19.62,19.17,19.32,3484413.0
2019-08-23,18.9,19.345,18.615,18.71,5497013.0
2019-08-26,19.05,19.16,18.59,18.68,2920441.0
2019-08-27,18.91,18.98,18.4238,18.46,3062856.0
2019-08-28,18.47,19.24,18.29,19.17,3472467.0
2019-08-29,19.38,20.38,19.36,20.1,4869746.0
2019-08-30,20.28,20.635,20.05,20.43,3895629.0
2019-09-03,19.91,20.67,19.62,20.62,5089428.0
2019-09-04,20.98,21.18,20.555,20.69,4189504.0
2019-09-05,21.16,22.15,21.05,22.0,4940060.0
2019-09-06,21.78,22.22,21.37,22.17,4390593.0
2019-09-09,22.45,23.96,22.37,23.96,5808102.0
2019-09-10,24.22,24.77,23.64,23.74,6345594.0
2019-09-11,23.83,24.4,23.33,24.04,6640116.0
2019-09-12,23.12,23.4,22.495,23.1,5461359.0
2019-09-13,23.47,23.83,22.62,22.81,4530712.0
2019-09-16,24.63,24.96,23.285,23.39,5333928.0
2019-09-17,23.11,23.19,22.17,22.65,3882645.0
2019-09-18,22.13,22.98,21.74,22.94,3884103.0
2019-09-19,23.23,23.37,22.87,22.89,3901692.0
2019-09-20,23.0,23.1,22.34,22.56,5523827.0
2019-09-23,22.25,22.85,22.25,22.69,2534231.0
2019-09-24,22.53,22.53,21.28,21.56,3382221.0
2019-09-25,21.32,22.335,21.23,22.28,4161909.0
2019-09-26,22.06,22.195,21.62,22.07,3786378.0
2019-09-27,21.82,22.35,21.51,22.04,2911504.0
2019-09-30,21.86,21.86,21.06,21.2,5556480.0
2019-10-01,21.35,21.68,20.68,20.86,3609830.0
2019-10-02,20.86,21.05,20.4,20.47,3910861.0
2019-10-03,20.31,20.965,20.18,20.92,3129140.0
2019-10-04,20.95,21.085,20.67,21.04,3500127.0
2019-10-07,21.06,21.36,20.67,20.69,3269534.0
2019-10-08,20.42,20.91,20.25,20.28,3060999.0
2019-10-09,20.51,20.555,19.9128,20.19,2915706.0
2019-10-10,20.32,20.88,20.29,20.68,2696011.0
2019-10-11,21.01,21.33,20.86,21.18,3276129.0
2019-10-14,20.87,21.195,20.415,21.09,2380536.0
2019-10-15,21.07,21.61,20.89,21.21,2996390.0
2019-10-16,21.24,21.49,20.94,21.01,2926613.0
2019-10-17,21.1,21.13,20.52,20.54,4516470.0
2019-10-18,20.63,21.12,20.07,20.11,4312760.0
2019-10-21,20.18,20.94,20.16,20.76,3017408.0
2019-10-22,20.94,21.66,20.6,21.54,5683293.0
2019-10-23,21.48,21.92,21.07,21.64,3172404.0
2019-10-24,21.67,21.79,20.36,20.73,4570223.0
2019-10-25,20.65,20.935,20.42,20.85,4139517.0
2019-10-28,20.91,21.19,20.61,20.96,4719592.0
2019-10-29,22.41,24.49,22.15,23.83,10866435.0
2019-10-30,24.01,24.39,22.43,22.66,7245757.0
2019-10-31,22.54,22.74,22.15,22.62,3995731.0
2019-11-01,22.86,23.175,22.65,23.15,3495980.0
2019-11-04,23.46,24.04,23.305,24.02,3907277.0
2019-11-05,24.2,24.48,23.81,24.15,5122845.0
2019-11-06,23.94,23.94,23.305,23.63,3222718.0
2019-11-07,23.93,24.23,23.26,23.33,3633582.0
2019-11-08,22.99,23.575,22.71,23.38,2696707.0
2019-11-11,22.96,23.2,22.65,23.08,2480674.0
2019-11-12,23.02,23.375,22.49,22.68,2552138.0
2019-11-13,22.54,22.66,22.19,22.35,1618364.0
2019-11-14,22.4,22.73,22.03,22.09,2097318.0
2019-11-15,22.21,22.4175,21.94,22.28,2597081.0
2019-11-18,22.04,22.04,21.415,21.62,2296830.0
2019-11-19,21.55,21.56,21.08,21.11,2082921.0
2019-11-20,21.17,21.77,20.96,21.36,2756535.0
2019-11-21,21.6,21.84,21.215,21.78,2755749.0
2019-11-22,21.89,22.15,21.6351,21.8,2378862.0
2019-11-25,21.74,22.705,21.5,22.6,4656968.0
2019-11-26,22.59,22.6132,22.25,22.39,4190355.0
2019-11-27,22.42,22.885,22.29,22.78,2557339.0
2019-11-29,22.58,22.77,22.35,22.55,1982634.0
2019-12-02,22.71,23.32,22.59,23.05,7754169.0
2019-12-03,22.53,22.63,22.03,22.11,5324787.0
2019-12-04,22.37,23.01,22.11,22.75,2826921.0
2019-12-05,22.87,22.98,22.36,22.57,2184746.0
2019-12-06,22.64,23.4,22.64,23.36,2608948.0
2019-12-09,23.17,23.38,23.04,23.05,2658462.0
2019-12-10,23.14,23.73,23.01,23.42,2656957.0
2019-12-11,23.45,23.83,23.35,23.65,2182904.0
2019-12-12,23.82,24.44,23.63,24.14,3365845.0
