date,Open,High,Low,Close,Volume
2019-08-20,255.5,257.605,252.58,255.28,1354128.0
2019-08-21,262.0,267.84,260.24,265.78,1903322.0
2019-08-22,266.5,267.95,262.28,264.64,1272884.0
2019-08-23,266.37,274.56,261.815,263.07,2614890.0
2019-08-26,265.0,266.87,262.31,266.57,849645.0
2019-08-27,269.02,269.6,261.94,266.21,1489888.0
2019-08-28,261.77,263.31,258.22,260.32,1659300.0
2019-08-29,263.86,265.945,260.5999,264.79,1090424.0
2019-08-30,265.91,266.58,256.65,261.84,1500242.0
2019-09-03,264.09,265.56,261.0,263.38,1426123.0
2019-09-04,265.72,270.14,265.25,268.52,1201118.0
2019-09-05,270.32,273.16,260.6015,269.62,2145685.0
2019-09-06,269.9,270.56,262.47,263.5,1400657.0
2019-09-09,264.0,265.84,250.0,254.68,2922137.0
2019-09-10,250.47,255.665,246.5,253.18,2525654.0
2019-09-11,252.63,259.065,251.02,253.67,1487084.0
2019-09-12,256.6,259.66,255.52,256.81,1813914.0
2019-09-13,255.375,256.3799,251.0,251.96,1520077.0
2019-09-16,251.0,261.24,250.0,261.15,1180102.0
2019-09-17,263.36,268.0,260.74,264.05,1272991.0
2019-09-18,266.69,266.9,259.77,265.85,1456014.0
2019-09-19,265.45,269.18,262.5,268.74,1493413.0
2019-09-20,269.47,271.39,266.59,271.17,2139645.0
2019-09-23,272.47,273.6321,266.96,267.0,1235006.0
2019-09-24,267.0,268.33,256.1004,257.5,1520618.0
2019-09-25,257.5,259.64,248.67,259.38,2566392.0
2019-09-26,259.39,259.654,255.235,257.99,951562.0
2019-09-27,258.92,259.49,245.27,250.26,2286890.0
2019-09-30,252.2,254.8,249.51,253.85,1215258.0
2019-10-01,255.32,256.12,249.71,250.13,1711687.0
2019-10-02,249.06,250.76,243.54,246.85,1794633.0
2019-10-03,247.77,258.56,244.29,257.37,1680394.0
2019-10-04,260.23,267.22,259.58,266.48,1915057.0
2019-10-07,266.23,270.5,266.23,268.15,2005872.0
2019-10-08,266.0,268.37,257.98,258.13,1163222.0
2019-10-09,260.84,263.52,259.48,262.02,842231.0
2019-10-10,260.02,264.675,259.1,263.18,776930.0
2019-10-11,268.06,273.96,266.31,270.33,1751473.0
2019-10-14,270.07,271.2193,267.86,269.44,1359582.0
2019-10-15,270.44,276.5,270.0,274.24,1774412.0
2019-10-16,258.93,260.75,249.1,254.6,4726266.0
2019-10-17,258.29,259.06,252.05,254.31,2211831.0
2019-10-18,253.97,257.51,240.62,243.0,4424288.0
2019-10-21,245.09,245.8073,239.1,240.9,3841388.0
2019-10-22,241.91,242.45,225.0,228.34,8209392.0
2019-10-23,216.3,225.73,213.99,220.01,12271946.0
2019-10-24,236.56,243.82,232.25,237.78,9395730.0
2019-10-25,237.77,241.5,234.06,241.22,3337892.0
2019-10-28,243.4,246.28,240.0007,244.7,3476838.0
2019-10-29,243.99,248.99,240.82,241.04,1871104.0
2019-10-30,243.34,250.24,239.025,249.95,1910110.0
2019-10-31,249.96,250.81,244.01,247.26,1454744.0
2019-11-01,248.94,256.16,247.41,253.03,2481158.0
2019-11-04,254.49,255.575,245.05,245.8,1808508.0
2019-11-05,245.81,246.4,239.13,241.86,2217424.0
2019-11-06,241.75,242.73,238.97,241.35,1372430.0
2019-11-07,242.0,244.65,239.81,240.89,1918786.0
2019-11-08,239.92,249.2,238.29,248.45,1942602.0
2019-11-11,247.31,250.0,245.815,248.55,1696632.0
2019-11-12,249.29,253.49,249.2,252.53,1888457.0
2019-11-13,250.93,255.11,249.01,253.94,1963294.0
2019-11-14,252.77,255.41,249.47,253.85,1805915.0
2019-11-15,255.5,260.04,254.29,259.96,2227680.0
2019-11-18,258.0,268.45,257.3,266.31,3176344.0
2019-11-19,277.25,279.9,272.53,277.74,9869106.0
2019-11-20,276.88,284.295,276.65,283.0,37860398.0
2019-11-21,282.32,283.47,277.75,279.12,4068806.0
2019-11-22,280.0,280.85,276.89,279.98,2152093.0
2019-11-25,280.0,284.0,278.41,279.75,3235572.0
2019-11-26,281.0,281.15,278.62,278.86,2361362.0
2019-11-27,279.51,281.49,277.85,281.28,1317876.0
2019-11-29,280.97,283.49,280.1,283.04,879899.0
2019-12-02,283.0,283.0,269.5,277.35,2339931.0
2019-12-03,271.79,280.0,271.06,279.01,2351379.0
2019-12-04,277.87,278.07,272.8,273.8,1852491.0
2019-12-05,273.0,277.25,271.86,273.13,1173907.0
2019-12-06,274.9,275.309,269.62,272.04,1871264.0
2019-12-09,271.77,272.595,269.615,269.7,1058175.0
2019-12-10,270.0,272.445,266.2,266.78,1460678.0
2019-12-11,266.0,268.19,263.53,267.3,1772890.0
2019-12-12,266.36,268.59,264.08,265.65,2222420.0
2019-12-13,265.64,273.8,263.98,272.98,1866854.0
2019-12-16,274.33,281.8,274.11,281.79,2082135.0
2019-12-17,279.95,281.025,274.39,276.14,1925406.0
2019-12-18,277.43,280.18,276.095,277.45,1272473.0
2019-12-19,277.45,279.11,275.3304,278.48,1433613.0
2019-12-20,280.52,282.83,278.7634,282.63,2301742.0
2019-12-23,283.05,287.44,281.71,283.31,1941613.0
2019-12-24,283.9,284.92,282.57,284.2,305728.0
2019-12-26,284.76,288.08,284.76,286.2,945982.0
