date,Open,High,Low,Close,Volume
2019-08-20,173.51,174.49,171.68,171.82,1177159.0
2019-08-21,173.19,174.67,173.08,174.2,1305116.0
2019-08-22,174.42,176.2,173.42,173.79,1176494.0
2019-08-23,173.01,173.76,168.63,169.28,1906316.0
2019-08-26,171.28,172.26,169.92,171.35,1561273.0
2019-08-27,171.77,172.13,169.49,169.95,1589180.0
2019-08-28,169.7,172.89,169.42,172.45,1323641.0
2019-08-29,174.21,176.92,173.39,174.45,1442893.0
2019-08-30,175.98,177.57,173.81,174.05,1150515.0
2019-09-03,172.14,173.26,169.49,170.86,1462466.0
2019-09-04,171.59,173.58,170.92,171.57,1506167.0
2019-09-05,173.82,176.8,173.81,176.28,1661847.0
2019-09-06,176.75,177.54,174.93,175.06,876294.0
2019-09-09,175.56,178.18,175.2,177.32,1200021.0
2019-09-10,176.75,179.07,176.31,178.58,1658425.0
2019-09-11,179.0,179.49,175.19,177.06,1886937.0
2019-09-12,177.14,179.38,175.61,178.56,1609427.0
2019-09-13,179.54,182.7,179.22,182.19,1771418.0
2019-09-16,180.33,184.28,179.42,182.28,1327507.0
2019-09-17,182.28,182.43,179.09,180.73,1305728.0
2019-09-18,179.34,182.47,178.19,182.29,1094843.0
2019-09-19,182.14,184.1,180.97,182.6,1139165.0
2019-09-20,183.97,184.8,178.8,180.49,2887930.0
2019-09-23,178.77,180.26,177.05,179.51,1215340.0
2019-09-24,181.96,186.99,181.96,182.91,2672051.0
2019-09-25,182.46,183.49,181.26,182.7,1499654.0
2019-09-26,183.01,184.24,182.27,182.97,1042604.0
2019-09-27,183.45,184.06,180.54,180.87,1188363.0
2019-09-30,182.04,182.65,179.2,179.66,1998303.0
2019-10-01,180.4,182.12,174.31,174.98,1576110.0
2019-10-02,173.32,173.7,169.43,169.69,2044724.0
2019-10-03,169.75,171.28,166.58,170.61,2283968.0
2019-10-04,171.5,172.88,170.7,172.82,1349195.0
2019-10-07,172.11,173.3,171.01,171.67,1128421.0
2019-10-08,169.34,169.64,166.57,166.74,1504792.0
2019-10-09,169.07,169.8,167.99,169.11,1024708.0
2019-10-10,168.51,172.04,168.51,172.02,1236576.0
2019-10-11,173.92,179.6,173.92,178.5,1897404.0
2019-10-14,177.36,178.64,176.16,178.54,1192018.0
2019-10-15,178.54,181.45,177.72,180.71,1591664.0
2019-10-16,179.95,182.05,179.51,181.13,1763785.0
2019-10-17,182.13,184.81,181.7,183.71,2376329.0
2019-10-18,183.2,184.04,180.72,181.91,1685198.0
2019-10-21,182.99,186.38,182.99,186.19,2046912.0
2019-10-22,186.09,189.24,184.66,188.96,2317628.0
2019-10-23,185.72,188.2,182.87,184.87,3176956.0
2019-10-24,185.0,186.03,182.48,183.18,1637838.0
2019-10-25,183.64,188.5,182.8,188.25,1625766.0
2019-10-28,188.38,190.68,186.36,187.76,1670783.0
2019-10-29,186.64,187.92,184.94,185.04,1642300.0
2019-10-30,184.88,185.28,181.96,184.99,1291175.0
2019-10-31,182.83,184.05,179.84,182.0,1481175.0
2019-11-01,183.6,189.93,182.98,189.92,2009905.0
2019-11-04,191.3,193.26,189.35,192.64,2831029.0
2019-11-05,191.96,196.12,191.96,193.78,2485708.0
2019-11-06,193.83,193.96,191.39,192.96,1946283.0
2019-11-07,194.52,197.67,194.37,195.58,2067354.0
2019-11-08,195.3,196.5,194.48,195.44,895991.0
2019-11-11,193.94,194.45,192.39,193.98,908728.0
2019-11-12,193.78,194.03,192.18,193.01,1283105.0
2019-11-13,191.49,192.19,190.42,190.88,1035098.0
2019-11-14,190.72,191.83,189.69,190.96,660433.0
2019-11-15,192.67,193.14,190.75,191.07,1008837.0
2019-11-18,190.56,193.5,189.1,193.37,1331876.0
2019-11-19,193.46,194.0,191.89,192.6,1143683.0
2019-11-20,192.49,192.7,189.62,189.88,1378554.0
2019-11-21,189.98,190.92,188.46,190.61,1032491.0
2019-11-22,190.89,193.35,190.32,193.18,1092049.0
2019-11-25,193.72,197.0,192.94,196.95,1454819.0
2019-11-26,196.43,197.48,195.51,196.21,2337191.0
2019-11-27,196.21,197.02,195.0,195.74,967475.0
2019-11-29,194.65,194.73,192.74,193.5,948156.0
2019-12-02,193.74,194.12,189.75,190.07,1421329.0
2019-12-03,186.87,188.1,185.01,186.21,3459555.0
2019-12-04,187.68,189.54,187.21,187.36,2889054.0
2019-12-05,188.59,189.08,186.29,187.9,1988794.0
2019-12-06,190.59,192.25,189.51,190.93,1308036.0
2019-12-09,190.02,190.62,188.23,188.96,1156034.0
2019-12-10,187.9,190.17,186.95,188.68,1038564.0
2019-12-11,188.58,191.13,188.14,191.01,1115411.0
2019-12-12,190.92,194.41,189.69,190.51,1819578.0
2019-12-13,189.57,191.91,188.44,190.07,1648646.0
2019-12-16,192.79,193.64,190.09,190.56,1296988.0
2019-12-17,191.3,193.25,190.12,190.43,1463964.0
2019-12-18,190.88,193.62,190.05,192.54,1957682.0
2019-12-19,191.86,193.42,191.42,191.92,1638435.0
2019-12-20,193.54,194.94,190.92,194.59,2213235.0
2019-12-23,194.04,194.94,193.37,194.29,1914105.0
2019-12-24,194.66,195.21,194.07,194.91,386273.0
2019-12-26,195.05,195.06,193.22,194.45,693671.0
2019-12-27,194.88,195.58,194.01,195.2,490838.0
2019-12-30,195.2,195.5,192.71,193.61,755163.0
2019-12-31,193.33,194.42,192.93,194.13,800706.0
2020-01-02,195.05,196.8,194.27,196.8,1458845.0
2020-01-03,193.19,196.59,193.19,196.44,2003662.0
2020-01-06,195.17,196.17,194.2,195.93,2076791.0
2020-01-07,196.52,197.73,195.13,196.71,1478895.0
2020-01-08,196.82,199.35,195.98,197.63,1133635.0
2020-01-09,198.82,198.98,197.63,198.3,1812005.0
2020-01-10,198.91,200.72,197.23,197.55,1459443.0
2020-01-13,197.21,200.38,196.74,200.28,1418391.0
2020-01-14,200.39,203.43,199.97,201.7,1315939.0
2020-01-15,201.76,203.84,200.82,202.89,1584635.0
2020-01-16,203.98,206.6,203.71,206.25,1851385.0
2020-01-17,205.19,209.4,203.85,209.32,2247150.0
2020-01-21,208.5,208.81,203.78,204.62,1455191.0
2020-01-22,205.55,205.62,202.57,203.14,1447827.0
2020-01-23,202.35,208.84,201.71,208.61,1301547.0
2020-01-24,208.0,209.9,206.91,207.86,1129449.0
2020-01-27,203.26,205.83,202.6,202.66,1314136.0
2020-01-28,203.0,205.72,202.56,204.76,1456551.0
2020-01-29,217.2,219.88,214.83,214.83,3193419.0
2020-01-30,212.19,215.095,211.54,214.5,1917132.0
2020-01-31,212.26,212.75,207.52,208.21,2163343.0
2020-02-03,209.92,210.4,206.73,206.99,1971772.0
2020-02-04,209.44,213.27,209.2,211.87,2551182.0
2020-02-05,214.87,214.95,213.17,213.8,1409799.0
2020-02-06,213.46,214.54,212.02,212.68,1001820.0
2020-02-07,211.34,212.1,208.98,210.18,2259976.0
2020-02-10,208.92,209.79,207.66,209.25,2338347.0
2020-02-11,210.63,213.31,209.07,209.17,1425218.0
2020-02-12,210.77,212.73,209.88,210.92,891738.0
2020-02-13,209.7,211.38,209.0,210.49,848564.0
2020-02-14,210.44,211.21,208.79,209.35,711434.0
2020-02-18,208.61,210.39,207.03,208.02,977579.0
2020-02-19,208.67,210.45,208.25,209.17,703374.0
2020-02-20,209.15,211.09,208.14,210.81,949140.0
2020-02-21,210.79,211.61,206.8,208.05,1363390.0
2020-02-24,201.28,203.66,200.0,203.0,1557338.0
2020-02-25,203.57,203.83,193.93,194.85,2170978.0
2020-02-26,195.44,196.99,189.42,190.07,1956013.0
2020-02-27,185.84,193.05,183.26,184.28,4335716.0
2020-02-28,179.21,182.58,176.4,182.35,3173527.0
2020-03-02,183.74,184.62,177.49,182.59,2540581.0
2020-03-03,182.32,187.63,175.09,176.86,2129623.0
2020-03-04,179.48,184.48,177.64,184.24,1832080.0
2020-03-05,177.48,179.52,174.0,175.35,1912416.0
2020-03-06,168.86,175.25,168.04,174.6,2163606.0
2020-03-09,159.46,164.25,151.37,154.5,3101149.0
2020-03-10,160.89,161.89,152.41,160.51,2673410.0
2020-03-11,155.67,156.97,148.63,151.36,2527804.0
2020-03-12,137.33,141.93,129.24,133.5,3938172.0
2020-03-13,141.24,147.35,136.27,146.86,3268464.0
2020-03-16,132.52,141.86,126.34,126.44,2617569.0
2020-03-17,128.56,142.13,125.53,139.59,2661982.0
2020-03-18,129.07,132.71,119.29,130.84,2745043.0
2020-03-19,128.33,139.31,125.84,136.33,2349133.0
2020-03-20,138.77,138.77,123.51,123.71,2712111.0
2020-03-23,121.83,123.84,112.62,118.88,3417414.0
2020-03-24,127.02,141.12,125.81,140.23,2723024.0
2020-03-25,137.0,150.74,135.95,140.4,2947732.0
2020-03-26,143.19,149.1,140.3,146.92,2522640.0
2020-03-27,140.82,146.62,138.71,143.36,1565294.0
2020-03-30,143.34,149.92,142.04,148.29,2010023.0
2020-03-31,147.03,149.89,144.72,146.0,2316788.0
2020-04-01,138.69,142.42,137.81,140.01,2067650.0
2020-04-02,138.09,144.11,136.65,143.72,2982390.0
2020-04-03,143.3,144.38,140.68,142.32,2285901.0
2020-04-06,150.74,155.9,149.81,154.75,2698135.0
2020-04-07,159.69,161.99,153.04,153.53,2062354.0
2020-04-08,155.46,160.26,154.26,158.97,1385877.0
2020-04-09,160.36,164.67,157.02,159.3,2213636.0
2020-04-13,159.13,159.3,152.75,154.29,1335708.0
2020-04-14,156.69,158.99,154.3,155.49,1093789.0
2020-04-15,151.19,154.48,150.28,153.85,1282169.0
2020-04-16,153.05,153.6,149.53,153.25,1356334.0
2020-04-17,157.41,161.42,155.99,160.67,1752038.0
2020-04-20,158.18,158.64,151.41,153.7,1697980.0
2020-04-21,149.27,151.67,147.37,150.0,2496426.0
2020-04-22,153.01,155.33,150.73,153.78,1541492.0
2020-04-23,156.95,160.09,154.58,155.86,1968560.0
2020-04-24,157.24,161.09,155.32,160.68,1691082.0
2020-04-27,163.1,167.81,161.46,166.87,1705069.0
2020-04-28,170.64,172.74,167.58,170.64,1991930.0
2020-04-29,178.33,184.85,177.19,180.33,2290410.0
2020-04-30,174.2,178.85,170.42,171.1,2205399.0
2020-05-01,168.63,170.9,166.59,170.73,1505220.0
2020-05-04,169.75,169.75,164.91,168.01,1226670.0
2020-05-05,170.37,173.0,170.3,171.36,977997.0
2020-05-06,172.09,173.83,167.77,168.19,1107063.0
2020-05-07,170.37,172.81,168.82,169.58,1046001.0
2020-05-08,171.91,175.26,171.46,174.75,768402.0
2020-05-11,172.94,175.32,171.45,174.06,890544.0
2020-05-12,173.7,174.12,166.69,166.79,1388886.0
2020-05-13,165.39,166.17,161.85,164.54,1325351.0
2020-05-14,162.29,166.86,157.48,166.59,1266333.0
2020-05-15,164.18,164.71,159.13,160.36,2041325.0
2020-05-18,167.41,172.03,165.48,170.73,1314297.0
2020-05-19,170.31,172.92,167.47,167.66,1345511.0
2020-05-20,172.86,176.36,171.47,173.66,1311609.0
2020-05-21,172.69,173.3,168.83,170.56,1178859.0
2020-05-22,171.15,172.22,169.41,171.47,1151148.0
2020-05-26,177.0,181.3,175.63,179.72,1326592.0
2020-05-27,181.72,185.39,181.6,184.98,1332164.0
2020-05-28,186.21,186.38,179.51,180.26,1314080.0
2020-05-29,179.78,180.17,177.36,178.29,2190335.0
2020-06-01,178.12,179.8,175.8,178.34,1937444.0
2020-06-02,180.35,185.14,179.97,184.06,1769337.0
2020-06-03,187.45,193.78,185.88,192.42,1761485.0
2020-06-04,190.49,193.22,190.13,191.5,1321101.0
2020-06-05,200.0,200.55,193.69,194.25,1955317.0
2020-06-08,194.42,197.48,190.86,191.49,1532198.0
2020-06-09,188.57,193.05,186.72,192.05,1370339.0
2020-06-10,191.8,192.1,188.48,188.55,1575197.0
2020-06-11,182.26,183.0,174.06,174.26,1394820.0
2020-06-12,179.85,180.78,173.38,178.18,1323247.0
2020-06-15,172.66,178.91,171.29,177.61,1208680.0
2020-06-16,185.0,185.0,176.39,178.73,1390656.0
2020-06-17,180.04,180.29,176.52,176.97,1106715.0
2020-06-18,175.68,176.6,173.69,174.38,1567175.0
2020-06-19,176.37,176.78,169.06,170.26,2572705.0
2020-06-22,169.98,171.5,167.62,171.47,1507600.0
2020-06-23,173.79,175.8,172.39,174.49,1664641.0
2020-06-24,172.76,173.93,168.7,169.15,1981319.0
2020-06-25,168.85,171.89,166.0,171.68,1163500.0
2020-06-26,170.72,172.51,167.41,169.81,2105491.0
2020-06-29,170.55,172.995,169.063,172.68,1060231.0
2020-06-30,172.12,176.93,171.9,175.57,1257756.0
2020-07-01,175.76,177.63,170.79,171.52,1117179.0
2020-07-02,176.05,177.73,173.33,174.51,964105.0
2020-07-06,177.41,179.66,176.76,178.62,1245429.0
2020-07-07,176.24,178.34,173.84,174.12,1055807.0
2020-07-08,174.13,175.31,172.53,175.26,1214218.0
2020-07-09,174.66,175.35,169.62,170.91,1815022.0
2020-07-10,170.81,171.69,169.15,170.85,1283331.0
2020-07-13,172.38,177.41,171.28,175.13,1144567.0
2020-07-14,174.05,178.4,173.39,177.93,1045275.0
2020-07-15,181.31,182.14,179.16,181.28,1357341.0
2020-07-16,181.0,185.79,180.3,182.92,1431254.0
2020-07-17,184.17,189.02,183.82,188.25,1979440.0
2020-07-20,186.77,187.74,184.34,186.17,1942997.0
2020-07-21,186.5,189.77,186.24,187.18,1335122.0
2020-07-22,186.0,191.18,185.93,189.08,1435963.0
2020-07-23,187.91,188.8,185.76,186.98,1844556.0
2020-07-24,187.01,188.36,186.615,187.01,1099318.0
2020-07-27,186.47,190.735,185.17,189.93,1418345.0
2020-07-28,189.33,189.91,184.21,185.1,1850774.0
2020-07-29,188.07,193.88,185.19,192.82,2315587.0
2020-07-30,190.96,191.08,186.15,188.87,1631706.0
2020-07-31,187.29,193.22,184.92,192.21,1746247.0
2020-08-03,192.38,193.18,188.56,190.47,1224297.0
2020-08-04,189.46,192.55,189.03,192.39,1319943.0
2020-08-05,193.93,194.73,192.21,193.06,1135776.0
2020-08-06,191.78,196.4,191.54,195.77,1388366.0
2020-08-07,195.07,199.35,195.07,198.99,1375375.0
2020-08-10,201.0,204.61,200.43,204.5,1942739.0
2020-08-11,206.77,211.72,205.78,206.08,1891844.0
2020-08-12,207.0,208.35,204.81,204.85,1397845.0
2020-08-13,203.77,205.17,203.12,204.38,806895.0
2020-08-14,204.25,208.295,203.445,206.61,977762.0
2020-08-17,207.34,209.96,206.61,208.35,997718.0
2020-08-18,208.95,209.24,205.59,206.33,934874.0
2020-08-19,207.25,207.87,205.32,205.4,800125.0
2020-08-20,204.08,207.44,203.13,206.23,770728.0
