date,Open,High,Low,Close,Volume
2019-08-20,46.92,46.97,45.97,46.09,2136898.0
2019-08-21,46.73,47.34,46.56,46.89,1914222.0
2019-08-22,46.86,47.32,46.3,46.78,1852494.0
2019-08-23,45.95,46.86,45.22,45.43,2542022.0
2019-08-26,46.41,46.85,46.09,46.56,2377241.0
2019-08-27,46.94,46.99,46.1,46.51,2693103.0
2019-08-28,46.59,47.38,46.24,46.82,1865213.0
2019-08-29,47.65,48.2,47.51,47.9,1765918.0
2019-08-30,48.45,48.89,47.84,48.06,2746986.0
2019-09-03,47.51,47.81,46.7,47.41,2351592.0
2019-09-04,48.2,49.22,48.17,49.15,2853684.0
2019-09-05,49.97,51.87,49.6,51.76,3425331.0
2019-09-06,51.76,52.27,51.49,51.98,2983589.0
2019-09-09,53.75,54.9,52.89,54.78,3968593.0
2019-09-10,54.62,55.05,53.66,54.51,4172143.0
2019-09-11,54.83,56.24,54.26,56.22,3430998.0
2019-09-12,56.05,56.66,55.31,56.36,4103213.0
2019-09-13,56.37,56.85,55.6,56.57,3102568.0
2019-09-16,56.64,57.01,56.1,56.84,3256519.0
2019-09-17,56.27,56.84,55.21,56.54,3034474.0
2019-09-18,56.24,56.52,54.3,54.93,2541689.0
2019-09-19,55.1,55.44,54.31,54.43,2262991.0
2019-09-20,54.42,54.8,53.81,54.1,4895591.0
2019-09-23,54.03,54.87,53.5,54.53,1949879.0
2019-09-24,54.52,54.6,52.63,52.96,2977521.0
2019-09-25,52.78,54.05,52.61,53.81,1861622.0
2019-09-26,54.13,54.13,52.88,53.69,1696215.0
2019-09-27,53.93,54.65,53.58,53.91,1459758.0
2019-09-30,52.73,53.17,52.27,52.51,3226434.0
2019-10-01,53.07,53.54,51.49,51.99,2328638.0
2019-10-02,51.44,51.68,50.53,51.38,2535928.0
2019-10-03,50.73,51.52,50.22,51.42,2196941.0
2019-10-04,51.63,52.09,51.18,52.06,1778812.0
2019-10-07,51.9,52.9,51.89,52.03,1692084.0
2019-10-08,51.41,51.42,50.54,50.56,1905954.0
2019-10-09,51.07,51.84,50.91,51.37,1416621.0
2019-10-10,49.04,50.53,48.81,49.78,3990595.0
2019-10-11,50.49,51.91,50.39,51.49,2060791.0
2019-10-14,51.51,52.38,51.2,52.2,1762977.0
2019-10-15,52.23,53.11,51.85,53.04,1740988.0
2019-10-16,53.13,53.64,52.91,53.22,1327606.0
2019-10-17,53.44,54.04,53.24,54.02,1599350.0
2019-10-18,53.96,53.98,53.04,53.49,1682389.0
2019-10-21,54.14,55.43,53.9,54.57,2665093.0
2019-10-22,54.66,55.59,54.15,55.18,1538687.0
2019-10-23,55.21,56.12,55.12,56.01,1689348.0
2019-10-24,56.32,56.47,54.78,55.45,1596802.0
2019-10-25,55.54,56.4,55.28,56.01,1437283.0
2019-10-28,56.31,56.64,55.67,55.86,2223227.0
2019-10-29,55.78,55.93,55.35,55.47,1645628.0
2019-10-30,55.29,56.41,55.0,56.37,1558774.0
2019-10-31,56.18,56.36,55.42,55.88,1983381.0
2019-11-01,56.45,57.11,55.67,57.09,2217048.0
2019-11-04,57.91,58.69,57.44,57.92,2201344.0
2019-11-05,57.92,59.71,57.75,59.53,2665947.0
2019-11-06,59.32,59.7,57.84,57.88,2771252.0
2019-11-07,58.37,59.5,58.25,58.94,1742054.0
2019-11-08,58.63,59.49,58.26,59.41,1597695.0
2019-11-11,59.22,60.2,58.91,59.87,1978066.0
2019-11-12,60.16,60.24,59.51,60.14,2005050.0
2019-11-13,60.01,60.94,59.9,60.07,4540323.0
2019-11-14,59.86,63.0,59.5,61.98,7651616.0
2019-11-15,62.49,63.07,61.76,62.87,2456797.0
2019-11-18,62.56,63.79,62.17,63.49,2389762.0
2019-11-19,63.8,63.93,62.0,62.9,2972750.0
2019-11-20,62.33,62.87,61.08,61.44,2471282.0
2019-11-21,61.65,61.85,60.65,60.7,2246859.0
2019-11-22,60.92,61.28,60.45,61.23,2502154.0
2019-11-25,61.77,62.98,61.26,62.65,2196193.0
2019-11-26,62.42,62.59,60.18,60.51,4633615.0
2019-11-27,60.56,60.92,60.15,60.55,1654860.0
2019-11-29,60.47,61.07,60.47,60.59,838660.0
2019-12-02,60.1,60.74,59.38,59.42,1802810.0
2019-12-03,58.43,58.68,57.64,58.58,2101352.0
2019-12-04,59.16,59.63,58.71,59.34,1625280.0
2019-12-05,60.0,60.45,59.36,60.08,1477963.0
2019-12-06,60.85,61.5,60.72,61.03,1937679.0
2019-12-09,60.78,61.37,60.51,60.53,1802172.0
2019-12-10,60.53,60.92,60.14,60.36,1250149.0
2019-12-11,60.42,60.72,60.25,60.66,1272790.0
2019-12-12,60.82,62.81,60.07,62.73,2440036.0
2019-12-13,62.23,63.3,61.92,63.24,2444801.0
2019-12-16,63.95,64.49,63.51,63.54,2323267.0
2019-12-17,63.91,64.0,63.14,63.46,1459553.0
2019-12-18,63.46,63.92,62.9,62.97,1432085.0
2019-12-19,63.33,63.71,62.87,63.23,1957390.0
2019-12-20,63.29,63.69,61.76,62.07,5612734.0
2019-12-23,62.38,63.3,62.25,62.8,1693014.0
2019-12-24,62.9,63.25,62.4,62.86,541937.0
2019-12-26,62.96,63.28,62.22,62.52,1210530.0
2019-12-27,62.77,62.77,61.39,61.43,1130348.0
2019-12-30,61.47,61.78,60.94,61.53,1547982.0
2019-12-31,61.3,62.28,61.26,62.25,1727103.0
2020-01-02,61.97,62.82,61.8,62.77,1596424.0
2020-01-03,61.95,62.49,61.21,61.7,1429842.0
2020-01-06,61.13,62.01,61.12,61.55,1005407.0
2020-01-07,61.67,62.2,61.24,61.95,1575045.0
2020-01-08,62.23,63.38,61.98,63.14,1801512.0
2020-01-09,63.62,64.17,62.97,63.46,2009173.0
2020-01-10,63.6,63.71,62.85,63.13,1794528.0
2020-01-13,63.39,64.47,63.39,64.11,1621221.0
2020-01-14,64.04,64.28,63.61,63.78,1433315.0
2020-01-15,63.95,64.54,63.83,64.19,1470096.0
2020-01-16,64.49,65.38,64.19,65.38,2221606.0
2020-01-17,63.32,63.81,61.93,62.42,4240649.0
2020-01-21,62.16,62.6,60.41,60.56,2618863.0
2020-01-22,60.83,61.27,60.17,60.47,2119687.0
2020-01-23,60.59,60.62,59.08,60.57,2171086.0
2020-01-24,60.55,60.91,59.06,59.81,1486583.0
2020-01-27,58.4,58.89,57.76,58.16,2043230.0
2020-01-28,58.3,58.4,56.85,56.92,3157582.0
2020-01-29,57.13,57.13,55.5,55.54,2950131.0
2020-01-30,54.8,55.69,54.07,54.85,2411331.0
2020-01-31,54.58,54.69,53.17,53.4,2271154.0
2020-02-03,53.5,54.8,53.49,54.04,1764325.0
2020-02-04,55.31,56.44,55.1,55.88,1900977.0
2020-02-05,57.03,57.97,56.73,57.8,2236972.0
2020-02-06,58.06,58.46,57.34,58.15,1166894.0
2020-02-07,57.84,57.9,57.24,57.34,1252540.0
2020-02-10,56.88,58.1,56.88,58.06,1551400.0
2020-02-11,58.76,59.82,58.37,59.08,2268872.0
2020-02-12,59.45,60.96,59.22,60.82,4480500.0
2020-02-13,53.48,55.6,53.2,55.18,10365907.0
2020-02-14,55.26,55.34,53.68,54.24,3217318.0
2020-02-18,53.97,54.14,52.76,53.43,2635263.0
2020-02-19,53.16,54.17,53.05,53.21,1935986.0
2020-02-20,53.2,53.8,52.68,53.71,2462874.0
2020-02-21,53.25,53.35,51.86,52.0,3233556.0
2020-02-24,50.5,50.73,49.68,50.1,2601680.0
2020-02-25,50.65,51.0,48.42,48.8,2715927.0
2020-02-26,49.46,50.29,48.25,48.48,2239577.0
2020-02-27,47.39,48.66,46.39,46.87,3494936.0
2020-02-28,45.0,46.84,44.89,46.72,5531142.0
2020-03-02,47.04,47.62,45.81,47.57,3145734.0
2020-03-03,47.01,48.19,45.26,45.91,2558002.0
2020-03-04,46.42,46.42,45.34,46.34,2766289.0
2020-03-05,44.99,45.38,43.71,43.93,2353609.0
2020-03-06,42.16,44.15,41.75,44.0,4223835.0
2020-03-09,41.16,42.57,39.73,39.86,2770235.0
2020-03-10,41.54,43.51,40.41,43.49,3980939.0
