date,Open,High,Low,Close,Volume
2019-08-20,3535.0,3600.0,3512.52,3575.0,20656.0
2019-08-21,3582.02,3649.45,3568.0,3609.24,19756.0
2019-08-22,3630.61,3720.0,3611.0,3662.73,20122.0
2019-08-23,3652.0,3685.39,3536.3,3546.23,24880.0
2019-08-26,3554.0,3615.94,3540.0,3598.64,20705.0
2019-08-27,3600.0,3637.0,3571.0,3591.89,26812.0
2019-08-28,3561.0,3639.98,3548.0,3608.66,14052.0
2019-08-29,3625.3,3648.12,3583.65,3632.09,11240.0
2019-08-30,3646.0,3646.0,3581.73,3599.0,15628.0
2019-09-03,3598.85,3620.49,3550.0,3599.23,17405.0
2019-09-04,3600.3,3688.35,3600.3,3671.0,30269.0
2019-09-05,3700.0,3700.0,3543.58,3585.6,25491.0
2019-09-06,3589.0,3749.21,3580.03,3649.75,25604.0
2019-09-09,3670.0,3767.0,3652.2,3766.27,46427.0
2019-09-10,3753.0,3770.0,3631.32,3674.9,31906.0
2019-09-11,3688.0,3710.54,3640.24,3675.0,21734.0
2019-09-12,3715.0,3730.0,3666.06,3680.06,16535.0
2019-09-13,3680.25,3719.87,3615.85,3624.81,14796.0
2019-09-16,3612.37,3625.0,3574.94,3576.34,23491.0
2019-09-17,3569.9,3662.5,3568.0,3636.49,18591.0
2019-09-18,3625.1,3725.0,3617.5,3698.69,26140.0
2019-09-19,3698.2,3719.5,3658.0,3665.66,21527.0
2019-09-20,3672.5,3722.26,3632.55,3635.25,34849.0
2019-09-23,3573.5,3618.96,3457.92,3502.99,77109.0
2019-09-24,3503.77,3546.0,3496.74,3523.38,78999.0
2019-09-25,3528.28,3624.99,3472.0,3575.0,788480.0
2019-09-26,3591.55,3656.45,3591.55,3611.92,36210.0
2019-09-27,3619.03,3647.85,3609.52,3626.69,39261.0
2019-09-30,3643.0,3728.75,3631.04,3717.35,29892.0
2019-10-01,3715.1,3794.1,3691.2,3718.71,28035.0
2019-10-02,3734.9,3747.5,3631.0,3634.93,31230.0
2019-10-03,3638.0,3668.5,3576.59,3603.85,24283.0
2019-10-04,3606.0,3718.61,3606.0,3706.34,22834.0
2019-10-07,3685.15,3710.0,3663.62,3676.75,21256.0
2019-10-08,3660.0,3738.53,3660.0,3693.91,22720.0
2019-10-09,3701.5,3722.49,3636.28,3654.92,17579.0
2019-10-10,3642.49,3642.49,3566.07,3602.6,27154.0
2019-10-11,3619.7,3619.89,3566.43,3572.04,27397.0
2019-10-14,3594.88,3627.0,3584.04,3621.82,22317.0
2019-10-15,3634.1,3680.0,3634.1,3650.13,19725.0
2019-10-16,3641.0,3706.36,3630.93,3705.84,21647.0
2019-10-17,3715.86,3799.0,3697.78,3779.41,31835.0
2019-10-18,3776.2,3894.67,3731.41,3892.89,31203.0
2019-10-21,3900.0,3946.5,3807.59,3820.0,29381.0
2019-10-22,3834.13,3844.76,3779.0,3779.0,21349.0
2019-10-23,3796.18,3829.94,3766.0,3775.06,16241.0
2019-10-24,3801.0,3801.13,3750.0,3759.51,14708.0
2019-10-25,3740.12,3786.49,3699.98,3727.75,21829.0
2019-10-28,3723.0,3733.65,3635.45,3643.65,36669.0
2019-10-29,3643.65,3670.0,3617.42,3631.51,33058.0
2019-10-30,3617.22,3628.69,3555.1,3622.09,32230.0
2019-10-31,3614.47,3659.8,3614.47,3636.59,29265.0
2019-11-01,3651.9,3702.68,3650.64,3669.51,18298.0
2019-11-04,3689.02,3689.02,3402.0,3422.48,46017.0
2019-11-05,3412.9,3412.9,3315.61,3390.44,54025.0
2019-11-06,3408.88,3555.44,3408.88,3515.0,52086.0
2019-11-07,3499.81,3520.21,3400.0,3427.42,50745.0
2019-11-08,3423.83,3464.0,3386.11,3423.25,25216.0
2019-11-11,3424.8,3593.05,3424.8,3590.39,37791.0
2019-11-12,3614.27,3654.9,3520.0,3588.06,42200.0
2019-11-13,3588.06,3641.15,3572.15,3594.07,20460.0
2019-11-14,3585.3,3693.54,3580.27,3687.42,36315.0
2019-11-15,3694.03,3705.0,3565.0,3595.17,27244.0
2019-11-18,3595.0,3700.15,3576.36,3652.64,28651.0
2019-11-19,3692.94,3725.0,3636.2,3657.3,34037.0
2019-11-20,3677.7,3759.22,3603.48,3632.19,33282.0
2019-11-21,3631.06,3693.98,3614.26,3665.55,25027.0
2019-11-22,3670.14,3729.78,3665.7,3689.54,25412.0
2019-11-25,3704.32,3742.0,3685.96,3720.88,29826.0
2019-11-26,3734.98,3810.11,3709.19,3806.99,70422.0
2019-11-27,3807.2,3827.72,3755.82,3803.18,32765.0
2019-11-29,3770.55,3820.96,3770.55,3791.89,12447.0
2019-12-02,3771.11,3783.75,3675.85,3758.0,25854.0
2019-12-03,3750.0,3778.95,3711.01,3720.28,26554.0
2019-12-04,3724.46,3798.8,3689.4,3783.35,35426.0
2019-12-05,3789.09,3868.25,3777.85,3854.48,25780.0
2019-12-06,3894.95,3899.98,3722.0,3760.62,34773.0
2019-12-09,3748.63,3833.88,3745.02,3804.1,22662.0
2019-12-10,3810.62,3855.58,3773.5,3820.0,24053.0
2019-12-11,3820.4,3855.12,3815.49,3838.02,18093.0
2019-12-12,3829.25,3842.01,3746.1,3752.95,30044.0
2019-12-13,3740.0,3812.94,3740.0,3798.35,24038.0
2019-12-16,3785.52,3912.47,3785.52,3860.0,33332.0
2019-12-17,3888.7,3906.0,3789.43,3817.27,37326.0
2019-12-18,3820.0,3824.93,3716.03,3735.75,35407.0
2019-12-19,3756.78,3760.75,3689.4,3705.49,30759.0
2019-12-20,3730.91,3847.73,3718.92,3840.74,87476.0
2019-12-23,3855.79,3873.0,3782.56,3786.71,22829.0
