date,Open,High,Low,Close,Volume
2019-08-20,165.91,167.43,164.04,164.22,627600.0
2019-08-21,165.77,166.73,164.85,165.53,492300.0
2019-08-22,165.98,166.46,163.39,164.8,403500.0
2019-08-23,164.39,164.39,158.42,158.93,469900.0
2019-08-26,159.62,161.38,158.38,160.94,415400.0
2019-08-27,162.12,162.12,159.18,159.51,284700.0
2019-08-28,158.31,162.55,156.92,160.45,500000.0
2019-08-29,162.06,164.41,161.0,162.07,469500.0
2019-08-30,162.91,164.76,162.61,163.76,464400.0
2019-09-03,161.82,168.62,158.08,159.42,572000.0
2019-09-04,161.1,162.56,159.7,161.31,484900.0
2019-09-05,162.95,165.95,162.95,164.68,671000.0
2019-09-06,165.08,165.33,163.68,164.75,297700.0
2019-09-09,164.95,167.28,163.26,167.01,756100.0
2019-09-10,166.87,172.56,160.56,172.4,634500.0
2019-09-11,172.18,175.01,171.12,174.62,480500.0
2019-09-12,174.65,176.22,172.21,173.71,426900.0
2019-09-13,174.79,174.98,172.88,173.92,249100.0
2019-09-16,171.92,174.55,170.16,174.24,316800.0
2019-09-17,173.66,174.45,172.05,174.0,346300.0
2019-09-18,172.99,174.3,170.25,173.89,347900.0
2019-09-19,174.08,174.88,170.77,171.13,407300.0
2019-09-20,171.53,171.9,169.25,169.65,844900.0
2019-09-23,169.81,171.04,169.41,170.3,322200.0
2019-09-24,171.59,172.32,167.54,167.77,355400.0
2019-09-25,167.66,174.22,167.37,173.24,488900.0
2019-09-26,173.0,175.57,172.39,174.52,480200.0
2019-09-27,170.11,172.94,169.82,172.06,475800.0
2019-09-30,172.14,173.43,168.97,169.97,576500.0
2019-10-01,171.01,172.78,165.1,165.52,416200.0
2019-10-02,164.71,164.8,160.56,161.75,604400.0
2019-10-03,161.88,163.33,158.21,162.89,459800.0
2019-10-04,163.58,165.3,161.94,162.76,362500.0
2019-10-07,162.49,165.56,161.2,164.6,587000.0
2019-10-08,162.57,164.89,161.5,161.78,389100.0
2019-10-09,163.05,166.33,163.04,165.39,322100.0
2019-10-10,165.06,168.97,165.06,166.71,244300.0
2019-10-11,168.44,172.69,168.44,171.0,464300.0
2019-10-14,171.0,172.77,169.72,171.24,219000.0
2019-10-15,169.56,174.55,169.54,173.06,479800.0
2019-10-16,172.58,177.21,172.58,175.56,550600.0
2019-10-17,175.68,178.2,175.2,176.4,404500.0
2019-10-18,176.42,179.41,176.13,178.53,498500.0
2019-10-21,179.96,181.82,178.71,179.89,447500.0
2019-10-22,179.95,181.08,178.12,181.04,407400.0
