date,Open,High,Low,Close,Volume
2019-08-20,77.81,78.07,76.74,77.45,1361296.0
2019-08-21,77.97,78.0,77.13,77.29,1067882.0
2019-08-22,77.55,78.01,77.03,77.36,983111.0
2019-08-23,77.1,77.52,75.09,75.37,1382335.0
2019-08-26,76.03,76.45,75.78,76.1,1176147.0
2019-08-27,76.68,76.71,75.04,75.4,1507130.0
2019-08-28,75.12,75.75,74.63,75.6,992553.0
2019-08-29,76.26,76.39,75.48,75.56,1413821.0
2019-08-30,76.08,76.33,75.77,76.06,1916854.0
2019-09-03,75.47,75.99,74.98,75.3,1535273.0
2019-09-04,76.06,76.81,75.98,76.63,1253106.0
2019-09-05,77.16,78.35,77.11,77.94,1300834.0
2019-09-06,78.22,78.81,77.51,77.54,1538989.0
2019-09-09,77.98,78.6,77.54,78.47,1121129.0
2019-09-10,78.53,82.06,78.14,82.06,2893151.0
2019-09-11,82.27,82.63,80.73,81.99,2005356.0
2019-09-12,82.01,82.05,80.22,80.81,1584166.0
2019-09-13,80.97,81.93,79.16,80.13,3525311.0
2019-09-16,79.58,79.76,78.9,78.97,1304951.0
2019-09-17,78.86,79.33,77.98,79.19,1594858.0
2019-09-18,79.17,79.56,78.56,79.25,1690994.0
2019-09-19,79.02,79.02,78.19,78.5,1207666.0
2019-09-20,78.62,78.65,77.47,77.87,2449273.0
2019-09-23,77.78,78.08,77.53,77.73,1562334.0
2019-09-24,78.1,79.22,77.75,78.7,2073858.0
2019-09-25,78.68,79.21,78.23,78.52,1363378.0
2019-09-26,78.44,78.89,76.69,76.88,1613405.0
2019-09-27,77.12,77.82,76.98,77.78,1286220.0
2019-09-30,77.89,79.11,77.89,78.3,1311959.0
2019-10-01,78.75,79.55,78.07,78.13,1293416.0
2019-10-02,77.43,77.62,76.28,77.17,1886919.0
2019-10-03,77.07,77.19,75.67,75.98,2139460.0
2019-10-04,76.74,77.68,76.65,77.02,1394295.0
2019-10-07,77.09,78.0,76.94,77.0,1467112.0
2019-10-08,76.47,76.5,74.89,74.97,1902387.0
2019-10-09,75.21,75.86,74.75,74.8,1950116.0
2019-10-10,74.7,75.93,72.54,73.17,3763085.0
2019-10-11,73.52,75.31,73.27,74.65,2213414.0
2019-10-14,74.77,75.93,74.68,75.16,3105632.0
2019-10-15,74.69,76.12,74.08,75.7,3078560.0
2019-10-16,75.43,75.95,74.3,75.52,2224583.0
2019-10-17,76.08,76.32,75.16,76.03,1241800.0
2019-10-18,75.57,75.78,74.91,75.38,1877826.0
2019-10-21,75.55,75.8,75.17,75.38,1278420.0
2019-10-22,75.38,76.77,75.15,76.47,2006937.0
2019-10-23,76.52,77.01,76.29,76.72,1402227.0
2019-10-24,76.77,76.87,74.93,76.49,1658887.0
2019-10-25,76.61,77.45,76.37,76.82,1119291.0
2019-10-28,76.99,77.72,76.85,77.0,1095843.0
2019-10-29,77.11,77.7,76.86,77.19,1073612.0
2019-10-30,76.96,77.38,76.26,77.36,1144938.0
2019-10-31,77.43,77.51,76.13,77.19,1219377.0
2019-11-01,77.42,77.63,76.81,77.05,1314007.0
2019-11-04,77.2,77.46,76.42,76.74,1163132.0
2019-11-05,77.11,79.04,76.82,79.0,1831809.0
2019-11-06,79.03,79.11,78.42,78.71,1316616.0
2019-11-07,79.19,80.46,79.08,80.27,1859838.0
2019-11-08,80.4,80.84,80.07,80.77,1572233.0
2019-11-11,80.02,80.19,78.76,79.11,1456990.0
2019-11-12,78.95,79.44,78.42,79.09,1345628.0
2019-11-13,79.08,79.08,77.92,77.99,1783740.0
2019-11-14,77.82,78.75,77.81,78.56,1380365.0
2019-11-15,79.07,79.15,78.17,78.79,3631932.0
2019-11-18,78.58,78.58,77.07,78.24,1709132.0
2019-11-19,78.67,78.79,78.13,78.67,1143384.0
2019-11-20,78.23,78.6,77.37,77.5,1518615.0
2019-11-21,77.49,78.21,77.0,77.95,1119063.0
2019-11-22,78.27,78.49,77.8,77.95,901617.0
2019-11-25,78.33,79.04,78.06,78.91,1282691.0
2019-11-26,79.18,79.34,78.6,79.27,1314547.0
2019-11-27,79.96,80.21,79.45,79.95,1218580.0
2019-11-29,80.0,80.09,79.46,79.48,984020.0
2019-12-02,79.5,79.82,79.0,79.37,1468022.0
2019-12-03,78.73,78.75,77.2,78.38,988841.0
2019-12-04,78.36,79.13,78.07,78.64,1187242.0
2019-12-05,78.76,79.45,78.54,79.3,1041726.0
2019-12-06,80.03,80.12,79.71,79.95,1255684.0
2019-12-09,79.76,80.3,79.56,80.06,1439463.0
2019-12-10,80.05,80.81,79.51,80.39,1479131.0
2019-12-11,80.79,81.39,80.19,80.84,1685256.0
2019-12-12,81.0,82.32,80.58,82.23,1205693.0
2019-12-13,82.34,82.73,81.81,82.04,1352648.0
2019-12-16,82.44,82.69,81.11,81.77,1460949.0
2019-12-17,81.4,81.54,80.76,81.01,1682713.0
2019-12-18,81.0,81.19,79.84,79.88,1800122.0
2019-12-19,79.44,79.76,79.2,79.61,1834661.0
2019-12-20,80.11,81.47,79.89,80.83,2851090.0
2019-12-23,80.86,81.06,80.35,80.71,1108736.0
2019-12-24,80.83,81.1,80.52,80.84,325081.0
2019-12-26,80.78,81.01,80.63,80.9,665094.0
2019-12-27,81.2,81.34,80.79,80.84,674308.0
2019-12-30,81.23,81.31,80.71,80.91,767077.0
2019-12-31,80.66,81.02,80.5,81.02,1148725.0
2020-01-02,81.15,81.17,78.96,79.87,1951390.0
2020-01-03,79.0,80.01,78.88,79.93,1018271.0
2020-01-06,79.39,79.67,78.96,79.53,1436602.0
2020-01-07,79.8,80.04,78.97,79.11,1598272.0
2020-01-08,79.35,79.95,79.25,79.32,1737407.0
2020-01-09,79.5,80.02,79.39,79.75,1838683.0
2020-01-10,79.75,80.09,79.18,79.25,1278648.0
2020-01-13,79.27,79.68,78.81,79.68,1622486.0
2020-01-14,79.44,79.83,79.28,79.63,1521201.0
2020-01-15,79.58,79.96,79.32,79.46,1181542.0
2020-01-16,79.73,79.89,79.38,79.7,1572102.0
2020-01-17,79.82,80.74,79.56,80.49,2673127.0
2020-01-21,80.41,81.0,80.14,80.27,2218956.0
2020-01-22,80.35,80.46,79.22,79.47,1806497.0
2020-01-23,79.07,79.19,77.81,78.75,1586967.0
2020-01-24,78.85,78.85,77.58,77.7,1714990.0
2020-01-27,76.59,77.42,76.07,76.87,2306815.0
2020-01-28,77.37,77.58,76.55,76.76,2490274.0
2020-01-29,76.91,77.0,76.1,76.21,1318485.0
2020-01-30,75.68,76.11,74.84,75.99,2364163.0
2020-01-31,76.09,76.36,75.05,75.31,3829181.0
2020-02-03,75.65,76.82,75.41,75.64,1944032.0
2020-02-04,76.47,77.13,76.22,76.73,2085967.0
2020-02-05,77.35,78.29,77.205,77.77,1801462.0
2020-02-06,78.31,78.94,76.57,76.59,1352830.0
2020-02-07,76.23,76.45,74.96,75.74,1867333.0
2020-02-10,75.68,77.01,75.65,77.0,3172428.0
2020-02-11,79.49,80.25,76.63,77.28,3727754.0
2020-02-12,78.0,79.29,77.45,78.85,2650768.0
2020-02-13,78.53,80.02,78.53,79.53,2695387.0
2020-02-14,79.75,79.75,77.57,78.14,1551926.0
2020-02-18,78.12,78.73,78.11,78.61,1902497.0
2020-02-19,78.77,79.07,78.49,78.62,1356000.0
2020-02-20,78.49,78.99,77.86,78.78,1405016.0
2020-02-21,78.38,78.57,77.47,78.27,2300314.0
2020-02-24,76.85,76.9,75.39,76.24,1946717.0
2020-02-25,76.35,76.44,73.49,74.02,2596929.0
2020-02-26,74.08,75.12,72.41,72.41,3233176.0
2020-02-27,70.73,72.01,69.49,69.52,4206856.0
2020-02-28,67.99,69.71,67.06,69.28,4338664.0
2020-03-02,69.41,70.47,67.55,70.36,3538401.0
2020-03-03,70.12,71.74,68.21,69.19,2445489.0
2020-03-04,70.15,71.11,69.37,70.98,2718395.0
