date,Open,High,Low,Close,Volume
2019-08-20,34.72,34.75,33.98,33.99,2749550.0
2019-08-21,33.99,34.34,33.72,34.25,1911905.0
2019-08-22,34.32,34.58,34.06,34.53,1585752.0
2019-08-23,34.53,34.92,34.04,34.15,2481278.0
2019-08-26,34.33,34.57,34.07,34.45,2833669.0
2019-08-27,34.67,35.16,34.59,34.59,3040878.0
2019-08-28,34.67,34.8,34.48,34.63,1821480.0
2019-08-29,34.79,34.82,34.49,34.75,2478292.0
2019-08-30,34.85,34.92,34.63,34.71,2668962.0
2019-09-03,34.88,35.74,34.84,35.54,3260845.0
2019-09-04,35.74,36.07,35.64,35.99,3139541.0
2019-09-05,35.78,35.89,35.09,35.35,3358328.0
2019-09-06,35.35,35.7,35.31,35.58,2155133.0
2019-09-09,35.45,35.51,35.05,35.21,2353232.0
2019-09-10,35.1,35.28,34.1,34.69,4374647.0
2019-09-11,34.53,34.89,34.23,34.6,3671338.0
2019-09-12,35.01,35.41,34.47,34.61,3563483.0
2019-09-13,34.47,34.6,33.66,33.74,3848419.0
2019-09-16,33.83,34.24,33.75,34.1,2319709.0
2019-09-17,34.26,35.17,34.22,35.11,3025851.0
2019-09-18,35.27,35.37,34.58,34.95,3559569.0
2019-09-19,35.05,35.23,34.91,35.09,2612835.0
2019-09-20,35.24,35.4,34.89,35.01,8425948.0
2019-09-23,34.91,35.35,34.91,35.06,2118320.0
2019-09-24,35.11,35.36,34.91,35.35,3979827.0
2019-09-25,35.28,35.42,34.96,35.09,2627900.0
2019-09-26,35.23,35.59,35.15,35.38,2088723.0
2019-09-27,35.46,35.63,35.1,35.52,2784049.0
2019-09-30,35.49,35.9,35.47,35.63,3213185.0
2019-10-01,35.64,35.81,35.32,35.71,2788420.0
2019-10-02,35.73,36.11,35.55,35.88,2977638.0
2019-10-03,35.81,36.45,35.79,36.19,3656842.0
2019-10-04,36.32,36.5,36.03,36.39,3457195.0
2019-10-07,36.23,36.55,36.19,36.32,2145894.0
2019-10-08,36.55,36.73,36.06,36.45,2506661.0
2019-10-09,36.57,36.8,36.36,36.45,2274844.0
2019-10-10,36.45,36.65,35.97,36.55,2896064.0
2019-10-11,36.54,36.61,36.21,36.35,2046196.0
2019-10-14,36.4,36.69,36.24,36.65,1455700.0
2019-10-15,36.66,36.84,36.17,36.71,2310837.0
2019-10-16,36.66,36.86,36.18,36.84,2828116.0
2019-10-17,36.84,37.04,36.71,37.0,1685636.0
2019-10-18,36.97,37.52,36.9,37.39,2174053.0
2019-10-21,37.33,37.59,37.14,37.57,1830442.0
2019-10-22,37.69,37.87,37.27,37.52,2354868.0
2019-10-23,37.56,37.93,37.38,37.93,2887443.0
2019-10-24,37.9,37.93,37.4,37.59,2573106.0
2019-10-25,37.35,37.39,36.09,36.3,3833894.0
2019-10-28,36.05,36.37,35.19,36.15,4201676.0
2019-10-29,36.15,36.79,36.15,36.4,2906642.0
2019-10-30,36.52,36.98,36.47,36.89,4033161.0
2019-10-31,37.02,37.85,36.5,37.62,5195668.0
2019-11-01,37.33,37.46,36.26,36.71,3895629.0
2019-11-04,36.58,36.58,35.67,35.78,4821946.0
2019-11-05,35.78,35.78,35.78,35.78,8031177.0
2019-11-06,34.4,34.81,34.22,34.53,6111290.0
2019-11-07,34.18,34.24,33.38,33.64,4003528.0
2019-11-08,33.59,33.83,33.38,33.69,4242895.0
2019-11-11,33.59,33.87,33.41,33.41,2811787.0
2019-11-12,33.4,33.95,33.23,33.25,4136480.0
2019-11-13,33.48,34.11,33.39,33.91,3456729.0
2019-11-14,34.15,34.15,33.76,33.99,2730574.0
2019-11-15,33.96,34.55,33.82,34.45,9046516.0
2019-11-18,34.41,35.04,34.4,34.75,3729014.0
2019-11-19,34.81,35.16,34.59,35.0,3362416.0
2019-11-20,34.95,35.36,34.67,35.09,3701761.0
2019-11-21,34.94,34.99,34.34,34.34,3303128.0
2019-11-22,34.47,34.66,34.13,34.4,3242586.0
2019-11-25,34.3,34.79,34.27,34.41,3931533.0
2019-11-26,34.4,34.91,34.38,34.86,16070868.0
2019-11-27,34.86,35.13,34.7,35.1,2539791.0
2019-11-29,35.1,35.37,34.88,34.88,1965468.0
