date,Open,High,Low,Close,Volume
2019-08-20,120.05,120.26,118.79,118.9,6744298.0
2019-08-21,119.27,119.65,118.68,119.2,4037412.0
2019-08-22,119.08,119.79,118.7,119.42,4558457.0
2019-08-23,119.14,120.11,116.43,117.32,7336907.0
2019-08-26,117.75,119.6,117.22,119.32,5661841.0
2019-08-27,119.99,121.05,119.78,120.55,6996550.0
2019-08-28,120.46,121.43,119.63,121.4,4597823.0
2019-08-29,121.79,122.0,120.32,121.18,5011487.0
2019-08-30,121.96,122.0,119.51,120.23,6007112.0
2019-09-03,119.79,121.54,119.63,121.36,4959292.0
2019-09-04,121.85,123.28,121.46,123.21,5586613.0
2019-09-05,123.24,123.43,122.18,122.76,7491855.0
2019-09-06,123.0,123.38,122.54,122.87,5306901.0
2019-09-09,122.71,122.78,121.78,122.17,7643404.0
2019-09-10,121.03,121.18,119.58,119.88,9581646.0
2019-09-11,119.86,121.34,119.36,121.27,7563792.0
2019-09-12,122.65,123.21,121.62,122.77,6194307.0
2019-09-13,121.82,122.58,121.5,122.12,6777399.0
2019-09-16,121.81,121.96,119.02,119.75,9611403.0
2019-09-17,119.63,121.99,119.44,121.16,6403020.0
2019-09-18,121.27,121.96,120.77,121.41,5788412.0
2019-09-19,121.39,122.23,121.24,121.9,4752602.0
2019-09-20,122.13,122.6,121.75,122.24,15422859.0
2019-09-23,122.2,123.77,121.97,123.22,6255786.0
2019-09-24,123.7,124.73,123.36,123.61,7810537.0
2019-09-25,123.56,123.83,122.95,123.02,5842073.0
2019-09-26,123.64,125.0,123.53,124.31,7057926.0
2019-09-27,124.41,124.88,123.72,124.57,5589808.0
2019-09-30,124.57,125.36,124.13,124.38,5227165.0
2019-10-01,124.36,124.64,123.2,123.85,5455940.0
2019-10-02,123.2,123.65,120.21,121.08,6799785.0
2019-10-03,121.67,122.54,120.84,121.74,5175148.0
2019-10-04,122.19,124.06,121.99,124.0,4405650.0
2019-10-07,123.53,123.89,122.68,122.84,4783788.0
2019-10-08,122.66,122.93,120.88,120.93,6193542.0
2019-10-09,121.81,122.39,121.43,121.98,3789785.0
2019-10-10,121.33,122.19,120.8,121.94,4117890.0
2019-10-11,122.04,122.06,120.82,121.09,6301551.0
2019-10-14,121.62,121.62,119.58,120.05,7383413.0
2019-10-15,120.19,120.56,116.7,117.2,11174737.0
2019-10-16,117.67,117.77,116.51,117.53,7997695.0
2019-10-17,117.31,117.64,116.55,116.63,5993352.0
2019-10-18,116.55,117.75,116.17,117.47,9016429.0
2019-10-21,117.42,119.12,117.35,119.08,7218664.0
2019-10-22,124.0,124.22,121.6,122.18,14487778.0
2019-10-23,121.99,123.73,121.84,123.0,8319580.0
2019-10-24,123.76,125.77,123.34,124.79,6745650.0
2019-10-25,124.82,124.82,123.17,123.25,6092239.0
2019-10-28,123.48,124.12,122.6,123.48,5459130.0
2019-10-29,123.2,124.56,123.1,123.6,5659825.0
2019-10-30,123.99,125.17,123.5,124.94,4734422.0
2019-10-31,124.79,125.45,123.36,124.51,6399419.0
2019-11-01,124.83,125.14,123.25,123.87,6010114.0
2019-11-04,123.92,123.92,118.64,119.07,10350034.0
2019-11-05,118.83,119.59,118.24,118.9,9234478.0
2019-11-06,119.1,120.35,118.66,120.32,6755900.0
2019-11-07,120.34,120.34,118.81,119.62,8909742.0
2019-11-08,119.85,120.59,119.16,119.7,4249862.0
2019-11-11,119.48,120.0,119.09,119.33,3850358.0
2019-11-12,119.49,119.6,118.55,119.27,4759405.0
2019-11-13,119.9,121.05,119.87,120.65,7279454.0
2019-11-14,120.62,121.17,120.11,120.5,5188323.0
2019-11-15,120.99,120.99,119.97,120.54,7108585.0
2019-11-18,120.25,122.56,120.17,121.89,7493694.0
2019-11-19,121.93,122.78,121.13,121.42,5988953.0
2019-11-20,121.42,122.38,120.93,122.29,6479595.0
2019-11-21,121.78,122.54,120.28,120.34,7094106.0
2019-11-22,120.23,120.61,119.39,120.29,4414949.0
2019-11-25,120.44,120.92,120.02,120.51,5134268.0
2019-11-26,120.73,122.35,120.41,122.26,8238615.0
2019-11-27,122.42,122.44,120.96,121.76,3751060.0
2019-11-29,121.99,122.63,121.71,122.06,2927290.0
2019-12-02,121.94,122.78,120.96,122.72,6146195.0
2019-12-03,122.31,122.96,121.8,122.95,6492697.0
2019-12-04,122.75,124.58,122.69,124.53,6857345.0
2019-12-05,124.27,124.63,123.66,124.62,7029171.0
2019-12-06,124.73,125.45,123.89,124.19,7150870.0
2019-12-09,124.31,125.14,124.18,124.87,7452765.0
2019-12-10,124.78,124.87,124.12,124.27,4740134.0
2019-12-11,124.27,125.27,124.07,124.66,4717202.0
2019-12-12,124.78,125.76,123.88,124.57,5897381.0
2019-12-13,124.21,125.74,123.79,125.47,5471590.0
2019-12-16,125.47,126.35,125.35,125.56,8281916.0
2019-12-17,125.59,125.98,124.31,125.31,8832191.0
2019-12-18,125.31,125.87,123.69,124.01,8607594.0
2019-12-19,124.16,125.2,123.9,124.92,6629092.0
2019-12-20,126.15,126.6,125.03,125.36,16250519.0
2019-12-23,125.52,125.82,124.69,124.9,6619530.0
2019-12-24,124.79,125.31,124.58,125.22,2022053.0
2019-12-26,125.1,125.75,124.87,125.22,4760426.0
2019-12-27,125.56,126.3,125.39,126.09,5192014.0
2019-12-30,125.76,125.98,124.14,124.47,3884343.0
2019-12-31,124.43,124.99,123.95,124.9,4798910.0
2020-01-02,124.5,124.73,122.94,123.41,8130493.0
2020-01-03,122.16,123.53,121.86,122.58,7970514.0
2020-01-06,122.57,123.19,122.38,122.75,6668540.0
2020-01-07,122.88,123.21,121.87,121.99,7583952.0
2020-01-08,122.19,123.43,122.0,122.51,5385050.0
2020-01-09,122.51,123.88,122.51,123.85,5943993.0
2020-01-10,123.9,124.32,123.3,123.97,3927056.0
2020-01-13,124.0,124.9,123.81,124.88,8409206.0
2020-01-14,124.65,125.2,124.48,124.69,7829661.0
2020-01-15,125.06,126.12,125.01,125.96,4843703.0
2020-01-16,126.11,126.78,125.59,126.07,6233709.0
2020-01-17,126.35,127.0,125.88,126.41,11314279.0
2020-01-21,126.41,126.62,124.84,126.09,8553058.0
2020-01-22,126.33,126.68,125.83,126.31,7389885.0
2020-01-23,124.3,126.55,123.65,124.99,11094894.0
2020-01-24,125.22,126.79,124.77,125.14,9507926.0
2020-01-27,124.75,126.39,124.75,125.69,9338366.0
2020-01-28,125.93,126.98,125.72,126.03,6200225.0
2020-01-29,125.91,126.07,125.03,125.06,5271002.0
2020-01-30,124.79,126.06,124.42,125.95,5894323.0
2020-01-31,125.99,126.95,124.46,124.62,6612044.0
2020-02-03,124.66,125.95,124.49,125.11,6052347.0
2020-02-04,125.71,127.35,125.36,125.66,6511673.0
2020-02-05,125.91,127.06,125.4,126.81,6125374.0
2020-02-06,126.9,128.09,126.6,127.14,9101130.0
2020-02-07,127.19,127.27,126.05,126.08,5915099.0
2020-02-10,126.46,126.83,125.76,126.17,5216051.0
2020-02-11,126.27,126.27,124.03,124.16,6104952.0
2020-02-12,123.68,123.97,122.85,123.45,6031715.0
2020-02-13,123.73,125.28,123.52,124.96,7158978.0
2020-02-14,125.29,126.15,124.79,126.14,5889118.0
2020-02-18,125.83,126.18,124.83,124.87,6767599.0
2020-02-19,124.85,126.47,124.65,125.44,4733009.0
2020-02-20,125.47,126.76,125.13,126.58,6094584.0
2020-02-21,126.13,128.07,125.98,126.7,8723867.0
2020-02-24,125.26,126.59,123.14,123.3,7533813.0
2020-02-25,123.02,123.96,120.88,121.43,8903063.0
2020-02-26,121.42,122.39,119.85,120.16,6889333.0
2020-02-27,119.12,119.92,113.43,113.5,13296811.0
2020-02-28,109.46,113.23,106.67,113.23,22784231.0
2020-03-02,113.19,119.79,112.55,119.56,12396701.0
2020-03-03,119.73,121.84,117.14,118.17,12510139.0
2020-03-04,119.88,124.69,119.6,124.5,9459193.0
2020-03-05,121.3,122.9,120.28,121.63,9363472.0
2020-03-06,118.03,122.61,117.55,121.66,9816841.0
2020-03-09,115.27,120.03,115.12,116.06,13108047.0
2020-03-10,118.96,120.82,114.44,120.55,11418302.0
2020-03-11,117.6,118.44,110.68,111.59,16405659.0
2020-03-12,103.0,111.58,101.0,101.84,20977097.0
2020-03-13,106.5,114.63,105.41,114.07,17232526.0
2020-03-16,101.75,115.95,101.0,108.5,17354933.0
2020-03-17,111.45,119.7,110.77,118.24,19431050.0
2020-03-18,113.02,121.5,112.09,117.45,23060349.0
2020-03-19,116.61,118.0,109.79,110.83,16427034.0
2020-03-20,109.19,109.7,101.59,102.43,19918850.0
2020-03-23,100.19,103.75,94.34,97.7,17772190.0
2020-03-24,101.23,104.0,96.07,103.27,14622330.0
2020-03-25,100.51,104.7,98.6,100.92,13787436.0
2020-03-26,103.88,108.31,102.53,107.38,15794283.0
2020-03-27,106.49,114.29,106.49,110.17,16072583.0
2020-03-30,113.9,115.79,110.2,115.0,14568010.0
2020-03-31,113.5,114.29,108.95,110.0,21684183.0
2020-04-01,107.95,112.18,107.0,109.33,11092492.0
2020-04-02,107.69,114.99,107.5,114.4,9167662.0
2020-04-03,113.74,115.9,113.01,115.08,7768513.0
2020-04-06,117.0,119.0,114.58,117.81,16846908.0
2020-04-07,116.71,120.06,112.5,112.77,14435950.0
2020-04-08,114.39,117.3,111.86,115.1,12563977.0
2020-04-09,115.26,118.66,114.2,114.66,12747011.0
2020-04-13,113.61,116.75,113.16,115.95,7911132.0
2020-04-14,118.76,121.47,116.25,120.96,10470763.0
2020-04-15,120.86,123.42,119.59,121.22,14174723.0
2020-04-16,122.35,122.5,119.9,121.5,11975467.0
2020-04-17,122.45,124.99,120.54,124.69,15897890.0
2020-04-20,121.47,123.23,120.54,120.6,10827744.0
2020-04-21,119.5,120.3,118.43,119.68,9463683.0
2020-04-22,119.99,120.28,118.78,119.4,10258797.0
2020-04-23,118.65,119.67,118.05,119.4,17275037.0
2020-04-24,119.1,119.76,118.62,118.78,12750998.0
2020-04-27,119.19,119.19,116.9,117.45,10632967.0
2020-04-28,117.1,117.91,116.17,116.89,9956368.0
2020-04-29,117.52,118.05,115.08,117.08,8702944.0
2020-04-30,115.92,118.28,115.66,117.87,10023428.0
2020-05-01,117.6,118.37,116.32,116.82,7366312.0
2020-05-04,117.09,117.2,115.0,115.77,5635194.0
2020-05-05,115.8,117.26,115.21,116.01,5425171.0
2020-05-06,115.54,116.14,112.89,113.1,7889029.0
2020-05-07,114.06,114.14,111.82,112.17,8762781.0
2020-05-08,113.52,116.3,113.39,115.95,9279935.0
2020-05-11,115.75,116.01,114.92,115.31,6946063.0
2020-05-12,115.2,115.9,114.14,114.55,6731018.0
2020-05-13,114.28,115.35,113.73,113.92,9310900.0
2020-05-14,113.54,114.45,111.25,113.81,9309637.0
2020-05-15,113.93,114.79,112.05,114.61,10694802.0
2020-05-18,116.03,116.99,114.71,116.21,10020526.0
2020-05-19,115.09,115.64,112.34,112.44,8043648.0
2020-05-20,113.0,113.77,112.13,113.28,6592844.0
2020-05-21,112.8,113.2,111.43,111.62,6602530.0
2020-05-22,112.29,113.6,111.76,112.6,5571923.0
2020-05-26,114.15,114.15,111.68,112.03,10431551.0
2020-05-27,112.5,113.97,111.82,113.89,8277750.0
2020-05-28,115.53,116.99,114.9,116.06,6586712.0
2020-05-29,116.13,116.72,114.62,115.92,7867972.0
2020-06-01,116.0,117.5,115.26,117.25,5104644.0
2020-06-02,117.07,118.14,116.82,118.06,6327113.0
2020-06-03,118.1,119.19,117.95,118.53,6170865.0
2020-06-04,118.0,118.83,115.57,116.05,6895807.0
2020-06-05,116.25,118.83,116.05,118.33,7335646.0
2020-06-08,117.44,119.12,116.84,119.05,6924600.0
2020-06-09,119.4,119.76,118.15,118.34,5560941.0
2020-06-10,119.0,119.89,118.11,119.23,6673363.0
2020-06-11,118.81,119.57,116.0,116.26,8936160.0
2020-06-12,116.59,118.05,115.26,115.62,7998450.0
2020-06-15,114.55,117.28,113.76,116.69,8785764.0
2020-06-16,118.53,118.97,116.93,118.13,8165082.0
2020-06-17,118.39,119.11,117.44,117.93,6320712.0
2020-06-18,117.46,119.96,117.37,119.28,6171958.0
2020-06-19,120.49,121.82,118.83,118.92,17506157.0
2020-06-22,118.78,119.08,117.34,117.75,5694412.0
2020-06-23,118.67,119.19,117.65,117.73,5340314.0
2020-06-24,117.22,117.96,116.28,116.42,6546633.0
2020-06-25,116.99,118.03,116.03,117.89,5487088.0
2020-06-26,117.59,118.47,115.04,115.23,23210656.0
2020-06-29,116.51,118.05,116.35,117.66,6866923.0
2020-06-30,117.97,119.99,117.8,119.57,7818006.0
2020-07-01,119.65,120.39,118.9,119.98,6506575.0
2020-07-02,121.0,122.57,120.53,120.88,6149897.0
2020-07-06,121.77,122.41,120.88,121.63,6022517.0
2020-07-07,121.3,123.25,120.89,122.22,6866349.0
2020-07-08,122.15,123.24,122.0,122.89,6493367.0
2020-07-09,122.82,123.98,121.81,122.48,5340471.0
2020-07-10,122.57,124.5,122.47,123.89,6752407.0
2020-07-13,124.0,125.59,123.34,124.05,7680531.0
2020-07-14,123.99,125.66,123.5,125.09,6271024.0
2020-07-15,125.98,126.9,124.26,124.5,8142598.0
2020-07-16,125.08,125.52,123.91,124.76,3959308.0
2020-07-17,125.09,126.07,124.83,125.63,4868578.0
2020-07-20,125.47,125.84,124.79,125.24,4241508.0
2020-07-21,125.49,126.64,124.92,125.07,5162335.0
2020-07-22,125.5,126.4,124.21,126.14,5929208.0
2020-07-23,126.12,127.18,125.6,126.16,6664788.0
2020-07-24,126.99,127.77,125.315,125.96,6014523.0
2020-07-27,125.71,126.64,125.54,126.32,6464784.0
2020-07-28,126.37,128.46,126.29,127.88,7644674.0
2020-07-29,127.56,129.24,127.36,128.31,6702034.0
2020-07-30,130.66,132.03,129.65,131.42,10400727.0
2020-07-31,130.0065,131.21,129.27,131.12,8487840.0
2020-08-03,130.47,131.92,130.47,131.29,7770344.0
2020-08-04,130.77,133.93,130.7,133.79,7737154.0
2020-08-05,133.59,134.65,133.12,133.44,5680385.0
2020-08-06,132.8502,133.37,132.12,132.71,3974322.0
2020-08-07,132.89,133.64,132.45,133.55,4934948.0
2020-08-10,133.7,134.4399,133.185,134.1,5812760.0
2020-08-11,134.27,134.7399,132.795,133.23,5330012.0
2020-08-12,133.77,135.97,133.7,135.46,5920397.0
2020-08-13,135.08,135.87,134.93,135.78,4989503.0
2020-08-14,135.61,135.64,134.55,135.1,5845231.0
2020-08-17,134.94,135.7,134.66,135.5,5590107.0
2020-08-18,135.81,137.52,135.42,136.51,8670776.0
2020-08-19,135.54,136.32,135.5,135.77,6827671.0
2020-08-20,135.24,136.98,135.19,136.85,4352541.0
