date,Open,High,Low,Close,Volume
2019-08-20,77.75,77.75,76.66,76.73,2824681.0
2019-08-21,77.46,77.67,77.02,77.3,1523907.0
2019-08-22,77.56,78.15,76.71,77.07,2328653.0
2019-08-23,76.96,77.97,74.67,75.15,2249396.0
2019-08-26,75.63,75.9,74.68,75.79,1844876.0
2019-08-27,76.24,76.47,74.96,74.96,2315081.0
2019-08-28,74.69,75.24,74.28,74.86,1620744.0
2019-08-29,75.28,76.08,74.85,75.79,3340438.0
2019-08-30,76.47,76.8,75.24,75.8,1897139.0
2019-09-03,75.11,76.21,74.91,75.62,2024337.0
2019-09-04,75.98,76.42,75.71,76.26,1441673.0
2019-09-05,77.11,77.6,76.33,76.53,3631125.0
2019-09-06,76.73,77.86,76.54,77.39,2509288.0
2019-09-09,77.98,77.98,76.7,76.74,1738250.0
2019-09-10,76.74,76.76,75.4,76.13,2866940.0
2019-09-11,76.08,76.46,75.61,76.28,1994989.0
2019-09-12,76.76,77.49,76.22,76.98,2226820.0
2019-09-13,73.51,73.91,71.17,72.68,13251865.0
2019-09-16,72.68,73.83,72.31,73.4,3769054.0
2019-09-17,73.53,74.21,73.21,74.02,3757919.0
2019-09-18,74.21,75.21,73.51,75.18,3634426.0
2019-09-19,75.11,76.2,74.92,75.78,3504013.0
2019-09-20,75.91,76.61,75.23,76.01,5368935.0
2019-09-23,75.61,76.62,75.6,76.38,3192991.0
2019-09-24,76.68,77.32,75.95,76.56,4437688.0
2019-09-25,76.71,77.11,75.71,76.91,2940200.0
2019-09-26,76.95,77.24,76.58,77.03,4500720.0
2019-09-27,77.29,77.46,76.42,77.1,4643734.0
2019-09-30,77.27,77.74,76.73,77.25,2892708.0
2019-10-01,77.59,77.83,75.76,75.93,2926886.0
2019-10-02,75.58,75.93,74.55,74.99,3667723.0
2019-10-03,75.06,75.55,74.63,75.39,2430654.0
2019-10-04,75.49,77.05,75.45,76.9,1959203.0
2019-10-07,76.74,76.79,75.67,75.76,2133997.0
2019-10-08,75.3,75.51,74.37,74.4,2995245.0
2019-10-09,75.0,75.18,74.58,75.01,2128430.0
2019-10-10,74.92,75.72,74.7,74.76,2945870.0
2019-10-11,75.34,76.09,75.17,75.22,3625820.0
2019-10-14,75.19,75.94,75.0,75.71,1375982.0
2019-10-15,75.87,75.97,74.72,74.97,3860411.0
2019-10-16,71.02,73.47,69.38,72.87,7430927.0
2019-10-17,73.54,73.85,71.24,71.47,6074818.0
2019-10-18,71.34,71.64,70.18,70.2,3871758.0
2019-10-21,70.48,70.54,66.93,70.0,4944524.0
2019-10-22,69.79,70.12,68.29,68.77,4383565.0
2019-10-23,68.82,69.26,67.94,68.4,3884656.0
2019-10-24,68.63,70.08,68.47,69.59,4214120.0
2019-10-25,69.66,69.76,69.06,69.3,1993126.0
2019-10-28,69.38,69.62,68.68,68.82,2213206.0
2019-10-29,68.55,69.91,68.55,69.79,2834405.0
2019-10-30,69.72,69.72,68.6,69.38,2779763.0
2019-10-31,69.17,69.75,68.95,69.7,2400195.0
2019-11-01,70.12,70.21,69.13,69.78,2267312.0
2019-11-04,70.22,70.33,68.75,68.82,3056647.0
2019-11-05,68.99,69.65,68.86,68.9,4108920.0
2019-11-06,69.01,71.11,68.91,70.93,3513210.0
2019-11-07,71.11,72.78,71.04,72.56,8525025.0
2019-11-08,72.38,74.04,72.38,73.67,5196906.0
2019-11-11,73.17,73.77,72.8,73.73,2722609.0
2019-11-12,73.7,74.47,73.56,74.46,4094974.0
2019-11-13,72.96,73.39,71.67,71.67,4803259.0
2019-11-14,71.5,73.01,71.33,72.95,3657354.0
2019-11-15,73.14,73.36,72.52,72.9,3052139.0
2019-11-18,71.67,72.47,70.58,71.23,3977333.0
2019-11-19,71.74,72.03,70.96,71.56,3054618.0
2019-11-20,71.28,71.53,70.41,70.53,3507975.0
2019-11-21,70.82,70.82,69.13,70.09,3680988.0
2019-11-22,70.11,71.0,69.9,70.83,2378774.0
2019-11-25,71.14,71.74,70.93,71.5,2746433.0
2019-11-26,71.4,73.06,71.18,72.94,6613940.0
2019-11-27,73.17,73.57,72.9,73.14,1954947.0
2019-11-29,73.12,73.4,72.75,73.05,1077361.0
2019-12-02,73.21,73.21,71.65,71.65,2583053.0
2019-12-03,71.09,71.36,70.44,70.65,2652688.0
2019-12-04,70.56,72.03,70.36,71.84,2932097.0
2019-12-05,72.03,72.52,71.74,72.44,3500595.0
2019-12-06,72.7,73.15,72.5,72.98,2932768.0
2019-12-09,72.98,73.52,72.69,73.34,3257877.0
2019-12-10,73.46,73.77,72.74,72.85,3023091.0
2019-12-11,69.16,71.19,69.03,71.16,7802882.0
2019-12-12,71.16,73.08,71.01,72.69,3925806.0
2019-12-13,72.47,73.41,71.63,72.17,3288976.0
2019-12-16,71.36,71.68,70.43,71.1,4387838.0
2019-12-17,71.01,72.26,71.0,72.0,5011797.0
2019-12-18,72.25,72.47,71.23,71.3,2604564.0
2019-12-19,71.21,71.55,70.79,71.11,2985383.0
2019-12-20,72.36,73.56,71.4,71.76,5417782.0
2019-12-23,71.86,71.91,71.17,71.69,2831895.0
2019-12-24,71.86,72.02,71.62,71.87,778163.0
2019-12-26,71.76,71.86,71.45,71.73,1612925.0
2019-12-27,71.93,72.42,71.63,72.15,1570626.0
2019-12-30,72.22,72.35,71.86,72.32,1298582.0
2019-12-31,72.32,72.71,71.9,72.39,1724537.0
2020-01-02,73.92,74.35,73.26,74.33,2880737.0
2020-01-03,73.52,74.78,73.28,74.32,4155794.0
2020-01-06,73.89,75.72,73.83,75.67,5895063.0
2020-01-07,73.0,73.12,72.16,72.76,4867720.0
2020-01-08,72.92,73.96,72.87,73.19,4073671.0
2020-01-09,73.5,73.94,73.19,73.94,2199416.0
2020-01-10,74.0,74.13,73.45,73.7,3650687.0
2020-01-13,73.7,74.93,73.7,74.92,3795912.0
2020-01-14,74.82,75.0,74.02,74.25,3191356.0
2020-01-15,74.19,75.97,74.04,75.72,4078695.0
2020-01-16,75.81,75.97,74.93,75.44,2905912.0
2020-01-17,76.04,76.99,75.9,76.3,4265010.0
2020-01-21,76.04,76.72,75.85,76.43,2686673.0
2020-01-22,76.58,77.17,76.15,76.16,2167308.0
2020-01-23,75.71,76.37,75.23,76.33,2190011.0
2020-01-24,76.51,76.86,76.29,76.75,1695144.0
2020-01-27,75.77,76.44,75.49,75.77,2490018.0
2020-01-28,76.07,76.73,75.89,76.45,4003872.0
2020-01-29,80.2,81.24,78.28,80.81,5229055.0
2020-01-30,79.74,81.87,78.95,81.77,4016651.0
2020-01-31,81.53,82.29,80.5,80.69,6531323.0
2020-02-03,81.13,82.07,80.35,80.57,2745540.0
2020-02-04,81.31,81.63,80.6,80.92,2166868.0
2020-02-05,81.6,83.0,81.37,83.0,2184470.0
2020-02-06,83.03,83.77,82.73,83.06,2804882.0
2020-02-07,83.0,83.66,82.67,83.26,2211883.0
2020-02-10,83.28,83.75,83.2,83.59,1512278.0
2020-02-11,83.6,84.06,83.33,83.66,2709365.0
2020-02-12,83.8,83.83,82.12,83.24,2887747.0
2020-02-13,83.2,83.95,82.86,83.86,1689711.0
2020-02-14,83.86,84.09,83.33,83.77,1709113.0
2020-02-18,83.78,84.2,83.01,83.4,2719993.0
2020-02-19,81.73,83.3,80.99,81.42,4417545.0
2020-02-20,80.72,81.61,80.52,80.84,2835614.0
2020-02-21,80.62,81.72,80.26,81.46,2730523.0
2020-02-24,80.15,81.25,79.71,80.97,3660376.0
2020-02-25,80.93,81.03,79.58,80.0,4476323.0
2020-02-26,80.41,81.53,79.46,79.65,3293675.0
2020-02-27,79.14,79.91,76.23,76.28,3187793.0
2020-02-28,74.88,75.93,71.65,73.16,7030006.0
2020-03-02,73.6,78.91,73.59,78.88,4671555.0
2020-03-03,78.69,79.97,76.21,77.24,3929595.0
2020-03-04,78.03,81.2,77.8,81.05,3717090.0
2020-03-05,78.78,80.97,78.52,80.54,4157784.0
2020-03-06,77.93,80.98,77.62,80.52,4836079.0
2020-03-09,75.42,77.48,73.4,75.29,6472611.0
2020-03-10,77.26,78.0,74.6,77.96,4653588.0
2020-03-11,75.54,75.66,73.24,75.11,5288641.0
2020-03-12,69.77,73.35,68.13,69.62,7254597.0
2020-03-13,73.43,78.14,71.01,78.07,5771798.0
2020-03-16,67.52,75.05,66.59,73.0,5809868.0
2020-03-17,75.11,78.64,72.93,77.29,6862386.0
2020-03-18,73.28,74.69,68.8,72.15,4979201.0
2020-03-19,71.35,71.75,66.22,67.04,6029974.0
2020-03-20,67.2,71.87,65.19,68.28,6943398.0
2020-03-23,67.0,68.73,62.18,66.55,5879056.0
2020-03-24,70.17,71.89,67.12,69.04,5913100.0
2020-03-25,68.99,72.78,68.11,69.95,4536403.0
2020-03-26,70.86,76.6,70.11,75.82,4861681.0
2020-03-27,72.77,74.74,71.6,73.54,4481936.0
2020-03-30,74.17,76.83,73.12,76.18,4367625.0
2020-03-31,75.39,75.8,73.36,73.84,3865769.0
2020-04-01,71.36,73.1,70.72,72.36,4397262.0
2020-04-02,71.87,77.54,71.74,76.56,3836410.0
2020-04-03,76.23,76.75,74.92,75.94,2745624.0
2020-04-06,77.75,78.43,74.08,75.99,4435294.0
2020-04-07,77.88,78.6,75.41,75.6,4580982.0
2020-04-08,76.1,78.55,74.64,77.81,4076307.0
2020-04-09,78.91,80.76,78.12,80.39,4811819.0
2020-04-13,80.0,80.0,76.87,77.1,2625130.0
2020-04-14,79.07,81.45,78.72,80.47,2912235.0
2020-04-15,74.31,80.08,72.68,79.25,3223844.0
2020-04-16,79.12,79.84,77.88,79.09,2877335.0
2020-04-17,81.03,82.91,79.26,82.5,3507665.0
2020-04-20,81.68,82.2,80.87,81.94,2881676.0
2020-04-21,80.04,82.52,79.77,81.25,4441840.0
2020-04-22,82.54,82.84,81.54,82.49,2323866.0
2020-04-23,82.73,82.73,81.19,81.61,2667675.0
2020-04-24,82.18,82.97,80.88,82.87,2439619.0
2020-04-27,83.0,83.3,82.24,82.96,5399643.0
2020-04-28,83.59,83.83,80.97,81.14,3263959.0
2020-04-29,81.76,81.76,79.32,79.8,4780264.0
2020-04-30,78.8,79.38,76.86,77.3,3852553.0
2020-05-01,76.4,77.16,75.51,76.18,2869109.0
2020-05-04,75.87,76.07,74.81,75.85,2928806.0
2020-05-05,76.03,78.59,76.03,78.04,2475824.0
2020-05-06,78.61,78.8,75.92,76.19,2548699.0
2020-05-07,77.0,77.5,74.19,74.93,3724944.0
2020-05-08,75.75,75.93,73.93,74.27,4333811.0
2020-05-11,73.65,74.04,73.02,73.17,2808258.0
2020-05-12,73.36,73.52,71.6,72.19,3300758.0
2020-05-13,71.82,73.51,71.25,72.76,3968676.0
2020-05-14,72.27,73.85,71.92,73.74,4001750.0
2020-05-15,73.61,76.44,72.71,76.21,5593001.0
2020-05-18,77.32,77.83,75.63,76.62,3360503.0
2020-05-19,76.1,77.86,75.83,75.87,2610516.0
2020-05-20,76.42,76.75,74.65,74.89,2902911.0
2020-05-21,74.52,75.46,72.71,75.02,3899836.0
2020-05-22,75.16,75.74,74.27,74.72,2165979.0
2020-05-26,75.9,76.36,73.66,74.13,5212706.0
2020-05-27,75.32,77.32,74.07,76.47,4687927.0
2020-05-28,77.32,77.46,75.91,76.59,2613733.0
2020-05-29,76.77,77.88,76.45,77.68,4412326.0
2020-06-01,77.75,78.88,77.22,78.34,1749048.0
2020-06-02,78.57,79.28,78.29,79.08,2205154.0
2020-06-03,79.83,79.83,78.3,79.11,2288448.0
2020-06-04,78.59,78.97,77.57,78.8,2766445.0
2020-06-05,80.33,82.7,78.78,81.87,3836758.0
2020-06-08,81.53,81.69,80.49,81.51,3052283.0
2020-06-09,81.0,81.56,80.2,81.02,2464554.0
2020-06-10,80.81,81.83,79.94,80.28,2412369.0
2020-06-11,78.77,79.18,75.82,75.92,3302477.0
2020-06-12,77.41,78.27,75.0,76.6,2344272.0
2020-06-15,75.38,79.51,75.25,79.29,3258666.0
2020-06-16,81.19,81.6,78.91,80.43,3454953.0
2020-06-17,80.82,81.26,79.15,79.21,2714008.0
2020-06-18,78.91,81.65,78.59,80.87,2863510.0
2020-06-19,83.16,83.16,79.89,80.99,4534640.0
2020-06-22,80.54,81.72,80.28,80.82,1869976.0
2020-06-23,81.52,81.93,79.98,80.06,1786290.0
2020-06-24,79.39,79.68,77.18,77.29,3611531.0
2020-06-25,77.41,79.97,77.26,79.9,2242569.0
2020-06-26,79.18,80.29,77.35,77.89,3733413.0
2020-06-29,78.12,79.26,77.875,78.4,2806329.0
2020-06-30,78.5,80.5,78.41,80.11,2597997.0
2020-07-01,79.96,80.8,79.64,79.8,2971209.0
2020-07-02,80.49,80.49,78.8,79.23,2492541.0
2020-07-06,80.19,80.49,79.19,79.42,2312855.0
2020-07-07,79.1,79.25,77.72,78.02,2558809.0
2020-07-08,78.06,78.5,76.32,77.37,3326513.0
2020-07-09,77.38,77.97,76.16,77.79,2764699.0
2020-07-10,78.27,80.96,78.25,80.76,2313792.0
2020-07-13,80.92,81.32,79.68,80.33,2266415.0
2020-07-14,80.63,84.51,80.45,84.5,6819569.0
2020-07-15,85.0,86.49,84.35,85.89,3965199.0
2020-07-16,85.85,87.59,85.72,87.11,2652358.0
2020-07-17,87.36,87.76,86.39,87.63,2659045.0
2020-07-20,87.7,88.41,87.43,88.13,1825319.0
2020-07-21,88.05,89.39,88.05,88.85,1712563.0
2020-07-22,89.15,90.22,88.52,90.14,1789059.0
2020-07-23,89.97,90.72,88.34,88.64,1999907.0
2020-07-24,88.86,89.165,87.51,87.86,2204357.0
2020-07-27,87.84,88.3,86.8,87.3,2060079.0
2020-07-28,87.53,87.83,86.66,87.42,2470202.0
2020-07-29,87.01,89.26,87.01,88.92,1880520.0
2020-07-30,87.89,89.325,87.68,88.52,2119893.0
2020-07-31,88.2,90.41,88.11,90.34,4016496.0
2020-08-03,90.7,91.23,89.65,89.89,2134399.0
2020-08-04,89.58,90.47,89.43,90.25,2198087.0
2020-08-05,91.03,91.81,90.555,90.62,2446491.0
2020-08-06,90.7,91.38,88.91,89.61,2514610.0
2020-08-07,89.31,90.77,89.31,90.73,1735406.0
2020-08-10,90.99,91.14,89.71,90.12,2410688.0
2020-08-11,90.93,91.12,88.87,89.02,2468168.0
2020-08-12,90.03,90.48,88.72,89.01,2058888.0
2020-08-13,88.38,89.05,87.93,89.04,1994849.0
2020-08-14,89.0,89.5572,88.6,88.97,1731176.0
2020-08-17,88.55,89.78,88.47,88.83,1623853.0
2020-08-18,88.96,89.96,88.9,89.74,1510248.0
2020-08-19,90.16,91.02,89.95,90.41,2728041.0
2020-08-20,90.28,91.05,90.09,90.84,1663186.0
