date,Open,High,Low,Close,Volume
2019-08-20,82.52,82.64,81.98,82.04,458869.0
2019-08-21,82.83,83.7,82.36,83.48,524386.0
2019-08-22,82.71,84.14,82.21,82.6,437358.0
2019-08-23,82.31,82.93,80.13,80.76,837847.0
2019-08-26,81.39,81.7,79.62,80.29,634112.0
2019-08-27,80.82,81.01,79.79,80.2,888846.0
2019-08-28,79.8,82.05,79.51,81.85,608510.0
2019-08-29,82.89,83.48,82.44,83.08,421046.0
2019-08-30,83.71,83.71,82.28,82.7,559364.0
2019-09-03,82.24,82.68,80.99,81.49,1121767.0
2019-09-04,82.26,82.44,81.52,81.95,510925.0
2019-09-05,82.65,83.87,82.65,83.71,414154.0
2019-09-06,84.09,84.41,83.53,83.74,451999.0
2019-09-09,84.13,84.52,83.1,83.78,586847.0
2019-09-10,83.43,86.12,82.96,85.5,1010937.0
2019-09-11,85.92,86.94,85.36,86.91,749600.0
2019-09-12,87.4,87.72,86.08,86.12,443893.0
2019-09-13,86.08,87.17,86.08,86.67,470205.0
2019-09-16,86.18,86.52,85.97,86.23,346094.0
2019-09-17,86.16,86.62,85.82,86.22,543046.0
2019-09-18,86.19,86.53,85.27,86.06,471305.0
2019-09-19,86.05,86.8,85.9,86.1,536620.0
2019-09-20,86.33,87.63,86.23,86.56,707694.0
2019-09-23,86.06,86.21,85.12,85.2,473896.0
2019-09-24,85.83,85.92,83.69,84.77,658659.0
2019-09-25,84.78,84.78,83.59,84.49,369978.0
2019-09-26,85.95,86.45,84.66,85.3,857737.0
2019-09-27,85.74,86.17,84.46,85.16,600448.0
2019-09-30,85.42,85.88,84.99,85.17,464643.0
2019-10-01,85.32,86.01,83.3,83.47,737429.0
2019-10-02,82.71,83.69,82.11,83.45,767989.0
2019-10-03,83.72,83.72,82.25,83.34,959151.0
2019-10-04,83.51,85.53,83.51,85.44,744257.0
2019-10-07,84.94,85.45,84.32,84.35,687014.0
2019-10-08,82.57,82.97,78.35,79.1,1840310.0
2019-10-09,79.58,81.18,79.43,80.68,863392.0
2019-10-10,80.66,81.43,80.36,80.5,494046.0
2019-10-11,81.5,83.4,81.5,82.0,706784.0
2019-10-14,82.18,82.96,81.25,81.86,694464.0
2019-10-15,82.4,82.75,82.0,82.16,895205.0
2019-10-16,81.7,81.97,81.03,81.69,948127.0
2019-10-17,82.02,83.61,82.02,83.02,600277.0
2019-10-18,82.64,83.56,82.4,83.1,426913.0
2019-10-21,83.76,84.72,83.45,84.1,422468.0
2019-10-22,84.0,84.4,83.34,83.97,684250.0
2019-10-23,84.39,85.1,83.99,84.86,642789.0
2019-10-24,84.83,85.2,84.09,84.85,440983.0
2019-10-25,84.47,86.58,83.93,86.23,468927.0
2019-10-28,86.44,87.52,86.44,87.38,633549.0
