date,Open,High,Low,Close,Volume
2019-08-20,84.91,84.98,82.29,83.0,3656039.0
2019-08-21,83.42,83.6,82.08,83.05,3311106.0
2019-08-22,82.55,83.86,82.42,82.95,3681241.0
2019-08-23,82.79,83.35,80.66,81.22,4263790.0
2019-08-26,81.0,81.57,76.41,77.73,11519789.0
2019-08-27,75.1,75.4,69.27,71.7,41588475.0
2019-08-28,71.92,75.67,71.9,74.32,18952607.0
2019-08-29,75.28,75.65,71.61,72.72,13238429.0
2019-08-30,72.83,73.22,71.75,72.09,9044775.0
2019-09-03,72.0,72.79,71.11,72.66,4466918.0
2019-09-04,72.69,73.25,71.52,73.02,5386531.0
2019-09-05,73.4,73.42,71.88,71.95,6613390.0
2019-09-06,72.26,73.42,71.98,72.97,6129332.0
2019-09-09,73.0,73.39,72.42,73.3,5528117.0
2019-09-10,72.7,74.56,72.5,74.5,7401893.0
2019-09-11,74.54,75.48,74.12,75.07,8442909.0
2019-09-12,75.21,75.4,74.05,74.9,6242503.0
2019-09-13,74.31,74.78,73.0,73.05,10571590.0
2019-09-16,72.18,72.72,71.77,72.6,10540920.0
2019-09-17,73.45,73.46,71.87,72.02,7767140.0
2019-09-18,71.87,72.33,71.06,71.56,7395149.0
2019-09-19,71.5,72.2,71.1,71.71,8415026.0
2019-09-20,71.21,72.83,71.0,71.2,16024720.0
2019-09-23,71.0,72.77,70.57,72.0,7076473.0
2019-09-24,71.16,71.88,70.9,71.56,8864055.0
2019-09-25,76.93,77.88,75.08,75.28,20457845.0
2019-09-26,74.91,75.82,74.29,75.29,5982670.0
2019-09-27,75.16,75.65,74.65,75.13,4159660.0
2019-09-30,75.16,76.18,75.03,75.93,5149215.0
2019-10-01,76.21,77.99,76.06,77.83,7582289.0
2019-10-02,77.83,78.1,76.19,76.72,7030104.0
2019-10-03,76.3,77.25,75.81,76.77,3569153.0
2019-10-04,76.43,78.37,76.32,78.28,4407491.0
2019-10-07,78.1,78.37,77.17,77.17,5522253.0
2019-10-08,76.71,77.38,76.04,76.37,5819682.0
2019-10-09,76.91,77.52,76.58,77.45,3846377.0
2019-10-10,78.04,78.29,77.01,77.75,3919257.0
2019-10-11,78.48,78.63,77.15,77.95,6290437.0
2019-10-14,76.93,78.05,76.15,78.03,4289004.0
2019-10-15,78.06,78.35,77.61,78.32,4089054.0
2019-10-16,78.43,79.79,78.43,79.1,7490375.0
2019-10-17,80.3,80.42,77.91,79.85,8772941.0
2019-10-18,79.95,81.96,79.95,80.55,8444657.0
2019-10-21,80.34,81.9,80.3,81.8,4374833.0
2019-10-22,81.54,81.97,81.17,81.17,4446257.0
2019-10-23,81.34,82.12,81.18,81.78,3476756.0
2019-10-24,81.89,82.07,81.02,81.45,3934600.0
2019-10-25,80.85,82.13,80.55,81.98,3452589.0
2019-10-28,82.0,82.38,81.68,82.09,3537582.0
2019-10-29,81.54,82.45,81.27,81.85,3443146.0
2019-10-30,82.02,82.11,80.45,81.21,3644196.0
2019-10-31,81.6,82.03,80.58,81.44,4689414.0
2019-11-01,81.83,83.04,81.83,82.97,4291611.0
2019-11-04,82.69,83.98,82.43,83.44,4294149.0
2019-11-05,83.71,84.78,83.36,84.2,4817752.0
2019-11-06,84.35,84.7,83.54,83.7,4604690.0
2019-11-07,83.87,83.91,82.17,82.25,5217617.0
2019-11-08,82.19,83.67,81.73,83.57,5287597.0
2019-11-11,83.45,84.1,83.18,83.74,2992386.0
2019-11-12,83.72,84.5,83.49,84.46,3671162.0
2019-11-13,84.21,84.84,84.14,84.73,3722887.0
2019-11-14,84.69,84.69,83.54,83.64,2896659.0
2019-11-15,83.89,84.8,83.59,84.79,4611291.0
2019-11-18,85.0,85.32,84.57,84.79,3236751.0
2019-11-19,84.39,84.74,83.42,83.46,4845172.0
2019-11-20,83.22,85.6,83.17,83.48,5670127.0
2019-11-21,83.67,84.9,83.04,83.46,4030728.0
2019-11-22,83.73,84.33,82.36,82.38,4764374.0
2019-11-25,82.5,82.77,81.55,82.37,8015369.0
2019-11-26,82.56,83.26,81.72,82.27,5258516.0
2019-11-27,82.67,83.18,81.67,82.48,4130783.0
2019-11-29,82.23,83.14,82.23,82.93,2927886.0
2019-12-02,82.55,82.81,81.72,82.6,4402348.0
2019-12-03,83.0,83.07,81.79,82.97,5032713.0
2019-12-04,82.46,83.04,81.88,82.1,5053464.0
2019-12-05,82.07,82.43,81.4,82.38,5209760.0
2019-12-06,83.16,83.68,82.61,83.25,3786990.0
2019-12-09,83.77,83.93,83.44,83.59,3295473.0
2019-12-10,83.34,84.23,83.08,83.9,3496323.0
2019-12-11,84.25,85.12,84.0,84.84,3672934.0
2019-12-12,84.84,85.0,84.0,84.05,6104210.0
2019-12-13,84.0,84.89,83.66,84.67,5574761.0
2019-12-16,85.35,86.46,85.31,86.25,5594533.0
2019-12-17,85.84,86.31,85.23,85.95,5435505.0
2019-12-18,84.7,85.9,84.45,85.7,6240906.0
2019-12-19,85.9,86.24,85.6,85.99,5085160.0
2019-12-20,86.88,87.08,85.2,85.27,9379144.0
2019-12-23,85.59,86.14,85.52,86.02,3992380.0
2019-12-24,86.02,86.41,85.82,86.11,1233821.0
2019-12-26,86.24,86.51,85.51,86.03,2549143.0
2019-12-27,86.02,86.44,85.79,86.31,2326515.0
2019-12-30,86.39,86.67,85.52,85.7,2568834.0
2019-12-31,85.71,85.89,84.78,85.09,3718874.0
2020-01-02,85.51,86.17,84.76,85.19,5107197.0
2020-01-03,85.03,85.94,84.86,85.03,3806670.0
2020-01-06,84.91,86.11,84.37,86.02,7037573.0
2020-01-07,85.63,86.83,85.27,86.4,4314244.0
2020-01-08,86.8,88.35,86.43,88.04,5337627.0
2020-01-09,88.37,88.67,87.42,88.28,6180081.0
2020-01-10,88.96,89.0,87.33,87.46,4411044.0
2020-01-13,87.41,88.45,87.27,87.82,5402906.0
2020-01-14,87.7,87.94,87.24,87.58,5129270.0
2020-01-15,87.31,88.89,87.3,88.32,4155435.0
2020-01-16,88.62,88.87,88.19,88.56,2602330.0
2020-01-17,88.58,88.88,87.74,88.69,5908419.0
2020-01-21,88.44,88.99,87.9,88.87,6373168.0
2020-01-22,88.57,89.13,88.49,88.98,4595687.0
2020-01-23,88.56,88.82,87.02,87.08,4592111.0
2020-01-24,86.83,87.33,85.64,86.15,3888239.0
2020-01-27,85.45,85.9,84.57,84.71,3795341.0
2020-01-28,84.55,84.94,84.07,84.68,5262723.0
2020-01-29,84.87,85.19,83.94,83.96,4418282.0
2020-01-30,83.21,84.53,82.53,84.33,5624512.0
2020-01-31,84.19,84.3,82.27,82.7,4861574.0
2020-02-03,82.64,84.19,82.64,83.0,3356381.0
2020-02-04,83.02,84.11,82.82,83.6,4615851.0
2020-02-05,83.6,84.78,83.6,83.94,4860230.0
2020-02-06,84.8,88.8,84.58,86.18,7306215.0
2020-02-07,86.3,87.74,86.22,87.45,4654564.0
2020-02-10,87.34,88.77,86.91,88.75,6392396.0
2020-02-11,88.75,90.17,88.36,89.44,4975028.0
2020-02-12,89.0,89.3,87.37,87.9,4086085.0
2020-02-13,88.84,89.73,87.54,88.82,4322751.0
2020-02-14,88.88,89.23,88.01,88.5,3348554.0
2020-02-18,88.29,88.39,87.05,87.44,3606157.0
2020-02-19,87.81,87.97,86.88,87.88,4371994.0
2020-02-20,87.5,87.77,86.14,87.44,3075896.0
2020-02-21,86.86,89.7,86.68,89.64,6314309.0
2020-02-24,88.22,88.55,85.38,85.57,6497420.0
2020-02-25,85.93,87.15,84.13,85.0,6124471.0
2020-02-26,85.0,86.62,84.81,86.25,7929731.0
2020-02-27,84.86,87.45,83.07,83.07,8930431.0
2020-02-28,81.0,81.97,77.73,81.87,13650583.0
2020-03-02,81.61,85.04,80.81,84.97,6916384.0
2020-03-03,84.88,86.95,82.65,83.5,6034742.0
2020-03-04,84.34,88.78,84.15,88.74,5674587.0
