date,Open,High,Low,Close,Volume
2019-08-20,127.08,127.77,126.1,126.2,1887974.0
2019-08-21,127.44,127.48,125.73,126.0,1546963.0
2019-08-22,127.17,127.61,125.74,126.42,1321358.0
2019-08-23,126.13,126.99,122.37,123.09,1912868.0
2019-08-26,123.95,124.25,123.27,124.1,2431849.0
2019-08-27,124.66,125.12,123.4,124.13,1744639.0
2019-08-28,123.18,127.23,123.18,126.56,1462626.0
2019-08-29,127.52,129.26,127.5,128.3,1568905.0
2019-08-30,129.29,130.67,128.74,128.93,1457911.0
2019-09-03,127.61,127.77,125.23,126.76,2002894.0
2019-09-04,128.1,129.0,127.5,128.57,1662509.0
2019-09-05,130.89,132.94,130.68,131.56,1185286.0
2019-09-06,131.46,132.19,130.67,131.72,1357356.0
2019-09-09,132.95,136.93,132.34,136.29,2027761.0
2019-09-10,137.25,138.96,136.71,137.89,1893205.0
2019-09-11,138.0,138.05,135.48,136.0,3444374.0
2019-09-12,134.85,137.38,133.54,137.17,3076879.0
2019-09-13,139.0,140.29,138.02,139.28,2902827.0
2019-09-16,137.95,140.52,137.36,140.5,2180197.0
2019-09-17,139.6,140.04,138.0,139.24,2291902.0
2019-09-18,138.75,141.31,138.08,141.2,2079104.0
2019-09-19,139.76,142.09,139.76,141.0,2251155.0
2019-09-20,141.28,142.26,140.25,140.88,4227124.0
2019-09-23,139.71,141.75,139.68,141.2,2554478.0
2019-09-24,140.75,141.83,139.65,140.27,2843595.0
2019-09-25,140.91,141.69,139.71,140.31,1460987.0
2019-09-26,139.92,140.65,139.57,140.1,1041694.0
2019-09-27,141.51,142.23,139.78,140.39,1368600.0
2019-09-30,141.17,141.17,139.36,140.16,1732707.0
2019-10-01,141.15,141.55,137.07,137.2,1518938.0
2019-10-02,136.47,136.65,134.78,135.7,1849242.0
2019-10-03,134.82,136.75,133.37,136.73,2064583.0
2019-10-04,136.88,140.69,136.75,140.47,2113192.0
2019-10-07,140.69,141.72,139.1,139.95,1783856.0
2019-10-08,138.18,138.46,136.04,136.18,2228872.0
2019-10-09,137.33,137.68,136.33,136.56,1480443.0
2019-10-10,137.14,139.62,136.88,138.42,1288109.0
2019-10-11,140.86,142.48,140.27,140.4,2419897.0
2019-10-14,139.7,140.77,139.36,140.52,1460344.0
2019-10-15,140.67,142.85,140.04,141.87,2298104.0
2019-10-16,142.66,143.27,139.92,141.46,2696807.0
2019-10-17,142.45,144.1,142.05,142.66,1748686.0
2019-10-18,142.45,144.7,142.09,143.52,1900976.0
2019-10-21,145.0,146.39,144.71,145.53,1763400.0
2019-10-22,145.55,146.88,144.54,145.46,1701069.0
2019-10-23,144.98,146.43,144.7,146.37,1106487.0
2019-10-24,146.2,146.69,144.69,145.6,1143786.0
2019-10-25,145.29,147.86,145.29,146.67,1072488.0
2019-10-28,147.72,148.5,147.19,147.77,1250675.0
2019-10-29,147.12,149.39,147.12,148.29,1411653.0
2019-10-30,147.85,148.77,146.52,147.75,1168020.0
2019-10-31,146.67,147.75,145.04,146.7,1266893.0
2019-11-01,148.32,148.91,147.31,148.81,1109540.0
2019-11-04,150.39,150.73,149.69,150.01,1192869.0
2019-11-05,150.63,152.14,150.0,151.03,1381888.0
2019-11-06,150.55,151.76,149.95,151.71,1650286.0
2019-11-07,152.95,154.75,152.52,153.07,1564977.0
2019-11-08,152.57,152.92,151.63,152.2,1845821.0
2019-11-11,151.5,153.23,151.38,152.46,1354834.0
2019-11-12,152.14,153.17,151.11,152.3,1182208.0
2019-11-13,150.64,151.75,150.07,150.82,1687346.0
2019-11-14,150.16,150.86,148.48,149.02,1972957.0
2019-11-15,150.11,150.92,149.41,150.86,1773044.0
2019-11-18,150.52,152.43,150.49,151.71,1616634.0
2019-11-19,152.0,153.1,150.75,151.72,1646957.0
2019-11-20,151.27,152.66,150.44,151.78,1456386.0
2019-11-21,152.67,153.53,151.31,151.69,1402898.0
2019-11-22,151.36,153.72,150.94,152.85,1080611.0
2019-11-25,153.55,154.42,152.73,153.4,2438336.0
2019-11-26,153.14,153.47,152.34,152.89,1571408.0
2019-11-27,153.67,154.15,152.53,153.29,1315344.0
2019-11-29,153.64,154.45,152.94,153.21,736257.0
2019-12-02,153.93,154.44,151.94,151.98,1234289.0
2019-12-03,150.27,150.29,148.09,149.74,2379925.0
2019-12-04,149.74,151.84,149.64,151.35,1703166.0
2019-12-05,152.28,152.63,151.59,152.2,2087076.0
2019-12-06,154.08,154.82,153.5,153.81,2700966.0
2019-12-09,152.2,154.06,152.04,153.7,1699562.0
2019-12-10,153.7,156.83,152.74,155.6,2606535.0
2019-12-11,155.83,156.12,154.9,155.0,1701907.0
2019-12-12,155.66,159.64,155.12,159.0,3113569.0
2019-12-13,158.16,160.08,157.39,158.64,2472608.0
2019-12-16,160.3,160.87,158.89,159.0,1644433.0
2019-12-17,158.97,160.91,158.48,160.36,1527770.0
2019-12-18,160.81,160.91,159.38,160.05,1621155.0
2019-12-19,160.27,160.95,158.72,159.53,1577590.0
2019-12-20,161.2,161.37,159.37,159.82,3340262.0
2019-12-23,160.08,160.64,158.92,159.53,1253565.0
2019-12-24,159.84,160.56,159.58,160.42,1230041.0
2019-12-26,160.48,161.27,160.29,161.15,798026.0
2019-12-27,161.55,161.72,160.56,160.81,1051812.0
2019-12-30,161.59,161.79,159.88,160.02,1401139.0
2019-12-31,159.85,160.37,158.99,159.63,1499788.0
2020-01-02,159.75,160.37,158.9,160.37,1881277.0
2020-01-03,158.41,159.59,157.43,158.83,1374430.0
2020-01-06,158.1,158.68,157.45,158.51,1332155.0
2020-01-07,157.43,158.4,156.61,157.26,1936338.0
2020-01-08,158.0,159.91,157.3,158.89,1958425.0
2020-01-09,160.38,161.25,159.84,160.81,1651980.0
2020-01-10,160.98,160.98,158.47,158.57,2182480.0
2020-01-13,158.88,159.54,157.82,159.44,2391060.0
2020-01-14,159.17,160.95,158.81,159.88,3333886.0
