date,Open,High,Low,Close,Volume
2019-08-20,36.67,36.79,36.26,36.34,1615915.0
2019-08-21,36.76,36.85,36.42,36.53,740690.0
2019-08-22,36.63,36.81,36.31,36.36,815479.0
2019-08-23,36.18,36.32,34.98,35.13,993763.0
2019-08-26,35.58,35.58,34.84,35.19,919290.0
2019-08-27,35.33,35.51,34.69,34.73,1006811.0
2019-08-28,34.63,35.35,34.5,35.2,886852.0
2019-08-29,35.67,35.95,35.59,35.91,708337.0
2019-08-30,36.26,36.35,35.79,35.92,908546.0
2019-09-03,35.6,35.69,34.72,34.92,1156987.0
2019-09-04,35.23,35.6,35.18,35.5,864272.0
2019-09-05,36.02,36.48,36.02,36.23,1394797.0
2019-09-06,36.41,36.63,36.21,36.32,1080467.0
2019-09-09,36.53,36.89,36.33,36.86,1359555.0
2019-09-10,36.91,38.02,36.88,37.95,1047303.0
2019-09-11,38.08,38.09,37.4,38.09,1049034.0
2019-09-12,38.12,38.19,37.53,37.75,887107.0
2019-09-13,38.12,38.33,37.59,37.84,1116581.0
2019-09-16,37.57,37.92,37.57,37.66,966111.0
2019-09-17,37.38,37.99,37.0,37.93,1249547.0
2019-09-18,37.78,38.13,37.76,38.12,1424048.0
2019-09-19,38.17,38.27,37.57,37.62,962179.0
2019-09-20,37.72,37.85,36.54,36.63,2948917.0
2019-09-23,36.26,37.23,36.26,36.98,876582.0
2019-09-24,37.08,37.45,36.64,36.77,1286511.0
2019-09-25,36.71,37.45,36.71,37.38,1002986.0
2019-09-26,37.3,37.41,37.04,37.25,551730.0
2019-09-27,37.45,37.74,37.29,37.66,702893.0
2019-09-30,37.79,37.95,37.57,37.8,1062859.0
2019-10-01,38.01,38.22,36.62,36.72,784253.0
2019-10-02,36.31,36.33,35.49,35.69,818127.0
2019-10-03,35.54,36.12,35.01,36.11,754683.0
2019-10-04,36.07,36.58,35.95,36.55,760227.0
2019-10-07,36.39,36.48,36.1,36.13,574606.0
2019-10-08,35.73,35.73,35.15,35.16,1266319.0
2019-10-09,35.49,35.73,35.05,35.59,1034350.0
2019-10-10,35.6,36.48,35.54,36.13,952752.0
2019-10-11,36.68,37.79,36.68,37.36,916146.0
2019-10-14,37.2,37.35,36.84,37.17,795768.0
2019-10-15,37.38,37.89,37.13,37.81,786292.0
2019-10-16,37.81,38.2,37.62,37.82,1203247.0
2019-10-17,38.03,38.66,37.95,38.46,1182032.0
2019-10-18,38.36,38.65,38.24,38.55,1723428.0
2019-10-21,38.8,39.12,38.79,39.0,1231383.0
2019-10-22,38.98,39.58,38.77,39.39,1352019.0
2019-10-23,39.82,41.83,39.69,41.47,2546066.0
2019-10-24,41.73,42.0,41.37,41.6,1515638.0
2019-10-25,41.66,41.78,41.2,41.24,1775256.0
2019-10-28,41.4,41.79,41.23,41.55,1169230.0
2019-10-29,41.27,41.95,41.27,41.8,1062122.0
2019-10-30,41.67,41.93,41.52,41.79,1087962.0
2019-10-31,41.67,41.67,40.9,41.47,1757929.0
2019-11-01,41.86,42.43,41.81,42.4,1071895.0
2019-11-04,42.75,42.95,42.49,42.75,978647.0
2019-11-05,42.77,43.18,42.73,43.15,1182867.0
2019-11-06,43.04,43.06,42.69,42.93,937192.0
2019-11-07,43.34,43.44,43.05,43.15,1008814.0
2019-11-08,43.07,43.42,42.95,43.37,1016612.0
2019-11-11,42.87,43.28,42.82,43.13,611003.0
2019-11-12,43.0,43.26,42.94,43.14,1013844.0
2019-11-13,42.8,43.2,42.67,43.05,841763.0
2019-11-14,42.92,43.19,42.81,43.09,883633.0
2019-11-15,43.52,43.56,43.21,43.48,648316.0
2019-11-18,43.27,43.52,43.06,43.37,887814.0
2019-11-19,43.55,43.55,43.11,43.3,782171.0
2019-11-20,43.25,43.41,42.96,43.18,697052.0
2019-11-21,43.33,43.48,43.16,43.36,734050.0
2019-11-22,43.52,43.8,43.2,43.73,715786.0
2019-11-25,43.84,44.25,43.68,44.02,974180.0
2019-11-26,44.2,44.5,43.84,44.45,1203935.0
2019-11-27,44.45,44.45,44.12,44.34,632342.0
2019-11-29,44.38,44.46,44.15,44.35,439781.0
2019-12-02,44.23,44.62,43.78,43.79,1020059.0
2019-12-03,43.32,43.79,43.15,43.62,1224554.0
2019-12-04,43.97,44.49,43.86,43.96,1047676.0
2019-12-05,44.19,44.47,43.93,44.46,674878.0
2019-12-06,44.99,45.03,44.78,44.79,613515.0
2019-12-09,45.2,45.46,44.94,45.05,1504621.0
2019-12-10,45.15,45.66,44.84,45.16,1155599.0
