date,Open,High,Low,Close,Volume
2019-08-20,47.21,47.75,46.82,47.13,983300.0
2019-08-21,47.78,48.16,46.95,47.92,757400.0
2019-08-22,47.86,48.42,47.56,47.77,587900.0
2019-08-23,47.59,47.89,46.21,46.34,1007200.0
2019-08-26,46.3,46.72,46.1,46.56,631700.0
2019-08-27,47.0,47.05,45.22,45.43,750200.0
2019-08-28,45.51,46.85,45.4,46.74,757100.0
2019-08-29,47.12,47.24,46.65,46.91,826400.0
2019-08-30,47.28,47.35,46.4,46.78,948600.0
2019-09-03,46.81,46.9,45.83,46.22,1114300.0
2019-09-04,46.82,46.96,46.34,46.61,1989100.0
2019-09-05,47.18,48.49,46.97,48.16,2972800.0
2019-09-06,48.35,50.13,48.16,49.92,1202200.0
2019-09-09,50.09,51.15,49.25,50.89,1131100.0
2019-09-10,50.69,52.93,50.69,52.77,1375700.0
2019-09-11,52.68,55.29,52.27,55.26,1843100.0
2019-09-12,55.18,56.68,54.56,55.96,1651400.0
2019-09-13,56.48,57.5,54.87,55.96,1340300.0
2019-09-16,55.65,56.9,55.65,56.7,799100.0
2019-09-17,56.38,56.55,55.27,55.72,830800.0
2019-09-18,55.79,56.0,54.75,55.32,1063300.0
2019-09-19,55.25,55.48,54.12,54.3,983200.0
2019-09-20,54.58,56.1,54.5,55.24,2993000.0
2019-09-23,54.89,55.43,54.23,54.68,674900.0
2019-09-24,54.66,54.86,53.59,54.25,722000.0
2019-09-25,54.26,55.45,54.16,55.22,768300.0
2019-09-26,55.4,55.4,53.74,53.97,764800.0
2019-09-27,54.27,55.36,53.97,54.98,657900.0
2019-09-30,55.19,56.09,55.13,55.89,647000.0
2019-10-01,55.96,56.93,54.53,55.21,908000.0
2019-10-02,54.83,54.85,53.87,54.16,747400.0
2019-10-03,53.8,53.8,50.76,53.19,2183800.0
2019-10-04,53.35,54.02,52.71,53.59,787900.0
2019-10-07,53.15,54.15,52.74,53.51,658600.0
2019-10-08,53.29,53.64,51.72,51.94,1021600.0
2019-10-09,52.42,52.42,50.88,51.92,1049900.0
2019-10-10,52.07,52.73,51.51,52.0,949800.0
2019-10-11,53.0,53.87,52.79,53.44,1019300.0
2019-10-14,53.52,53.63,52.67,53.05,443300.0
2019-10-15,53.2,54.34,52.63,53.81,619700.0
2019-10-16,54.03,54.53,53.52,53.93,720300.0
2019-10-17,54.3,54.76,54.12,54.39,569800.0
