date,Open,High,Low,Close,Volume
2019-08-20,262.41,262.97,260.21,260.54,611143.0
2019-08-21,261.27,262.84,259.18,261.06,461122.0
2019-08-22,261.23,262.5,260.55,261.89,522383.0
2019-08-23,262.15,264.56,258.32,259.5,768619.0
2019-08-26,259.13,261.56,259.03,261.29,375345.0
2019-08-27,261.98,264.63,261.5,262.23,727831.0
2019-08-28,262.29,264.16,261.15,261.94,615353.0
2019-08-29,262.02,263.06,260.73,262.24,604379.0
2019-08-30,262.78,265.3,262.37,264.74,781278.0
2019-09-03,264.12,266.76,261.92,262.15,1221856.0
2019-09-04,262.14,264.19,260.7,264.07,1153582.0
2019-09-05,263.29,263.29,257.83,258.26,990151.0
2019-09-06,258.52,259.35,256.33,257.5,831527.0
2019-09-09,257.64,257.94,254.22,254.81,1579170.0
2019-09-10,254.5,254.74,248.1,250.0,1613666.0
2019-09-11,248.22,249.72,245.75,249.69,972765.0
2019-09-12,251.79,253.89,248.69,249.58,952289.0
2019-09-13,248.42,248.93,243.41,243.45,1225741.0
2019-09-16,245.45,247.5,243.8,247.35,972631.0
2019-09-17,248.0,251.03,246.8,250.83,1092298.0
2019-09-18,251.55,251.89,247.86,250.47,1059531.0
2019-09-19,251.43,252.78,249.75,250.39,714768.0
2019-09-20,250.48,251.93,247.73,247.8,1255598.0
2019-09-23,247.97,248.45,245.23,245.45,923048.0
2019-09-24,246.01,248.37,245.34,247.79,1367185.0
2019-09-25,248.2,248.62,245.89,246.0,619813.0
2019-09-26,246.78,247.58,244.82,246.47,974302.0
2019-09-27,246.69,247.26,244.44,245.01,847615.0
2019-09-30,245.26,247.28,244.9,245.27,894942.0
2019-10-01,242.99,243.73,237.21,240.22,1208634.0
2019-10-02,241.26,243.34,240.81,242.28,1350508.0
2019-10-03,242.28,246.47,242.28,245.86,841199.0
2019-10-04,246.11,248.48,244.8,246.82,801933.0
2019-10-07,245.83,247.67,244.98,246.62,706965.0
2019-10-08,246.97,248.29,244.89,246.82,1065748.0
2019-10-09,246.82,249.03,246.65,247.33,505618.0
2019-10-10,247.05,248.23,245.62,246.7,563102.0
2019-10-11,246.99,247.92,245.73,245.96,481098.0
2019-10-14,246.48,246.48,245.08,245.33,545356.0
2019-10-15,245.77,246.73,242.0,242.89,1161246.0
2019-10-16,242.99,243.03,240.63,242.05,1417713.0
2019-10-17,242.52,243.69,240.63,240.69,661166.0
2019-10-18,240.52,242.14,238.66,241.55,1609322.0
2019-10-21,241.98,243.86,241.0,243.79,932202.0
2019-10-22,244.14,245.59,240.44,240.54,774148.0
2019-10-23,241.01,241.95,238.24,240.42,822492.0
2019-10-24,240.6,241.98,239.58,241.37,524459.0
2019-10-25,240.06,240.29,233.92,234.0,1246080.0
2019-10-28,234.66,234.66,232.6,232.6,836978.0
2019-10-29,232.67,235.36,232.67,234.7,886237.0
2019-10-30,226.57,226.57,218.24,223.26,2101659.0
2019-10-31,223.93,226.66,222.5,222.86,1204544.0
2019-11-01,223.77,224.48,218.64,219.26,1399507.0
2019-11-04,219.08,219.08,215.39,216.12,1194452.0
2019-11-05,215.66,215.73,213.61,215.27,1606937.0
2019-11-06,216.11,216.71,213.26,214.49,919510.0
2019-11-07,213.91,215.97,212.07,214.47,1166910.0
