date,Open,High,Low,Close,Volume
2019-08-20,98.8,99.69,98.06,98.68,1904478.0
2019-08-21,99.61,100.0,98.28,99.3,1988298.0
2019-08-22,99.25,99.93,98.21,98.46,1946057.0
2019-08-23,97.48,98.87,94.73,95.18,3305150.0
2019-08-26,96.03,96.4,95.1,96.31,1568102.0
2019-08-27,96.98,97.49,94.35,94.52,2585973.0
2019-08-28,94.54,96.86,94.54,96.17,2317517.0
2019-08-29,97.11,98.46,97.04,98.12,2372544.0
2019-08-30,98.67,99.75,98.13,98.63,1932540.0
2019-09-03,97.28,99.61,97.03,99.47,2140081.0
2019-09-04,100.34,100.61,99.11,99.69,1664123.0
2019-09-05,100.6,101.5,99.75,99.8,2668725.0
2019-09-06,100.13,101.38,99.42,100.91,2117513.0
2019-09-09,101.55,102.74,101.01,102.17,2347164.0
2019-09-10,102.42,103.91,102.25,102.96,2367199.0
2019-09-11,103.29,104.22,102.1,102.47,1924039.0
2019-09-12,101.44,102.61,100.7,102.19,1868083.0
2019-09-13,102.93,103.43,102.09,102.77,1688356.0
2019-09-16,102.11,105.0,102.02,104.03,4648979.0
2019-09-17,103.73,103.93,101.96,102.2,2498630.0
2019-09-18,101.65,103.15,101.15,102.99,1819116.0
2019-09-19,103.47,103.99,102.59,103.08,1340630.0
2019-09-20,103.42,104.04,102.87,103.27,9414955.0
2019-09-23,103.01,104.82,103.01,104.26,2470593.0
2019-09-24,104.2,104.39,102.33,103.62,2611169.0
2019-09-25,103.39,105.52,102.9,105.06,3350053.0
2019-09-26,104.63,105.05,103.11,104.56,1768405.0
2019-09-27,104.81,105.48,102.98,103.66,2296997.0
2019-09-30,103.4,103.95,102.34,102.4,1806025.0
2019-10-01,103.16,103.51,100.83,101.03,1898518.0
2019-10-02,100.4,100.46,97.2,98.24,2281153.0
2019-10-03,97.76,98.89,96.95,98.87,2060545.0
2019-10-04,99.27,100.98,99.21,100.86,2097649.0
2019-10-07,101.26,102.25,100.73,101.36,2476961.0
2019-10-08,100.88,101.55,100.39,100.82,2057961.0
2019-10-09,101.96,103.57,101.76,102.71,1835876.0
2019-10-10,103.62,106.71,103.45,106.6,3788842.0
2019-10-11,107.0,108.2,106.42,106.53,2396332.0
2019-10-14,106.0,107.19,105.78,106.65,1430456.0
2019-10-15,106.5,108.12,106.16,107.3,1634310.0
2019-10-16,106.79,107.77,105.94,106.26,1869196.0
2019-10-17,107.0,107.26,106.39,107.21,1768646.0
2019-10-18,107.0,107.98,106.71,107.2,3015944.0
2019-10-21,108.0,108.57,107.57,108.2,1669346.0
2019-10-22,108.69,109.83,108.07,108.77,1583112.0
2019-10-23,108.77,109.2,108.33,109.0,2339279.0
2019-10-24,109.51,110.97,109.18,110.63,3476354.0
2019-10-25,112.23,117.0,111.9,114.42,6245841.0
2019-10-28,115.0,118.92,115.0,117.25,4706804.0
2019-10-29,116.49,119.78,116.35,118.96,3838395.0
2019-10-30,119.22,119.22,116.16,116.45,2286659.0
2019-10-31,116.65,117.24,114.9,116.82,3940607.0
2019-11-01,117.63,118.59,117.4,118.4,2248758.0
2019-11-04,119.47,119.56,117.61,118.54,2031562.0
2019-11-05,119.0,119.89,117.84,118.92,2268207.0
2019-11-06,119.18,119.39,117.76,118.42,2130305.0
2019-11-07,119.15,119.79,118.4,119.57,2386393.0
2019-11-08,118.89,119.92,118.1,119.7,1577558.0
2019-11-11,118.65,119.82,118.35,118.41,1634274.0
2019-11-12,118.86,119.57,117.56,118.1,2178390.0
2019-11-13,117.35,118.92,117.12,118.43,1555431.0
2019-11-14,118.65,119.58,118.38,119.44,1507476.0
2019-11-15,119.21,119.21,117.82,118.36,1636696.0
2019-11-18,118.15,118.67,117.53,118.65,1365005.0
2019-11-19,117.86,118.96,117.03,117.42,2781514.0
2019-11-20,117.27,117.27,114.44,116.06,4337044.0
2019-11-21,116.36,118.68,115.9,118.37,2396852.0
2019-11-22,118.88,118.92,116.2,116.63,2261036.0
2019-11-25,117.0,117.0,115.17,115.42,2758857.0
2019-11-26,115.53,115.76,114.05,114.33,4118132.0
2019-11-27,114.93,115.32,114.04,114.69,2290451.0
2019-11-29,114.42,115.14,114.17,114.72,1105696.0
