date,Open,High,Low,Close,Volume
2019-08-20,71.4,72.015,70.77,71.84,871843.0
2019-08-21,72.58,72.75,71.33,71.99,730021.0
2019-08-22,72.0,73.34,71.74,72.74,1322383.0
2019-08-23,71.56,72.37,68.76,69.01,2124334.0
2019-08-26,69.88,70.81,69.12,70.48,1136284.0
2019-08-27,71.08,71.5,69.63,69.81,1113394.0
2019-08-28,69.31,71.92,69.0,71.57,1448840.0
2019-08-29,77.57,79.36,73.41,76.0,3998247.0
2019-08-30,76.5,78.63,75.73,75.8,1878755.0
2019-09-03,75.55,76.01,74.08,74.3,2435990.0
2019-09-04,79.06,81.77,78.55,81.08,3309882.0
2019-09-05,82.52,84.74,82.52,84.56,2163302.0
2019-09-06,84.98,85.95,84.0,85.39,1916256.0
2019-09-09,85.73,89.3133,85.5,89.19,1965281.0
2019-09-10,88.83,90.78,88.61,90.54,2017929.0
2019-09-11,90.37,91.02,87.5412,90.4,1459004.0
2019-09-12,89.79,90.91,87.71,90.39,1405346.0
2019-09-13,91.06,92.8,90.39,90.61,1030520.0
2019-09-16,89.36,91.27,88.75,90.62,1221921.0
2019-09-17,90.31,90.31,87.41,88.45,1385862.0
2019-09-18,87.8,89.12,87.255,89.02,977159.0
2019-09-19,89.16,89.16,86.13,86.74,1062524.0
2019-09-20,87.36,88.75,86.01,86.11,1430602.0
2019-09-23,85.26,87.72,84.43,87.0,1087490.0
2019-09-24,87.53,87.53,84.77,85.75,846200.0
2019-09-25,85.96,87.74,85.6,87.26,918095.0
2019-09-26,87.37,87.615,86.41,86.78,920221.0
2019-09-27,87.1,89.065,86.88,87.72,764549.0
2019-09-30,88.02,88.68,87.46,88.23,753168.0
2019-10-01,88.7,89.7,85.66,85.66,1581492.0
2019-10-02,84.59,85.09,82.64,82.9,1213558.0
2019-10-03,82.88,84.02,81.12,83.87,1230784.0
2019-10-04,83.93,84.68,82.78,84.48,1363774.0
2019-10-07,84.27,84.76,83.52,83.71,989486.0
2019-10-08,82.46,82.76,80.43,80.81,1074835.0
2019-10-09,81.94,83.25,81.63,82.76,913267.0
2019-10-10,83.01,84.86,82.565,83.8,1124746.0
2019-10-11,85.22,88.71,85.22,87.72,1197254.0
2019-10-14,86.92,87.72,85.275,86.94,827340.0
2019-10-15,87.17,88.67,86.54,87.56,588306.0
2019-10-16,87.43,88.75,87.36,87.65,637554.0
2019-10-17,88.5,88.99,86.71,87.38,951071.0
2019-10-18,86.07,87.57,85.5208,87.39,797632.0
2019-10-21,88.47,90.33,88.47,89.35,891363.0
2019-10-22,89.48,92.74,88.97,92.39,1167307.0
2019-10-23,92.29,92.47,90.71,91.75,889867.0
2019-10-24,92.13,92.42,89.58,90.84,659427.0
2019-10-25,89.02,93.37,89.02,92.77,798425.0
2019-10-28,90.95,93.2199,89.61,89.67,1118492.0
2019-10-29,89.42,89.61,88.23,88.42,867158.0
2019-10-30,88.59,89.1,87.44,88.38,624573.0
2019-10-31,87.9,88.3,85.23,87.16,905967.0
2019-11-01,88.09,90.19,88.09,90.09,665834.0
2019-11-04,91.01,93.45,90.91,93.38,891322.0
2019-11-05,93.66,96.93,93.42,94.95,1254410.0
2019-11-06,94.58,94.74,92.35,93.2,1022551.0
2019-11-07,96.96,100.92,96.715,97.66,1486868.0
2019-11-08,97.47,98.12,95.43,97.96,891128.0
2019-11-11,97.21,97.755,96.2,96.72,602107.0
2019-11-12,97.1,97.96,96.081,96.88,591626.0
2019-11-13,96.16,96.945,95.47,96.73,609819.0
2019-11-14,97.17,98.6,96.89,97.84,596881.0
2019-11-15,98.57,99.95,97.75,99.92,745419.0
2019-11-18,99.59,99.92,97.81,99.81,790912.0
2019-11-19,99.52,99.75,97.71,98.2,865587.0
2019-11-20,98.17,98.19,96.27,97.81,1024460.0
2019-11-21,97.77,98.73,96.78,97.16,1645421.0
2019-11-22,98.47,100.335,97.39,99.82,1066589.0
2019-11-25,100.72,100.99,99.0,100.58,2006235.0
2019-11-26,102.0,103.0,99.41,100.05,2388682.0
2019-11-27,99.57,99.86,96.6,97.45,1123715.0
2019-11-29,96.87,98.06,95.88,96.96,559868.0
2019-12-02,97.14,97.94,96.025,96.73,977048.0
