date,Open,High,Low,Close,Volume
2019-08-20,126.99,127.58,125.57,126.6,1001764.0
2019-08-21,128.0,129.14,125.94,126.94,1291537.0
2019-08-22,127.53,127.75,125.72,126.07,821700.0
2019-08-23,123.98,125.0,120.01,120.65,1440330.0
2019-08-26,122.45,122.84,119.6,120.25,1123531.0
2019-08-27,121.01,121.14,116.89,118.02,1935617.0
2019-08-28,118.91,121.29,118.17,120.79,1036226.0
2019-08-29,122.46,124.82,122.19,123.36,1189776.0
2019-08-30,123.37,125.26,122.46,123.42,1006554.0
2019-09-03,120.45,122.68,119.57,122.46,1115095.0
2019-09-04,124.4,124.78,123.31,124.18,1531083.0
2019-09-05,125.31,129.91,125.31,128.54,1571974.0
2019-09-06,126.98,129.03,125.0,128.87,1173286.0
2019-09-09,130.57,132.88,130.17,132.0,1769828.0
2019-09-10,132.79,136.54,132.69,134.75,1663929.0
2019-09-11,135.61,137.99,132.74,133.41,1255573.0
2019-09-12,130.25,132.37,129.35,130.35,1744206.0
2019-09-13,132.31,135.97,131.35,135.43,1985120.0
2019-09-16,141.66,145.67,138.7,144.24,5395030.0
2019-09-17,143.02,143.02,137.37,139.01,2378507.0
2019-09-18,137.15,139.97,136.5,137.77,1623658.0
2019-09-19,138.93,139.49,135.03,135.93,1044898.0
2019-09-20,136.34,136.48,132.6,134.34,2554520.0
2019-09-23,133.26,134.7,132.26,133.75,923163.0
2019-09-24,133.73,133.73,130.57,130.83,1688497.0
2019-09-25,129.23,130.64,127.22,128.16,1559650.0
2019-09-26,126.25,127.1,124.78,126.35,1270547.0
2019-09-27,124.89,129.06,124.89,126.32,1115350.0
2019-09-30,125.79,127.55,125.11,125.77,1562494.0
2019-10-01,126.92,128.69,121.55,121.73,1930117.0
2019-10-02,121.64,123.75,119.02,120.98,1752772.0
2019-10-03,119.86,125.13,119.5,124.69,1849619.0
2019-10-04,124.57,126.5,123.94,125.45,1842682.0
2019-10-07,125.69,126.51,123.94,124.54,1625846.0
2019-10-08,123.02,125.68,122.5,123.46,1629561.0
2019-10-09,125.0,127.25,124.96,126.51,1676651.0
2019-10-10,128.09,131.06,127.56,129.35,1999201.0
2019-10-11,131.4,133.89,129.78,132.51,1548566.0
2019-10-14,130.04,131.9,128.51,129.89,1325789.0
2019-10-15,129.19,131.8,128.71,130.41,944414.0
2019-10-16,130.04,131.4,128.34,128.41,914342.0
2019-10-17,128.66,128.87,126.4,127.7,1483137.0
2019-10-18,128.0,128.24,123.15,123.36,1700914.0
2019-10-21,123.4,126.32,123.07,125.39,1753954.0
2019-10-22,126.14,132.27,125.79,130.42,1727286.0
2019-10-23,129.81,131.76,128.51,130.6,1419588.0
2019-10-24,131.0,131.74,128.14,129.27,1183300.0
2019-10-25,129.25,131.48,128.41,129.83,927058.0
2019-10-28,130.74,131.81,125.16,125.55,1684376.0
2019-10-29,124.53,128.31,124.04,127.12,1498327.0
2019-10-30,127.59,128.21,122.22,122.55,1550122.0
2019-10-31,122.12,123.31,119.0,123.02,1705830.0
2019-11-01,124.34,128.68,123.41,127.56,1509330.0
2019-11-04,129.95,136.99,129.94,136.06,3885466.0
2019-11-05,139.0,142.94,134.83,135.86,2920566.0
2019-11-06,134.67,136.29,131.52,133.57,1891810.0
2019-11-07,135.81,137.34,134.64,136.57,1983132.0
2019-11-08,135.78,135.99,133.26,134.99,1101183.0
2019-11-11,132.64,134.58,132.0,133.64,861818.0
2019-11-12,134.39,137.16,133.31,136.13,1143202.0
2019-11-13,135.22,135.7,132.0,133.5,1038597.0
2019-11-14,133.82,134.96,132.16,132.37,1146766.0
2019-11-15,133.07,134.4,131.82,134.28,1056051.0
2019-11-18,133.01,133.36,131.6,133.2,905905.0
2019-11-19,133.2,133.2,129.18,129.62,1107267.0
2019-11-20,129.72,132.89,128.54,130.47,1150276.0
2019-11-21,131.48,131.48,128.53,130.74,1539651.0
2019-11-22,131.29,131.9,129.39,129.56,1318369.0
2019-11-25,129.43,131.1,128.28,131.08,1951087.0
2019-11-26,131.42,131.42,127.45,127.68,1578929.0
2019-11-27,127.97,130.4,127.32,130.18,1229926.0
2019-11-29,128.27,129.43,127.67,127.84,783947.0
2019-12-02,128.83,129.0,126.38,126.78,1355982.0
2019-12-03,125.2,125.28,122.64,123.49,1937493.0
2019-12-04,125.15,131.17,125.0,130.51,1836514.0
2019-12-05,131.17,131.31,127.48,128.31,1325920.0
2019-12-06,129.12,134.77,128.65,133.9,1558866.0
2019-12-09,132.14,134.17,131.23,133.19,1509024.0
2019-12-10,133.26,134.99,132.04,134.55,1458164.0
2019-12-11,134.49,136.63,133.89,136.19,1165233.0
2019-12-12,136.35,140.2,136.01,139.55,1436053.0
2019-12-13,140.88,141.66,138.53,139.99,1684124.0
