date,Open,High,Low,Close,Volume
2019-08-20,72.41,73.67,71.81,73.06,995701.0
2019-08-21,73.83,75.18,73.83,74.69,1077258.0
2019-08-22,74.85,75.66,73.45,73.49,1356594.0
2019-08-23,72.85,72.92,70.12,70.34,1933329.0
2019-08-26,71.48,72.03,70.47,70.8,867989.0
2019-08-27,71.4,71.79,69.72,70.21,1030668.0
2019-08-28,69.88,70.0,68.7,69.57,1701901.0
2019-08-29,70.76,72.28,70.76,71.51,1367920.0
2019-08-30,71.91,71.95,70.2,71.43,1307061.0
2019-09-03,70.62,70.94,68.94,70.28,1043232.0
2019-09-04,71.4,72.39,71.15,72.37,688551.0
2019-09-05,73.59,75.4,73.57,75.17,1110588.0
2019-09-06,75.17,75.98,74.775,75.45,856167.0
2019-09-09,75.98,76.35,75.53,76.0,1122117.0
2019-09-10,75.83,76.89,75.18,76.8,1398599.0
2019-09-11,77.0,77.47,76.08,76.27,1429158.0
2019-09-12,77.06,77.82,75.89,77.8,1212427.0
2019-09-13,77.41,78.685,77.135,77.51,1006408.0
2019-09-16,76.69,77.74,75.85,77.22,842600.0
2019-09-17,77.48,77.62,76.2,76.35,1338502.0
2019-09-18,76.54,76.97,75.43,76.7,1212951.0
2019-09-19,76.5,76.79,75.11,75.19,1020253.0
2019-09-20,75.79,76.66,75.4,75.98,2060900.0
2019-09-23,76.15,77.97,75.92,77.36,1057402.0
2019-09-24,78.0,78.0,76.19,76.72,922774.0
2019-09-25,75.6,76.99,75.6,76.93,808200.0
2019-09-26,75.47,76.26,74.68,75.1,999520.0
2019-09-27,74.87,75.215,72.99,73.23,1039043.0
2019-09-30,73.81,74.37,73.11,74.14,787786.0
2019-10-01,74.32,75.545,73.07,73.17,825799.0
2019-10-02,72.68,73.0,70.86,71.37,787745.0
2019-10-03,71.39,72.99,70.7,72.83,1052624.0
2019-10-04,73.99,75.19,73.83,74.88,1004122.0
2019-10-07,74.5,74.86,73.96,73.96,1281884.0
2019-10-08,73.38,73.71,71.96,72.46,1246421.0
2019-10-09,73.1,73.76,72.53,73.29,650724.0
2019-10-10,75.5,77.13,75.12,76.8,1878782.0
2019-10-11,77.5,78.4,77.1,77.36,1662613.0
2019-10-14,77.17,77.55,76.71,77.34,601825.0
2019-10-15,77.7,79.88,77.56,79.84,1314121.0
2019-10-16,79.59,79.98,78.8689,79.07,1143689.0
2019-10-17,80.08,80.7,78.81,78.96,1425165.0
2019-10-18,78.76,78.81,76.975,77.59,824010.0
2019-10-21,78.29,79.07,78.16,78.75,892264.0
2019-10-22,79.09,79.53,78.3,78.33,819186.0
2019-10-23,77.65,79.3,77.19,78.68,824537.0
2019-10-24,79.8,79.8,78.46,79.41,677178.0
2019-10-25,79.45,79.65,78.8,79.02,729524.0
2019-10-28,79.59,80.51,79.4,80.32,810360.0
2019-10-29,80.19,80.9,79.61,79.85,703530.0
2019-10-30,80.3,80.44,79.41,79.85,1293238.0
2019-10-31,79.97,81.3,78.79,80.86,2917183.0
2019-11-01,91.88,97.34,91.31,97.22,8885289.0
2019-11-04,98.32,101.9294,97.06,101.51,4365916.0
2019-11-05,100.15,101.85,100.002,101.3,3134050.0
2019-11-06,100.76,102.31,100.22,101.4,3153326.0
2019-11-07,102.0,102.88,100.88,101.31,2482472.0
2019-11-08,102.0,104.22,101.75,104.04,2867977.0
2019-11-11,103.42,104.0,101.93,102.29,2182440.0
2019-11-12,102.5,102.72,101.83,102.58,1939046.0
2019-11-13,100.64,104.09,99.46,103.89,2260849.0
2019-11-14,103.56,104.19,102.89,103.7,1080227.0
2019-11-15,104.4,104.88,103.23,103.75,941540.0
2019-11-18,103.62,104.145,102.58,103.25,1241671.0
2019-11-19,103.63,103.8882,102.34,102.84,1198791.0
2019-11-20,102.7,103.94,101.73,101.89,1329864.0
2019-11-21,102.01,102.32,100.72,100.9,1311767.0
2019-11-22,101.34,102.23,101.04,101.72,1137907.0
2019-11-25,101.86,104.67,101.86,104.31,949030.0
2019-11-26,104.17,104.56,103.45,104.11,1313709.0
2019-11-27,104.4,106.375,104.0,105.03,1237261.0
2019-11-29,104.18,105.85,104.0,104.21,710503.0
2019-12-02,104.06,104.5,102.535,102.97,1435402.0
2019-12-03,101.19,102.3,100.32,102.14,1905267.0
