date,Open,High,Low,Close,Volume
2019-08-20,107.61,108.43,107.0,107.63,949020.0
2019-08-21,108.65,108.69,107.12,107.67,778544.0
2019-08-22,107.84,108.11,106.14,107.03,944669.0
2019-08-23,106.69,107.04,102.14,102.53,2184090.0
2019-08-26,103.27,103.7,102.09,102.49,1665617.0
2019-08-27,103.49,103.56,101.625,101.77,1174623.0
2019-08-28,101.27,103.37,100.6905,103.18,1369309.0
2019-08-29,103.81,104.94,103.18,103.38,1191078.0
2019-08-30,104.22,105.5,103.95,104.28,1208961.0
2019-09-03,103.0,103.0,100.64,102.85,1831339.0
2019-09-04,103.78,105.69,103.61,104.74,1234935.0
2019-09-05,105.4,107.42,105.38,106.94,1304199.0
2019-09-06,107.53,108.88,106.96,108.41,1728649.0
2019-09-09,109.07,110.7,108.49,110.61,1401949.0
2019-09-10,110.86,113.9199,110.55,113.75,1743863.0
2019-09-11,113.93,115.15,112.36,113.83,1386338.0
2019-09-12,114.09,114.75,111.85,113.27,1012780.0
2019-09-13,114.0,115.63,113.46,114.83,1085124.0
2019-09-16,112.09,114.19,111.55,113.93,1203350.0
2019-09-17,113.67,114.79,113.09,114.09,725566.0
2019-09-18,113.26,114.18,110.975,112.99,1798623.0
2019-09-19,112.78,114.17,112.33,112.46,1243720.0
2019-09-20,112.76,113.28,110.86,111.68,1444921.0
2019-09-23,110.96,110.96,108.76,109.55,1662318.0
2019-09-24,110.34,111.63,108.02,108.64,1470749.0
2019-09-25,108.68,109.8,107.62,109.66,1123186.0
2019-09-26,106.28,107.9462,105.15,106.93,2562572.0
2019-09-27,107.31,108.11,105.83,107.03,1768489.0
2019-09-30,108.0,109.27,107.62,108.33,1303698.0
2019-10-01,108.21,109.34,104.185,104.65,1601088.0
2019-10-02,103.7,104.0,102.18,103.01,1636439.0
2019-10-03,103.09,104.48,101.68,104.18,1261097.0
2019-10-04,104.54,105.29,102.76,103.31,1658316.0
2019-10-07,102.81,103.75,101.69,102.6,1760522.0
2019-10-08,101.29,102.8,100.47,101.03,1330307.0
2019-10-09,101.81,102.36,101.28,101.88,944915.0
2019-10-10,102.31,103.8,101.82,103.61,1216952.0
2019-10-11,105.0,108.475,105.0,107.57,1970653.0
2019-10-14,107.0,108.59,106.89,107.96,1185314.0
2019-10-15,108.16,110.56,107.92,109.48,1440573.0
2019-10-16,109.55,109.86,107.14,108.32,1038153.0
2019-10-17,109.01,109.64,108.24,109.15,564456.0
2019-10-18,109.49,111.65,109.22,111.18,1744417.0
2019-10-21,112.0,112.95,100.0,112.07,2162917.0
2019-10-22,111.75,112.03,108.26,108.41,1462954.0
2019-10-23,108.27,109.91,107.58,109.68,1077711.0
2019-10-24,110.19,110.62,108.54,109.12,872610.0
2019-10-25,108.89,111.52,108.89,111.37,944105.0
2019-10-28,111.51,112.99,111.44,112.2,961319.0
2019-10-29,112.9,113.9,112.25,113.27,1569167.0
2019-10-30,115.47,115.75,108.51,109.42,3556375.0
2019-10-31,109.07,109.56,107.16,108.83,2222307.0
2019-11-01,109.87,111.7,109.34,111.18,1311791.0
2019-11-04,112.21,113.47,111.08,113.28,1508204.0
2019-11-05,113.67,114.53,112.47,113.51,1448131.0
2019-11-06,113.63,113.68,111.36,112.78,1336752.0
2019-11-07,114.61,115.82,112.875,114.99,2592378.0
2019-11-08,114.55,114.9,112.92,114.53,988048.0
2019-11-11,113.47,114.2151,112.84,113.94,908873.0
2019-11-12,114.02,114.93,113.25,113.85,1168295.0
2019-11-13,113.51,115.06,112.83,114.79,1296062.0
2019-11-14,114.61,115.665,114.32,115.24,1565130.0
2019-11-15,116.0,118.22,115.995,117.89,2445459.0
2019-11-18,118.0,118.55,117.02,118.4,1651130.0
2019-11-19,119.5,120.1,118.775,118.86,1614009.0
2019-11-20,118.13,119.06,116.37,117.0,2434932.0
2019-11-21,116.71,118.85,115.52,118.69,2252213.0
2019-11-22,119.43,120.05,118.35,119.13,1642053.0
2019-11-25,119.8,120.125,119.21,119.42,1374974.0
2019-11-26,119.49,120.41,118.57,119.74,2379838.0
2019-11-27,120.54,121.31,119.58,121.3,1218914.0
2019-11-29,120.64,120.86,119.75,120.02,751588.0
2019-12-02,120.16,120.4155,118.44,119.15,1552992.0
2019-12-03,117.85,118.86,116.89,118.85,1880122.0
2019-12-04,118.74,120.17,118.74,120.1,1957535.0
2019-12-05,120.76,121.22,120.06,121.0,1694220.0
2019-12-06,122.0,122.49,120.86,122.07,1740139.0
2019-12-09,121.35,122.1236,120.01,121.82,1957802.0
2019-12-10,121.62,121.865,120.3,121.59,1748635.0
