date,Open,High,Low,Close,Volume
2019-08-20,249.36,249.36,246.59,246.79,177700.0
2019-08-21,247.64,248.68,245.9,247.85,121800.0
2019-08-22,248.74,250.55,247.16,248.85,184700.0
2019-08-23,247.74,250.89,244.04,244.88,261800.0
2019-08-26,245.94,247.3,244.48,247.17,160400.0
2019-08-27,248.47,248.62,245.06,245.55,301800.0
2019-08-28,244.27,245.32,235.21,239.51,325600.0
2019-08-29,240.22,241.71,234.09,239.89,312600.0
2019-08-30,240.39,240.78,231.57,235.88,621600.0
2019-09-03,237.15,246.89,235.88,241.67,463900.0
2019-09-04,240.75,246.46,240.75,246.36,300900.0
2019-09-05,248.12,250.61,247.66,248.74,326800.0
2019-09-06,249.02,250.79,247.89,249.0,270200.0
2019-09-09,250.18,251.86,248.67,251.77,282200.0
2019-09-10,252.06,252.06,248.72,251.02,342000.0
2019-09-11,250.84,254.88,250.63,254.82,303000.0
2019-09-12,255.05,255.84,247.82,251.7,553800.0
2019-09-13,252.36,257.06,251.37,256.39,351000.0
2019-09-16,254.39,255.36,251.92,254.95,228700.0
2019-09-17,254.41,260.5,254.41,260.44,472700.0
2019-09-18,260.05,262.15,258.96,261.75,333300.0
2019-09-19,262.26,264.01,260.96,262.29,469200.0
2019-09-20,263.0,264.61,261.74,264.5,572600.0
2019-09-23,262.98,265.82,262.42,265.0,297500.0
2019-09-24,265.6,268.95,264.97,266.76,464100.0
2019-09-25,265.53,266.86,262.66,263.06,309200.0
2019-09-26,263.46,266.94,263.07,266.36,214700.0
2019-09-27,267.54,267.54,264.3,265.98,320300.0
2019-09-30,266.31,268.08,264.93,266.09,212300.0
2019-10-01,266.41,266.65,263.68,263.85,229000.0
2019-10-02,263.81,265.37,258.14,259.2,326900.0
2019-10-03,259.1,259.35,256.18,257.61,311600.0
2019-10-04,257.89,260.13,256.91,259.7,351000.0
2019-10-07,258.87,259.03,254.53,254.66,281500.0
2019-10-08,253.66,253.66,250.09,250.45,378600.0
2019-10-09,251.49,251.69,249.82,250.48,191800.0
2019-10-10,249.84,252.52,248.38,249.5,270600.0
2019-10-11,251.27,252.96,249.19,250.5,282100.0
2019-10-14,250.25,250.93,248.36,250.61,249400.0
2019-10-15,251.47,254.88,251.14,251.54,183300.0
2019-10-16,250.1,254.73,246.23,252.72,274900.0
2019-10-17,252.93,252.93,249.36,249.46,162300.0
2019-10-18,249.12,252.92,249.12,251.08,226300.0
2019-10-21,252.52,254.46,251.45,253.02,151800.0
2019-10-22,252.22,252.22,245.59,248.51,285000.0
2019-10-23,248.76,250.65,248.46,249.3,247800.0
2019-10-24,249.53,250.88,248.05,249.67,155000.0
2019-10-25,249.41,250.56,247.21,248.59,141800.0
2019-10-28,249.08,249.88,246.34,247.02,301100.0
2019-10-29,249.53,256.73,245.73,256.24,504000.0
2019-10-30,256.6,257.0,250.52,254.55,246400.0
2019-10-31,254.43,257.41,252.54,257.09,258500.0
2019-11-01,257.67,259.74,257.31,259.35,222800.0
2019-11-04,260.15,261.58,258.1,258.43,281600.0
2019-11-05,259.1,260.09,257.3,259.18,306700.0
2019-11-06,258.33,262.1,257.87,261.68,268100.0
2019-11-07,261.76,263.99,261.07,263.59,230100.0
2019-11-08,262.96,265.48,262.34,265.35,200500.0
2019-11-11,264.31,267.49,264.31,266.66,220800.0
2019-11-12,265.67,270.09,265.67,269.75,277800.0
2019-11-13,268.6,268.93,266.42,266.91,228300.0
2019-11-14,267.44,268.71,266.49,268.5,198400.0
2019-11-15,268.23,268.81,266.37,267.17,199800.0
2019-11-18,266.79,268.21,266.55,267.44,208800.0
2019-11-19,266.8,267.46,265.0,267.02,321800.0
2019-11-20,266.19,269.1,266.19,267.71,178900.0
2019-11-21,268.22,269.55,266.27,267.1,252600.0
2019-11-22,265.88,267.83,265.21,267.23,269000.0
2019-11-25,266.76,270.58,266.76,269.82,301400.0
2019-11-26,270.05,272.55,269.61,272.37,457600.0
2019-11-27,272.97,274.24,271.62,272.76,331700.0
2019-11-29,272.19,273.42,270.83,271.26,177800.0
2019-12-02,272.18,272.18,268.43,268.81,278500.0
2019-12-03,265.6,266.79,264.17,265.82,226300.0
2019-12-04,265.6,268.34,265.46,267.5,213500.0
2019-12-05,267.52,268.62,266.9,268.4,193700.0
2019-12-06,269.43,270.56,267.86,268.95,169300.0
2019-12-09,269.02,271.64,267.6,271.56,176400.0
2019-12-10,271.81,271.81,269.58,270.3,344500.0
2019-12-11,270.09,271.01,268.06,271.01,229000.0
2019-12-12,271.21,275.7,271.21,275.06,183500.0
2019-12-13,274.75,276.15,273.74,274.67,195200.0
2019-12-16,275.88,277.24,273.92,276.37,236500.0
2019-12-17,276.36,279.64,275.97,279.01,247700.0
2019-12-18,278.92,279.99,275.39,276.12,207900.0
2019-12-19,275.8,277.31,274.57,275.55,258000.0
2019-12-20,276.93,279.46,276.45,277.28,385700.0
2019-12-23,278.71,278.71,272.41,273.5,261800.0
2019-12-24,273.02,274.55,271.0,274.5,74000.0
2019-12-26,274.43,275.37,273.6,274.57,127400.0
2019-12-27,274.52,276.07,273.6,276.01,172400.0
2019-12-30,276.68,278.19,275.12,277.45,202400.0
2019-12-31,277.44,278.27,276.45,276.84,136000.0
2020-01-02,277.9,278.3,274.89,278.15,181300.0
2020-01-03,275.46,278.27,275.46,277.24,162400.0
2020-01-06,277.09,277.75,275.49,276.59,265200.0
2020-01-07,275.85,276.63,274.03,274.17,244300.0
2020-01-08,274.92,277.2,273.33,273.34,225700.0
2020-01-09,273.59,276.87,273.59,276.24,193800.0
2020-01-10,275.98,277.27,273.57,274.83,220700.0
2020-01-13,274.56,276.69,274.56,275.96,158700.0
2020-01-14,273.49,276.35,273.49,274.65,203400.0
2020-01-15,274.32,276.58,273.03,275.54,206700.0
2020-01-16,276.97,278.41,276.39,277.43,264200.0
2020-01-17,278.65,281.45,278.65,279.97,205900.0
2020-01-21,280.0,280.95,278.65,280.0,398400.0
2020-01-22,280.19,281.09,278.89,281.0,561600.0
2020-01-23,278.99,281.14,276.33,280.92,336400.0
2020-01-24,280.87,281.98,275.48,277.35,258800.0
2020-01-27,274.43,275.63,272.63,272.68,173900.0
2020-01-28,273.89,276.86,273.89,275.14,214900.0
2020-01-29,275.16,276.37,273.62,274.62,192500.0
2020-01-30,273.07,277.1,271.94,276.88,214084.0
2020-01-31,276.0,278.87,275.86,276.57,454200.0
2020-02-03,277.11,281.14,276.66,279.59,288100.0
2020-02-04,281.49,282.33,277.59,277.59,236400.0
2020-02-05,278.99,283.31,278.64,283.3,344901.0
2020-02-06,283.94,284.27,280.26,280.45,374300.0
2020-02-07,279.51,285.85,279.51,282.58,229100.0
2020-02-10,282.08,285.96,281.78,285.88,215100.0
2020-02-11,287.63,294.31,284.26,291.64,411900.0
2020-02-12,291.96,291.96,284.91,287.68,243300.0
2020-02-13,287.03,291.8,287.03,291.78,233900.0
2020-02-14,292.06,293.9,289.66,291.37,209700.0
2020-02-18,290.5,290.6,287.18,289.79,205900.0
2020-02-19,291.24,291.84,289.53,290.58,243700.0
2020-02-20,289.0,290.06,285.24,287.93,160500.0
2020-02-21,287.4,289.95,286.97,289.85,235000.0
2020-02-24,285.56,287.44,281.17,283.04,593100.0
2020-02-25,282.44,283.62,277.67,278.55,438500.0
2020-02-26,280.11,281.06,273.23,273.23,349000.0
2020-02-27,270.49,274.36,261.8,261.81,354000.0
2020-02-28,256.84,257.84,242.23,247.88,676700.0
2020-03-02,248.01,260.1,247.74,258.16,771700.0
2020-03-03,258.15,262.0,251.25,253.44,439400.0
2020-03-04,256.98,269.59,255.51,269.39,302700.0
2020-03-05,263.12,263.92,254.2,257.18,304400.0
2020-03-06,249.34,255.0,246.53,253.51,334200.0
2020-03-09,223.14,243.23,223.14,234.77,513300.0
2020-03-10,240.87,241.29,229.29,240.45,397600.0
2020-03-11,233.25,237.73,223.89,227.95,497200.0
2020-03-12,211.76,211.87,200.82,200.82,625900.0
2020-03-13,210.87,214.26,200.78,213.09,704200.0
2020-03-16,182.96,205.98,170.5,182.61,803600.0
2020-03-17,186.74,199.04,180.4,198.03,605600.0
2020-03-18,183.58,190.91,172.15,188.71,625400.0
2020-03-19,186.95,197.82,176.79,187.24,624600.0
2020-03-20,189.0,202.04,179.99,194.65,654800.0
2020-03-23,190.0,190.0,168.16,171.96,796000.0
2020-03-24,181.86,189.79,178.13,185.58,398100.0
2020-03-25,186.5,188.49,174.07,174.83,708500.0
2020-03-26,178.9,196.19,172.86,195.33,693900.0
2020-03-27,186.37,194.94,183.44,189.29,418400.0
2020-03-30,188.96,200.75,185.19,198.49,341000.0
2020-03-31,196.12,197.73,189.87,192.42,353300.0
2020-04-01,179.52,185.9,176.72,181.24,438100.0
2020-04-02,180.73,189.67,177.65,187.67,524400.0
2020-04-03,185.17,188.45,176.67,178.02,384800.0
2020-04-06,186.89,191.1,184.49,189.93,340500.0
2020-04-07,198.36,201.94,190.66,191.25,374900.0
2020-04-08,193.12,199.75,189.07,197.8,302900.0
2020-04-09,200.39,212.8,200.01,212.3,330900.0
2020-04-13,210.18,210.18,201.86,202.14,230000.0
2020-04-14,207.65,208.96,200.27,203.12,322800.0
2020-04-15,196.62,198.49,190.57,191.03,258200.0
2020-04-16,189.9,191.21,185.69,187.15,378300.0
2020-04-17,193.45,197.92,192.09,196.35,498100.0
2020-04-20,192.58,195.09,188.24,190.52,293500.0
2020-04-21,184.88,187.12,178.5,179.6,489700.0
2020-04-22,183.31,184.69,176.41,179.38,547300.0
2020-04-23,180.82,181.58,176.82,177.09,340000.0
2020-04-24,178.04,178.04,169.55,170.81,512800.0
2020-04-27,170.78,176.71,170.78,175.72,432600.0
2020-04-28,180.04,183.42,176.74,179.65,348200.0
2020-04-29,184.74,186.86,181.6,184.45,238900.0
2020-04-30,181.18,181.18,173.06,173.13,285600.0
2020-05-01,169.42,169.42,164.21,165.01,322800.0
