date,Open,High,Low,Close,Volume
2019-08-20,14.15,14.18,13.94,14.0,9089700.0
2019-08-21,14.18,14.21,14.01,14.13,9295500.0
2019-08-22,14.25,14.36,14.17,14.25,7886700.0
2019-08-23,14.13,14.37,13.73,13.79,12282300.0
2019-08-26,13.93,14.04,13.81,14.03,9585200.0
2019-08-27,14.1,14.14,13.75,13.85,9413600.0
2019-08-28,13.75,14.2,13.75,14.1,8031900.0
2019-08-29,14.26,14.57,14.25,14.47,11275200.0
2019-08-30,14.59,14.8,14.55,14.62,10389800.0
2019-09-03,14.49,14.49,14.13,14.26,11341900.0
2019-09-04,14.46,14.5,14.34,14.44,8039500.0
2019-09-05,14.6,14.96,14.57,14.81,10269400.0
2019-09-06,14.78,14.99,14.77,14.85,8471500.0
2019-09-09,15.0,15.61,14.97,15.45,15609900.0
2019-09-10,15.54,16.06,15.51,16.01,16533900.0
2019-09-11,16.02,16.32,15.74,16.24,14678700.0
2019-09-12,16.03,16.4,15.81,16.25,11308900.0
2019-09-13,16.5,16.68,16.3,16.35,9920900.0
2019-09-16,16.11,16.47,16.11,16.44,7587600.0
2019-09-17,16.28,16.33,16.0,16.26,8389200.0
2019-09-18,16.11,16.45,16.03,16.35,12906000.0
2019-09-19,16.3,16.39,16.11,16.12,8220600.0
2019-09-20,16.17,16.24,15.94,15.96,14487000.0
2019-09-23,15.79,16.15,15.77,16.05,6054900.0
2019-09-24,16.02,16.08,15.74,15.85,8465500.0
2019-09-25,15.91,16.13,15.85,16.04,5653000.0
2019-09-26,15.99,16.06,15.87,15.89,6678000.0
2019-09-27,16.02,16.29,15.86,15.96,7700700.0
2019-09-30,15.98,16.05,15.81,15.82,7161900.0
2019-10-01,15.95,16.08,15.33,15.43,11021400.0
2019-10-02,15.28,15.39,15.07,15.16,8322800.0
2019-10-03,15.08,15.24,14.77,15.23,11667000.0
2019-10-04,15.24,15.41,15.1,15.39,9279700.0
2019-10-07,15.39,15.59,15.31,15.38,6924500.0
2019-10-08,15.07,15.13,14.88,14.89,10580000.0
2019-10-09,15.03,15.04,14.81,14.91,10402800.0
2019-10-10,15.03,15.22,14.99,15.11,10244000.0
2019-10-11,15.49,15.65,15.41,15.43,9809600.0
2019-10-14,15.29,15.45,15.24,15.39,6940100.0
2019-10-15,15.46,15.73,15.36,15.61,8491300.0
2019-10-16,15.68,15.79,15.49,15.53,7695000.0
2019-10-17,15.67,15.69,15.45,15.54,7941700.0
2019-10-18,15.54,15.85,15.49,15.77,14813500.0
2019-10-21,15.95,16.13,15.95,16.07,8952200.0
2019-10-22,15.79,16.48,15.36,16.22,18679000.0
2019-10-23,16.19,16.35,16.08,16.28,7876300.0
2019-10-24,16.29,16.35,16.07,16.18,6594900.0
2019-10-25,16.13,16.42,16.12,16.4,6814900.0
2019-10-28,16.54,16.75,16.39,16.52,9964300.0
2019-10-29,16.41,16.6,16.4,16.47,8535800.0
2019-10-30,16.43,16.43,16.15,16.27,7243400.0
2019-10-31,16.13,16.27,15.83,16.1,8206100.0
2019-11-01,16.31,16.55,16.2,16.55,8110600.0
2019-11-04,16.66,17.0,16.66,16.99,10327100.0
2019-11-05,17.03,17.35,17.03,17.2,8383600.0
2019-11-06,17.05,17.2,16.91,17.06,7188100.0
2019-11-07,17.25,17.31,16.89,16.91,14247800.0
2019-11-08,16.89,16.95,16.77,16.88,6690700.0
2019-11-11,16.66,16.84,16.66,16.77,7260500.0
2019-11-12,16.68,16.87,16.57,16.69,10035500.0
2019-11-13,16.45,16.53,16.3,16.41,7586000.0
2019-11-14,16.35,16.47,16.26,16.44,8075300.0
2019-11-15,16.53,16.64,16.48,16.52,8153100.0
2019-11-18,16.5,16.58,16.4,16.58,9655100.0
2019-11-19,16.64,16.7,16.45,16.52,5927000.0
2019-11-20,16.45,16.57,16.26,16.41,7018500.0
2019-11-21,16.51,16.55,16.29,16.49,6462800.0
2019-11-22,16.58,16.8,16.54,16.67,5918400.0
2019-11-25,16.7,16.84,16.63,16.84,7250700.0
2019-11-26,16.75,16.81,16.59,16.59,8049800.0
2019-11-27,16.7,16.79,16.64,16.74,5238300.0
2019-11-29,16.76,16.79,16.63,16.64,3348200.0
2019-12-02,16.71,16.83,16.57,16.61,7290700.0
2019-12-03,16.33,16.47,16.1,16.42,9932300.0
2019-12-04,16.51,16.78,16.45,16.68,9094700.0
2019-12-05,16.63,16.74,16.58,16.68,11004900.0
2019-12-06,16.93,17.08,16.89,17.04,9920000.0
2019-12-09,16.98,17.15,16.95,17.07,8621800.0
2019-12-10,17.04,17.17,16.96,17.0,9382000.0
2019-12-11,16.97,17.12,16.84,16.84,8461300.0
2019-12-12,16.87,17.45,16.85,17.42,10356800.0
2019-12-13,17.38,17.49,17.05,17.17,8754400.0
2019-12-16,17.44,17.54,17.22,17.24,9052200.0
2019-12-17,17.28,17.43,17.2,17.43,9671600.0
2019-12-18,17.5,17.52,17.31,17.33,10374500.0
2019-12-19,17.33,17.39,17.19,17.3,7615400.0
2019-12-20,17.39,17.45,17.2,17.25,17360800.0
2019-12-23,17.27,17.28,17.11,17.17,7879600.0
2019-12-24,17.19,17.22,17.11,17.2,3147700.0
2019-12-26,17.23,17.28,17.16,17.26,4234100.0
