date,Open,High,Low,Close,Volume
2019-08-20,55.65,55.73,55.02,55.2,871900.0
2019-08-21,55.81,55.96,55.14,55.22,642600.0
2019-08-22,55.08,55.34,54.44,54.55,654100.0
2019-08-23,54.39,54.76,52.89,53.08,956700.0
2019-08-26,53.67,53.78,52.8,53.17,620500.0
2019-08-27,53.41,53.56,52.47,52.9,886600.0
2019-08-28,52.65,53.47,52.33,53.15,694600.0
2019-08-29,53.7,54.06,53.29,53.41,653700.0
2019-08-30,53.7,54.15,53.23,53.47,884000.0
2019-09-03,53.1,53.17,51.9,52.13,1058700.0
2019-09-04,52.84,53.46,52.54,52.9,1664300.0
2019-09-05,53.8,54.5,53.7,54.17,817000.0
2019-09-06,54.26,54.43,53.37,53.41,632800.0
2019-09-09,53.91,55.35,53.46,55.22,1161600.0
2019-09-10,55.16,56.44,55.07,56.02,1491900.0
2019-09-11,56.33,56.88,55.63,56.87,1077000.0
2019-09-12,56.74,57.0,55.27,55.63,1205400.0
2019-09-13,56.24,57.3,56.03,56.76,1145700.0
2019-09-16,56.42,57.14,56.22,57.12,769700.0
2019-09-17,56.78,56.78,55.76,55.88,1081600.0
2019-09-18,55.72,55.91,55.14,55.5,1272800.0
2019-09-19,55.5,55.91,54.49,54.63,1069800.0
2019-09-20,54.68,55.6,54.68,55.08,1386900.0
2019-09-23,54.8,55.25,54.15,54.9,872400.0
2019-09-24,55.04,55.26,54.03,54.26,1266200.0
2019-09-25,54.43,55.55,54.17,55.12,584400.0
2019-09-26,55.02,55.52,54.74,54.97,659600.0
2019-09-27,55.25,55.68,54.47,54.62,941800.0
2019-09-30,54.9,56.01,54.78,55.66,867700.0
2019-10-01,56.25,56.8,53.63,53.99,1324900.0
2019-10-02,53.51,54.66,53.06,53.83,1692000.0
2019-10-03,53.54,54.07,52.1,52.76,1383500.0
2019-10-04,53.0,54.18,52.85,54.09,859100.0
2019-10-07,53.73,54.29,53.48,54.01,1082500.0
2019-10-08,53.4,53.52,52.73,52.74,1532000.0
2019-10-09,53.3,53.57,52.31,52.35,1138500.0
2019-10-10,52.19,53.17,52.19,53.04,622600.0
2019-10-11,54.24,54.9,54.18,54.36,1219000.0
2019-10-14,53.9,54.64,53.9,54.41,922600.0
2019-10-15,54.71,55.79,54.7,55.45,1144800.0
2019-10-16,55.08,55.5,54.42,54.57,1445500.0
2019-10-17,54.78,55.35,54.38,54.46,673800.0
2019-10-18,54.23,55.68,53.93,55.09,1148500.0
2019-10-21,55.74,56.37,55.46,55.94,931500.0
2019-10-22,56.04,56.29,55.31,55.95,1213100.0
2019-10-23,56.0,56.08,55.39,55.89,1276000.0
2019-10-24,57.27,59.13,57.06,58.08,1509700.0
2019-10-25,57.84,58.09,57.23,57.92,905700.0
2019-10-28,58.55,59.49,58.55,59.19,635600.0
2019-10-29,58.96,59.65,58.3,58.76,868200.0
2019-10-30,58.62,58.65,57.5,58.12,630300.0
2019-10-31,57.9,58.19,56.86,57.27,739200.0
2019-11-01,57.83,58.87,57.27,58.71,975900.0
2019-11-04,58.64,59.0,58.01,58.29,1300900.0
2019-11-05,58.62,58.75,58.08,58.24,1080500.0
2019-11-06,58.06,58.28,57.63,58.23,974000.0
2019-11-07,58.64,58.99,57.75,58.1,880800.0
2019-11-08,58.0,58.35,57.77,57.94,800000.0
2019-11-11,57.37,58.14,57.26,58.02,704800.0
2019-11-12,58.15,58.15,57.33,57.52,1015000.0
2019-11-13,57.18,57.58,57.04,57.42,659000.0
2019-11-14,57.38,57.91,57.38,57.8,1121500.0
2019-11-15,58.15,58.45,57.9,58.19,922100.0
2019-11-18,57.77,58.43,57.21,58.4,683800.0
2019-11-19,58.73,59.1,58.47,58.83,797200.0
2019-11-20,58.62,58.95,57.95,58.42,871100.0
2019-11-21,58.4,58.68,57.6,57.99,780300.0
2019-11-22,57.35,58.03,57.32,57.8,752500.0
2019-11-25,57.94,58.27,57.77,57.95,675100.0
2019-11-26,58.12,58.73,58.0,58.71,865900.0
2019-11-27,58.83,58.87,58.32,58.6,771300.0
2019-11-29,58.6,58.64,58.1,58.2,233000.0
2019-12-02,58.31,58.69,57.65,57.92,719400.0
2019-12-03,57.21,57.55,56.79,57.36,1379200.0
2019-12-04,57.68,58.69,57.53,57.64,1191400.0
2019-12-05,58.02,58.52,58.02,58.39,1207900.0
2019-12-06,59.02,59.66,58.62,59.47,1029600.0
2019-12-09,59.28,60.11,59.18,60.03,1389600.0
2019-12-10,59.9,60.52,59.78,59.91,1456400.0
2019-12-11,59.88,60.96,59.76,60.89,996000.0
2019-12-12,60.76,62.07,60.53,61.99,911300.0
2019-12-13,61.71,62.43,61.27,61.64,1368700.0
2019-12-16,62.21,63.0,61.78,61.88,2144100.0
2019-12-17,61.81,62.3,61.69,62.02,897400.0
2019-12-18,61.93,62.14,61.4,61.5,1526600.0
2019-12-19,61.59,62.04,61.16,61.95,744900.0
2019-12-20,62.36,62.49,61.86,62.08,1356800.0
2019-12-23,62.32,62.36,61.83,62.14,544800.0
2019-12-24,62.26,62.36,62.05,62.2,182500.0
2019-12-26,62.5,62.62,62.22,62.51,568900.0
2019-12-27,62.82,62.86,62.33,62.44,977800.0
2019-12-30,62.33,63.05,62.15,62.88,684500.0
2019-12-31,62.59,63.43,62.59,63.15,713100.0
2020-01-02,63.45,63.75,62.81,63.75,864800.0
2020-01-03,62.6,63.36,62.55,63.31,1667700.0
2020-01-06,62.77,63.09,62.51,62.81,991300.0
2020-01-07,63.01,63.18,62.48,62.85,1239700.0
2020-01-08,62.88,63.46,62.77,62.92,1025200.0
2020-01-09,63.27,63.7,62.96,63.56,917900.0
2020-01-10,63.5,63.74,62.85,63.08,698100.0
2020-01-13,63.18,63.26,62.33,62.48,1121600.0
2020-01-14,62.32,62.95,62.32,62.61,1108500.0
2020-01-15,62.44,63.25,62.31,63.02,773600.0
2020-01-16,63.27,63.77,63.21,63.48,1676800.0
2020-01-17,63.75,63.84,63.06,63.34,874600.0
2020-01-21,63.0,63.18,62.38,62.58,885700.0
2020-01-22,62.85,62.98,62.08,62.32,627500.0
2020-01-23,61.98,62.75,61.33,62.54,783700.0
