date,Open,High,Low,Close,Volume
2019-08-20,76.64,77.05,76.0,76.63,921445.0
2019-08-21,77.19,77.8,76.97,77.66,815377.0
2019-08-22,78.2,79.21,77.9,78.56,1481821.0
2019-08-23,78.03,78.62,75.78,76.2,926597.0
2019-08-26,77.17,77.34,76.04,76.55,590366.0
2019-08-27,76.89,77.19,75.38,75.66,839079.0
2019-08-28,75.06,76.33,74.87,76.24,742977.0
2019-08-29,77.18,78.49,77.18,78.28,518519.0
2019-08-30,78.98,79.27,78.18,78.51,531885.0
2019-09-03,77.72,77.8,76.19,76.92,770617.0
2019-09-04,77.71,78.08,77.4,78.03,544061.0
2019-09-05,79.73,80.95,79.62,79.95,619549.0
2019-09-06,80.19,80.99,79.55,80.56,689641.0
2019-09-09,81.22,82.65,81.1,82.27,935602.0
2019-09-10,82.75,84.34,82.41,84.29,895375.0
2019-09-11,84.37,85.81,82.48,85.78,704157.0
2019-09-12,85.09,86.82,84.65,86.41,995618.0
2019-09-13,87.28,87.9,86.85,87.11,1024822.0
2019-09-16,86.1,87.4,85.88,87.35,1055677.0
2019-09-17,86.78,87.07,85.95,86.35,825636.0
2019-09-18,85.91,86.13,84.71,85.86,733930.0
2019-09-19,85.32,85.59,84.49,85.16,958592.0
2019-09-20,85.36,85.59,84.12,84.2,1448806.0
2019-09-23,83.42,84.75,83.02,84.29,592467.0
2019-09-24,84.47,84.73,82.67,83.81,1027770.0
2019-09-25,83.88,85.0,83.58,84.79,778926.0
2019-09-26,84.64,85.18,83.88,84.67,719412.0
2019-09-27,85.2,85.57,83.19,83.87,1431884.0
2019-09-30,83.8,83.8,82.26,82.46,877427.0
2019-10-01,81.74,82.09,78.33,79.4,1665429.0
2019-10-02,78.27,78.9,77.26,78.2,1840511.0
2019-10-03,77.82,78.3,75.44,77.63,1670091.0
2019-10-04,77.63,78.71,77.63,78.62,774631.0
2019-10-07,78.22,78.84,77.76,78.13,932264.0
2019-10-08,77.03,77.33,76.33,76.44,952675.0
2019-10-09,77.48,78.05,77.06,77.57,775786.0
2019-10-10,78.12,79.05,78.12,78.35,822320.0
2019-10-11,80.01,81.36,80.0,80.58,793183.0
2019-10-14,79.95,80.92,79.37,80.86,1915329.0
2019-10-15,81.26,82.92,80.52,82.8,932650.0
2019-10-16,82.68,83.21,81.66,81.7,819961.0
2019-10-17,82.37,82.88,81.83,82.44,826757.0
2019-10-18,82.13,82.88,81.91,82.69,1673201.0
2019-10-21,83.0,84.67,83.0,84.13,1085071.0
2019-10-22,84.11,84.31,83.04,83.1,1208336.0
