date,Open,High,Low,Close,Volume
2019-08-20,33.08,33.29,32.72,33.16,1332092.0
2019-08-21,33.43,33.47,33.07,33.23,778737.0
2019-08-22,33.19,33.4,32.92,33.01,844781.0
2019-08-23,32.77,32.88,31.83,31.97,1199530.0
2019-08-26,32.04,32.29,31.62,31.72,1377822.0
2019-08-27,32.01,32.58,31.49,31.53,1242394.0
2019-08-28,31.43,32.01,31.36,31.99,942792.0
2019-08-29,32.31,32.7,32.31,32.64,891057.0
2019-08-30,32.83,32.99,32.63,32.81,1380578.0
2019-09-03,32.56,33.17,32.55,33.14,1903041.0
2019-09-04,33.41,33.66,33.11,33.58,1312760.0
2019-09-05,33.93,34.63,33.83,34.2,2449211.0
2019-09-06,34.21,34.37,33.79,33.92,1052472.0
2019-09-09,34.05,34.34,33.75,34.32,1142662.0
2019-09-10,34.22,34.76,33.87,34.56,1574361.0
2019-09-11,34.64,34.95,34.46,34.81,1192456.0
2019-09-12,34.8,34.87,34.57,34.72,898782.0
2019-09-13,34.93,34.97,34.31,34.54,962597.0
2019-09-16,34.37,34.75,34.29,34.64,1229999.0
2019-09-17,34.69,35.04,34.61,35.0,1319873.0
2019-09-18,34.99,34.99,34.22,34.57,1408741.0
2019-09-19,34.62,34.86,34.49,34.76,1021282.0
2019-09-20,34.85,35.07,34.54,34.55,3324037.0
2019-09-23,34.53,34.75,34.01,34.08,1492697.0
2019-09-24,34.18,34.28,33.82,34.09,1243261.0
2019-09-25,34.26,34.47,33.93,33.99,1162327.0
2019-09-26,34.0,34.14,33.72,33.82,1187585.0
2019-09-27,33.84,33.84,32.92,33.44,1275908.0
2019-09-30,33.48,34.17,33.42,34.07,2583895.0
2019-10-01,34.19,34.41,33.49,33.5,1140342.0
2019-10-02,33.25,33.59,33.07,33.41,1381660.0
2019-10-03,33.38,34.06,33.04,34.01,921478.0
2019-10-04,34.14,34.67,34.06,34.46,899229.0
2019-10-07,34.43,34.48,34.15,34.22,660723.0
2019-10-08,33.98,34.43,33.87,34.05,1160632.0
2019-10-09,34.33,34.63,34.17,34.49,1153017.0
2019-10-10,34.48,34.84,34.34,34.82,634540.0
2019-10-11,35.19,35.51,35.0,35.17,1257564.0
2019-10-14,35.04,35.16,34.87,35.06,676744.0
2019-10-15,35.21,35.41,35.1,35.29,582901.0
2019-10-16,35.27,35.46,35.1,35.39,823133.0
2019-10-17,35.52,35.79,35.41,35.63,1757268.0
2019-10-18,35.66,36.25,35.55,35.96,837438.0
2019-10-21,36.15,36.63,35.93,36.62,1168509.0
2019-10-22,36.14,36.44,35.79,35.98,2040983.0
2019-10-23,37.25,40.07,37.25,38.53,3814937.0
2019-10-24,38.53,38.68,37.92,38.6,1139320.0
2019-10-25,38.53,38.76,38.14,38.38,875795.0
2019-10-28,38.52,38.98,37.96,38.0,1872709.0
2019-10-29,37.94,38.25,37.81,38.17,1317754.0
