date,Open,High,Low,Close,Volume
2019-08-20,362.87,363.49,358.32,358.81,275116.0
2019-08-21,361.63,362.88,358.0,359.8,244588.0
2019-08-22,360.59,362.27,354.66,355.13,282203.0
2019-08-23,352.44,356.17,346.89,348.62,668255.0
2019-08-26,351.44,353.98,343.48,348.74,289036.0
2019-08-27,356.14,356.14,350.25,353.76,476494.0
2019-08-28,352.02,356.85,350.97,355.84,225954.0
2019-08-29,358.71,365.38,358.64,364.27,302859.0
2019-08-30,367.73,369.26,364.13,366.76,430516.0
2019-09-03,363.04,364.69,358.87,361.83,305714.0
2019-09-04,364.66,368.84,364.66,368.8,339976.0
2019-09-05,372.97,376.91,372.97,375.11,327369.0
2019-09-06,375.55,376.03,372.72,374.96,359500.0
2019-09-09,375.5,377.25,356.0,356.96,623800.0
2019-09-10,353.5,354.31,338.48,354.11,898091.0
2019-09-11,354.19,357.38,351.52,354.01,710214.0
2019-09-12,354.24,359.85,353.19,358.48,530426.0
2019-09-13,358.93,361.12,353.3,359.55,380919.0
2019-09-16,358.68,360.78,355.01,356.73,351078.0
2019-09-17,356.73,362.01,355.77,361.41,412940.0
2019-09-18,360.52,361.04,353.81,359.63,724295.0
2019-09-19,358.53,361.55,356.34,356.53,658372.0
2019-09-20,359.15,360.34,354.43,359.5,1257169.0
2019-09-23,357.27,361.44,355.81,360.53,740868.0
2019-09-24,361.81,364.41,356.43,356.59,958877.0
2019-09-25,356.59,358.09,351.94,356.21,455293.0
2019-09-26,356.34,359.0,354.63,355.22,518234.0
2019-09-27,358.66,361.88,353.36,354.63,434437.0
2019-09-30,356.33,357.27,352.26,356.6,409442.0
2019-10-01,357.93,359.97,345.16,345.45,460505.0
2019-10-02,341.65,341.68,332.49,337.9,839083.0
2019-10-03,336.29,340.64,333.67,340.08,392685.0
2019-10-04,340.84,345.76,340.08,344.73,340300.0
2019-10-07,342.79,343.17,338.37,338.56,432122.0
2019-10-08,335.05,337.2,332.45,332.58,555436.0
2019-10-09,336.22,338.98,333.99,338.4,414441.0
2019-10-10,337.09,342.0,337.09,340.05,350627.0
2019-10-11,344.09,348.35,342.06,342.48,465348.0
2019-10-14,342.21,342.63,338.34,338.7,302163.0
2019-10-15,340.16,341.41,338.59,338.99,441002.0
2019-10-16,338.65,340.2,335.32,335.68,520446.0
2019-10-17,338.1,341.27,337.2,340.75,518474.0
2019-10-18,339.88,342.28,337.48,337.92,417589.0
2019-10-21,340.56,342.09,335.3,337.03,592036.0
2019-10-22,335.91,338.23,332.4,332.73,639439.0
2019-10-23,332.09,335.29,331.54,334.92,740791.0
2019-10-24,338.64,339.15,322.2,332.33,1069242.0
2019-10-25,331.14,335.18,330.57,334.47,704019.0
2019-10-28,334.33,335.84,331.26,332.95,658586.0
2019-10-29,330.76,343.16,330.76,341.84,658984.0
2019-10-30,343.11,343.11,337.52,338.29,360706.0
2019-10-31,338.22,338.73,332.18,336.96,521621.0
2019-11-01,340.09,342.56,338.87,342.11,479727.0
2019-11-04,345.0,345.49,338.19,338.99,551130.0
2019-11-05,339.04,342.01,337.4,340.95,724452.0
2019-11-06,339.9,343.97,338.58,343.97,544697.0
2019-11-07,345.44,349.06,338.25,340.33,465651.0
2019-11-08,338.85,341.37,336.2,337.5,442105.0
2019-11-11,335.23,339.46,334.91,337.94,351253.0
2019-11-12,339.89,343.82,338.72,343.28,477391.0
2019-11-13,341.33,349.4,340.16,348.59,843574.0
2019-11-14,347.84,352.46,346.25,349.14,737546.0
2019-11-15,351.82,352.25,345.33,345.64,515781.0
2019-11-18,345.0,345.12,340.85,341.64,468463.0
2019-11-19,342.69,350.24,341.68,349.96,446952.0
2019-11-20,349.23,354.05,348.9,353.08,1003650.0
2019-11-21,353.01,354.34,350.31,354.02,722472.0
2019-11-22,354.87,356.39,351.17,355.75,490343.0
2019-11-25,357.93,359.96,356.56,359.69,675660.0
2019-11-26,358.68,364.49,357.6,362.94,918310.0
2019-11-27,363.63,363.99,358.61,362.8,303911.0
2019-11-29,361.58,362.36,358.98,360.37,251388.0
2019-12-02,360.33,361.88,353.87,353.87,524691.0
2019-12-03,349.36,352.57,346.76,351.76,715375.0
2019-12-04,350.44,354.9,346.5,346.62,670293.0
2019-12-05,347.96,348.4,345.0,347.05,742420.0
2019-12-06,349.59,351.87,345.73,346.22,678071.0
2019-12-09,345.1,349.42,343.24,344.33,614418.0
2019-12-10,344.43,349.87,342.82,343.3,383392.0
2019-12-11,344.3,347.48,343.21,346.72,366349.0
2019-12-12,347.23,350.18,345.0,346.75,390220.0
2019-12-13,347.3,352.7,347.13,350.5,440346.0
2019-12-16,351.5,354.18,350.56,351.94,369902.0
2019-12-17,353.31,356.99,352.82,353.19,375210.0
2019-12-18,352.07,353.18,346.52,348.38,500311.0
2019-12-19,348.94,353.53,348.5,351.98,449445.0
2019-12-20,354.02,354.41,349.72,352.63,788065.0
2019-12-23,354.11,355.64,351.82,354.38,307280.0
2019-12-24,355.0,355.22,352.62,353.24,149114.0
2019-12-26,354.39,354.56,350.91,353.82,313588.0
2019-12-27,354.39,357.76,353.0,357.3,290503.0
2019-12-30,357.3,357.81,353.64,355.58,200897.0
2019-12-31,355.58,356.26,352.47,354.23,410468.0
2020-01-02,353.93,365.17,353.93,365.17,754437.0
2020-01-03,359.43,363.36,358.46,363.03,479253.0
2020-01-06,359.42,359.99,356.11,359.61,587802.0
2020-01-07,358.71,361.73,356.58,361.44,404562.0
2020-01-08,361.78,366.0,359.39,364.87,453342.0
2020-01-09,366.95,370.47,365.06,370.11,541772.0
2020-01-10,371.34,372.72,369.53,370.35,352949.0
2020-01-13,370.96,374.65,370.37,374.09,308752.0
2020-01-14,373.52,374.88,371.95,372.6,356259.0
2020-01-15,374.05,377.67,372.91,373.53,360844.0
2020-01-16,375.28,376.09,371.4,375.7,412809.0
2020-01-17,376.51,380.36,376.0,379.74,513459.0
2020-01-21,378.0,380.2,376.28,378.26,419269.0
2020-01-22,379.34,380.66,374.55,375.66,373523.0
2020-01-23,375.97,378.85,372.62,378.46,431449.0
2020-01-24,379.88,380.84,375.31,376.84,366617.0
2020-01-27,372.01,375.99,370.79,372.48,374437.0
2020-01-28,373.0,379.85,371.23,377.9,469374.0
2020-01-29,380.75,381.18,376.72,378.46,428429.0
2020-01-30,383.46,393.0,377.91,389.38,808801.0
2020-01-31,386.6,388.15,379.68,381.66,630589.0
2020-02-03,384.66,386.33,378.41,379.71,460888.0
2020-02-04,385.54,389.72,384.39,386.19,420389.0
2020-02-05,390.78,390.84,384.46,385.75,470584.0
2020-02-06,386.77,387.39,384.45,385.04,311528.0
