date,Open,High,Low,Close,Volume
2019-08-20,90.15,90.5,89.0,89.0,844755.0
2019-08-21,89.45,89.66,89.1,89.3,558825.0
2019-08-22,89.39,89.62,88.7,89.02,571136.0
2019-08-23,88.94,89.3,87.04,87.42,1074353.0
2019-08-26,87.73,88.3,87.39,88.25,805919.0
2019-08-27,88.9,89.12,88.5,88.6,882177.0
2019-08-28,88.56,88.96,88.26,88.92,869943.0
2019-08-29,89.49,89.59,88.85,89.4,1064963.0
2019-08-30,89.99,90.15,88.95,89.25,1183550.0
2019-09-03,89.05,89.73,88.89,89.67,813073.0
2019-09-04,90.0,90.0,89.55,89.83,803216.0
2019-09-05,90.0,90.42,88.74,88.81,900476.0
2019-09-06,89.05,89.32,88.42,88.88,843347.0
2019-09-09,89.03,89.11,87.53,87.62,1044277.0
2019-09-10,87.37,87.61,85.31,85.85,2178280.0
2019-09-11,85.83,86.47,84.79,85.09,1715568.0
2019-09-12,85.59,86.4,85.43,85.92,1260612.0
2019-09-13,86.06,86.57,84.88,85.14,1169536.0
2019-09-16,84.89,85.27,84.6,84.89,790671.0
2019-09-17,84.91,85.7,84.8,85.59,1080689.0
2019-09-18,85.73,86.19,85.08,86.14,777574.0
2019-09-19,86.36,86.65,86.01,86.04,1001461.0
2019-09-20,86.51,87.58,86.36,87.48,2057486.0
2019-09-23,87.04,87.49,86.88,87.08,747590.0
2019-09-24,87.33,88.07,86.52,86.94,1205088.0
2019-09-25,86.98,87.39,86.02,86.1,1151746.0
2019-09-26,86.3,87.23,85.83,86.84,735392.0
2019-09-27,87.05,87.32,85.43,86.22,1283951.0
2019-09-30,85.85,87.04,85.73,86.55,1073383.0
2019-10-01,86.87,87.59,86.0,86.15,1127171.0
2019-10-02,85.63,85.98,84.48,85.08,1179154.0
2019-10-03,84.92,85.56,84.28,85.05,875691.0
2019-10-04,85.37,86.84,85.36,86.74,768123.0
2019-10-07,86.6,86.83,86.28,86.58,823023.0
2019-10-08,86.29,86.37,85.33,85.6,958601.0
2019-10-09,85.94,86.36,85.47,86.18,623384.0
2019-10-10,86.0,87.1,85.83,86.87,930465.0
2019-10-11,87.55,87.88,86.35,86.38,770452.0
2019-10-14,86.43,86.71,85.94,86.11,426395.0
2019-10-15,86.08,86.67,85.89,86.09,938547.0
2019-10-16,86.0,86.0,84.99,85.69,1078187.0
2019-10-17,85.9,86.53,85.88,86.11,792797.0
2019-10-18,86.88,88.66,86.23,88.24,1468570.0
2019-10-21,88.46,88.69,87.49,87.7,1010605.0
2019-10-22,87.73,88.36,87.19,87.25,754671.0
2019-10-23,87.35,87.79,86.35,86.76,894311.0
2019-10-24,86.64,87.17,85.88,86.89,710853.0
2019-10-25,86.96,87.19,85.91,86.03,801236.0
2019-10-28,86.0,86.13,85.36,86.04,986611.0
2019-10-29,85.92,87.98,85.86,87.89,1497788.0
2019-10-30,87.62,89.0,87.09,88.78,1052137.0
2019-10-31,87.35,88.71,86.0,87.51,1591531.0
2019-11-01,87.65,87.88,86.05,86.68,1280335.0
2019-11-04,86.63,86.94,85.88,86.22,864201.0
2019-11-05,86.12,86.44,84.89,85.72,1039451.0
