date,Open,High,Low,Close,Volume
2019-08-20,37.4,37.59,37.01,37.32,6790544.0
2019-08-21,37.87,37.9,37.35,37.61,4950378.0
2019-08-22,37.99,38.16,37.62,37.87,6901632.0
2019-08-23,37.55,38.03,36.35,36.58,8736678.0
2019-08-26,37.0,37.15,36.52,36.67,5920464.0
2019-08-27,36.84,37.1,36.11,36.12,9081812.0
2019-08-28,35.87,36.82,35.85,36.73,10093428.0
2019-08-29,37.09,37.95,37.06,37.76,7658240.0
2019-08-30,38.18,38.42,37.91,38.27,6896913.0
2019-09-03,38.01,38.11,37.3,37.96,7749754.0
2019-09-04,38.53,38.73,38.33,38.67,6904044.0
2019-09-05,39.49,40.37,39.32,39.62,9395037.0
2019-09-06,39.59,40.1,39.44,39.9,7042223.0
2019-09-09,40.28,41.32,40.28,41.1,7962476.0
2019-09-10,41.37,41.95,41.27,41.95,8701358.0
2019-09-11,42.0,42.78,41.51,42.76,6798528.0
2019-09-12,42.16,43.16,41.68,43.07,8829292.0
2019-09-13,43.6,44.0,43.49,43.62,6777611.0
2019-09-16,43.08,43.74,42.99,43.6,6584970.0
2019-09-17,43.13,43.22,42.65,43.11,6254017.0
2019-09-18,42.67,43.36,42.23,43.23,6670484.0
2019-09-19,43.14,43.33,42.74,42.92,5303889.0
2019-09-20,42.99,43.4,42.75,42.78,11012576.0
2019-09-23,42.25,42.82,41.94,42.58,4496132.0
2019-09-24,42.78,42.95,41.57,41.79,5742297.0
2019-09-25,41.82,42.34,41.68,41.8,7366008.0
2019-09-26,41.69,41.8,40.64,40.89,8441125.0
2019-09-27,41.28,41.61,41.15,41.41,6272315.0
2019-09-30,41.74,41.93,41.3,41.83,4983902.0
2019-10-01,39.8,39.88,36.92,37.76,35776907.0
2019-10-02,37.21,37.36,36.41,36.51,20981104.0
2019-10-03,36.14,36.43,34.92,35.1,24578066.0
2019-10-04,35.1,35.79,35.08,35.67,14483896.0
2019-10-07,35.87,36.15,35.44,35.45,10404788.0
2019-10-08,35.0,35.42,34.58,35.23,13205349.0
2019-10-09,35.59,36.06,35.49,35.67,14297152.0
2019-10-10,36.2,36.58,35.99,36.14,13070817.0
2019-10-11,36.99,37.71,36.82,37.28,11354343.0
2019-10-14,37.03,37.83,37.03,37.72,9572214.0
2019-10-15,38.97,40.23,38.27,39.74,12856854.0
2019-10-16,38.68,39.57,38.67,39.02,13131326.0
2019-10-17,39.56,39.73,39.2,39.45,7087167.0
2019-10-18,39.43,40.05,39.43,39.94,7582743.0
2019-10-21,40.53,41.01,40.23,40.9,7693762.0
2019-10-22,40.89,41.44,40.64,40.92,7266992.0
2019-10-23,40.77,41.54,40.65,41.37,6002279.0
2019-10-24,41.42,41.48,40.58,40.99,6364653.0
2019-10-25,40.75,41.26,40.61,40.98,3928146.0
2019-10-28,41.18,41.77,41.05,41.48,5534541.0
2019-10-29,41.18,41.6,40.87,40.96,5708080.0
2019-10-30,40.75,41.66,40.45,41.3,5284737.0
2019-10-31,41.05,41.3,40.01,40.71,7119724.0
2019-11-01,41.21,42.02,41.19,41.78,6238745.0
2019-11-04,42.26,43.32,42.1,43.22,8445251.0
2019-11-05,43.25,43.7,42.67,43.42,8983808.0
2019-11-06,43.28,43.56,42.97,43.08,4888356.0
2019-11-07,43.53,43.85,43.29,43.5,5835016.0
2019-11-08,43.47,43.78,43.34,43.54,4274161.0
2019-11-11,43.11,43.54,43.06,43.23,3455156.0
2019-11-12,43.34,43.9,43.12,43.48,3887109.0
2019-11-13,43.01,43.01,42.41,42.81,4581474.0
2019-11-14,42.7,43.41,42.44,43.38,5357988.0
2019-11-15,43.78,44.44,43.63,44.35,7064370.0
2019-11-18,44.27,44.35,43.56,44.18,6983082.0
2019-11-19,44.43,44.78,44.21,44.4,6093546.0
2019-11-20,44.07,44.81,43.63,44.75,6188186.0
2019-11-21,50.02,50.97,47.5,48.03,42832601.0
2019-11-22,47.68,48.6,47.41,48.2,16852981.0
2019-11-25,47.7,49.49,47.39,49.31,37435031.0
2019-11-26,49.22,49.79,48.66,49.24,23074264.0
2019-11-27,49.59,50.05,49.19,49.84,11805581.0
2019-11-29,49.55,50.02,49.34,49.5,4867683.0
2019-12-02,49.96,50.33,49.57,49.57,11375190.0
2019-12-03,49.02,49.1,48.32,48.66,11198432.0
2019-12-04,48.64,49.39,48.64,49.03,6799030.0
2019-12-05,49.27,49.3,48.5,48.74,9766882.0
2019-12-06,49.57,49.97,48.92,48.95,14627076.0
2019-12-09,48.9,49.05,48.63,48.95,7147420.0
2019-12-10,48.81,49.24,48.67,49.19,8317651.0
2019-12-11,48.93,49.61,48.91,49.6,11000328.0
2019-12-12,49.84,51.65,49.66,51.07,16916622.0
2019-12-13,51.15,51.36,49.81,49.95,15217075.0
2019-12-16,50.5,50.52,49.68,49.72,11036805.0
2019-12-17,49.56,49.71,49.44,49.49,9239098.0
2019-12-18,49.65,49.65,48.55,48.66,19820287.0
2019-12-19,48.66,48.88,47.96,48.2,9618037.0
2019-12-20,48.29,48.4,47.9,48.12,15327316.0
2019-12-23,48.43,48.85,48.03,48.71,6931795.0
2019-12-24,48.81,48.81,48.34,48.71,1819045.0
2019-12-26,48.76,48.92,48.51,48.57,3408607.0
2019-12-27,48.55,48.7,48.27,48.34,3733589.0
2019-12-30,48.5,48.63,47.74,47.82,5121412.0
2019-12-31,47.83,47.94,47.39,47.56,8841377.0
2020-01-02,47.76,48.38,47.55,48.23,5644779.0
2020-01-03,47.44,47.6,46.9,47.01,6698897.0
2020-01-06,46.65,47.39,46.59,47.34,6801010.0
2020-01-07,47.34,48.01,47.3,47.62,9985114.0
2020-01-08,47.47,48.0,47.39,47.91,10887013.0
2020-01-09,48.5,48.54,47.89,48.11,9749630.0
2020-01-10,48.13,48.16,47.62,47.8,7452948.0
2020-01-13,48.17,48.25,47.78,48.02,8905971.0
2020-01-14,48.07,48.12,47.54,47.71,8874485.0
2020-01-15,47.31,47.65,46.93,47.12,7649087.0
2020-01-16,46.99,49.07,46.98,49.0,13752169.0
2020-01-17,49.1,49.26,48.15,48.34,10257057.0
2020-01-21,48.04,48.88,47.82,48.45,8849867.0
2020-01-22,48.15,49.03,47.86,48.93,6699617.0
2020-01-23,48.4,48.66,47.96,48.42,8126108.0
2020-01-24,48.39,48.52,47.0,47.15,11268053.0
2020-01-27,46.0,46.36,45.59,45.76,9537789.0
2020-01-28,46.14,46.59,45.81,46.3,7282864.0
2020-01-29,46.58,46.72,45.89,45.95,5918724.0
2020-01-30,45.4,47.33,45.39,47.19,11536567.0
2020-01-31,46.63,46.83,45.47,45.55,12297180.0
2020-02-03,45.86,46.91,45.58,45.68,10490481.0
2020-02-04,46.66,47.98,46.5,47.08,10595051.0
2020-02-05,47.84,48.35,47.49,48.29,9583003.0
2020-02-06,48.64,48.78,47.32,47.83,8767561.0
2020-02-07,47.1,47.59,46.92,47.31,5680196.0
2020-02-10,46.89,47.2,46.49,46.77,6061959.0
2020-02-11,47.03,47.97,46.86,47.67,7082188.0
2020-02-12,48.1,48.35,47.59,47.79,5136382.0
2020-02-13,47.39,47.6,47.15,47.29,5873145.0
2020-02-14,47.12,47.32,46.68,47.23,7106602.0
2020-02-18,47.03,47.31,46.2,46.73,8165698.0
2020-02-19,46.99,47.85,46.83,47.44,6377492.0
2020-02-20,47.34,49.55,47.3,48.58,16198810.0
2020-02-21,48.09,48.43,45.93,46.19,13500193.0
2020-02-24,44.48,44.56,43.48,43.8,13407607.0
2020-02-25,43.99,44.01,41.38,41.6,16466049.0
2020-02-26,42.01,42.4,41.22,41.42,15389365.0
2020-02-27,40.18,43.0,40.09,41.91,28185065.0
2020-02-28,40.25,41.62,39.51,40.75,27459703.0
2020-03-02,40.9,42.05,39.57,41.98,21833858.0
2020-03-03,41.62,41.95,37.95,38.3,28380872.0
2020-03-04,38.45,38.54,36.74,37.16,26331647.0
2020-03-05,35.9,35.9,34.45,34.8,27998665.0
2020-03-06,33.05,35.06,32.64,34.13,29385040.0
2020-03-09,30.86,31.87,30.19,30.27,24761550.0
2020-03-10,31.88,32.94,30.0,32.94,20293223.0
2020-03-11,31.9,33.89,31.25,32.43,27992395.0
2020-03-12,29.96,30.31,28.11,28.43,32381393.0
2020-03-13,30.38,33.9,30.04,33.87,26149233.0
2020-03-16,28.59,32.66,28.0,30.56,23373788.0
2020-03-17,31.39,33.73,28.92,33.68,21766398.0
2020-03-18,31.09,34.08,30.36,32.42,24241682.0
2020-03-19,31.45,32.95,30.03,31.82,18311135.0
2020-03-20,32.5,32.94,30.03,30.75,15922499.0
2020-03-23,30.82,30.82,28.01,28.5,20572391.0
2020-03-24,30.26,31.53,29.24,30.72,17922731.0
2020-03-25,31.12,36.87,30.44,34.17,22730318.0
2020-03-26,34.17,36.3,32.97,34.16,16975946.0
2020-03-27,32.56,34.87,32.13,33.61,12461710.0
2020-03-30,33.19,34.57,32.69,34.33,10076566.0
2020-03-31,33.89,34.81,33.0,33.62,10708446.0
2020-04-01,31.83,33.55,31.59,32.96,11691574.0
2020-04-02,32.42,34.57,32.32,34.39,15329504.0
2020-04-03,34.08,34.97,33.01,33.6,9127868.0
2020-04-06,35.36,36.42,34.51,36.08,11658698.0
2020-04-07,37.8,37.8,34.73,34.94,13087278.0
2020-04-08,35.45,36.76,34.63,36.49,8104590.0
2020-04-09,37.21,37.95,36.11,36.54,12354381.0
2020-04-13,36.4,36.62,34.49,34.77,11530842.0
2020-04-14,35.64,36.36,34.61,36.21,12369933.0
2020-04-15,34.53,34.97,33.7,34.67,11516397.0
2020-04-16,34.12,35.04,33.67,34.6,10840540.0
2020-04-17,36.2,37.05,35.36,35.79,13305035.0
2020-04-20,35.13,36.84,35.11,36.59,11016480.0
2020-04-21,35.54,36.17,35.19,35.94,9671795.0
2020-04-22,36.47,36.55,35.66,35.87,8397276.0
2020-04-23,36.18,36.49,35.33,35.64,8748790.0
2020-04-24,36.13,36.34,35.22,35.4,8043214.0
2020-04-27,35.92,37.07,35.65,36.84,11030752.0
2020-04-28,37.66,37.94,36.92,37.08,7671742.0
2020-04-29,38.12,39.09,37.81,38.79,8218720.0
2020-04-30,38.0,38.6,37.55,37.72,8060748.0
2020-05-01,36.7,36.95,36.28,36.45,8176628.0
2020-05-04,36.07,36.25,35.19,35.63,7292126.0
2020-05-05,36.25,36.25,34.86,34.9,7640823.0
2020-05-06,35.33,35.48,34.54,34.57,5790629.0
2020-05-07,34.7,36.27,34.61,35.17,10671935.0
2020-05-08,35.88,36.66,35.81,36.51,9489401.0
2020-05-11,35.93,36.36,35.8,35.84,9749774.0
2020-05-12,36.01,36.01,33.97,34.32,10474355.0
2020-05-13,34.04,34.15,32.62,33.15,10168135.0
2020-05-14,32.23,33.5,31.89,33.4,10143028.0
2020-05-15,32.87,33.24,32.44,32.56,6780931.0
2020-05-18,33.86,34.59,33.04,34.21,15300488.0
