date,Open,High,Low,Close,Volume
2019-08-20,525.43,526.08,519.49,524.0,403090.0
2019-08-21,529.24,534.11,524.76,527.66,489016.0
2019-08-22,531.36,531.65,522.61,523.5,416006.0
2019-08-23,522.32,523.07,510.25,512.6,612975.0
2019-08-26,516.41,517.74,509.32,513.46,348984.0
2019-08-27,517.77,519.99,512.51,515.39,326909.0
2019-08-28,512.44,522.86,512.37,522.69,299836.0
2019-08-29,528.24,529.83,522.96,524.68,415350.0
2019-08-30,527.89,529.81,524.17,526.75,424688.0
2019-09-03,525.52,528.67,519.98,527.18,311110.0
2019-09-04,532.4,535.31,529.88,534.67,355226.0
2019-09-05,539.64,539.64,531.47,534.52,432096.0
2019-09-06,538.92,539.0,534.12,534.74,327976.0
2019-09-09,534.15,534.42,519.96,523.03,460808.0
2019-09-10,518.85,522.52,513.89,521.73,482356.0
2019-09-11,521.02,530.65,519.51,527.4,512532.0
2019-09-12,533.41,548.98,530.91,538.95,626232.0
2019-09-13,536.07,543.45,535.97,541.52,396536.0
2019-09-16,536.01,536.01,527.37,527.49,419281.0
2019-09-17,528.83,539.0,527.69,537.52,347019.0
2019-09-18,539.11,543.98,534.81,542.84,324623.0
2019-09-19,540.14,550.73,537.52,549.78,526904.0
2019-09-20,552.17,554.08,545.46,550.54,810783.0
2019-09-23,548.1,550.65,541.15,541.65,497654.0
2019-09-24,547.32,552.1,538.92,542.5,544861.0
2019-09-25,545.96,546.51,538.27,544.54,471661.0
2019-09-26,545.25,550.54,541.32,548.35,283143.0
2019-09-27,551.66,551.66,541.86,544.28,359884.0
2019-09-30,545.92,550.52,545.53,549.87,360879.0
2019-10-01,551.1,553.11,543.49,544.86,486402.0
2019-10-02,543.56,545.45,534.81,541.01,543313.0
2019-10-03,541.02,545.09,536.87,543.19,357444.0
2019-10-04,545.76,552.43,545.76,548.84,359518.0
2019-10-07,547.62,553.48,546.84,549.28,306919.0
2019-10-08,545.33,551.0,541.62,545.94,395125.0
2019-10-09,545.0,557.08,545.0,555.66,404735.0
2019-10-10,556.37,558.85,552.62,558.7,447683.0
