date,Open,High,Low,Close,Volume
2019-08-20,33.81,34.17,33.54,33.9,7770100.0
2019-08-21,34.24,34.43,33.62,33.69,6427200.0
2019-08-22,33.96,34.37,33.67,33.71,6975600.0
2019-08-23,33.15,33.33,31.9,32.03,13952100.0
2019-08-26,32.51,32.64,31.34,31.59,11611200.0
2019-08-27,31.93,32.01,31.15,31.25,10000600.0
2019-08-28,31.38,32.1,31.03,31.62,11557000.0
2019-08-29,31.97,32.69,31.84,32.26,12614300.0
2019-08-30,32.5,33.12,32.13,32.43,12443800.0
2019-09-03,31.18,31.86,31.11,31.72,9366900.0
2019-09-04,32.28,33.43,31.94,32.98,11018400.0
2019-09-05,33.37,34.8,33.28,34.06,12117900.0
2019-09-06,33.8,34.48,33.26,34.2,11976700.0
2019-09-09,34.5,36.46,34.33,36.23,13461600.0
2019-09-10,37.05,38.39,36.83,37.46,19638200.0
2019-09-11,37.64,38.83,37.08,37.32,17918600.0
2019-09-12,36.53,37.06,35.5,36.9,13089500.0
2019-09-13,37.43,38.08,36.8,37.33,8453300.0
2019-09-16,40.03,40.25,38.84,39.31,22533100.0
2019-09-17,38.92,38.97,37.51,38.17,13493400.0
2019-09-18,37.63,38.44,37.54,38.03,6949000.0
2019-09-19,38.5,38.58,37.64,37.76,6234900.0
2019-09-20,37.88,38.05,37.17,37.3,17917800.0
2019-09-23,36.81,37.5,36.6,37.33,5849400.0
2019-09-24,37.13,37.22,35.42,35.56,12212700.0
2019-09-25,35.3,35.55,34.83,35.24,11344800.0
2019-09-26,35.0,35.1,34.29,34.54,12359300.0
2019-09-27,34.26,34.93,34.11,34.33,9969900.0
2019-09-30,34.15,34.47,33.81,34.17,9583500.0
2019-10-01,34.36,34.57,32.67,32.7,12617900.0
2019-10-02,32.64,32.75,31.65,31.76,13468900.0
2019-10-03,31.59,32.31,31.46,32.05,11557200.0
2019-10-04,32.08,32.41,31.69,31.88,10554400.0
2019-10-07,32.11,32.62,31.79,31.8,15854500.0
2019-10-08,31.49,31.86,30.65,30.71,16807100.0
2019-10-09,30.94,31.16,30.72,30.9,12176900.0
2019-10-10,31.01,31.39,30.71,31.07,12784900.0
2019-10-11,31.5,32.92,31.27,32.48,12652600.0
2019-10-14,31.99,32.83,31.74,32.57,9294400.0
2019-10-15,32.47,33.51,32.36,32.81,8943600.0
2019-10-16,32.8,33.07,31.95,31.95,22004600.0
2019-10-17,32.22,32.31,31.77,31.89,15730800.0
2019-10-18,32.19,33.2,32.09,32.31,17218300.0
2019-10-21,32.22,33.8,32.22,33.59,16441100.0
2019-10-22,33.76,35.19,33.46,34.82,17598700.0
2019-10-23,34.57,35.65,34.22,35.33,12862300.0
2019-10-24,35.4,35.52,34.28,35.11,11551700.0
2019-10-25,35.0,35.31,34.59,35.09,12385700.0
2019-10-28,35.39,35.56,34.81,35.02,12727500.0
2019-10-29,34.75,35.01,34.2,34.79,10309100.0
2019-10-30,34.66,34.75,33.0,33.1,13940300.0
2019-10-31,33.12,33.12,32.35,32.69,10079200.0
2019-11-01,33.05,34.53,32.97,34.44,11094400.0
2019-11-04,34.9,36.46,34.78,36.24,14206000.0
2019-11-05,36.43,37.07,36.42,36.72,15720300.0
2019-11-06,36.6,36.72,35.33,35.56,10647900.0
2019-11-07,36.14,36.78,35.82,36.08,8832400.0
2019-11-08,35.76,36.51,35.02,36.34,8382200.0
