date,Open,High,Low,Close,Volume
2019-08-20,79.12,79.25,77.79,77.91,585488.0
2019-08-21,78.19,78.6,77.09,77.26,469058.0
2019-08-22,77.35,78.36,77.2,78.27,557195.0
2019-08-23,78.06,78.45,76.52,76.79,543538.0
2019-08-26,77.39,77.63,76.66,77.6,573691.0
2019-08-27,77.77,78.52,77.5,77.52,976433.0
2019-08-28,77.62,78.62,77.35,78.1,405747.0
2019-08-29,78.53,79.29,78.26,79.16,400255.0
2019-08-30,79.5,80.55,79.46,80.22,1153928.0
2019-09-03,79.69,80.49,79.46,80.46,453859.0
2019-09-04,81.05,81.21,80.25,80.8,457610.0
2019-09-05,80.71,80.77,79.9,80.49,620192.0
2019-09-06,80.73,81.54,80.71,80.9,549384.0
2019-09-09,80.92,82.76,80.34,82.72,781134.0
2019-09-10,82.23,82.68,81.13,82.5,842604.0
2019-09-11,82.64,83.41,82.01,83.36,857860.0
2019-09-12,83.83,83.83,82.13,82.69,597686.0
2019-09-13,82.83,83.38,81.4,81.97,713390.0
2019-09-16,82.0,82.2,81.49,81.98,1019618.0
2019-09-17,81.83,82.25,80.96,81.58,651378.0
2019-09-18,81.82,81.82,81.03,81.66,578372.0
2019-09-19,81.91,82.51,81.61,81.73,579864.0
2019-09-20,82.03,82.47,81.27,81.37,1466390.0
2019-09-23,80.93,81.68,80.79,81.43,677157.0
2019-09-24,81.74,82.09,80.19,80.43,710497.0
2019-09-25,80.65,81.64,80.53,81.46,522327.0
2019-09-26,81.7,82.42,81.52,82.3,541711.0
2019-09-27,81.87,82.13,81.2,81.79,588563.0
2019-09-30,81.96,82.65,81.5,81.75,570179.0
2019-10-01,81.1,81.29,77.96,78.5,1257707.0
2019-10-02,78.5,79.19,78.05,78.9,1483120.0
2019-10-03,79.18,80.19,78.68,79.98,754911.0
2019-10-04,80.05,80.69,79.63,80.47,703134.0
2019-10-07,79.97,81.03,79.74,80.3,475160.0
2019-10-08,79.9,80.42,79.47,79.68,866248.0
2019-10-09,80.12,80.58,79.75,79.92,360294.0
2019-10-10,79.98,80.16,78.97,79.28,501950.0
2019-10-11,79.97,80.77,79.57,80.26,358019.0
2019-10-14,80.21,80.58,79.75,80.45,375281.0
2019-10-15,80.15,81.81,80.11,81.76,547486.0
2019-10-16,81.65,81.99,80.95,81.56,957787.0
2019-10-17,79.93,81.7,79.69,80.97,1008911.0
2019-10-18,80.96,81.11,80.03,80.44,937257.0
2019-10-21,80.56,81.31,80.39,81.29,626902.0
2019-10-22,81.53,82.54,80.72,82.31,667850.0
2019-10-23,82.51,84.27,81.99,84.11,783884.0
2019-10-24,84.61,85.05,84.07,84.67,624066.0
2019-10-25,84.58,85.38,82.85,82.85,853917.0
2019-10-28,82.6,82.97,82.23,82.26,804357.0
2019-10-29,82.18,83.09,80.88,81.13,1569206.0
2019-10-30,81.23,84.07,81.21,83.78,1190250.0
2019-10-31,83.9,84.64,82.66,83.6,938947.0
2019-11-01,83.73,84.2,83.09,84.1,693304.0
2019-11-04,84.07,85.8,83.93,85.7,812027.0
2019-11-05,85.77,86.59,84.92,84.94,711419.0
2019-11-06,85.0,85.73,84.35,84.63,584717.0
2019-11-07,84.74,85.29,84.34,85.15,815224.0
2019-11-08,85.37,86.12,84.9,86.0,644165.0
2019-11-11,85.74,86.17,84.94,85.62,666289.0
2019-11-12,85.33,85.82,84.07,84.3,730934.0
2019-11-13,84.09,85.17,83.87,84.83,534717.0
2019-11-14,84.88,85.88,84.64,85.59,470170.0
2019-11-15,85.81,86.4,85.48,85.99,694731.0
2019-11-18,86.19,86.35,85.76,85.95,368625.0
2019-11-19,85.81,85.91,83.97,84.74,581564.0
2019-11-20,84.59,84.59,83.1,83.43,665366.0
2019-11-21,83.19,83.19,81.72,82.44,950673.0
2019-11-22,82.8,84.34,82.4,83.95,681643.0
2019-11-25,84.27,85.13,83.71,83.77,330437.0
2019-11-26,83.68,84.5,83.52,84.08,847081.0
2019-11-27,84.08,85.14,83.6,85.0,609963.0
2019-11-29,84.8,86.02,84.8,85.33,428054.0
2019-12-02,85.23,85.29,84.21,84.31,724715.0
2019-12-03,84.29,86.06,84.29,85.83,872365.0
2019-12-04,85.41,86.83,85.41,85.83,733591.0
2019-12-05,85.62,85.92,85.15,85.77,483251.0
2019-12-06,86.4,87.17,86.16,86.9,589186.0
2019-12-09,87.29,88.96,87.19,88.6,1099434.0
2019-12-10,88.96,90.88,88.39,89.94,1925009.0
2019-12-11,91.47,92.02,89.3,89.53,1343337.0
2019-12-12,89.76,90.18,88.55,88.63,1219520.0
2019-12-13,88.78,88.95,87.94,88.7,1083618.0
2019-12-16,89.14,89.14,87.82,88.4,774806.0
2019-12-17,88.51,89.05,88.23,89.02,735700.0
2019-12-18,89.29,91.31,88.81,90.24,968954.0
2019-12-19,90.34,90.63,90.05,90.53,920221.0
2019-12-20,90.69,91.56,90.43,90.77,1598615.0
2019-12-23,91.1,91.61,90.44,91.23,594322.0
2019-12-24,91.55,92.1,91.17,91.68,213114.0
2019-12-26,91.76,92.9,91.59,92.9,393765.0
2019-12-27,93.24,93.41,92.19,92.45,448457.0
2019-12-30,92.49,92.85,91.74,92.19,361537.0
2019-12-31,91.43,91.91,90.96,91.88,798267.0
2020-01-02,92.38,92.56,88.53,88.91,1172005.0
2020-01-03,87.8,89.39,87.7,89.26,846548.0
2020-01-06,88.97,90.88,88.73,90.64,632654.0
2020-01-07,90.49,90.49,89.13,89.54,626658.0
2020-01-08,89.54,90.22,89.04,89.95,611374.0
2020-01-09,89.7,90.49,89.58,90.34,486843.0
