date,Open,High,Low,Close,Volume
2019-08-20,148.77,149.24,146.74,146.81,268200.0
2019-08-21,148.43,149.25,147.7,148.36,263900.0
2019-08-22,148.98,150.54,148.62,149.56,294900.0
2019-08-23,148.7,149.39,144.42,145.07,383800.0
2019-08-26,146.65,147.03,144.55,146.04,194900.0
2019-08-27,146.99,147.28,144.82,145.1,328900.0
2019-08-28,144.47,146.54,144.14,146.27,303400.0
2019-08-29,148.34,149.44,148.0,148.56,286000.0
2019-08-30,149.72,150.46,148.46,148.68,234400.0
2019-09-03,147.02,148.26,145.6,147.33,455800.0
2019-09-04,148.6,149.5,147.74,148.85,286800.0
2019-09-05,150.08,152.78,150.08,151.74,317200.0
2019-09-06,152.36,153.07,150.74,151.07,251700.0
2019-09-09,151.69,153.5,151.05,152.4,274300.0
2019-09-10,152.28,158.02,152.19,158.02,362000.0
2019-09-11,158.66,161.59,156.83,161.59,409700.0
2019-09-12,162.36,163.45,161.69,162.86,599600.0
2019-09-13,163.86,164.67,162.03,162.45,509800.0
2019-09-16,161.73,162.76,161.22,162.05,352100.0
2019-09-17,161.51,161.51,156.56,157.84,364900.0
2019-09-18,156.85,157.26,153.87,155.19,371300.0
2019-09-19,155.12,157.14,154.69,155.14,324300.0
2019-09-20,155.5,156.99,154.7,155.71,404000.0
2019-09-23,154.46,156.58,153.57,155.35,386600.0
2019-09-24,156.03,156.03,152.65,153.35,339700.0
2019-09-25,153.04,156.1,152.8,155.59,317400.0
2019-09-26,155.62,156.28,154.12,154.92,295000.0
2019-09-27,155.69,156.64,154.36,155.34,217300.0
2019-09-30,156.23,157.6,155.9,156.54,337600.0
2019-10-01,157.75,159.67,154.04,154.78,498800.0
2019-10-02,153.64,154.82,151.69,152.79,612300.0
2019-10-03,151.85,152.91,150.01,152.11,396400.0
2019-10-04,152.88,155.56,152.12,155.45,231500.0
2019-10-07,154.59,155.5,153.25,154.48,398500.0
2019-10-08,153.0,153.66,151.71,151.89,317400.0
2019-10-09,153.44,153.44,151.63,151.84,386000.0
2019-10-10,152.53,153.86,152.1,153.15,350100.0
2019-10-11,155.44,159.52,155.15,156.46,243300.0
2019-10-14,155.64,158.0,155.04,157.95,255200.0
2019-10-15,157.48,159.5,157.12,158.3,496000.0
2019-10-16,158.04,160.17,157.42,158.03,531500.0
2019-10-17,157.97,162.4,152.84,155.66,780400.0
2019-10-18,154.81,158.01,154.47,157.52,490500.0
2019-10-21,158.74,161.0,158.74,159.36,417000.0
2019-10-22,159.5,163.5,158.69,162.64,347700.0
2019-10-23,162.43,165.08,162.01,164.93,397800.0
2019-10-24,165.62,166.07,163.85,165.55,447800.0
2019-10-25,165.5,167.49,165.5,166.64,327200.0
2019-10-28,167.48,168.0,165.98,166.33,245700.0
2019-10-29,165.21,167.2,164.9,165.7,319000.0
2019-10-30,165.34,165.34,163.01,164.87,298800.0
2019-10-31,164.14,164.89,161.85,162.67,370000.0
2019-11-01,164.29,166.87,163.04,166.87,318200.0
2019-11-04,168.43,168.93,167.09,168.51,728400.0
2019-11-05,168.15,168.87,166.49,168.07,448900.0
2019-11-06,167.44,167.44,165.08,166.81,624000.0
2019-11-07,168.0,168.42,166.49,166.97,324500.0
2019-11-08,166.97,167.98,165.5,166.94,497900.0
2019-11-11,165.5,167.97,165.5,167.95,167000.0
2019-11-12,168.48,169.48,167.29,168.94,280000.0
2019-11-13,167.48,168.56,164.28,164.31,318600.0
2019-11-14,164.09,165.25,162.93,164.54,478000.0
2019-11-15,164.84,165.42,163.22,163.67,300100.0
2019-11-18,163.02,164.0,161.59,162.05,340500.0
2019-11-19,161.95,161.95,160.45,161.41,274000.0
2019-11-20,161.0,161.45,158.62,158.69,425400.0
2019-11-21,158.61,159.77,157.81,157.98,308200.0
2019-11-22,158.47,159.37,157.67,158.89,319400.0
2019-11-25,159.59,163.52,159.08,162.46,1694500.0
2019-11-26,163.03,163.23,161.83,162.9,314700.0
2019-11-27,162.43,162.92,161.53,162.38,266500.0
2019-11-29,161.79,161.91,160.14,160.46,129000.0
2019-12-02,160.99,161.45,157.78,157.83,299600.0
2019-12-03,155.99,156.72,154.56,156.57,421200.0
2019-12-04,157.04,159.99,157.04,159.17,550500.0
2019-12-05,159.87,162.27,159.77,162.19,440400.0
2019-12-06,163.4,165.02,162.28,164.97,357100.0
2019-12-09,164.52,165.81,163.88,165.74,340100.0
2019-12-10,165.53,166.61,164.16,165.16,525300.0
2019-12-11,166.17,168.05,165.75,167.68,308900.0
2019-12-12,167.46,170.8,166.87,170.42,387300.0
2019-12-13,170.46,171.58,168.65,170.38,648200.0
2019-12-16,172.0,172.43,170.28,171.14,342900.0
2019-12-17,171.18,172.61,170.4,171.85,435500.0
2019-12-18,171.94,172.32,171.05,171.62,451600.0
2019-12-19,171.41,171.41,167.18,167.75,563200.0
2019-12-20,168.89,170.13,167.65,169.68,537500.0
2019-12-23,170.36,170.36,169.08,169.82,206200.0
2019-12-24,169.63,169.63,168.71,168.92,55000.0
2019-12-26,169.51,169.82,167.54,169.78,175000.0
2019-12-27,170.05,170.5,168.92,169.2,117500.0
2019-12-30,169.49,169.6,167.87,168.84,176500.0
2019-12-31,168.43,169.75,168.43,169.4,198900.0
2020-01-02,170.4,170.85,168.02,169.0,467900.0
2020-01-03,166.09,167.37,165.24,167.09,362500.0
2020-01-06,166.36,166.45,164.87,165.86,407600.0
2020-01-07,165.15,165.63,163.64,164.79,438200.0
2020-01-08,165.25,167.35,164.97,166.61,305000.0
2020-01-09,167.17,167.48,165.19,166.66,213500.0
2020-01-10,166.66,167.21,165.43,166.55,227600.0
2020-01-13,167.06,167.51,166.32,167.48,162300.0
2020-01-14,167.8,169.65,167.39,168.47,182900.0
2020-01-15,167.96,168.53,165.84,167.17,309700.0
2020-01-16,168.23,169.57,167.86,168.67,255300.0
2020-01-17,169.28,171.65,168.52,170.0,429000.0
2020-01-21,169.75,169.99,167.91,168.81,396500.0
2020-01-22,169.36,169.59,167.18,167.65,257200.0
2020-01-23,166.67,168.62,165.62,168.44,189200.0
2020-01-24,168.88,168.88,164.38,165.97,352800.0
2020-01-27,162.74,164.48,162.37,162.9,239700.0
2020-01-28,163.68,166.19,163.38,164.8,286200.0
2020-01-29,165.72,166.0,164.03,164.93,203600.0
2020-01-30,163.42,164.9,162.06,163.34,328337.0
2020-01-31,162.42,163.46,159.02,159.63,368500.0
2020-02-03,161.01,162.55,159.69,161.82,587300.0
2020-02-04,164.59,165.28,162.12,162.62,607000.0
2020-02-05,163.3,165.13,162.425,163.74,752550.0
2020-02-06,165.55,165.59,158.01,160.06,726600.0
2020-02-07,158.45,158.45,155.35,155.74,428300.0
2020-02-10,155.24,156.24,154.11,155.6,662600.0
2020-02-11,156.14,157.14,155.16,155.52,615200.0
2020-02-12,156.15,157.34,155.43,157.0,582200.0
2020-02-13,156.18,157.28,155.0,155.34,348100.0
2020-02-14,155.5,156.31,155.04,156.26,465700.0
2020-02-18,155.55,157.62,155.5,157.54,438900.0
2020-02-19,158.06,158.63,157.37,158.0,531500.0
2020-02-20,157.76,160.01,157.28,159.95,365200.0
2020-02-21,159.43,160.33,157.86,160.07,511900.0
2020-02-24,155.78,159.85,155.78,159.1,979800.0
2020-02-25,159.33,159.33,153.5,153.63,710200.0
2020-02-26,154.62,155.34,149.25,149.45,622300.0
2020-02-27,147.37,151.51,146.5,147.01,784100.0
2020-02-28,142.76,145.96,141.02,144.75,1026100.0
2020-03-02,145.7,148.71,142.91,148.71,653500.0
2020-03-03,147.97,151.04,143.21,144.14,532900.0
2020-03-04,146.34,150.05,145.02,149.55,546800.0
2020-03-05,147.49,147.69,140.25,141.53,468600.0
2020-03-06,137.76,142.06,137.2,141.77,420400.0
2020-03-09,134.79,137.57,129.72,131.94,870400.0
2020-03-10,135.62,140.54,132.58,140.38,574300.0
2020-03-11,136.86,136.94,128.28,129.46,678500.0
2020-03-12,120.27,127.41,118.08,118.82,814000.0
2020-03-13,125.72,126.97,116.57,126.22,1055300.0
2020-03-16,110.25,121.1,109.69,116.48,859200.0
2020-03-17,118.69,125.51,112.4,125.44,872200.0
2020-03-18,117.11,119.68,97.48,111.02,1102900.0
2020-03-19,109.39,113.77,104.06,107.03,1200500.0
