date,Open,High,Low,Close,Volume
2019-08-20,57.9,58.0,57.58,57.69,4010255.0
2019-08-21,57.66,57.97,57.38,57.95,4406529.0
2019-08-22,58.0,58.58,57.78,58.45,4368699.0
2019-08-23,58.6,58.84,57.41,57.68,4926275.0
2019-08-26,57.71,58.34,57.6,58.34,3838144.0
2019-08-27,58.46,58.68,57.7,57.76,6155607.0
2019-08-28,57.96,58.34,57.62,57.81,5192053.0
2019-08-29,58.1,58.15,57.59,58.12,4883291.0
2019-08-30,58.17,58.45,57.82,58.26,7426686.0
2019-09-03,58.28,59.8,58.24,59.77,9082530.0
2019-09-04,59.99,60.65,59.72,60.11,5577781.0
2019-09-05,59.72,59.9,59.1,59.5,6242303.0
2019-09-06,59.76,59.9,59.42,59.68,4680671.0
2019-09-09,59.46,59.63,58.81,59.02,4709296.0
2019-09-10,58.9,59.19,58.57,59.19,4459127.0
2019-09-11,59.09,59.79,58.87,59.71,4336098.0
2019-09-12,60.0,60.38,59.56,59.99,4333699.0
2019-09-13,59.77,60.3,59.53,60.13,5492487.0
2019-09-16,60.2,60.29,59.72,59.86,4616162.0
2019-09-17,59.95,60.82,59.95,60.55,3981396.0
2019-09-18,60.8,60.91,60.3,60.8,3909785.0
2019-09-19,60.9,61.14,60.8,61.06,3505552.0
2019-09-20,61.2,61.25,60.63,61.11,7502981.0
2019-09-23,61.06,61.44,60.88,61.32,3988044.0
2019-09-24,61.52,62.36,61.5,61.98,5099370.0
2019-09-25,61.97,62.06,61.42,61.73,4231601.0
2019-09-26,61.8,62.08,61.6,61.86,2969834.0
2019-09-27,61.89,62.0,61.38,61.77,2991449.0
2019-09-30,61.83,62.04,61.6,61.77,3460181.0
2019-10-01,61.6,61.92,61.4,61.88,3022504.0
2019-10-02,61.87,61.9,60.96,61.15,4614265.0
2019-10-03,61.2,61.43,60.87,61.36,5063196.0
2019-10-04,61.44,62.18,61.21,62.05,3559724.0
2019-10-07,62.0,62.08,61.62,61.92,3488582.0
2019-10-08,61.92,62.03,61.35,61.36,3628279.0
2019-10-09,61.57,62.1,61.5,61.9,2899956.0
2019-10-10,61.63,62.11,61.28,61.8,3695677.0
2019-10-11,61.74,61.94,61.3,61.52,3472167.0
2019-10-14,61.63,61.74,60.78,60.92,2905139.0
2019-10-15,60.97,61.15,60.54,60.7,4615303.0
2019-10-16,60.61,61.2,60.45,61.09,4413411.0
2019-10-17,61.02,61.26,60.67,61.06,3602538.0
2019-10-18,60.87,61.28,60.76,61.14,4178706.0
2019-10-21,60.98,61.63,60.96,61.59,3164482.0
2019-10-22,61.7,61.86,61.35,61.44,2843192.0
2019-10-23,61.43,61.95,61.43,61.95,2824026.0
2019-10-24,61.94,62.04,61.76,61.95,2455227.0
2019-10-25,62.04,62.07,61.16,61.35,2865639.0
2019-10-28,61.09,61.42,60.83,61.01,4342928.0
2019-10-29,60.87,61.4,60.69,60.92,4874146.0
2019-10-30,61.01,62.88,61.0,62.63,5250004.0
2019-10-31,62.57,62.69,62.16,62.66,5169893.0
2019-11-01,62.87,63.09,62.06,62.26,4353548.0
2019-11-04,62.33,62.37,61.54,61.74,4049953.0
2019-11-05,61.48,61.88,61.13,61.36,3957011.0
2019-11-06,61.49,62.01,61.49,61.85,2812655.0
2019-11-07,61.5,61.56,60.38,60.71,5991715.0
2019-11-08,60.6,61.26,60.6,61.26,3909086.0
2019-11-11,61.27,61.27,60.42,60.47,3400719.0
2019-11-12,60.61,60.91,60.48,60.69,3337933.0
2019-11-13,60.86,62.13,60.86,61.91,4988333.0
2019-11-14,62.26,62.7,61.94,62.39,5399766.0
2019-11-15,61.84,62.2,61.75,62.2,5433370.0
2019-11-18,62.26,63.08,62.26,62.48,4968252.0
2019-11-19,61.95,62.61,61.78,62.21,3639228.0
2019-11-20,62.2,62.83,62.12,62.78,3057848.0
2019-11-21,62.83,62.93,62.51,62.68,2776673.0
2019-11-22,62.88,63.02,62.36,62.89,3629218.0
2019-11-25,62.89,63.29,62.04,62.18,6383719.0
2019-11-26,62.34,62.39,61.99,62.25,8201043.0
2019-11-27,62.31,62.445,61.9,62.31,3532022.0
2019-11-29,62.51,62.89,61.99,61.99,1863789.0
2019-12-02,61.84,62.01,61.35,61.6,4334112.0
2019-12-03,62.08,62.4,61.75,62.37,4837020.0
2019-12-04,62.31,62.95,62.25,62.69,5336087.0
2019-12-05,62.54,62.84,62.37,62.76,3216459.0
2019-12-06,62.72,62.84,62.1,62.14,3520571.0
2019-12-09,62.14,62.27,61.32,61.44,4310522.0
2019-12-10,61.44,61.44,60.09,60.33,7917519.0
2019-12-11,60.65,61.0,60.34,60.69,5711597.0
2019-12-12,60.5,61.05,60.27,60.71,6446500.0
2019-12-13,60.65,61.18,60.44,60.76,5158565.0
2019-12-16,60.99,62.32,60.98,62.27,7574892.0
2019-12-17,62.4,64.26,62.33,63.7,10598950.0
2019-12-18,63.57,63.87,63.18,63.63,6382270.0
2019-12-19,63.59,63.63,62.39,63.07,8192105.0
2019-12-20,63.75,64.15,63.32,63.86,11392339.0
2019-12-23,63.76,63.95,63.14,63.26,3678016.0
2019-12-24,63.27,63.29,62.96,63.13,1962502.0
2019-12-26,63.09,63.24,62.9,63.17,2360990.0
2019-12-27,63.05,63.48,62.99,63.46,2431952.0
2019-12-30,63.24,63.41,62.93,63.34,2772727.0
2019-12-31,63.31,63.72,63.18,63.7,3767483.0
2020-01-02,63.65,63.67,62.42,62.62,4675872.0
2020-01-03,62.53,62.91,62.43,62.56,3531817.0
2020-01-06,62.56,63.0,62.51,62.81,3503472.0
2020-01-07,62.56,62.73,62.24,62.62,3199081.0
2020-01-08,62.7,62.84,62.38,62.6,3413575.0
2020-01-09,62.7,63.28,62.55,63.26,3114698.0
2020-01-10,63.42,63.81,63.31,63.66,4427811.0
2020-01-13,63.75,64.82,63.71,64.54,5262136.0
2020-01-14,64.55,64.92,64.41,64.92,5153316.0
2020-01-15,65.0,65.7,64.93,65.58,3772420.0
2020-01-16,65.69,66.19,65.61,66.15,3145945.0
2020-01-17,66.34,67.33,66.22,67.26,6072573.0
2020-01-21,67.34,68.3,67.26,68.12,4546617.0
2020-01-22,68.25,68.58,68.13,68.3,3369787.0
2020-01-23,67.97,68.99,67.9,68.96,3481190.0
2020-01-24,69.0,69.52,68.86,69.44,5048901.0
2020-01-27,69.41,70.07,69.34,69.74,4412299.0
2020-01-28,69.75,70.44,69.52,70.05,4714571.0
2020-01-29,70.05,70.33,69.65,70.1,3251665.0
2020-01-30,70.06,70.9,69.73,70.85,3754589.0
2020-01-31,70.86,71.1,70.11,70.4,5468989.0
2020-02-03,70.67,70.78,70.19,70.7,3144607.0
2020-02-04,70.45,70.76,69.41,69.54,5504405.0
2020-02-05,69.4,69.55,68.6,69.03,6441639.0
2020-02-06,68.75,69.43,68.56,68.84,5625664.0
2020-02-07,69.03,69.14,68.31,68.38,3731935.0
2020-02-10,68.54,68.6,68.09,68.44,3659805.0
2020-02-11,68.57,68.78,68.27,68.59,3341918.0
2020-02-12,68.34,68.9,68.17,68.62,3544351.0
2020-02-13,68.6,69.67,68.54,69.54,4513459.0
2020-02-14,69.12,69.23,68.76,69.02,5032021.0
2020-02-18,69.17,69.55,69.15,69.4,5167521.0
2020-02-19,69.38,69.43,68.6,68.61,4894023.0
2020-02-20,67.55,69.92,67.53,69.81,5046486.0
2020-02-21,69.63,70.37,68.96,68.99,5386374.0
2020-02-24,68.74,69.47,67.7,67.8,5644277.0
2020-02-25,67.9,68.13,66.59,66.86,5245762.0
2020-02-26,66.78,67.55,66.15,66.19,5026369.0
2020-02-27,65.78,66.28,62.87,62.88,8525528.0
2020-02-28,61.7,61.86,59.07,60.36,15567418.0
2020-03-02,60.66,64.15,60.27,63.93,7744608.0
2020-03-03,64.73,66.0,63.61,63.9,9656505.0
2020-03-04,64.64,67.84,64.63,67.8,6517208.0
2020-03-05,67.0,68.56,66.31,67.57,7867044.0
2020-03-06,65.51,67.16,63.5,66.87,9790805.0
2020-03-09,62.86,65.11,61.7,62.16,8519267.0
2020-03-10,63.09,63.38,58.97,62.02,10316550.0
2020-03-11,60.44,60.74,57.09,58.18,7726625.0
2020-03-12,53.82,56.68,50.03,52.19,10664021.0
2020-03-13,55.12,55.19,51.0,53.97,9859393.0
2020-03-16,48.92,52.63,47.33,47.62,10450823.0
2020-03-17,49.01,56.58,48.93,56.56,10297133.0
2020-03-18,53.01,56.15,50.54,55.92,8115849.0
2020-03-19,55.92,56.02,50.51,50.9,6851862.0
2020-03-20,51.01,51.22,46.15,46.36,11836687.0
2020-03-23,45.68,45.84,41.96,43.23,10343444.0
2020-03-24,45.57,49.39,44.71,49.04,8055032.0
2020-03-25,48.91,52.0,47.22,50.14,8204341.0
2020-03-26,50.0,55.8,49.9,55.14,8647266.0
2020-03-27,53.22,58.26,53.0,56.01,10065013.0
2020-03-30,56.72,58.37,56.26,57.99,7222647.0
2020-03-31,57.0,57.29,53.59,54.14,9803300.0
2020-04-01,51.9,52.43,49.26,50.14,6932930.0
2020-04-02,49.41,52.85,49.31,52.4,5471118.0
2020-04-03,51.59,52.82,49.94,50.27,6180185.0
2020-04-06,52.53,56.2,52.23,55.4,6795339.0
2020-04-07,57.36,57.5,54.88,55.12,6082664.0
2020-04-08,55.28,58.62,54.8,58.18,5636081.0
2020-04-09,58.91,61.86,58.81,60.33,7529545.0
2020-04-13,60.0,60.23,57.16,57.72,4764880.0
2020-04-14,59.07,59.59,58.04,59.0,4522296.0
2020-04-15,57.98,57.99,55.48,55.89,5571858.0
2020-04-16,56.22,56.45,55.02,55.32,4994783.0
2020-04-17,56.5,57.85,56.01,57.47,4648078.0
2020-04-20,56.76,56.76,55.22,55.53,4435741.0
2020-04-21,54.91,55.82,54.4,55.5,5497886.0
2020-04-22,56.48,57.63,56.23,57.05,3662927.0
2020-04-23,57.01,57.5,56.1,56.8,4652627.0
2020-04-24,56.91,58.19,56.29,57.73,4860081.0
2020-04-27,58.19,59.23,57.97,58.48,4661878.0
2020-04-28,59.21,59.88,57.76,58.06,3713845.0
2020-04-29,59.22,59.3,57.27,57.37,4589297.0
2020-04-30,57.44,57.45,55.67,56.73,8494037.0
2020-05-01,56.18,56.32,54.09,54.41,4757893.0
2020-05-04,54.47,55.11,53.67,54.92,4480239.0
2020-05-05,55.24,56.26,55.16,55.63,4002682.0
2020-05-06,55.93,55.93,53.5,53.64,3794886.0
2020-05-07,54.28,54.75,53.87,54.23,4696590.0
2020-05-08,54.81,55.64,54.55,55.41,4347315.0
2020-05-11,54.87,56.0,54.02,55.81,6946775.0
2020-05-12,56.04,56.87,55.23,55.52,8897788.0
2020-05-13,55.17,55.46,53.32,53.79,7163494.0
2020-05-14,53.23,54.81,52.7,54.75,5025636.0
2020-05-15,53.6,53.72,51.99,52.54,7756223.0
2020-05-18,53.96,54.84,53.75,54.42,4265972.0
2020-05-19,54.09,54.37,53.56,53.57,3199308.0
2020-05-20,54.19,55.32,53.75,54.83,6340433.0
2020-05-21,54.73,55.1,53.69,53.83,3198468.0
2020-05-22,53.72,54.62,53.58,54.58,4437827.0
2020-05-26,55.5,55.83,54.54,54.66,6801264.0
2020-05-27,55.65,55.65,54.39,55.01,4483140.0
2020-05-28,55.69,57.05,55.52,56.91,4551008.0
2020-05-29,56.53,57.71,56.18,57.07,6581718.0
2020-06-01,57.1,58.12,56.52,57.7,3119252.0
2020-06-02,57.94,58.04,57.07,58.0,4098355.0
2020-06-03,58.34,59.32,58.1,58.71,3717709.0
2020-06-04,58.41,58.66,57.09,57.95,3345345.0
2020-06-05,58.35,60.02,58.26,58.45,4679758.0
2020-06-08,58.3,60.47,58.13,60.27,5035722.0
2020-06-09,59.35,59.69,58.26,59.36,7343482.0
2020-06-10,59.26,60.28,58.92,59.2,5142445.0
2020-06-11,58.0,58.19,55.82,56.09,5446901.0
2020-06-12,57.32,57.45,55.4,56.17,4532930.0
2020-06-15,55.3,56.96,54.52,56.42,4628187.0
2020-06-16,57.66,58.03,55.87,56.22,5000412.0
2020-06-17,56.48,56.52,55.3,56.04,4593224.0
2020-06-18,55.71,56.2,55.21,56.11,3770312.0
2020-06-19,56.89,57.1,53.61,53.61,10434564.0
2020-06-22,53.95,54.82,53.34,54.67,4692687.0
2020-06-23,55.29,55.44,53.26,53.27,6067851.0
2020-06-24,52.88,53.05,51.71,52.38,6369239.0
2020-06-25,52.1,52.25,50.72,51.25,6995093.0
2020-06-26,51.17,51.88,50.4,50.92,6729951.0
2020-06-29,51.37,51.56,50.62,51.56,3956188.0
2020-06-30,51.65,52.16,51.13,51.85,5075805.0
2020-07-01,51.86,53.06,51.66,52.87,3876283.0
2020-07-02,53.29,53.43,52.67,52.79,3412066.0
2020-07-06,52.99,53.49,52.06,52.61,3317837.0
2020-07-07,52.0,52.88,51.65,52.72,3520930.0
2020-07-08,52.52,53.32,52.45,53.06,3343092.0
2020-07-09,52.73,52.77,51.42,51.94,3699786.0
2020-07-10,52.0,53.41,52.0,53.23,4034470.0
2020-07-13,53.31,53.88,52.87,53.18,3562457.0
