date,Open,High,Low,Close,Volume
2019-08-20,153.45,153.79,150.97,151.09,548600.0
2019-08-21,151.67,152.14,150.83,151.16,782400.0
2019-08-22,151.66,151.74,150.0,151.19,450200.0
2019-08-23,150.8,151.92,148.03,148.46,365900.0
2019-08-26,149.32,150.4,149.02,149.62,411900.0
2019-08-27,150.87,153.08,150.04,153.02,726000.0
2019-08-28,152.51,153.83,151.7,152.96,466400.0
2019-08-29,154.22,155.72,153.51,155.14,305700.0
2019-08-30,156.09,156.66,152.88,154.4,332600.0
2019-09-03,153.71,154.33,150.74,152.21,342500.0
2019-09-04,153.55,153.86,151.63,152.37,317200.0
2019-09-05,153.89,154.45,151.93,153.5,489400.0
2019-09-06,153.88,155.85,153.79,154.49,494700.0
2019-09-09,154.36,154.44,144.87,145.28,677700.0
2019-09-10,144.06,144.06,140.76,141.62,1094200.0
2019-09-11,141.62,144.52,140.13,144.51,867500.0
2019-09-12,145.89,148.18,145.85,147.94,488400.0
2019-09-13,147.94,148.22,143.67,144.12,636200.0
2019-09-16,143.21,144.91,142.21,144.33,501100.0
2019-09-17,144.13,146.79,144.13,145.5,564900.0
2019-09-18,146.24,147.79,143.36,144.44,983600.0
2019-09-19,144.49,147.1,144.49,145.79,428300.0
2019-09-20,146.26,148.05,146.26,146.66,1435800.0
2019-09-23,146.05,147.74,146.05,146.37,827100.0
2019-09-24,147.35,148.98,146.11,146.81,417100.0
2019-09-25,146.48,147.64,144.63,146.71,356900.0
2019-09-26,146.56,147.41,144.04,145.08,445700.0
2019-09-27,146.22,146.22,141.28,141.78,327100.0
2019-09-30,141.96,144.98,141.61,144.49,385400.0
2019-10-01,144.77,144.97,140.16,140.62,360000.0
2019-10-02,139.66,139.98,137.54,139.01,452700.0
2019-10-03,138.61,141.46,137.95,141.21,446000.0
2019-10-04,142.15,143.84,141.35,142.66,347100.0
2019-10-07,141.72,142.44,141.22,141.91,256000.0
2019-10-08,140.85,140.85,137.92,138.04,253700.0
2019-10-09,139.18,140.62,138.97,139.44,305500.0
2019-10-10,138.83,140.24,138.79,139.7,422200.0
2019-10-11,141.12,141.86,140.5,140.68,331600.0
2019-10-14,141.18,141.95,139.57,140.08,171500.0
2019-10-15,141.49,143.19,140.85,143.1,448300.0
2019-10-16,142.75,143.31,141.61,142.4,483300.0
2019-10-17,143.07,143.97,142.26,143.15,532100.0
2019-10-18,142.71,143.96,142.61,143.37,901200.0
2019-10-21,144.0,144.0,140.37,140.55,486500.0
2019-10-22,141.05,141.71,136.37,136.92,739200.0
2019-10-23,137.61,138.25,136.96,137.85,468600.0
2019-10-24,138.42,139.27,136.93,137.39,356500.0
2019-10-25,137.55,139.39,137.02,138.01,332700.0
2019-10-28,138.41,140.2,138.41,139.46,304100.0
2019-10-29,139.1,142.15,139.05,141.45,247400.0
2019-10-30,141.78,143.01,140.07,142.68,359500.0
2019-10-31,142.13,143.43,140.77,141.57,367400.0
2019-11-01,142.61,143.87,141.55,142.14,312600.0
2019-11-04,143.03,143.47,139.43,140.53,416000.0
2019-11-05,146.0,148.11,143.08,145.48,878500.0
2019-11-06,145.5,146.55,144.18,145.49,490100.0
2019-11-07,146.5,147.49,144.47,145.19,481600.0
2019-11-08,145.14,146.79,144.74,145.84,282700.0
2019-11-11,145.08,146.81,144.11,144.69,373400.0
2019-11-12,145.18,146.4,144.76,145.6,275400.0
2019-11-13,145.3,146.76,144.99,145.61,265000.0
2019-11-14,145.73,146.82,145.14,146.74,296100.0
2019-11-15,147.43,148.83,146.78,148.75,319200.0
2019-11-18,148.86,149.81,148.47,149.38,398000.0
2019-11-19,150.21,152.16,149.66,151.89,385700.0
2019-11-20,151.95,153.51,151.31,151.87,635400.0
2019-11-21,152.36,152.56,150.15,150.83,329000.0
2019-11-22,151.8,152.06,150.29,151.89,494000.0
2019-11-25,151.9,152.46,151.14,151.5,285600.0
