date,Open,High,Low,Close,Volume
2019-08-20,50.52,51.2,50.34,50.51,2383495.0
2019-08-21,50.89,50.93,50.25,50.54,2516341.0
2019-08-22,50.95,51.51,50.82,51.14,2212367.0
2019-08-23,50.8,51.49,49.68,49.96,3522474.0
2019-08-26,50.37,50.46,49.57,49.82,2335499.0
2019-08-27,50.07,50.47,49.26,49.4,2355424.0
2019-08-28,49.1,50.19,48.97,49.81,3137299.0
2019-08-29,50.43,51.45,50.33,51.28,2637850.0
2019-08-30,51.57,51.88,51.08,51.31,2669254.0
2019-09-03,50.82,50.92,49.49,49.64,2245909.0
2019-09-04,50.26,50.94,50.11,50.88,3122646.0
2019-09-05,51.7,53.38,51.63,52.47,3784101.0
2019-09-06,52.27,52.48,51.6,51.84,3137503.0
2019-09-09,52.36,54.24,52.31,54.0,3529501.0
2019-09-10,54.35,58.86,53.87,58.84,8116756.0
2019-09-11,58.96,60.01,57.11,60.0,3930566.0
2019-09-12,59.61,60.61,58.73,60.27,3578563.0
2019-09-13,60.95,61.73,60.23,61.15,2413906.0
2019-09-16,60.45,61.41,60.24,60.51,2277966.0
2019-09-17,60.29,60.29,58.79,60.22,2114679.0
2019-09-18,59.72,60.87,59.27,60.48,1765464.0
2019-09-19,60.46,61.33,60.19,61.1,1838417.0
2019-09-20,61.34,61.63,59.84,60.11,3336856.0
2019-09-23,59.49,60.38,59.07,60.19,1836256.0
2019-09-24,60.13,60.34,58.64,59.04,1862799.0
2019-09-25,59.34,59.97,58.9,59.8,1747985.0
2019-09-26,59.62,59.8,58.54,59.05,1914016.0
2019-09-27,59.44,60.0,59.13,59.8,1590327.0
2019-09-30,59.51,59.63,58.82,59.19,1955740.0
2019-10-01,59.33,59.78,56.74,56.87,2096011.0
2019-10-02,56.19,56.45,55.37,55.59,1286121.0
2019-10-03,55.57,55.78,54.31,55.78,1819133.0
2019-10-04,55.78,56.97,55.07,56.87,2600358.0
2019-10-07,56.77,57.19,56.04,56.28,1707575.0
2019-10-08,55.5,55.63,54.55,55.15,2174515.0
2019-10-09,55.73,55.9,55.2,55.66,1418913.0
2019-10-10,56.1,57.21,55.84,56.83,1915617.0
2019-10-11,58.25,59.49,58.06,58.7,2196383.0
2019-10-14,58.27,58.89,57.77,58.49,1213124.0
